"";"";"";"";"*postDate_31-3-2025";""
"1";"*postDate_31-3-2025";"1.49304023250839";"0.18005064080105";"3";"5"
"2";"*postDate_15-11-2024";"2.70346892186384";"0.539840637606771";"1.5139396971402";"16"
"3";"*postLikes_109300";"1.84418346822916";"0.427734812949185";"1.36377586773557";"20"
"4";"*postComments_1500";"1.84418346822916";"0.427734812949185";"1.36377586773557";"21"
"5";"*postDate_31-8-2025";"1.84418346822916";"0.427734812949185";"1.36377586773557";"22"
"6";"*postReposts_13";"1.96632636168472";"0.310210421293643";"1.26723639693872";"26"
"7";"*postDate_13-10-2025";"-0.304806331302295";"0.49963751196299";"1.19250418398469";"34"
"8";"*postComments_492";"-0.784184127976354";"1.73952970463934";"1.15948935084111";"39"
"9";"*postReposts_94";"-0.784184127976354";"1.73952970463934";"1.15948935084111";"40"
"10";"*commentDate_13-10-2025";"-0.286711791090561";"0.768652824977101";"1.13961377884594";"43"
"11";"*commentDate_14-10-2025";"-0.313152131033694";"0.857651954577302";"1.11951876783649";"44"
"12";"*postLikes_5500";"-0.507440195351248";"0.960087865762863";"1.10918863733183";"49"
"13";"*commentDate_19-11-2025";"-0.31462898544853";"-0.0962360160758563";"1.09053289724722";"52"
"14";"*commentDate_9-10-2025";"-0.156912765282021";"0.816539823134576";"1.0880509019283";"56"
"15";"*postDate_31-10-2025";"-0.347459332952354";"-0.0967485501204346";"1.07993383722719";"58"
"16";"*postLikes_5400";"-0.280226810213601";"-0.19937117436438";"1.07925404317445";"59"
"17";"*postComments_747";"-0.534823860512279";"1.23970673882418";"1.07679445864848";"61"
"18";"*postComments_380";"-0.668045897346086";"-0.0132970625136742";"1.07317418180445";"63"
"19";"*postComments_273";"-0.70513532368864";"1.90376724746821";"1.06746534356212";"65"
"20";"*postReposts_220";"-0.743278099513593";"2.07153680621635";"1.0645195693336";"69"
"21";"*postComments_124";"-0.0205184417333795";"-0.29384704668773";"1.06219444956532";"72"
"22";"*postReposts_607";"2.8061353464693";"0.626508484594748";"1.04335662178802";"78"
"23";"*commentDate_12-10-2025";"-0.195604856701025";"0.659721201458704";"1.04286016047203";"79"
"24";"*a_0815";"0.296369104734453";"-0.494088453831047";"1.03450684866192";"80"
"25";"*postComments_1700";"0.296369104734453";"-0.494088453831047";"1.03450684866192";"82"
"26";"*postDate_12-3-2025";"0.296369104734453";"-0.494088453831047";"1.03450684866192";"83"
