"";"";"";"";"avoir";""
"35";"entre";"-0.420301147348987";"0.112909309482266";"0.955761770075244";"90"
"36";"100";"-0.382154726869065";"0.0959524653076382";"0.955496097074604";"91"
"37";"rien";"-0.303049277582246";"0.0339539406469902";"0.949427201659984";"92"
"38";"point";"-0.415454794121247";"0.033358341549298";"0.941340346540502";"95"
"39";"pourquoi";"-0.376192732531707";"0.0929584738393548";"0.935023104625283";"96"
"40";"combien";"-0.453691973004826";"0.00568918586716289";"0.934536807524111";"97"
"41";"se";"-0.320133736388074";"-0.0344195816205171";"0.933759425222239";"98"
"42";"comme";"-0.136843690642258";"-0.0470336085596393";"0.931324474416373";"99"
"43";"assez";"-0.309187811076631";"-0.116337410409495";"0.930744614214976";"100"
"44";"alors";"-0.36881034827665";"-0.0173166308590711";"0.928242667608948";"101"
"45";"non";"-0.318544238509296";"-0.0285422030608018";"0.924599482200172";"102"
"46";"vouloir";"-0.28471175164631";"0.0114162615060632";"0.922137964094242";"106"
"47";"ta";"-0.204008777863813";"-0.380088402691072";"0.915738710078825";"110"
"48";"sa";"0.0125298546643867";"-0.0160750157791299";"0.915511155378277";"111"
"49";"cela";"-0.366174201622244";"0.112205573661507";"0.914679483376273";"112"
"50";"maintenant";"-0.0816716640091463";"-0.314389202739525";"0.910725576066748";"113"
"51";"sans";"-0.360815836243989";"0.0711411096490736";"0.909901989764764";"114"
"52";"leurs";"-0.392419583070462";"0.272875430764761";"0.906313094056118";"117"
"53";"où";"-0.311868948012965";"-0.0276866593530666";"0.902525521146993";"119"
"54";"surtout";"-0.230238435642975";"-0.0407577704598803";"0.901522894344578";"123"
"55";"aucune";"-0.486556655449508";"0.262231527799657";"0.90144088224438";"124"
"56";"son";"-0.0352349652682762";"0.0634123782814601";"0.900033970440991";"126"
"57";"parce_que";"-0.448843181297411";"0.0687752037171797";"0.898026406636155";"128"
"58";"30";"-0.233899459869279";"-0.384532857222094";"0.897699513335367";"130"
"59";"3";"-0.266100161143799";"-0.266978256719888";"0.896963714633594";"131"
"60";"notre";"-0.152028323845925";"0.161813292129086";"0.893981246426409";"132"
"61";"autant";"-0.386002799156415";"0.0165713436215909";"0.892077641621823";"134"
"62";"tous";"-0.0781159774964421";"0.125953511009242";"0.892049919221757";"135"
"63";"ceux";"-0.442142624830445";"0.162733615029751";"0.890510170918047";"136"
"64";"quand";"-0.240312713197432";"-0.121289877787298";"0.888135285312326";"137"
"65";"sous";"-0.403838121982012";"0.0841045696650389";"0.886150823507545";"139"
"66";"tes";"-0.319721140578895";"-0.192919029844051";"0.883848709201999";"140"
"67";"pendant";"-0.273299488967465";"0.205871818435521";"0.880040344492825";"142"
"68";"hors";"-0.451720753966429";"0.0404225155948257";"0.879811634692274";"143"
"69";"peu";"-0.194975184048102";"-0.226550558319858";"0.876523064984351";"145"
"70";"aucun";"-0.499154102568746";"0.343108345442498";"0.876360195883959";"146"
"71";"avant";"-0.16293980872065";"-0.0485801370354089";"0.874589427579693";"147"
"72";"oui";"-0.0789983739102841";"-0.0955768924001866";"0.873511719277096";"148"
"73";"croire";"-0.183744158287726";"-0.164501759829879";"0.871811412073";"149"
"74";"beaucoup";"0.0757124464975064";"-0.03748848465947";"0.870808785270585";"151"
"75";"70";"0.0411706421203873";"-0.271729974976988";"0.868675315565445";"152"
"76";"autre";"-0.258763851499967";"-0.0495009619684227";"0.864318278354949";"154"
"77";"encore";"-0.146597399001619";"-0.147096745196616";"0.863302945452503";"155"
"78";"80";"0.250398508749772";"-0.358605520199874";"0.860872615046648";"157"
"79";"peut_être";"-0.34929405673777";"-0.0816465936656715";"0.858851190041778";"158"
"80";"dont";"-0.461946729228501";"0.419323129900989";"0.857709951239029";"160"
"81";"devant";"-0.265256533709379";"0.0724438256830964";"0.857611767738792";"161"
"82";"certains";"-0.40069745430467";"0.0990974933931997";"0.856919862837125";"162"
"83";"mal";"-0.188788446320759";"-0.38890690643474";"0.856647259236468";"163"
"84";"quelqu_un";"-0.105904637023445";"-0.238497496365235";"0.856152876435277";"165"
"85";"là";"-0.140780256525369";"-0.154658747950695";"0.855257673933121";"166"
"86";"ici";"-0.280813070289147";"-0.0198517906097829";"0.854639695431632";"167"
"87";"quelque";"-0.334372464402572";"0.00781235899579799";"0.854123365730388";"168"
"88";"aussi";"0.0459071223402218";"-0.277789513430438";"0.853247799928279";"169"
"89";"mieux";"-0.0950505755018412";"-0.305100636325147";"0.850299984721177";"171"
"90";"quelques";"-0.30145364033574";"-0.0571406881587557";"0.847479230514382";"173"
"91";"comment";"-0.191257768029295";"-0.0779330584195315";"0.846886664212954";"174"
"92";"tard";"0.212022779270426";"-0.406133744003843";"0.844116734406281";"179"
"93";"jamais";"-0.179395891636792";"-0.120128911000788";"0.841807689500719";"183"
"94";"ses";"-0.21798659294011";"0.142475994213517";"0.836938942988989";"187"
"95";"puis";"-0.269129681404018";"0.0280151558342671";"0.83318255777994";"193"
"96";"deux";"-0.195065296109977";"0.0169174654281444";"0.828738888069235";"198"
"97";"tant";"-0.133959834932425";"0.267587150966434";"0.828355394868311";"199"
"98";"2023";"-0.321145381756249";"0.262211973873494";"0.825229694260781";"202"
"99";"parfois";"-0.237225524068971";"-0.344280043341994";"0.819702540747465";"209"
"100";"puisqu";"-0.549040579741712";"0.115410433760665";"0.819509639047001";"210"
"101";"1500";"-0.486824558862358";"-0.486545177398828";"0.817295312341666";"212"
"102";"dehors";"-0.202882101234123";"-0.114659800277158";"0.817033104641034";"213"
"103";"trois";"-0.187284963379683";"-0.0753559822927179";"0.814267795234372";"218"
"104";"04";"-0.569652338015199";"-0.0767935765616424";"0.814010207933752";"221"
"105";"longtemps";"-0.118150448153178";"-0.30198157946546";"0.81346153543243";"223"
"106";"pardon";"-0.24305544595826";"-0.450748120659346";"0.811626081528008";"227"
"107";"ah";"0.122171582819279";"-0.418141048320172";"0.811592583627928";"228"
"108";"autour";"-0.316121214697158";"-0.170152417853301";"0.810139467824427";"230"
"109";"2008";"-0.249678697701068";"0.00233678834180535";"0.808882719021399";"244"
"110";"mien";"0.215584112633032";"-0.738453606306588";"0.805240688712625";"271"
"111";"ouais";"-0.0462144253556369";"-0.574579312000707";"0.805047787012161";"272"
"112";"1970";"0.530566799685649";"-0.167203721600208";"0.804165290610035";"283"
"113";"1982";"-0.204307768113614";"-0.630273922448602";"0.803417940908234";"290"
"114";"mme";"0.154773190407322";"-0.734468680610698";"0.803361341008098";"291"
"115";"ben";"-0.0867357576567071";"-0.446346219727179";"0.803086427207436";"295"
"116";"ouf";"0.477195044612608";"-0.717511555921461";"0.802816133806784";"299"
"117";"heu";"-0.105173591185708";"-0.842853661494038";"0.802341387705641";"304"
"118";"1991";"0.398371827354201";"0.507342387809476";"0.801932482304656";"316"
"119";"salut";"0.432936589863777";"-0.0787771491786815";"0.801759217304238";"317"
"120";"125";"0.404730023813488";"0.194139771683756";"0.800904443302179";"328"
"121";"jadis";"0.692136576786672";"0.113590224212792";"0.800683819201647";"336"
"122";"1995";"0.475835424164568";"0.42829445331853";"0.800214848600518";"339"
"123";"celle_là";"0.616510480748619";"-0.677761735472266";"0.800108579400262";"340"
