"";"";"";"";"avoir";""
"1";"avoir";"-0.114180735476147";"-0.138691643715296";"1.59257417710938";"19"
"2";"du";"-0.255134827262663";"-0.0150725634269258";"1.4406554247434";"25"
"3";"votre";"-0.203481599415683";"0.235131578320942";"1.34670883131707";"28"
"4";"sur";"-0.374236159216953";"0.0407472202124254";"1.28998880078043";"32"
"5";"ton";"-0.263318334482668";"-0.168524419904067";"1.22246627501776";"36"
"6";"dans";"-0.251351962285597";"-0.090302509622073";"1.2204055766128";"37"
"7";"dire";"-0.117207964701789";"-0.302113782107476";"1.21221360739306";"39"
"8";"une";"-0.157778665931581";"-0.00442608444714901";"1.17196183759609";"42"
"9";"aux";"-0.353389466525036";"0.164770783244669";"1.16667956528336";"43"
"10";"si";"-0.253377643492901";"0.00896999005421139";"1.1214897429745";"47"
"11";"pouvoir";"-0.332649766497843";"0.0635337360695259";"1.12052407937217";"48"
"12";"au";"-0.222681420737891";"-0.091088465168021";"1.12003431697099";"49"
"13";"il";"-0.169337519690191";"-0.0771014807679836";"1.10617889243761";"51"
"14";"faire";"-0.217925409401772";"-0.062690168028558";"1.10054893502405";"52"
"15";"déjà";"-0.276900646337771";"-0.08902558158765";"1.09384242440789";"55"
"16";"juste";"-0.271792178649978";"0.000754217191928153";"1.08386582568386";"56"
"17";"1";"-0.0977854345566504";"-0.1954487063222";"1.08058880697596";"57"
"18";"qu";"-0.256926036556138";"0.0201450316096648";"1.06827197564629";"58"
"19";"falloir";"-0.323489071184525";"-0.0122112260241334";"1.05678566121862";"60"
"20";"y";"-0.193363421761152";"-0.124275508453131";"1.01502186551801";"68"
"21";"autres";"-0.41628929480369";"0.14555101175767";"1.01483473931756";"69"
"22";"10";"-0.323123994444285";"-0.0950764786333531";"1.01216530321113";"70"
"23";"nos";"-0.151076957968831";"0.0241202159494394";"0.9970450441747";"72"
"24";"devoir";"-0.344374478158119";"0.0866874181924964";"0.991504029461351";"73"
"25";"leur";"-0.385946844280518";"0.199780836817126";"0.978416746429822";"77"
"26";"tout";"-0.122160538681691";"-0.00998738770577886";"0.973603444718227";"79"
"27";"avec";"-0.110603800048677";"-0.140868146437132";"0.9731772128172";"80"
"28";"personne";"-0.205913202364277";"0.271970479440844";"0.971100343012196";"81"
"29";"même";"-0.218140113718816";"-0.152880573419394";"0.970423454410566";"82"
"30";"car";"-0.454830249660084";"0.0803287252002751";"0.966579281601305";"83"
"31";"savoir";"-0.18699039858349";"-0.165859201867119";"0.965459989698608";"84"
"32";"bien";"0.0392491359266655";"-0.0913837606014291";"0.963878657794799";"86"
"33";"nous";"-0.0952011818165327";"-0.0340019608934766";"0.963156720293059";"87"
"34";"environ";"-0.487758909257265";"0.14565604224926";"0.957055482078361";"89"
