"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"emji_visage_riant_aux_larmes";-402,785;21751,677;-658,367;-1255,172;-156,317;-1121,616;-1191,815
"aller";-618,888;-190,315;1,583;208,316;21,097;48,673;135,678
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";13745,196;-443,17;-285,293;-620,644;-55;-578,505;-400,127
"emji_coeur_rouge";12085,431;-537,12;-244,453;-622,682;-7,873;-502,238;-244,475
"suisse";-412,14;-241,801;2,351;3602,744;-54,782;-142,985;-201,956
"voir";-506,244;-247,435;-5,62;-0,054;6,346;486,674;223,768
"emji_applaudissements";5082,708;-256,548;-82,302;-214,791;-19,735;-186,86;-128,777
"parler";-297,279;-179,78;17,029;1,153;-3,815;970,308;-31,261
"emji_se_rouler_par_terre_de_rire";-70,428;3182,815;-77,708;-150,529;-27,025;-172,798;-199,481
"gens";-334,142;-280,147;-1,212;9,349;0,593;149,923;335,402
"monde";-254,702;-300,512;3,33;60,777;-4,544;7,873;413,618
"femme";-124,155;-301,468;-52,273;-171,771;-12,52;1664,956;46,735
"emji_visage_qui_pleure";492,302;-101,595;-20,873;-43,2;4,105;-64,708;53,854
"enfant";-189,312;-278,972;14,075;-64,082;-6,416;-70,666;1928,318
"beau";1000,308;-130,42;-105,411;-103,142;0,011;-42,341;52,938
"époque";2,282;-19,842;-131,939;-145,474;-10,972;-99,547;1245,606
"prendre";-260,45;-95,158;-0,966;263,366;9,024;16,143;9,765
"pays";-227,364;-294,974;542,033;456,724;-22,86;-5,286;-19,238
"vie";-64,929;-202,909;-75,354;0;-0,176;-53,639;1253,372
"penser";-204,479;-58,601;-31,713;-5,62;1,905;436,279;33,155
"comprendre";-147,686;-138,682;-12,583;-10,834;-0,043;871,477;-0,472
"homme";-80,601;-222,021;-47,673;-210,512;-1,149;1648,939;8,13
"temps";-143,447;-142,241;-37,997;1,07;-3,155;-20,068;985,439
"aimer";-2,748;139,682;-58,326;-94,49;60,468;-8,258;27,281
"chose";-205,671;-157,647;-8,617;-11,616;-0,792;100,516;461,614
"passer";-204,494;-116,015;1,303;53,472;-3,964;-3,68;323,289
"mettre";-232,947;-131,156;0,128;195,971;-0,149;31,928;25,293
"petit";-42,162;-11,977;-48,121;-0,89;49,646;-53,079;397,344
"année";-98,905;-51,165;-43,993;71,547;-2,45;-93,049;510,417
"vrai";-56,079;-66,227;-0,51;-0,681;-0,644;177,098;10,677
"emji_feu";3681,247;-151,36;-49,528;-165,186;-16,278;-179,233;-85,401
"emji_mains_levées";3954,521;-160,378;-73,107;-165,44;-22,484;-126,843;-134,405
"grand";-33,898;-106,882;-28,985;174,081;1,646;-7,189;66,238
"vraiment";-80,228;-111,003;-19,132;-0,98;-0,471;52,907;251,329
"jour";-138,971;-92,373;-12,6;1,481;15,189;-57,497;764,132
"emji_visage_souriant_avec_une_goutte_de_sueur";-68,39;2237,208;-79,457;-134,126;-4,54;-113,754;-90,187
"venir";-172,57;-43,95;0,411;26,234;24,624;55,726;10,935
