"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29"
",";0,555;-583,989;0,636;0,746;0,719;0,858;0,774;0,582;0,609;0,527;0,83;0,746;-0,199;0,636;0,774;0,691;0,664;0,802;0,858;0,691;0,774;0,858;0,746;0,555;0,609;0,609;0,664;0,774;0,636
".";0,525;-617,648;0,602;0,706;0,68;0,812;0,732;0,55;0,576;0,499;0,785;0,706;0,654;0,602;0,732;0,654;0,628;0,759;0,812;0,654;0,732;0,812;0,706;0,525;0,576;0,576;0,628;0,732;0,602
"emji_main_qui_écrit";0,781;4,51;2,768;0,113;-0,074;-3,205;0,852;2,378;-33,573;1,997;2,405;1,878;3,163;-11,247;3,767;0,498;0,395;0;-3,205;0,498;0,172;6,65;-1,481;-0,093;-16,704;-12,376;0,395;2,051;-1,263
"suisse";0,834;-0,028;14,33;8,47;-2,984;-0,66;-9,835;18,386;-1,446;-12,631;-4,804;-3,417;11,082;-1,797;-0,634;1,623;0,385;-2,879;-3,719;0,745;-5,551;1,097;-1,114;3,33;3,423;-4,304;-0,047;15,078;0,135
"emji_appareil_photo";-27,482;-28,83;-2,065;-1,08;5,391;0,155;-0,223;-7,585;-6,289;0,676;0,952;4,262;4,786;3,633;3,299;1,914;0,168;3,811;0,574;0,031;3,299;-18,808;-0,424;0,998;0,229;1,773;0,672;-0,223;0,426
"rts";22;-22,243;-2,604;0,002;-0,291;2,245;-0,019;0,002;5,637;-12,846;-3,861;-0,113;0,002;8,703;-4,13;0,716;0,063;-0,103;-0,448;-0,123;-0,019;-6,128;1,452;-0,386;24,16;1,218;-3,181;-0,019;4,496
"keystone";-18,878;-19,804;0,564;0,561;2,997;0,152;-2,951;-2;-2,503;-0,022;-4,026;-12,229;18,92;1,362;4,317;1,321;-12,464;3,497;0,001;5,521;0,313;-3,18;-3,814;3,48;-1,34;3,289;3,13;22,417;-0,246
"info";-13,808;-11,305;-15,844;1,479;0,036;2,802;1,091;-11,305;9,315;-13,132;-2,364;0,675;0,579;13,502;-2,799;2,495;0,272;-0,071;0,037;-0,003;0,431;-21,358;4,023;-0,007;18,962;1,731;-1,315;0,431;10,558
"rtsinfo";-11,721;-12,295;-13,45;1,614;3,413;0,079;1,231;-12,295;-3,291;5,55;5,479;0,752;4,115;-2,236;3,62;-0,004;-1,416;3,009;4,719;0,127;-0,006;-12,26;-0,556;4,57;-3,291;0,163;6,985;2,268;-2,236
":";0,765;27,216;0,211;-0,824;-0,129;0,657;6,19;0,053;-3,416;-0,291;0,257;-0,215;2,528;0,878;-2,07;-2,654;-0,366;-2,322;-1,614;-1,367;-0,017;2,699;-0,215;-1,357;0,011;-3,416;-0,366;-0,321;3,584
"emji_drapeau_suisse";0,078;-4,923;27,582;3,447;2,541;-0,488;-5,809;11,675;-0,871;-9,043;-3,174;-12,799;22,924;-5,772;-0,126;-1,63;-0,525;-8,406;-3,514;0,208;-3,997;0,228;-3,631;7,188;10,262;0;7,879;14,099;-2,256
