"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29"
"comparer";1;1;1;1;1;0,128;1;1;1;1;1;1;1;1;0,099;0,073;0,065;0,109;1;1;1;1;1;1;1;1;1;0,099;1
"cher";1;1;1;1;1;1;1;0;1;1;1;1;1;1;0,198;1;1;1;1;1;0,198;1;1;0,092;1;1;1;0,002;1
"chanteur";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"chanson";1;1;1;1;1;1;0,198;1;1;1;0;0,184;1;1;1;1;1;1;1;1;1;1;0,184;1;0,116;0,116;1;1;1
"cellule";1;1;1;1;1;0;0,147;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,183;1;1;1;1;1;1;0
"bord";0,062;1;1;1;1;1;1;1;1;1;1;1;1;0,091;1;1;1;0,159;1;1;0,001;1;1;1;1;1;0;1;1
"beauté";0,092;0,104;1;1;1;1;1;1;1;1;1;0,184;1;1;1;1;0,142;1;1;1;1;0,241;0,184;1;1;1;1;0,198;0,129
"avis";1;1;1;1;1;0,241;1;1;1;1;1;1;1;1;1;1;1;0,212;1;0,001;0,198;1;1;1;1;1;1;0,198;0
"auprès_de";1;1;1;1;1;1;0,147;1;1;1;1;1;0,112;1;1;0,112;0,102;1;1;1;1;1;1;0,062;1;1;1;0,001;1
"athlète";1;1;0;1;1;0,3;1;1;0,155;1;1;1;1;1;0,251;1;1;1;1;1;1;0;1;1;1;1;1;1;1
"apprendre";1;1;1;1;1;0,241;1;1;0,116;1;0,227;1;1;1;0,198;0,156;1;1;0,241;1;1;1;1;0,092;1;1;1;0,198;1
"analyser";1;1;1;0,184;1;0,241;0;1;1;1;0,227;1;1;1;1;1;0,142;1;1;0,156;1;1;1;1;1;1;1;1;1
"alcool";1;1;1;1;1;0,183;1;1;1;1;0,171;1;0,112;0,091;1;0;1;1;1;1;1;1;1;1;1;1;1;0,147;1
"ahmed";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0,099;1;1;1;1;0,05;1;1;1
"aggraver";1;1;1;0,135;1;1;1;1;1;1;1;1;1;1;1;1;0,102;0,159;0,183;1;1;1;1;1;0,081;0,081;1;1;0,091
"afrique";0,092;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0,142;0,002;1;1;1;1;0,184;1;1;1;1;1;1
"acheter";1;1;1;1;1;0,183;1;0,071;1;1;1;1;1;0,091;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1
"accélérer";1;1;1;0,184;1;1;1;1;1;1;0,227;1;1;1;1;0,001;1;1;0,241;0,156;1;1;1;1;1;0;1;1;1
"absence";1;1;1;1;0,318;0,418;1;0,218;1;1;1;1;0,298;0,258;1;1;1;1;0,02;0,298;0,358;1;1;1;1;0,238;0,278;1;1
