droit;1;3;0;0;0;0;9;5;2;0
créer;2;2;1;1;0;1;3;2;5;2
centre;0;1;1;0;2;1;4;3;0;0
équipe;11;0;2;0;1;2;0;3;3;2
sécurité;0;5;2;0;0;2;5;0;0;0
réduire;0;5;5;1;0;6;0;1;0;1
nombre;0;20;2;0;1;0;2;0;0;0
mesure;0;5;3;0;0;0;10;3;0;0
décision;0;2;2;0;2;0;5;4;1;0
chiffre;2;11;1;0;0;4;1;4;2;1
également;0;4;0;1;8;0;1;2;0;0
soir;4;0;0;5;0;0;3;6;3;1
remporter;11;0;0;0;0;0;0;0;6;1
présenter;0;1;5;1;0;4;5;0;1;1
poste;0;3;12;0;0;0;2;2;1;1
emji_gyrophare;0;2;3;0;1;0;0;1;0;0
début;1;3;4;6;0;2;1;1;2;0
causer;0;3;3;1;0;1;0;0;1;0
saison;13;5;3;1;1;0;0;0;0;1
revenir;3;7;1;1;3;0;1;0;1;2
retour;3;1;0;3;4;1;4;0;2;0
plan;0;0;6;1;1;0;3;0;0;1
famille;1;2;3;3;0;1;1;5;3;0
attendre;1;5;3;7;0;0;2;0;1;0
affaire;0;2;0;0;2;4;1;7;0;0
vie;0;3;3;0;2;6;1;0;5;1
sexuel;0;1;0;0;0;2;1;10;0;0
record;6;5;1;5;0;1;0;0;3;0
proposer;2;4;2;0;2;1;1;0;0;1
politique;0;2;0;2;1;1;6;1;1;0
ouvrir;0;1;6;4;0;0;1;2;0;2
nombreux;1;3;5;1;1;1;1;2;1;1
membre;0;2;1;0;1;2;4;1;2;1
baisser;0;9;6;0;0;1;2;1;0;0
artiste;0;1;0;0;0;0;0;1;16;1
accord;0;0;1;0;0;0;2;0;1;0
toucher;0;9;1;0;1;2;0;1;0;0
soutenir;0;0;2;1;0;1;9;1;2;3
région;0;0;4;2;0;0;1;1;0;2
risque;0;5;1;0;2;5;0;3;1;0
raison;1;4;2;0;0;1;0;3;3;0
mener;0;1;0;0;6;8;1;2;0;0
matin;0;0;1;2;0;0;1;0;1;1
manifestation;0;0;0;1;0;0;7;0;0;0
lieu;1;0;0;3;1;0;0;1;0;1
emji_urne_électorale;0;0;0;0;0;0;9;0;0;0
célèbre;1;0;0;2;0;0;1;0;8;2
concerner;0;3;7;1;0;4;2;2;0;0
berner;0;0;2;2;0;0;4;1;2;1
1er;3;5;0;5;0;0;2;1;0;5
utiliser;0;1;2;0;2;7;1;1;1;0
niveau;1;8;0;4;0;2;4;0;0;0
majeur;0;1;4;0;0;0;2;0;2;1
lier;2;4;0;1;0;6;1;2;1;0
géant;5;0;3;0;1;1;0;1;1;2
expliquer;1;1;1;4;8;1;2;1;0;0
etat;0;0;1;0;0;0;10;3;0;0
emji_globe_tourné_sur_l_afrique_et_l_europe;0;1;1;0;1;5;2;3;4;0
augmenter;0;10;1;1;1;5;0;0;1;0
accuser;0;0;1;0;0;1;1;5;0;0
titre;4;1;1;1;2;0;0;2;8;0
suivre;1;3;6;0;1;0;2;0;2;2
seulement;3;8;0;0;1;2;0;0;0;1
résultat;1;2;1;0;0;2;5;0;1;0
précédent;0;15;2;1;0;2;0;0;0;1
mètre;2;1;0;7;0;0;0;1;0;3
montrer;0;4;2;0;1;5;2;1;1;0
inclure;0;1;7;0;2;1;1;1;2;0
