"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Coord. facteur 19";"Coord. facteur 20";"Coord. facteur 21";"Coord. facteur 22";"Coord. facteur 23";"Coord. facteur 24";"Coord. facteur 25";"Coord. facteur 26";"Coord. facteur 27";"Coord. facteur 28";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"Corr. facteur 19";"Corr. facteur 20";"Corr. facteur 21";"Corr. facteur 22";"Corr. facteur 23";"Corr. facteur 24";"Corr. facteur 25";"Corr. facteur 26";"Corr. facteur 27";"Corr. facteur 28";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"COR -facteur 19";"COR -facteur 20";"COR -facteur 21";"COR -facteur 22";"COR -facteur 23";"COR -facteur 24";"COR -facteur 25";"COR -facteur 26";"COR -facteur 27";"COR -facteur 28";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"CTR -facteur 19";"CTR -facteur 20";"CTR -facteur 21";"CTR -facteur 22";"CTR -facteur 23";"CTR -facteur 24";"CTR -facteur 25";"CTR -facteur 26";"CTR -facteur 27";"CTR -facteur 28";"mass";"chi.distance";"inertie"
"classe 1";-0,11690914577332;0,645718353007886;-0,17857167424811;3,22478468788989;-5,75996635069897;2,16466320897005;-0,577592653034219;0,453497738137393;-0,305582889358286;-0,423436406881737;0,304650741809457;0,0286151001616274;0,16376325372299;0,550000917262628;-0,555480052999151;-0,130123678420377;-0,130123644086397;-0,0806317026390301;-0,390443726895312;0,0601541626493423;0,299546656222114;-0,151818945608783;-0,223919219754644;-0,362233777744532;0,25346479414109;0,0140552994807781;-0,156068607365623;-0,0294773921382386;-0,0163949381664266;0,0905533301134349;-0,0250422799534403;0,452232759107711;-0,807757952004117;0,303564954028616;-0,0809996152930526;0,0635969694774184;-0,0428538977220928;-0,0593812713480987;0,0427231765426337;0,00401288363431913;0,022965597780751;0,0771302447755678;-0,0778986200041401;-0,0182480989624758;-0,0182480941475962;-0,0113075137986534;-0,054754490913222;0,00843581373010257;0,042007397062362;-0,0212905689224197;-0,0314016644110121;-0,0507984242689422;0,0355450345635625;0,00197106705701851;-0,0218865269312713;-0,00413380850759942;0,000418503176902331;0,0105861071486078;0,000744841122514773;0,213209404648566;0,660419944610974;0,0876993377460573;0,00582939325319209;0,00338830498337266;0,00140339192930402;0,00238012133872436;0,00117247625252551;1,01994149930062e-05;0,000322911376001711;0,00355163187738745;0,00355434790641809;0,000183821036681695;0,000182325401628274;6,83851577685656e-05;0,00156509176577754;3,5333066500148e-05;0,000865120244060899;0,000208955810897788;0,000453702473374148;0,00104626041108274;0,000509313182905594;1,53681101610828e-06;0,000182792385303063;6,44546739931541e-06;0,000263609769485203;0,00804175407136744;0,000615020607394122;0,20056999925311;0,639888668480565;0,0903743524655284;0,00643439691739184;0,00396656684540642;0,00180103682502421;0,00345812683776378;0,00179006584744418;1,57926520777879e-05;0,000517246360916513;0,0058343348967718;0,00595115776300861;0,000326570679792576;0,000326570507456999;0,000125393835898944;0,00294023082281321;6,97904338943643e-05;0,00173058716689767;0,000444545756207509;0,000967046307961263;0,00253071020982147;0,00123908134058216;3,81017334301164e-06;0,00046978120446237;1,67587894483158e-05;0,0192869931781611;3,296512681969;0,209591675064874
"classe 2";1,29107770594864;7,97418706869363;-4,48918982726221;-2,57138838730655;0,46918645840038;1,69589452920871;0,66816896891776;0,489402424584219;-0,0777720556157288;-0,304896010856423;0,226936449495259;-0,0989909876241916;0,0298483418305615;0,643933837689367;0,0366417573724784;0,209739410958712;-0,175574443319324;0,281079224860822;-0,0467948171170228;-0,0343543917453215;0,152945026128852;-0,0646277565719583;0,034423486594512;-0,168923648220728;0,0448080831686506;-0,047653933860361;-0,138953275476301;0,0207675915550102;0,131348473815601;0,811258142377589;-0,456710103321133;-0,2616015586852;0,0477329326979244;0,172532727610009;0,0679765237320139;0,0497896147184725;-0,00791218124483238;-0,0310187570538449;0,023087499812749;-0,0100709005244444;0,00303663685563368;0,0655109498282097;0,00372776858172165;0,0213379499943948;-0,0178621589271981;0,0285957437237398;-0,00476069548911073;-0,00349506222888089;0,015559943190988;-0,00657493902399599;0,00350209162993698;-0,0171855367674042;0,00455857405924328;-0,00484809818574702;-0,0141364850321542;0,00211280191967382;0,0217089078542071;0,686679829910318;0,200219269264766;0,0576596092310134;0,00186381435694904;0,0228952161156516;0,00331805869787268;0,00167840167359295;3,8663350961982e-05;0,000524877091057991;0,000276719340472699;5,1916745858663e-05;4,56270378095891e-06;0,00207068977464395;6,57819911149254e-06;0,000203129997145222;0,000141185069425331;0,000353459056056229;9,56202429545721e-06;4,9016908112872e-06;9,5928944410425e-05;1,61054216364193e-05;4,56067937054226e-06;9,67774631342334e-05;6,77007976747002e-06;7,51396555440804e-06;6,16305429863614e-05;1,36075516878426e-06;0,0170756862077492;0,651397730248336;0,206447363913331;0,0677343173343947;0,00225509239175314;0,0294626007048118;0,00457347180615845;0,00245361057501503;6,19613052349704e-05;0,000952306801467363;0,000527572212984169;0,000100384050611414;9,12670096175214e-06;0,00424772014299238;1,37539040697889e-05;0,000450643892532397;0,000315788275647496;0,000809339796773996;2,24320472061069e-05;1,20903237075978e-05;0,000239631616615708;4,2786972953448e-05;1,21390056445344e-05;0,000292317156937348;2,05677191350637e-05;2,3263278344405e-05;0,000197793027900367;4,4182030293967e-06;0,0102440903837001;5,05462612194858;0,261728777398944
"classe 3";3,22754060354641;-1,01638492477825;0,820764377308484;-2,83547989932721;-1,80637351070256;-0,497988123206867;0,291652220855611;0,564606055776492;-0,284381947245617;0,169018912546389;-0,0875986763709849;-0,393224123356643;0,254024230686309;0,256779432976273;0,0122045001712988;0,487853688928592;0,0335369020649754;0,964950111880706;0,364336464295633;-0,104201126815927;0,195116131819707;-0,149347145093318;0,00681157183256046;-0,0126770413476841;-0,11699330561191;-0,0422011405393977;0,0246364209498262;-0,0126324549786599;0,634542806669093;-0,199823897526274;0,161364393377134;-0,557462661072612;-0,355137690944752;-0,0979057493623302;0,0573395788079765;0,111003006716978;-0,0559102242658001;0,0332295541160653;-0,0172221256965336;-0,077308876799427;0,0499418188959524;0,0504834987719835;0,00239943620978153;0,0959132934459357;0,00659344143956328;0,189711680657291;0,071629488525107;-0,0204862102726788;0,0383603347314213;-0,0293620339001779;0,00133917258971484;-0,0024923390237696;-0,0230011856157301;-0,00829685306920142;0,00484358389747493;-0,00248357322862864;0,512949321556929;0,0421789438086999;0,0253049071992359;0,265086312149757;0,10445389660675;0,00746419296757884;0,00239023089110638;0,00844602871811078;0,00195458338197905;0,000609849340970534;0,000155892028878821;0,00309737845897492;0,00124948188419346;0,00124494691906001;2,75925755442001e-06;0,00415519089073921;1,94764533945558e-05;0,01575031194553;0,00219158052338265;0,000170499863666957;0,000590286870815624;0,000325181333310002;6,75168746051012e-07;2,06075784561411e-06;0,00017450219630911;2,22801382091619e-05;7,32506475067081e-06;1,90362352229318e-06;0,387660497397319;0,0384436442161613;0,0250694679813746;0,299199776943553;0,12142922732352;0,00922881817972644;0,00316547359520152;0,0118631271009768;0,00300962348279449;0,00106311127926282;0,0002855638361716;0,00575424601167926;0,00240136628633177;0,00245374027064727;5,54304130988565e-06;0,00885701348950952;4,18556417240457e-05;0,0346511650532221;0,00493984586795453;0,000404066597248193;0,00141675408833716;0,000830045634372902;1,72664399027888e-06;5,98058866299492e-06;0,000509366224015571;6,62760316288622e-05;2,25872496319463e-05;5,93859403598307e-06;0,0372141513496362;2,59950183202687;0,251471270087609
"classe 4";0,0392031270339167;0,00200313743919949;0,735187397234409;-0,794754912129627;-0,00491129943874946;0,834695575483752;-1,19209056665884;-2,42944970490728;1,04994163011739;-2,21214514380133;0,50589501911821;0,663204846396202;-3,25440913721833;0,190467271161743;0,2494201417245;0,098027553948777;-0,847080110884283;-0,409558534301867;0,684357881447356;-0,0987828081263893;0,0802118279693376;-0,129523104253874;-0,197282420967671;-0,0840319707012854;0,301934785900529;-0,330202399926775;-0,0283657978865616;-0,0470592257182755;0,00737969016582812;0,000377075370749723;0,138393429705689;-0,149606560828998;-0,000924514723996891;0,157125086591397;-0,224401972422704;-0,457325408765666;0,197643517461436;-0,416419479725981;0,095230885390805;0,124843262596;-0,612617740537211;0,0358540135507146;0,0469514425584295;0,018452940634815;-0,159456381082894;-0,0770962756441244;0,128825160382096;-0,0185951114831354;0,0150992658707123;-0,0243817381680521;-0,0371369136101394;-0,0158183786528796;0,056836924470434;-0,0621580875771535;-0,00533964547083766;-0,00885854092568155;0,000118729147139276;2,57031094015479e-07;0,0318528837110328;0,032672735496393;1,21139913382672e-06;0,0328992508534759;0,0626487888734642;0,24533652691561;0,0417989492171719;0,163894389735917;0,00815707632809585;0,0138227434637516;0,321742826854922;0,00107462262736888;0,00180800732531503;0,000263204326200546;0,0194938606882261;0,00445139666501521;0,0121311953865227;0,000240395779489683;0,000156508703549616;0,000383717091619318;0,000888544788218051;0,000142057819217032;0,00182343410355384;0,00214000531607194;1,52346030200575e-05;4,14457494001694e-05;5,25960747353645e-05;1,37319878441794e-07;0,018497286419078;0,0216161505163928;8,25476551625269e-07;0,0238433973808569;0,0486329279030588;0,201989009398677;0,0377261272861515;0,167470821731028;0,00875856023517458;0,015052453575413;0,362456769415936;0,00124151689344649;0,00212899654868852;0,000328857874874836;0,0245561842695681;0,00574042271512443;0,0160279677707241;0,000333944772654079;0,000220185513059759;0,0005741249268793;0,00133195235977895;0,000241657907914511;0,00311988234151271;0,00373140479172488;2,75360677993179e-05;7,57881783889909e-05;0,0342225143349274;2,07538024722441;0,147403322248251
"classe 5";-0,451812027161081;-0,60755513452993;-0,377727586170927;-0,0229010947766151;0,0375724380506391;0,0800168274928165;2,75225311581706;-0,203420223296524;-1,02721268029155;-2,0456358761494;-1,51474321514959;1,63769426606804;0,612437839433441;1,23878794151058;0,673746670624033;-0,708604209201427;0,333806879706036;0,0395161296444794;0,0830482631767138;-0,334836174729764;-0,0938986547827786;0,038017193605615;0,361811714957388;0,879110285872391;1,09808891950354;0,264260615296344;-0,349156834936659;-0,0667787166254198;-0,0922823387556075;-0,124092776125702;-0,0771506355937176;-0,00467753503448993;0,00767414820240496;0,0163433895888931;0,562146067626604;-0,0415484600397733;-0,209807581113648;-0,417819915241299;-0,309385403895759;0,334498083171933;0,125090065708232;0,253021702815548;0,137612358140752;-0,144731989734886;0,0681798573303633;0,00807114605840771;0,0169625585305767;-0,0683900902288896;-0,019178744585015;0,00776498926089916;0,0738998283317968;0,179557754834826;0,224284010963871;0,0539750740452248;-0,0713150765881958;-0,0136395132905451;0,0183813865065446;0,0275601973425946;0,00980069375582742;3,16211970776058e-05;8,26380287956863e-05;0,000352402683102785;0,389240197835584;0,00200484778276873;0,0466339883354716;0,163357950903628;0,085239033034024;0,098245187554111;0,0132811403737551;0,0529853690359891;0,0153771967111777;0,0160306418150394;0,00352846828582172;4,83014204330002e-05;0,000208230778720452;0,0032194049694812;0,0002499926101424;3,85321753071027e-05;0,00348348992653247;0,0181221421411252;0,0281115992552652;0,00159759263061564;0,00269047520013652;9,72777108924674e-05;0,00817498739063631;0,0147823304788735;0,00571385115630007;2,10031292264032e-05;5,65340723565741e-05;0,000256409536276336;0,303352976368292;0,00165714217219354;0,0422563771412855;0,167582312750132;0,0918860427182268;0,107408134387987;0,0150208859182108;0,0614561648492759;0,0181787819528297;0,0201084674206543;0,00446233409340603;6,25345918268054e-05;0,000276205692438266;0,00448989577600882;0,000353093934519803;5,78804135268661e-05;0,00524247979695574;0,0309498279577991;0,0482888135250577;0,00279663893733312;0,00488216679150863;0,000178586099962425;0,0400471409468984;1,92231385986375;0,14798582252978
"classe 6";-0,55311141853924;0,457505966117129;1,17766578699998;-0,162971071609765;0,423287219895098;0,331110503839308;-0,25006788849642;1,27661634211296;-0,115595724087214;-0,309742899414922;-0,873094517168559;-0,901401763684214;-0,316071596727368;-0,124368219020027;-0,555922460115528;0,700836790233372;0,916525757168713;-1,03235950968879;-0,444937863414586;-2,93819820598352;0,0462719335773074;-1,99164976615898;-0,769085587520852;0,0647911773464971;0,23843794057626;0,0502074686534531;0,616343037844056;-0,364141024326544;-0,116911486825208;0,0967033059476825;0,248923912120572;-0,0344472915451904;0,0894704693725897;0,0699870225234754;-0,0528569971102172;0,26983914932719;-0,024433536391934;-0,0654705393712285;-0,184546503145228;-0,190529822540103;-0,0668082398555519;-0,0262877838209065;-0,117505658341463;0,148136285785568;0,193726589964788;-0,218210438566992;-0,0940467786653372;-0,621048688085115;0,0097805258967303;-0,420976185976543;-0,162562074329193;0,0136949493769985;0,0503987681576556;0,0106123822674053;0,13027679149893;-0,0769687031240528;0,0353570223067642;0,0200582111095734;0,12227319797194;0,00205529707126645;0,0134616795988659;0,00774480001248265;0,00412424576188019;0,101344851931641;0,000757971886326105;0,00480699947412531;0,0363471820902337;0,0382005994741733;0,00454014808647765;0,000685438662756456;0,013436931065607;0,0201263481494368;0,0341407252885671;0,0423117284590809;0,00767132331422784;0,318171142307882;7,79168645655631e-05;0,135730390928359;0,0202016293062227;0,00012634041386387;0,00170117503613574;7,40159910511167e-05;0,0107602070590153;0,00371248037751305;0,0130837463311196;0,00895159429197545;0,0593131492413761;0,00113586811714401;0,00766261806956794;0,00468870364153351;0,00267437756936899;0,0696991795820863;0,000571466012810005;0,00410307622948428;0,0326008849298958;0,0347491090445861;0,0042724580555367;0,000661493677072652;0,0132170735896045;0,0210058689062323;0,0359249536007479;0,0455794197747449;0,00846653283412236;0,369206250990541;9,15676698408186e-05;0,16964177432846;0,0252962539591424;0,000179530652972161;0,00243140659955783;0,000107806145491117;0,016246202274186;0,0056708229205322;0,0427668109602702;1,69679910381127;0,123131088637149
"classe 7";-0,503206097759064;0,542221750850565;1,40159390816773;-0,149499796113004;0,545384786424698;0,112220335005897;-0,697902403992253;1,6593908786317;0,0563206283712731;-1,15814532518437;-1,73619479155475;-1,09933812908794;-0,264993443591806;1,14638398371905;-1,62334161744817;0,609539890783493;0,453808245609912;-0,784410895993412;0,237634006009228;3,15038863605942;0,128833945307236;0,411372366622398;0,983042712023566;-0,00748888011268284;-0,574608956403891;0,472172314519422;-0,14164400826545;-0,040639556961012;-0,0941385591148532;0,101437511534777;0,262206741068232;-0,0279680541565716;0,102029244450383;0,0209939042628602;-0,13056186522223;0,310434764241497;0,01053632463304;-0,216662978934451;-0,32480305136909;-0,205661473327194;-0,0495743216660304;0,214462696100572;-0,303690757123766;0,114031223581987;0,0848973304306249;-0,146745661134987;0,044455985374625;0,589366957537231;0,024101937616249;0,0769585305622465;0,183905212735648;-0,00140100127230452;-0,107496430292169;0,0883328352751128;-0,0264984126876503;-0,00760274836178048;0,021278251683579;0,0204854855098509;0,125928860613816;0,00125755931574184;0,0162490768430592;0,000646846347743225;0,0233567164450435;0,124500761414686;0,000130827263831968;0,0488642446775704;0,104505426002599;0,0413132794551013;0,00232040104560616;0,0423451527635508;0,0833077127040211;0,0110695299576771;0,00608585886481561;0,0177615062895753;0,00159104496167031;0,265962612483427;0,000439188037324671;0,00421032002985325;0,0239980273900836;1,22726408499359e-06;0,00718351124582604;0,00475974473341516;0,000413205194451155;3,36214619963065e-05;0,00856240133758541;0,00994163146718072;0,0664275434864365;0,000755761893897561;0,0100579582388587;0,000425840449528429;0,0164699840473962;0,0931110420285213;0,000107260242158545;0,0453554945632807;0,101929686388028;0,0408663991234348;0,00237451024451629;0,0444389725831497;0,0891094238005878;0,0125634251219744;0,00696383632765341;0,0208061164698628;0,00190950574193719;0,335607806560135;0,000561260401863756;0,00572234476890975;0,0326774806043259;1,89643318474419e-06;0,0111647389240785;0,00753884523584418;0,000678422442164724;5,58472405833943e-05;0,0338145638329216;1,98991060975793;0,133897024190607
"classe 8";2,53136725454264;-0,706106973163593;-0,638046816095692;2,47409585848765;2,08523010456445;1,68866392624802;-0,0450646129828521;0,215074889242829;-0,0346869161071813;0,102653463005278;-0,00743817447505769;-0,272228429391811;-0,22229024220214;0,595861379681151;0,024876209116476;0,87461950297746;-0,044009283803597;1,23107075970412;0,503246968998311;-0,120013907660457;0,30370402097236;-0,275222205351826;0,0952032451221533;0,0713405425970872;-0,0535314048725487;-0,0496194084358067;0,0304112018147927;-0,0445497244363364;0,517639580333255;-0,144391895961705;-0,130474266633593;0,505928145982588;0,426408943343954;0,345315080037593;-0,00921526787962609;0,0439806887791926;-0,00709313145477196;0,0209916184285193;-0,00152103315186877;-0,0556680227621172;-0,0454561571337396;0,121847761900781;0,00508693885655145;0,178851042518653;-0,00899946349467061;0,251741800906292;0,102909030433569;-0,024541657748013;0,0621044700959674;-0,0562802203516899;0,019468122518753;0,0145884357413698;-0,0109466431246391;-0,010146678524423;0,00621879014852131;-0,00910997826167022;0,377888481756728;0,0243804984188218;0,0183145035579904;0,241707157115029;0,166701617800803;0,102790658518614;6,83443911439526e-05;0,00146778759874576;3,48260198301325e-05;0,000269414813000516;1,34612023345739e-06;0,00177788322093245;0,00114588960746169;0,00802866149891547;1,37291278972498e-05;0,0159945643919593;4,01675091261908e-05;0,0307020785574558;0,00500768263522473;0,000270872344569223;0,00171277439100746;0,00132257712385858;0,000157958667341488;7,81603099348251e-05;4,37540706690387e-05;3,68888381121205e-05;1,33673620467692e-05;2,83542325342585e-05;0,257195783018462;0,0200121859103301;0,0163402470980523;0,245689486466962;0,174526548672731;0,114456373107948;8,15126137609432e-05;0,00185666240594623;4,82930803872395e-05;0,000422961402670139;2,22068137688731e-06;0,0029745445860239;0,00198332700857477;0,0142509561476299;2,48383032974133e-05;0,0307037797974912;7,77395692691731e-05;0,0608302442370348;0,0101651984998391;0,00057811825248856;0,00370215512091914;0,00304032820901702;0,000363795256638216;0,000204280232870859;0,000115019323840411;9,88226948127477e-05;3,71210878180838e-05;7,96605997951875e-05;0,0401377966140108;2,37535745573598;0,226470414711236
"classe 9";0,0849220259157401;0,716380813996098;0,0958305290091187;0,697429763861039;-0,509052193217882;-0,810247143576674;-0,358308680290507;-0,606881412404638;-0,0398733408812575;0,207345419055777;-0,672481246380504;-0,146127369367118;-0,132569052012072;-1,68070503159206;1,01018305639887;-0,0959101637596175;1,70252683158574;0,304311465061013;1,42990381441819;-0,124552890856823;-0,688238068933641;1,1600048305549;1,69449116714231;2,39432323444988;-0,966131843915353;-1,20597540393336;2,46520498589512;-2,45322262437851;0,0140034455138076;0,118129538099869;0,0158022324251902;0,115004553796515;-0,0839415284143572;-0,13360787858561;-0,0590842720421068;-0,100073340223691;-0,00657502162087111;0,0341907796826008;-0,110890601009572;-0,0240960649836452;-0,021860329833748;-0,277144369565957;0,166576847840265;-0,0158153640112257;0,28074273387639;0,0501802562321941;0,235787829356053;-0,0205384834133763;-0,113488864577995;0,191282111622568;0,279417671408938;0,394818359483438;-0,159312904862242;-0,198862552769633;0,406506596234543;-0,404530732554713;0,000627778753462344;0,0370426504290109;0,000609832284763681;0,0283511058157615;0,0146645604420862;0,0349313037885506;0,00637762278020833;0,0172505939350823;6,79282296553913e-05;0,00162246647733671;0,0162414225988075;0,000756157023157047;0,000601587586103764;0,094286226415227;0,0334185263251234;0,000283906900845248;0,0887333363257618;0,00276917854488087;0,0596761357241565;0,000430647290738188;0,0129834180683086;0,034680571292127;0,0738637168029508;0,129954582513235;0,0210371332219224;0,0321648325350213;0,129657367911388;0,126915409984359;0,000190905526986381;0,013585189532282;0,000243100348093187;0,0128759346782064;0,00685965755208133;0,0173785215540969;0,00339854064578431;0,00974957044869084;4,20865242531673e-05;0,00113806403540987;0,0119712131818938;0,000565250482407903;0,000465223999909597;0,0747757555687423;0,0270133203790429;0,000243504546619207;0,0767300956673538;0,00245140145394768;0,0541241961061945;0,000410662865650217;0,01253877739434;0,0356202862378284;0,0760074965104645;0,151755125925231;0,0247087402062023;0,0384994664069564;0,160873268070148;0,159313189354366;0,026471454796818;1,95511668821011;0,101186640005363
"classe 10";-0,612135476466294;-0,991089325850563;-1,2243230264696;-0,649939412621512;0,140397351452321;0,361164681571162;-0,920773547850851;-0,522265087730619;2,6805198845973;-2,00171947176607;0,9027470071968;-0,0692632388516104;2,1128019231107;0,0297504902614689;-1,027973593219;0,166232682537221;1,83267576712597;1,40709827148861;-2,02348628261926;-0,320801960687052;-0,498557081404923;0,393824600606742;-0,0262139046880508;0,028304296464128;-0,867513178990898;-0,116626404208104;0,108530355256102;0,0861708844190842;-0,10682381535509;-0,172955084642755;-0,213656718067662;-0,113420983548727;0,0245007540397181;0,063026880062002;-0,160684272094931;-0,0911405259832499;0,467777758709325;-0,349320239498323;0,157538458914104;-0,0120871338493437;0,368705247765007;0,00519176064873857;-0,179391761356249;0,0290092799192878;0,319820407866838;0,245552842007584;-0,353118767557624;-0,0559831781222883;-0,0870032397328379;0,0687263653797119;-0,00457459079205394;0,00493938524310675;-0,151389800482726;-0,0203524839641288;0,0189396417558205;0,0150376885510832;0,0254937511625414;0,0554131042783629;0,0777978147204363;0,0192436529802622;0,000871836357293899;0,00542454164891849;0,0329171752706336;0,00998506950575185;0,239936231452877;0,118185988558077;0,0228753921599353;0,0001327783207522;0,119427640826846;2,30901221087346e-05;0,0270472910127498;0,00066657992819967;0,0803605457457736;0,0462738792776123;0,0934028858396237;0,00223285666602455;0,00532493314251484;0,00312424477228216;1,38162025866437e-05;1,4193957132362e-05;0,0132567982757807;0,000235109884006742;0,000196411221788857;0,000122386709126715;0,0110740800348887;0,0290294064221984;0,0443000884477339;0,0124841306589024;0,000582546219623635;0,00385498867002643;0,0250563742278196;0,00806110445138366;0,212349197802616;0,118418344630153;0,02408489031434;0,000141781037511154;0,131925918093864;2,61577757342037e-05;0,0312303229539173;0,00081666771039029;0,0992621854702451;0,0585142196019447;0,121007722586329;0,00304149135296277;0,00734585474918681;0,00458372168982503;2,03084131606748e-05;2,36764882401773e-05;0,022241533143772;0,000401981743732289;0,000348108804198908;0,0002194490266601;0,0295537474786393;2,21149683321927;0,14453905195281
