"";"X.rts_a";"X.rts_i"
"vivant";0,7;0,39
"prendre";4,09;2,89
"souhaiter";0,82;0,39
"fin";3,27;3,09
"année";13,08;7,16
"fromage";1,05;0,26
"souvenir";3,97;0,07
"cours";1,28;1,18
"enfant";4,79;3,35
"plaisir";2,1;0,13
"cadeau";1,17;0,39
"noël";3,39;2,76
"partie";0,82;2,04
"tradition";0,82;0,46
"arriver";0,93;0,85
"père";1,05;0,46
"retour";2,1;1,64
"aller";5,02;2,56
"passer";4,67;2,23
"réponse";2,45;0,66
"classe";1,17;0,07
"suisse";32,46;21,94
"romand";4,79;1,18
"heure";5,02;2,36
"soigner";0,82;0,26
"idée";1,05;0,26
"masculin";1,05;0,07
"émission";14,59;1,31
"oeil";1,28;0,13
"trouver";3,27;0,59
"sapin";0,93;0,13
"bonheur";1,4;0,33
"proche";0,23;1,18
"emji_sapin_de_noël";0,12;0,92
"partir";3,5;2,17
"recherche";0,58;1,25
"musical";0,93;0,59
"rts";8,64;2,3
"compagnie";1,17;0,46
"retrouver";12,26;0,85
"version";0,58;0,53
"long";1,4;0,72
"lien";5,25;0,39
"bio";5,6;0
"archive";9,92;0,07
"beauté";0,82;0,26
"espace";0,35;1,05
"saison";1,63;1,64
"officiellement";0,58;0,72
"lancer";2,57;2,3
"fêter";1,75;0,26
"proposer";2,57;1,58
"meilleur";2,22;0,72
"pire";0,93;0,26
"recette";1,4;0,26
"atteindre";0,82;2,56
"près_de";1,05;3,02
"km";0,35;0,99
"h";0,35;0,66
"piste";1,75;0,53
"kilomètre";0,7;0,46
"budget";0,23;1,12
"chat";1,52;0,79
"devenir";2,8;2,63
"véritable";1,05;0,2
"emji_notes_de_musique";0,47;0,99
"danse";2,45;0,33
"créer";1,28;1,84
"grand";7,01;4,2
"succès";1,05;1,25
"international";1,28;1,97
"initialement";0,12;0,79
"station";0,82;0,99
"chanson";1,52;0,66
"monde";6,07;4,14
"pays";2,8;3,74
"commencer";1,75;0,85
"transformer";0,23;0,72
"connaître";2,92;2,23
"traverser";0,35;0,53
"décennie";0,82;0,59
"continuer";0,47;0,72
"séduire";0,35;0,59
"jeune";9,11;3,15
"public";3,04;3,42
"notamment";0,7;3,61
"streaming";0,12;0,59
"rester";1,75;2,63
"incontournable";0,93;0,2
"fête";5,6;0,72
"populaire";0,35;0,79
"dernier";1,75;4,27
"nouveau";1,87;4,01
"âgé";1,17;1,18
"profiter";1,28;0,39
"retraite";1,17;0,72
"oeuvre";0,7;0,79
"base";0,47;0,59
"découvrir";3,04;1,12
"emji_skieur";0,12;0,85
"emji_drapeau_suisse";0,82;20,04
"décembre";1,05;3,74
"chute";0,35;0,92
"val";1,17;0,33
"arrêter";1,17;0,66
"carrière";1,4;0,72
"raconter";3,27;0,33
"histoire";2,69;1,12
"image";1,28;0,72
"penser";0,93;0,46
"garçon";1,17;0,2
"rue";2,69;0,46
"cheveu";0,93;0,13
"réaction";0,82;0,66
"mai";0,7;0,46
"légende";0,82;0,46
"jurer";0,47;1,12
"amour";4,32;0,33
"raison";0,58;1,51
"semaine";1,4;2,5
"énergie";0,7;0,33
"repos";1,05;0,07
"léman";0,82;0,72
"course";1,75;0,85
"beau";4,44;0,66
"rassembler";1,28;0,2
"vieux";1,4;0,39
"ville";2,22;2,76
"genève";5,84;5,85
"fribourg";1,4;1,05
"vaud";0,82;1,05
"neuchâtel";0,7;1,18
"valoir";2,1;0,99
"question";3,97;0,85
"assurer";0,35;0,79
"ski";3,04;1,18
"train";1,4;1,51
"cff";0,47;1,18
"introduire";0,23;0,53
"interdiction";0,58;0,46
"finir";1,05;0,26
"cigarette";0,7;0,39
"vraiment";1,4;0,46
"cuisine";1,4;0
"partager";2,34;1,05
"secret";2,34;0,2
"nombreux";3,27;1,58
"fan";1,4;0,72
"travers";0,93;0,72
"journal";1,17;0,33
"livre";0,82;0,53
"rencontrer";1,05;0,33
"complet";2,1;0,2
"drôle";1,4;0
"métier";2,34;0,13
"avis";2,1;0,33
"attendre";1,4;1,64
"transport";0,82;0,72
"adapter";0,47;0,66
"tv";1,05;0,07
"emji_ballon_de_football";0,58;2,3
"novembre";0,82;4,27
"affronter";0,7;0,26
"match";1,4;0,79
"mondial";1,28;3,22
"nati";0,7;0,39
"arrivée";0,58;0,72
"équipe";1,98;1,77
"garder";0,7;0,72
"époque";1,28;0,2
"conseil";1,75;4,34
"sécurité";0,7;1,77
"onu";0,12;0,59
"voter";0,47;0,79
"lundi";1,4;2,96
"plan";0,23;1,64
"paix";0,7;0,99
"donald";0,12;1,91
"trump";0,12;2,17
"gaza";0,23;2,63
"prévoir";0,47;2,63
"mot";2,1;0,26
"manifestation";0,23;1,51
"récent";0,23;0,53
"cessez_le_feu";0,12;1,31
"guerre";0,93;1,38
"terme";0,47;0,66
"signe";0,7;0,26
"mouvement";0,7;0,66
"lausannois";1,75;0,13
"salle";1,17;0
"eau";2,22;0,99
"rendre";1,52;1,97
"veille";0,7;0,26
"bain";0,93;0,53
"st";0,58;0,53
"marier";1,05;0,33
"salon";1,05;0,07
"mariage";0,93;0,13
"union";0,35;0,66
"association";0,35;1,38
"dénoncer";0,47;0,72
"voiture";2,8;0,66
"obligatoire";0,93;0,46
"société";1,17;0,79
"tuer";0,35;1,25
"petit";13,78;1,05
"feu";1,4;1,12
"liberté";1,4;0,66
"bientôt";0,47;0,53
"interdire";0,58;0,85
"individu";0,23;0,59
"sortir";1,63;1,31
"parent";1,28;0,72
"soirée";1,52;0,39
"vivre";2,92;0,46
"rencontre";4,32;1,18
"suivre";3,39;1,38
"temps";6,07;1,31
"projection";1,4;0,2
"inviter";1,4;0,53
"plonger";0,7;0,46
"programme";1,28;0,66
"regard";1,28;0,2
"événement";1,63;0,99
"quotidien";1,52;0,72
