"";"banalfreq";"X.rts_a";"X.rts_i"
"vivant";12;0,6283;-0,6283
"prendre";79;1,103;-1,103
"souhaiter";13;0,8332;-0,8332
"fin";75;0,3486;-0,3486
"fromage";13;1,8131;-1,8131
"cours";29;0,3154;-0,3154
"enfant";92;1,2541;-1,2541
"cadeau";16;1,5527;-1,5527
"noël";71;0,6344;-0,6344
"partie";38;-1,824;1,824
"tradition";14;0,6862;-0,6862
"arriver";21;0,2989;-0,2989
"père";16;1,1017;-1,1017
"retour";43;0,5885;-0,5885
"soigner";11;1,2354;-1,2354
"idée";13;1,8131;-1,8131
"emji_sapin_de_noël";15;-1,9336;1,9336
"partir";63;1,4169;-1,4169
"recherche";24;-1,0594;1,0594
"musical";17;0,6206;-0,6206
"compagnie";17;1,3334;-1,3334
"version";13;0,2755;-0,2755
"long";23;1,0812;-1,0812
"beauté";11;1,2354;-1,2354
"espace";19;-1,3066;1,3066
"saison";39;-0,2467;0,2467
"officiellement";16;-0,341;0,341
"lancer";57;0,4098;-0,4098
"proposer";46;1,1785;-1,1785
"pire";12;1,5175;-1,5175
"km";18;-1,1784;1,1784
"h";13;-0,5963;0,5963
"kilomètre";13;0,507;-0,507
"budget";19;-1,8658;1,8658
"chat";25;1,128;-1,128
"devenir";64;0,3488;-0,3488
"emji_notes_de_musique";19;-0,8865;0,8865
"créer";39;-0,7003;0,7003
"succès";28;-0,3803;0,3803
"international";41;-0,8432;0,8432
"initialement";13;-1,6008;1,6008
"station";22;-0,3624;0,3624
"chanson";23;1,4477;-1,4477
"monde";115;1,5867;-1,5867
"pays";81;-0,8563;0,8563
"commencer";28;1,3653;-1,3653
"transformer";13;-1,0018;1,0018
"connaître";59;0,7269;-0,7269
"traverser";11;-0,4002;0,4002
"décennie";16;0,4648;-0,4648
"continuer";15;-0,4921;0,4921
"séduire";12;-0,495;0,495
"public";78;-0,4464;0,4464
"streaming";10;-1,1175;1,1175
"rester";55;-0,952;0,952
"incontournable";11;1,831;-1,831
"populaire";15;-0,8157;0,8157
"âgé";28;-0,2423;0,2423
"profiter";17;1,82;-1,82
"retraite";21;0,7264;-0,7264
"oeuvre";18;-0,2898;0,2898
"base";13;-0,3282;0,3282
"emji_skieur";14;-1,7664;1,7664
"chute";17;-1,0536;1,0536
"val";15;1,8114;-1,8114
"arrêter";20;0,8464;-0,8464
"carrière";23;1,0812;-1,0812
"image";22;0,8968;-0,8968
"penser";15;0,8852;-0,8852
"réaction";17;0,3816;-0,3816
"mai";13;0,507;-0,507
"légende";14;0,6862;-0,6862
"jurer";21;-1,1097;1,1097
"raison";28;-1,5093;1,5093
"semaine";50;-1,3077;1,3077
"énergie";11;0,7794;-0,7794
"léman";18;0,3125;-0,3125
"course";28;1,3653;-1,3653
"ville";61;-0,5888;0,5888
"genève";139;-0,2715;0,2715
"fribourg";28;0,5464;-0,5464
"vaud";23;-0,4265;0,4265
"neuchâtel";24;-0,7394;0,7394
"valoir";33;1,647;-1,647
"assurer";15;-0,8157;0,8157
"train";35;-0,3077;0,3077
"cff";22;-1,2265;1,2265
"introduire";10;-0,6191;0,6191
"interdiction";12;0,3506;-0,3506
"finir";13;1,8131;-1,8131
"cigarette";12;0,6283;-0,6283
"vraiment";19;1,8356;-1,8356
"partager";36;1,8891;-1,8891
"fan";23;1,0812;-1,0812
"travers";19;0,4328;-0,4328
"journal";15;1,8114;-1,8114
"livre";15;0,565;-0,565
"rencontrer";14;1,5315;-1,5315
"attendre";37;-0,4034;0,4034
"transport";18;0,3125;-0,3125
"adapter";14;-0,4069;0,4069
"affronter";10;0,9696;-0,9696
"match";24;0,9461;-0,9461
"nati";12;0,6283;-0,6283
"arrivée";16;-0,341;0,341
"équipe";44;0,3843;-0,3843
"garder";17;-0,2331;0,2331
"sécurité";33;-1,6681;1,6681
"onu";10;-1,1175;1,1175
"voter";16;-0,5832;0,5832
"lundi";57;-1,9551;1,9551
"paix";21;-0,4931;0,4931
"récent";10;-0,6191;0,6191
"guerre";29;-0,6403;0,6403
"terme";14;-0,4069;0,4069
"signe";10;0,9696;-0,9696
"mouvement";16;0,2644;-0,2644
"eau";34;1,8517;-1,8517
"rendre";43;-0,5727;0,5727
"veille";10;0,9696;-0,9696
"bain";16;0,7414;-0,7414
"st";13;0,2755;-0,2755
"marier";14;1,5315;-1,5315
"union";13;-0,5963;0,5963
"association";24;-1,9888;1,9888
"dénoncer";15;-0,4921;0,4921
"obligatoire";15;0,8852;-0,8852
"société";22;0,6224;-0,6224
"tuer";22;-1,7086;1,7086
"feu";29;0,4739;-0,4739
"liberté";22;1,2345;-1,2345
"bientôt";12;-0,2565;0,2565
"interdire";18;-0,4919;0,4919
"individu";11;-0,7416;0,7416
"sortir";34;0,4923;-0,4923
"parent";22;0,8968;-0,8968
"inviter";20;1,6077;-1,6077
"plonger";13;0,507;-0,507
"programme";21;1,0336;-1,0336
"événement";29;0,9235;-0,9235
"quotidien";24;1,2783;-1,2783
"personnalité";10;-0,3128;0,3128
"actuel";14;-0,7034;0,7034
"inédit";15;-1,9336;1,9336
"théâtre";10;-0,3128;0,3128
"inscrire";14;-0,4069;0,4069
"seul";24;0,9461;-0,9461
"montrer";28;-0,8115;0,8115
"ouvrier";11;0,4458;-0,4458
"exprimer";18;0,3125;-0,3125
"époux";12;0,3506;-0,3506
"jour";101;-0,3641;0,3641
"réaliser";19;-0,3523;0,3523
"moment";23;1,0812;-1,0812
"emji_feu";13;-1,0018;1,0018
"dossier";16;0,2644;-0,2644
"ordre";12;0,3506;-0,3506
"occuper";15;1,8114;-1,8114
"commun";22;0,4075;-0,4075
"apprendre";16;1,1017;-1,1017
"poser";11;0,7794;-0,7794
"mort";51;-1,3944;1,3944
"médecin";15;0,565;-0,565
"mettre";82;-1,7761;1,7761
"compter";12;0,3506;-0,3506
"spécial";22;1,2345;-1,2345
"solution";17;0,9358;-0,9358
"froid";25;1,4871;-1,4871
"règle";15;0,3292;-0,3292
"manquer";25;1,128;-1,128
"logement";10;-0,3128;0,3128
"développer";10;0,2896;-0,2896
"appeler";26;1,7066;-1,7066
"sensible";10;1,5152;-1,5152
"maison";25;1,9071;-1,9071
"entier";13;1,2646;-1,2646
"compte";30;1,0888;-1,0888
"soir";36;-0,7044;0,7044
