"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,31093075530599;13,4332741856754;13,4332741856754
"facteur 2";0,280935312646304;12,1373682687078;25,5706424543832
"facteur 3";0,272572355462784;11,7760598586126;37,3467023129958
"facteur 4";0,219592927942492;9,48716702979026;46,8338693427861
"facteur 5";0,210350827650746;9,08787662460548;55,9217459673915
"facteur 6";0,196533320179094;8,49091294937606;64,4126589167676
"facteur 7";0,17573593650861;7,59239470239417;72,0050536191618
"facteur 8";0,15857796226948;6,85111141506493;78,8561650342267
"facteur 9";0,148092467947822;6,39810212668954;85,2542671609162
"facteur 10";0,134019453706646;5,79009968339768;91,0443668443139
"facteur 11";0,114876454878342;4,96305653115756;96,0074233754715
"facteur 12";0,0924134241825774;3,99257662452852;100
