peu;102;19;7;14;58;27;35;29;146;69;57;127;119
parce_que;119;5;12;11;64;39;47;30;116;45;62;121;126
an;138;15;9;21;51;21;73;11;80;61;27;119;143
leurs;167;12;3;16;39;22;63;17;65;49;54;167;86
merci;136;135;2;8;24;23;27;15;103;102;19;78;102
sa;130;42;7;7;42;33;32;24;95;58;56;123;122
nos;75;21;1;20;72;21;79;14;72;32;57;170;107
trop;55;50;14;31;47;21;67;13;94;47;34;111;142
après;127;10;6;20;37;24;50;18;79;64;44;106;162
notre;96;26;5;8;93;17;36;14;95;37;49;153;85
beaucoup;61;15;12;24;63;32;61;12;88;70;49;154;85
autre;122;11;10;21;36;32;39;17;96;57;44;112;129
ceux;124;8;2;18;40;10;38;18;84;54;62;130;102
toi;89;35;5;5;11;25;23;21;114;69;30;64;177
ses;133;25;8;6;45;30;40;28;106;57;38;133;68
depuis;222;10;9;23;57;12;45;15;70;32;20;94;77
avant;122;11;5;14;37;29;42;13;113;73;23;106;99
mieux;55;21;10;11;36;12;38;14;67;59;39;113;164
eux;127;25;4;11;25;21;34;13;69;30;59;114;108
te;73;24;4;6;10;18;29;9;100;77;22;67;108
croire;123;15;1;11;36;29;11;15;79;67;38;71;100
entre;105;15;14;31;35;40;44;21;47;40;41;113;57
2;117;17;17;21;34;22;53;6;44;38;36;81;86
m;53;15;5;15;29;22;33;14;73;80;14;69;153
ton;61;11;2;3;13;22;35;15;111;92;26;54;102
surtout;71;13;8;22;47;19;33;22;73;42;44;99;79
toute;102;27;4;12;28;7;39;19;62;32;43;108;90
comment;95;7;4;3;30;17;23;10;79;61;34;86;77
ni;105;1;1;12;26;7;13;10;34;32;19;50;41
chez;60;20;2;6;38;14;48;10;53;18;18;88;136
vos;80;11;1;5;24;19;27;13;64;86;29;74;52
1;46;17;24;10;44;8;41;4;37;37;63;58;75
quel;90;33;9;6;16;15;22;14;76;48;27;65;80
mal;62;10;4;7;24;23;28;14;84;43;22;60;97
deux;99;11;10;19;33;21;33;13;45;36;17;68;60
toutes;96;33;5;18;34;23;33;9;47;32;24;87;43
aucun;111;6;3;5;37;20;27;15;45;52;28;73;40
bravo;73;162;3;2;10;14;13;9;49;25;14;30;43
elles;58;3;10;1;31;52;32;4;41;18;21;87;38
tant;78;14;4;10;41;22;19;9;59;32;27;76;50
chaque;55;4;10;17;52;16;53;8;33;34;20;80;60
quelle;77;42;5;5;11;11;24;12;51;32;23;55;84
ici;61;10;7;3;30;19;15;19;59;32;35;78;70
lui;67;24;1;2;18;14;17;7;64;31;21;51;85
sous;114;5;6;10;24;9;28;9;40;34;17;65;56
million;57;0;0;3;29;1;28;2;14;3;114;60;33
certains;68;8;2;10;35;12;29;12;60;29;16;77;40
ah;74;15;2;4;9;19;18;21;44;32;17;33;104
ma;18;18;3;10;15;19;16;12;53;63;14;63;84
aucune;86;2;2;5;16;12;13;10;56;47;18;70;37
3;36;7;15;15;17;17;37;4;40;19;26;62;63
point;47;5;13;6;37;14;19;10;61;50;15;59;35
maintenant;88;12;6;13;18;10;21;8;38;29;23;44;64
mes;17;45;0;3;22;9;27;6;45;40;10;50;57
autant;43;4;8;7;33;12;22;8;38;26;31;61;47
ailleurs;72;3;2;10;24;16;11;11;28;29;29;62;48
assez;27;6;6;9;23;13;38;9;47;20;35;58;48
pendant;69;3;2;5;17;15;37;2;25;6;34;58;54
ta;33;11;2;3;7;14;16;8;49;49;23;32;58
50;26;0;6;9;14;8;26;4;14;7;120;29;21
dont;76;1;4;4;24;14;10;6;40;25;16;60;29
plein;32;14;4;16;25;9;15;4;37;16;9;60;62
5;40;17;18;10;22;5;25;2;16;10;18;37;64
4;19;15;16;4;11;7;21;2;20;17;16;52;57
peut_être;37;5;4;8;10;8;18;8;43;33;12;63;49
souvent;25;0;4;21;24;15;18;10;44;31;20;63;22
enfin;52;42;2;8;16;10;13;8;32;16;15;29;53
10;44;3;18;8;17;4;30;1;18;15;24;49;53
aujourd_hui;64;5;1;5;20;9;14;10;33;16;16;63;29
bah;38;8;2;5;8;11;15;12;31;21;17;39;70
cet;47;7;2;3;14;5;17;2;33;31;39;40;30
force;71;19;0;6;14;6;11;5;27;25;6;45;27
pourtant;48;4;3;10;22;14;16;7;25;14;15;48;38
000;64;2;1;10;3;2;36;1;7;7;32;23;12
tes;24;7;0;2;13;9;17;8;42;34;18;23;35
quelques;32;5;1;9;22;2;25;4;34;15;17;43;30
plusieurs;42;2;1;4;16;9;13;7;24;21;20;41;30
quelque;33;2;2;4;17;7;2;1;75;13;10;33;33
selon;43;2;5;8;16;6;24;8;16;9;24;47;17
mêmes;34;0;4;3;19;9;17;2;28;19;10;41;25
voilà;43;6;1;1;9;8;6;6;33;17;9;25;43
sinon;37;5;1;3;7;8;11;7;23;30;13;35;38
fort;34;13;5;4;12;8;10;6;17;14;11;36;39
100;22;2;6;8;12;12;33;2;16;13;27;33;21
20;39;7;4;9;8;5;23;4;10;15;15;30;32
ben;37;5;0;12;16;9;12;6;24;8;8;13;53
loin;26;4;5;8;11;8;12;4;24;16;5;34;45
combien;25;4;2;6;6;8;27;2;18;9;24;36;26
7;97;5;8;3;7;3;14;0;10;5;9;18;25
quelqu_un;18;4;0;2;4;9;9;5;32;25;14;33;42
6;14;22;18;0;9;4;21;3;12;8;7;15;39
sauf;37;1;2;6;10;11;18;3;19;14;11;34;31
puis;32;3;2;8;18;4;13;8;20;15;10;33;23
ensuite;30;0;2;7;15;11;14;2;16;18;19;29;32
partout;41;2;1;9;15;10;12;7;19;11;14;21;25
ok;20;3;1;3;11;7;6;3;18;15;12;32;34
