"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"exemple";-14,499;-11,526;-13,588;0,551;-0,034;5,207;46,146
"beau";-47,858;105,349;3,255;-0,004;7,947;-1,137;-8,472
"paix";776,364;2,078;-30,35;-4,969;-55,023;-11,509;-107,122
"coup";-2,463;-15,272;17,206;10,239;-0,005;2,571;-3,944
"emji_coeur_rouge";-5,938;3050,695;-29,964;-6,872;-77,618;-4,595;-90,897
"entreprise";-47,295;-19,421;-56,912;-15,838;-122,508;-4,351;761,309
"droite";-13,952;-12,607;-24,568;-3,94;270,566;-0,91;-42,195
"genre";-26,048;-8,854;-5,58;24,917;157,692;-0,611;-47,423
"aimer";-20,548;1,745;1,615;0,621;61,494;-2,603;-29,274
"gaza";1440,816;-20,323;-53,33;-16,573;-104,726;-11,631;-120,874
"compte";-6,963;-16,136;-21,633;-0,175;61,423;-6,141;1,19
"lire";-20,887;-7,8;-10,615;0,459;258,657;-6,001;-59,885
"ca";-9,093;-4,963;8,955;-0,07;50,264;-2,117;-26,833
"violence";37,72;-16,931;-37,266;203,082;4,945;-8,892;-33,946
"social";-47,675;-17,935;-40,403;0,155;-0,927;-9,462;221,414
"société";-38,6;-15,926;-31,503;10,74;8,789;-6,029;66,183
"tellement";-30,278;10,112;32,427;-0,009;34,926;-0,811;-47,724
"manifester";824,159;-11,699;-27,877;-11,779;-65,602;-11,024;-59,401
"permettre";-7,434;-15,665;-39,41;-5,904;-2,506;3,657;123,926
"niveau";-36,509;-8,328;-16,386;0,294;14,696;-0,835;35,738
"importer";-7,399;-10,151;-10,344;0;115,384;-0,676;-16,821
"famille";-0,026;49,551;-16,711;0,95;-5,311;-7,519;8,204
"système";-58,229;-15,142;-32,465;-5,543;-28,8;-1,237;388,714
"article";-8,467;-9,615;-23,343;-2,205;143,521;-1,105;-10,285
"rts";0,338;-6,055;-6,877;-11,822;209,315;-7,285;-85,575
"salaire";-72,614;-18,255;-44,575;-6,224;-116,352;-10,448;769,079
"exister";1,867;-9,713;-23,638;6,38;1,931;-2,89;5,31
"idée";-46,473;-3,836;-3,393;-1,065;95,761;-4,247;-0,168
"aider";-8,467;-14,724;-13,147;-3,077;0,755;-8,742;67,206
"loi";30,866;-12,542;-28,434;-2,022;0,267;-0,993;2,799
"armée";109,711;-14,567;-20,096;64,111;-19,081;-8,652;-2,466
"public";-0,868;-16,615;-29,373;-6,526;-14,676;9,552;117,93
"moyen";1,088;-18,361;-26,835;-6,299;-32,383;-0,993;155,517
"sûr";-8,93;-8,014;0,043;-2,126;58,066;0,061;-11,288
"commencer";3,999;-7,643;-3,635;1,821;15,179;-1,658;-8,347
"tuer";456,656;-10,449;-30,493;15,037;-32,779;-3,635;-56,31
"regarder";-16,959;-7,689;-0,06;0,059;34,746;1,642;-2,168
