"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
"emji_visage_riant_aux_larmes";1;1;1;1;1;1;1;1;1;1;1;1;0
"aller";1;1;1;1;1;1;0,293;1;1;1;0,003;1;0
"suisse";1;1;1;1;1;1;0,978;1;1;1;0;0;1
"voir";1;1;1;1;1;0,432;1;1;0;0;1;1;1
"parler";0,006;1;0,233;1;0,158;0,004;1;0,183;0;0;0,069;1;1
"pays";0;1;0;1;1;1;1;1;1;1;0;0;1
"gens";1;1;1;1;1;1;1;0,234;0;1;0;0;1
"monde";1;1;0;1;1;0,837;1;1;0;1;0,331;0;1
"prendre";1;1;1;0,001;1;0,669;0;1;0,82;0,291;0,105;0;1
"enfant";0;1;1;1;1;0;0,006;1;1;1;0,333;0;1
"mettre";1;1;1;0,17;0,794;0,577;1;1;0;1;1;0;1
"payer";1;1;1;1;1;1;0;1;1;1;0;0;1
"femme";1;1;1;1;1;0;1;1;1;1;1;0,032;1
"penser";1;1;1;1;1;0,673;1;1;0;0,37;0,359;1;1
"comprendre";1;1;1;1;1;0,087;1;1;0;0;0,847;1;1
"passer";1;1;0,781;0,003;1;1;1;1;0;1;1;1;0,001
"problème";1;1;1;1;0;0,129;0,783;1;1;0,542;1;0;1
"chose";1;1;1;1;1;1;1;1;0;1;1;1;1
"emji_applaudissements";1;0;1;1;1;1;1;1;1;1;1;1;1
"temps";1;1;1;0,939;1;1;0,739;1;0;1;1;0;1
"droit";0;1;1;1;1;0;1;1;1;1;1;0,624;1
"vraiment";1;1;1;1;1;1;1;1;0;0,886;1;1;0,18
"arrêter";0;1;1;0,949;0,483;1;1;1;0,233;1;1;1;1
"rester";1;1;1;1;1;0,198;1;1;0,173;1;0,036;0;1
"vie";1;1;1;1;1;1;0,001;1;0,277;1;0;0;1
"police";0;1;1;0,971;1;1;1;1;0,015;1;1;0,965;1
"donner";1;1;1;1;1;0,94;1;1;0;0;0,555;0,251;1
"vrai";1;1;1;1;0,148;1;1;0,025;0;0,503;1;0,044;1
"grand";1;0,515;1;1;0,002;1;1;1;1;1;0;0;1
"venir";1;1;1;1;0,998;1;1;1;1;0,868;1;0,6;0
"travail";1;1;1;1;1;1;0,157;1;1;1;0;0;1
"homme";1;1;1;1;1;0;1;1;1;1;1;0,926;1
"jour";1;1;1;1;0,001;1;1;1;1;1;1;0;0
"trouver";1;1;1;1;1;0,464;1;1;0;0,12;1;0;1
"état";0;1;1;1;1;1;0,057;1;1;1;0;0,004;1
"vivre";1;1;1;1;1;1;1;1;0;1;0,196;0;0,442
"commentaire";1;1;1;1;1;0,034;1;0,01;0;0;1;1;1
"fois";1;1;0,583;1;1;1;1;1;0,001;0,035;0,333;0,03;0,063
"demander";0;1;1;1;1;0,136;0,433;1;0,619;1;1;0,003;1
"emji_visage_qui_pleure";1;0;1;1;1;1;0,201;1;1;1;1;1;1
"année";1;1;1;1;0,391;1;0;1;1;1;0,024;0,001;1
"cas";1;1;0,309;1;0,614;0,001;1;1;0,298;0,567;0,244;0;1
"seul";0,316;1;0,005;1;1;0,022;0,749;0,976;1;1;0,624;0;1
"riche";1;1;1;1;1;1;0,769;1;1;1;0;1;1
"palestinien";0;1;1;1;1;1;1;1;1;1;1;1;1
"israël";0;1;1;1;1;1;1;1;1;1;1;1;1
"emji_se_rouler_par_terre_de_rire";1;1;1;1;1;1;1;1;1;1;1;1;0
"question";1;1;1;1;0,767;0,876;1;0,737;1;0;1;1;1
"france";1;1;0,965;0,099;1;1;1;1;1;1;0;0;0
"petit";1;1;1;0,981;0,477;1;1;1;0;1;0,021;0,021;0,188
"guerre";0;1;1;1;1;1;1;1;1;1;1;1;1
"argent";1;1;1;1;1;1;0;1;1;1;0;0;1
"politique";1;1;1;1;1;1;1;0;0,675;0,237;0,426;0;1
"laisser";1;1;1;0,339;0,863;0,173;1;1;0,396;1;0,165;1;0
"sentir";1;1;1;0,465;1;0,002;1;1;0;0,567;1;0,052;1
"accord";0;1;0,939;1;1;0,848;1;0,43;0,644;0,899;0,685;0,026;1
"partir";1;1;1;1;1;1;1;0;0,286;1;0;1;1
"devenir";1;1;1;0,873;0,22;1;1;0,027;1;1;0;0;0,611
"besoin";1;1;1;1;0,253;0,59;0,382;1;0,116;1;0,016;0;1
"place";1;1;0;0;1;0,118;0,311;1;0,074;1;1;0;1
"hamas";0;1;1;1;1;1;1;1;1;1;1;1;1
"travailler";1;1;1;1;1;1;0,578;1;1;1;0;0;1
"français";1;1;1;0,613;1;1;1;1;0,666;1;1;0,002;0
"connaître";1;1;1;1;1;1;1;0,705;0;0;1;1;1
"peuple";0;1;1;1;1;1;1;0,005;1;1;0,739;1;1
"changer";1;1;1;1;0;1;0,181;1;0;1;1;1;1
"continuer";0;1;1;1;0;1;1;1;1;1;0,791;0,783;1
"raison";1;1;1;1;0,697;1;1;1;0;1;1;0,003;1
"manifestation";0;1;1;1;1;1;1;1;1;1;1;1;1
"etc";1;1;0,939;0;0,001;1;0;1;1;1;1;0;1
"arriver";1;1;1;1;1;1;1;1;0;0,354;0,009;0;1
"humain";0,075;1;1;1;0,001;1;1;1;0;1;1;0;1
"palestine";0;1;1;1;1;1;1;1;1;1;1;1;1
"plutôt";1;1;1;1;1;0,33;1;0,925;0,055;0,001;1;0;1
"utiliser";0,088;1;1;0,055;0;0,747;0,44;0,399;1;0,637;1;0,011;1
"rendre";0,024;1;1;1;1;1;1;1;0;1;0,603;0;1
"sujet";1;1;1;1;1;0,35;1;1;0,199;0;1;1;1
"gauche";1;1;1;0,184;1;1;1;0;1;1;1;1;1
"population";0;1;1;1;0,975;0,962;0,897;1;1;1;0;0;1
"cause";0,001;1;1;0,003;0,161;1;1;0;0,958;1;1;0,034;1
"part";1;1;1;0,966;1;1;1;1;0,404;1;0;0;1
"moment";1;1;0,978;1;1;1;0,887;1;0;1;1;1;1
"impôt";1;1;1;1;1;1;0;1;1;1;0;1;1
"exemple";1;1;0,566;0,016;0,38;0,299;1;1;1;0,473;0,009;0;1
"beau";1;0;1;1;1;1;1;1;0,008;0,774;1;0,853;0,019
"paix";0;0,135;1;1;1;1;1;1;1;1;1;1;1
"coup";1;1;1;0,082;1;0,001;1;0,026;1;1;1;1;0
"emji_coeur_rouge";1;0;1;1;1;1;1;1;1;1;1;1;1
"entreprise";1;1;1;1;0,007;1;0,592;1;1;1;0;0;1
"droite";1;1;1;1;1;1;1;0;1;1;1;1;1
"genre";1;1;1;1;1;0;1;0,106;0;0,001;1;1;1
"aimer";1;0,174;1;1;1;0,776;1;1;0;1;1;1;0,003
"gaza";0;1;1;1;1;1;1;1;1;1;1;1;1
"compte";1;1;1;1;1;1;0,003;0,854;0;0,706;0,089;0,58;1
"lire";1;1;1;1;1;0,014;1;1;0,009;0;1;1;1
"ca";1;1;1;1;1;0,401;1;0,962;0,001;1;1;1;0
"violence";0;1;1;1;1;0;1;0,017;0,132;1;1;0,017;1
"social";1;1;1;1;1;1;0,002;1;1;1;0;0;1
"société";1;1;1;1;1;0,003;1;0,002;0,024;1;0;0;1
"tellement";1;0,001;1;1;1;0,189;1;0,357;0;0,719;1;1;0
"manifester";0;1;1;1;1;1;1;1;1;1;1;1;1
"permettre";1;1;1;0,048;0,237;1;1;0,799;1;1;0,003;0;1
"niveau";1;1;0;1;0,112;1;1;1;0,102;0,352;1;0;1
"importer";1;1;0,088;1;0,42;1;1;0,347;0;1;1;1;1
"famille";1;0;1;1;1;0,45;0,495;1;0,943;1;0,336;0;1
"système";1;1;0,761;1;0,003;1;0;1;1;1;0;0;1
"article";1;1;1;1;1;1;1;0,891;1;0;1;1;1
"rts";0,469;1;1;1;1;1;1;0;1;0;1;1;1
"salaire";1;1;1;1;1;1;0;1;1;1;0;0;1
"exister";0,183;1;1;1;0;0,001;1;0,468;0;1;1;0,65;1
"idée";1;1;1;1;1;1;1;0;0;0,034;0,069;1;1
"aider";1;1;1;1;1;1;0,658;1;0,011;1;0,009;0;1
"loi";0;1;1;1;0,647;1;1;0,848;0,978;0,432;0,289;0;1
"armée";0;1;1;1;1;0;1;1;1;1;1;0,021;1
"public";1;1;1;0,001;1;1;0,344;1;1;1;0;0;1
"moyen";0,315;1;0,695;1;0,121;1;0,019;1;1;1;0;0;1
"sûr";1;1;1;1;1;1;0,619;0,628;0;1;1;1;0,443
"commencer";0,053;1;1;1;1;0,914;1;1;1;0;1;0,576;1
"tuer";0;1;1;1;1;0;1;1;1;1;1;1;1
"regarder";1;1;1;0,372;1;0,479;1;1;1;0;1;0,93;0
"cher";1;1;1;0,001;0;1;0;1;1;1;1;1;1
"soutenir";0;1;1;1;1;0,088;1;0,11;1;1;0,498;1;1
"partie";1;1;1;1;0,617;1;1;0,121;1;1;0;0;1
"premier";1;1;0,353;1;1;1;0,911;1;1;0;0,713;0,347;1
"lieu";1;1;1;1;1;1;1;1;0,613;0,132;0,847;0;1
"histoire";0,011;1;1;1;1;0,629;1;1;0;1;1;1;1
"faux";1;1;1;1;1;0,407;1;0,195;1;0;1;1;1
"sortir";1;1;1;1;1;0,706;1;1;0;1;1;0,113;0
"emji_visage_souriant_avec_une_goutte_de_sueur";1;1;0,511;1;1;1;1;1;1;1;1;1;0
"genève";1;1;1;0;1;1;0,224;1;1;1;1;0;0,011
"défendre";0;1;1;1;1;0,54;1;0,016;0,97;1;0,069;1;1
"trump";0;1;1;1;1;1;1;0,005;1;0,002;1;1;1
"israélien";0;1;1;1;1;1;1;1;1;1;1;1;1
"génocide";0;1;1;1;1;1;1;1;1;1;1;1;1
"perdre";1;1;0;1;1;0,496;0,105;0,939;0,015;1;0;0,052;1
