"";"";"";"";"une";""
"93";"maintenant";"0.234581021901414";"0.128462812813914";"0.82314230122377";"240"
"94";"aucunement";"0.0705813051635487";"-0.277905465367321";"0.82311465487089";"241"
"95";"derrière";"0.260568883000676";"-0.192168101598309";"0.822782898636323";"244"
"96";"comme";"0.000639243648178681";"-0.0144270634158327";"0.82266540163658";"245"
"97";"htag_hypocrisie";"-0.816652979665113";"-0.222865693347443";"0.822043358696768";"251"
"98";"mêmes";"-0.0912385035511731";"-0.333647160795413";"0.821481216188196";"256"
"99";"deux";"0.118239941958784";"-0.0614660835532077";"0.820916769816885";"257"
"100";"700";"0.0651309031682174";"-0.109318399418633";"0.820714029895761";"258"
"101";"lorsqu";"-0.10788041803852";"-0.473413291446556";"0.820568886543138";"259"
"102";"18";"-0.256381552616966";"0.036591046939111";"0.820430654778735";"260"
"103";"quelles";"0.0437437667675209";"-0.29221113826407";"0.819884639309344";"264"
"104";"ouf";"-0.304648701468178";"0.815086924190558";"0.819737192093981";"265"
"105";"40";"-0.644424335649753";"-0.258178585321981";"0.81971415346658";"266"
"106";"plupart";"-0.0165963987046716";"-0.362808760198935";"0.819036817821007";"267"
"107";"tant";"-0.0104720195206104";"0.00748060364314114";"0.818350266724473";"269"
"108";"con";"-0.309108852090914";"0.190660249206884";"0.818115272724988";"270"
"109";"concernant";"-0.0824754722679516";"-0.29048537141947";"0.817525483863536";"272"
"110";"aucune";"0.299173787298565";"-0.180035039678746";"0.817354998020772";"273"
"111";"25";"-0.399871791982881";"-0.163815096630432";"0.817145346511428";"274"
"112";"elles_mêmes";"-0.291890735553248";"-0.488345640048409";"0.81672834735548";"276"
"113";"vive";"-0.156673355447567";"0.973949387863827";"0.816341298415152";"279"
"114";"toutes";"0.0044425425647894";"0.337266624952275";"0.815857487239742";"281"
"115";"200";"0.336314449302751";"-0.386982722066161";"0.815792979083021";"282"
"116";"pardon";"0.7456228069065";"-0.0479036931554119";"0.81574920569096";"283"
"117";"vite";"-0.597009709041551";"0.0568319984638457";"0.815696216847939";"284"
"118";"39";"-0.213241488244538";"-0.355535032030514";"0.815175543868688";"290"
"119";"ses";"0.0810323795547895";"0.0655430780992643";"0.814952069182904";"292"
"120";"35";"-0.318700280882692";"-0.441281428175498";"0.814634136124777";"293"
"121";"autre";"-0.00861290088242013";"-0.0646474134416076";"0.814613401360117";"294"
"122";"62";"-0.575799263657187";"-0.292491556596212";"0.814380711223372";"296"
"123";"ciao";"-0.360924206857736";"0.515224998963031";"0.814380711223372";"298"
"124";"unes";"-0.511621137089935";"0.881090520066255";"0.814251694909929";"300"
"125";"hum";"-0.946516448115369";"0.444435992828825";"0.814251694909929";"301"
"126";"plein";"-0.386730851760518";"0.231560931736537";"0.814221744694309";"302"
"127";"chouette";"-0.509906071281091";"0.488164325439236";"0.814044347263325";"305"
"128";"certaine";"-0.286386500365181";"-0.0637708578245227";"0.813843911204941";"306"
"129";"20";"-0.0484060930148224";"0.0305098474744865";"0.813641171283817";"307"
"130";"75";"0.463668491435574";"-0.262083061458428";"0.813512154970374";"308"
"131";"son";"0.0539268418641813";"0.175470360252675";"0.81329098414733";"311"
"132";"hors";"-0.401938727144062";"-0.338993524824306";"0.813244906892529";"312"
"133";"ainsi";"0.265659446752812";"-0.239196617840547";"0.813242603029789";"313"
"134";"salut";"0.124133754299182";"0.527561002141395";"0.813189614186768";"314"
"135";"celle_là";"-0.619058665489661";"0.477232242286633";"0.813120498304567";"316"
"136";"loin";"-0.211876707346209";"0.117126437413551";"0.813005305167564";"317"
"137";"dommage";"-0.19180921746793";"0.758168844476966";"0.81280256524644";"318"
"138";"mince";"-0.736904710163343";"0.0959369899357631";"0.812397085404192";"322"
"139";"sa";"-0.0122293716157316";"0.349009076057789";"0.812219687973208";"324"
"140";"celles_ci";"0.0801558942522935";"-0.414028316481104";"0.812150572091007";"325"
"141";"5";"-0.27257626284767";"0.412373923997192";"0.812134445051827";"326"
"142";"bah";"-0.122275148526064";"0.182878432453511";"0.812067633032365";"327"
"143";"devant";"0.315825046111613";"0.300871135870508";"0.811376474210351";"328"
"144";"madame";"-0.140266561409699";"0.923294830052181";"0.811067756603185";"330"
"145";"oui";"0.0357414325689043";"0.0363574836245329";"0.810966386642623";"332"
"146";"celui_là";"-0.290395854639489";"0.474481241077837";"0.810715265603958";"333"
"147";"toujours";"0.0530749247412265";"0.0831525911420351";"0.810540172035714";"334"
"148";"tien";"0.0469680948957429";"0.563716249480291";"0.809991852703583";"335"
"149";"hip";"-0.453603502972282";"0.69945688631929";"0.809554118782974";"336"
"150";"ben";"-0.00903095773045856";"0.152121003270009";"0.809261528214988";"338"
"151";"2007";"0.577780439659167";"0.0149936540539263";"0.808955114470562";"339"
"152";"adieu";"-0.727782493246019";"0.368068610477276";"0.808478214883372";"343"
"153";"360";"0.18519068526158";"0.258785198551847";"0.808478214883372";"344"
"154";"partout";"0.107472482116196";"-0.236698918054762";"0.80837223719733";"345"
"155";"21";"-0.235380081512824";"-0.0391321801894059";"0.807994403707962";"346"
"156";"après";"-0.0305689241799708";"-0.0188025273458463";"0.807782448335878";"347"
"157";"b";"-0.262581682590228";"0.399375111345689";"0.807148886082365";"348"
"158";"près";"-0.51620189027981";"-0.232306083111925";"0.807031389082623";"349"
"159";"23";"-0.639619456566237";"-0.181381103086846";"0.807003742729742";"350"
"160";"ha";"0.2859991060635";"0.363911386060634";"0.805752745261897";"354"
"161";"mien";"-0.591755307247358";"0.180385164682679";"0.805499320360492";"356"
"162";"eh";"0.0238775559570321";"0.496976205881489";"0.805453243105691";"357"
"163";"autrui";"0.490253009679752";"-0.1500840000302";"0.805218249106206";"359"
"164";"elle_même";"-0.106111228310421";"0.295984850821832";"0.805153740949485";"361"
"165";"tard";"-0.446085164628591";"0.451032400489793";"0.805093840518244";"362"
"166";"72";"0.532374134461988";"0.0981550478413696";"0.805052370988923";"363"
"167";"dedans";"-0.353411018213111";"0.16382148625799";"0.804787426773817";"366"
"168";"nul";"-0.304443735593424";"0.442928748523895";"0.804706791577916";"369"
"169";"ok";"-0.26557207109612";"0.0108555542932226";"0.80442111259815";"370"
"170";"pis";"-0.383348437085517";"0.28710716730648";"0.804234499716206";"371"
"171";"autour";"-0.452761827792302";"0.0510499289332819";"0.803769119442717";"372"
"172";"2026";"-0.480496540263723";"0.467607954193023";"0.803706915148735";"373"
"173";"to";"-0.295815365961205";"0.0362198496284021";"0.803594025874473";"374"
"174";"bof";"-0.414088974570751";"0.0723146952034925";"0.803250750326206";"378"
"175";"hein";"-0.031566183784286";"0.0814029196749881";"0.803218496247845";"380"
"176";"2017";"0.0996002472950639";"0.218845620175441";"0.803100999248103";"381"
"177";"2021";"0.155670697759753";"0.154091473341002";"0.802734685072436";"382"
"178";"debout";"-0.52402696034392";"0.761844606593324";"0.802677088503934";"383"
"179";"lendemain";"-0.0619895075277399";"0.0403559245922799";"0.802506602661171";"385"
"180";"tienne";"0.175167668986972";"0.124908626701566";"0.80247434858281";"386"
"181";"jusque";"0.364054612688553";"0.109657028541331";"0.802121857583583";"387"
"182";"mme";"0.102892802586956";"0.848614942591596";"0.801838482466557";"388"
"183";"26";"0.17509039019551";"0.0934983559682468";"0.801716377741335";"390"
"184";"fort";"-0.0620725596345994";"0.436344096851209";"0.801186489311124";"392"
"185";"van";"-0.726496193889386";"0.0733739645070121";"0.801149627507283";"393"
"186";"inter";"-0.726496193889386";"0.0733739645070121";"0.801149627507283";"394"
"187";"2030";"-0.820610755718906";"0.843840122374781";"0.800928456684239";"395"
"188";"voici";"0.00242189389293266";"0.101313222436362";"0.800870860115738";"396"
"189";"2008";"-0.107442975431599";"0.701699083038434";"0.800840909900117";"397"
"190";"13";"0.223421454097067";"0.236412353462701";"0.80048381117541";"398"
