"";"";"";"";"une";""
"1";"une";"-0.0372425841010288";"-0.0538752674892304";"1.096569338938";"30"
"2";"que";"-0.0340518664111461";"-0.0994844405725535";"1.08295581400707";"34"
"3";"ne";"0.0895516754874076";"-0.169592649122918";"1.06742777913915";"36"
"4";"un";"-0.0244732071368922";"-0.0590497690974102";"1.05078006697957";"39"
"5";"ton";"-0.0780379021532161";"0.157484593621085";"1.03713198410754";"40"
"6";"dans";"-0.105189314287583";"-0.1106769688992";"1.03631180897208";"41"
"7";"du";"0.00695514492329972";"-0.0775198894330825";"1.0296513417906";"42"
"8";"pouvoir";"-0.137120356281949";"-0.134892592560165";"1.01870799377538";"45"
"9";"pas";"-0.00247513879568776";"-0.0850757204746312";"0.98269401142297";"48"
"10";"sur";"-0.151651604484812";"-0.177380377201883";"0.964143308640114";"54"
"11";"notre";"-0.254535318826421";"-0.0354379588736037";"0.962403892271378";"56"
"12";"nous";"-0.210479235840426";"0.0749616699783681";"0.961219706822994";"57"
"13";"leur";"-0.0366495884752388";"-0.208611637746734";"0.954771195013603";"59"
"14";"cela";"-0.174808356324108";"-0.202837107698983";"0.953448777800816";"60"
"15";"donc";"-0.0167252620685795";"-0.288793553360803";"0.945498147484915";"62"
"16";"chaque";"-0.384390095083233";"-0.354340047441919";"0.942410971413252";"63"
"17";"100";"-0.511371790749981";"-0.430835070016433";"0.929818057676157";"67"
"18";"mais";"-0.129615321712784";"-0.0552024915600678";"0.912294877675361";"70"
"19";"devoir";"-0.0605399134613448";"-0.166899015922659";"0.903035653323113";"73"
"20";"quelque";"0.0397663051092262";"-0.0275227983837669";"0.901812302208148";"75"
"21";"il";"-0.0129094793620843";"-0.0480440236233263";"0.901501280738241";"76"
"22";"savoir";"-0.0336119389832178";"-0.0427415620253266";"0.900800906465267";"77"
"23";"avoir";"0.0851633686575064";"0.0145279992496397";"0.898909435155689";"80"
"24";"aussi";"-0.157582907579904";"-0.0392250805330022";"0.896603268552902";"81"
"25";"ils";"0.138520853010758";"-0.0973917099273105";"0.893578296775221";"82"
"26";"peu";"-0.158304312125412";"0.0127336993255386";"0.891788195426204";"83"
"27";"90";"-0.409779623288998";"-0.0234622762636088";"0.88864342278604";"86"
"28";"quoi";"0.0399695514147188";"-0.00259927248663375";"0.88712748110309";"88"
"29";"autres";"-0.11934098397158";"-0.0762849048820675";"0.884503381442176";"90"
"30";"gare";"-0.294515714699883";"-0.00419427577357227";"0.88125263111597";"95"
"31";"10";"-0.254400329858783";"-0.310802606338119";"0.880870189901122";"96"
"32";"falloir";"-0.148210514380206";"-0.0633805996877465";"0.879407237061193";"97"
"33";"41";"-0.0505165326427301";"-0.160503809027694";"0.875497581991333";"102"
"34";"qu";"0.0332764953666117";"-0.0785521288640535";"0.873405674623371";"104"
"35";"faire";"-0.0638044680704967";"0.0192296598502065";"0.871938114057961";"109"
"36";"sans";"-0.0538970486377533";"-0.124802864249176";"0.869396953455689";"112"
"37";"combien";"-0.356764922723379";"-0.242180953080548";"0.867793464988617";"114"
"38";"sous";"0.403035656319604";"-0.149182848277294";"0.867765818635736";"115"
"39";"autant";"-0.270580912752709";"-0.229263358554938";"0.862598254509811";"121"
"40";"quelqu_un";"-0.202573499312298";"0.0951969272221628";"0.862149001275502";"122"
"41";"surtout";"-0.294259615551705";"-0.10839038376113";"0.859458089595128";"124"
"42";"avec";"-0.12552087800488";"0.0592072363468161";"0.858730068969273";"125"
"43";"personne";"0.0488704684093896";"-0.105866741334592";"0.858716245792833";"126"
"44";"point";"-0.130260282412721";"-0.145617286830583";"0.857746319579273";"128"
"45";"2025";"-0.32389471324221";"-0.447604993640373";"0.857306281795924";"129"
"46";"entre";"-0.120911517046195";"-0.143143287023557";"0.856350178758804";"130"
"47";"très";"-0.301568132691614";"0.267276326556557";"0.856209643131662";"131"
"48";"vos";"0.0338546863670783";"0.00811108576371794";"0.85613361566124";"132"
"49";"vers";"-0.448417925216086";"-0.301247940104744";"0.855057711761638";"135"
"50";"ceux";"-0.0255869334219053";"-0.217760171343499";"0.854417237919905";"136"
"51";"vouloir";"-0.0352303957216792";"-0.0415097430126506";"0.851309327083582";"144"
"52";"avant";"0.091605401875211";"-0.0276333516250264";"0.846038089134355";"149"
"53";"se";"0.0664924696647235";"-0.0606018237414706";"0.8452870298811";"150"
"54";"tout";"-0.103746076000789";"0.113331138525753";"0.844727191235268";"152"
"55";"chez";"-0.307846610710494";"0.258040424374795";"0.843547613512365";"153"
"56";"mieux";"-0.396910417857438";"0.220090985312635";"0.843411685610702";"154"
"57";"chacun";"-0.464660176454978";"-0.228713755797774";"0.842167599731076";"157"
"58";"où";"-0.0476496187763946";"-0.208009541464401";"0.841575507006884";"160"
"59";"certaines";"-0.351861091371781";"-0.270153907547072";"0.841559379967704";"161"
"60";"différents";"-0.299797692336718";"-0.0790508633449716";"0.841324385968219";"162"
"61";"or";"-0.352170357421666";"0.0514843228585183";"0.84088434818487";"165"
"62";"même";"-0.0664319982900661";"-0.0672918243418244";"0.839840698363629";"170"
"63";"2";"0.0244120728280293";"-0.038119528911811";"0.837596736054824";"174"
"64";"souvent";"-0.432237999206655";"-0.393850060947106";"0.837138267369554";"175"
"65";"400";"-0.565554026841502";"-0.409175136874118";"0.837032289683512";"176"
"66";"rien";"0.0420995423793169";"-0.0459308274123915";"0.836576124860983";"177"
"67";"divers";"-0.104826269163846";"0.289019248520243";"0.835702960882505";"180"
"68";"arrière";"-0.526943966256031";"-0.311057811340066";"0.835021017511451";"181"
"69";"g";"0.112905614017551";"0.187475440570292";"0.834530294747821";"182"
"70";"croire";"0.235118991560631";"0.126439859152181";"0.834509559983161";"183"
"71";"eux_mêmes";"-0.106412832104756";"-0.428578571370316";"0.83300052988843";"187"
"72";"mal";"-0.102371267365343";"0.120763085947475";"0.832578923007002";"189"
"73";"cette";"0.0108954721219582";"0.166391834749399";"0.831687328126604";"192"
"74";"80";"-0.494792187728928";"-0.22927018674295";"0.831058373598571";"206"
"75";"ah";"0.152263229908271";"0.417532981356368";"0.83102151179473";"207"
"76";"aucun";"0.27936557315313";"-0.220426030264656";"0.830740440540444";"212"
"77";"1970";"0.250297177527263";"-0.147019900927783";"0.82956316668028";"215"
"78";"peut_être";"-0.174966054017052";"-0.0428579563399755";"0.829353515170936";"216"
"79";"dehors";"-0.532926703294806";"-0.137231614119196";"0.829104697995011";"217"
"80";"parfois";"-0.493679514368072";"-0.293810592570949";"0.828913477387587";"219"
"81";"12";"-0.595377345868538";"-0.516264216766087";"0.827390624116416";"222"
"82";"merde";"-0.603743287514167";"0.282765849588676";"0.827227049861873";"224"
"83";"toute";"-0.040650141569558";"0.174727174436194";"0.82657736056918";"226"
"84";"là";"0.0223734875168258";"0.0418476440911578";"0.826480598334098";"227"
"85";"euh";"-0.230906408768736";"0.263490556104208";"0.826194919354332";"228"
"86";"jusqu_à";"-0.0196950091673643";"-0.174383313810811";"0.826001394884168";"229"
"87";"comment";"0.098563529091317";"-0.0739610361238731";"0.824987695278548";"231"
"88";"dont";"0.291117905165729";"-0.321576208215881";"0.824856375102365";"232"
"89";"ici";"-0.0940491149767774";"-0.024495266003336";"0.824476237750257";"234"
"90";"non";"0.113834522360829";"-0.0733964436602697";"0.824275801691873";"235"
"91";"moi_même";"-0.327702613922874";"-0.0977915040109001";"0.824033896104168";"236"
"92";"14";"0.0257092068096106";"-0.169201378265956";"0.823506311536697";"238"
