défendre;0;8;106;23;2;59;80;58
israélien;0;3;315;1;0;1;8;6
perdre;1;4;26;7;1;108;64;110
prix;0;9;37;2;0;13;17;247
finir;3;11;36;15;1;90;43;132
écrire;1;13;22;16;52;73;124;18
emji_mains_en_prière;145;6;18;0;1;45;16;18
attendre;5;10;42;13;5;114;72;62
emji_visage_faisant_un_clin_d_oeil;0;18;13;8;5;151;43;63
servir;1;4;29;26;2;76;79;104
mort;0;10;160;8;0;55;31;41
gouvernement;1;6;141;10;1;42;52;61
otage;4;4;274;5;0;4;4;5
montrer;0;3;37;18;3;90;127;36
emji_visage_en_pleine_réflexion;1;25;26;5;1;41;85;58
emji_drapeau_suisse;89;12;9;11;3;43;28;57
jeune;2;4;15;9;0;164;41;68
nouveau;3;8;27;6;2;93;66;107
gros;0;9;11;10;2;74;55;142
côté;0;11;34;13;1;127;41;84
simplement;2;2;26;15;4;58;82;119
service;2;1;16;11;3;104;37;119
meilleur;18;12;9;4;7;73;46;92
revenir;0;2;13;5;4;34;43;200
oublier;2;7;54;12;0;57;58;116
espérer;4;9;24;23;5;154;32;55
réalité;0;1;26;5;1;61;152;54
assurance;0;3;0;2;0;0;3;277
agir;0;1;45;32;2;52;111;54
créer;0;1;32;15;2;55;43;143
ville;5;4;16;25;6;40;36;139
emji_visage_boudeur;8;92;18;11;0;11;8;21
europe;0;1;59;6;4;60;34;70
manquer;2;8;16;9;3;114;55;84
pauvre;2;15;13;9;2;64;31;139
animal;8;5;8;4;0;156;26;56
justice;7;2;90;12;1;72;58;37
fin;1;5;49;8;2;71;73;76
respecter;0;1;75;42;4;42;53;59
santé;1;2;5;6;2;28;24;208
situation;0;2;32;21;1;91;83;51
protéger;0;1;32;65;0;84;46;48
justement;0;2;22;16;0;52;115;71
emji_visage_roulant_des_yeux;0;113;15;7;5;34;29;46
seulement;0;9;29;20;5;49;48;114
rapport;0;9;28;8;1;61;106;53
frontalier;0;7;1;1;5;11;20;209
appeler;2;11;50;17;2;74;61;49
augmenter;0;6;6;1;1;10;13;218
école;0;0;13;2;13;129;20;82
extrême;0;7;24;10;0;12;180;20
mot;1;7;48;5;10;67;107;13
normal;0;6;13;12;9;43;47;127
heure;2;7;16;26;2;33;29;128
dernier;0;6;40;15;2;72;62;63
mois;0;2;8;6;0;30;16;187
essayer;0;5;29;12;0;103;53;58
policier;1;0;19;147;0;42;35;6
chercher;1;5;25;10;0;86;63;70
gagner;1;0;6;4;1;27;17;179
malheureusement;2;4;36;7;2;115;43;50
terroriste;1;0;221;1;0;6;9;1
solution;0;2;32;7;0;74;38;92
liberté;2;5;20;24;0;50;109;24
civil;0;1;173;6;0;37;9;16
canton;0;6;3;10;6;14;18;177
étranger;0;2;18;1;17;33;83;85
pire;0;7;37;6;4;78;28;66
manière;0;2;16;20;1;57;88;59
