tout le;85;9;6;8;28;17;33;17;100;33;35;116;87
le sait;9;3;1;1;4;1;1;0;4;0;2;5;0
sait que;11;0;0;1;3;2;4;0;3;2;1;5;4
que trump;6;0;1;0;1;1;0;2;2;5;2;1;1
trump est;4;0;0;0;1;0;0;0;2;1;2;1;1
est coupable;3;0;0;0;0;0;0;1;1;0;0;0;0
pote de;2;0;0;0;1;0;0;1;0;1;0;0;0
de epstein;2;0;0;0;0;0;0;0;0;3;0;0;0
pendant plus;3;0;0;0;0;0;1;0;0;0;0;0;2
plus de;162;4;23;37;74;19;64;11;63;30;66;134;88
de 10;9;1;0;2;4;0;5;0;2;5;2;6;5
10 ans;6;0;1;1;7;2;3;0;8;7;3;15;16
ans et;11;1;0;1;3;1;7;2;11;3;2;10;13
et il;31;2;1;3;10;2;9;4;25;15;10;41;28
il a;57;10;1;3;15;7;11;4;66;32;22;40;77
a dit;9;1;0;1;2;2;4;1;13;6;2;6;12
dit lui;2;0;0;0;0;0;0;0;1;0;0;0;1
lui même;5;0;0;0;0;2;0;0;1;1;0;3;3
même le;13;0;1;0;3;2;2;0;4;3;1;5;2
le 28;3;1;0;0;0;0;0;0;0;0;0;0;0
que trump est;2;0;0;0;0;0;0;0;1;1;1;0;0
pendant plus de;3;0;0;0;0;0;1;0;0;0;0;0;2
plus de 10;6;0;0;1;2;0;0;0;2;1;0;1;2
de 10 ans;2;0;0;0;2;0;1;0;1;3;0;1;2
10 ans et;2;0;0;0;1;0;0;0;1;1;0;1;4
ans et il;2;0;0;0;0;0;0;0;0;0;0;1;1
et il a;3;0;1;0;0;0;1;0;3;1;0;2;4
il a dit;2;1;0;0;0;0;1;0;0;0;0;0;1
plus de 10 ans;2;0;0;0;0;0;0;0;1;1;0;0;1
de 10 ans et;2;0;0;0;1;0;0;0;0;1;0;0;0
si trump;3;0;0;0;1;0;0;0;1;0;0;1;0
il aurait;8;0;0;0;0;0;3;0;7;2;1;2;5
la publication;2;0;0;0;0;1;0;0;1;7;0;0;0
en prison;42;0;0;3;2;2;3;2;6;1;1;1;9
avant son;1;0;0;0;0;0;1;0;2;1;0;0;1
son procès;2;0;0;0;0;0;0;0;1;0;0;0;1
et à;32;7;0;6;12;6;11;2;22;12;9;50;23
à donald;8;0;0;0;0;0;0;0;0;1;0;0;0
donald trump;18;0;0;0;0;0;0;0;0;2;0;0;0
comme lui;2;0;0;0;0;0;0;0;0;1;0;2;1
lui de;2;0;0;0;0;0;0;0;1;1;0;1;0
de la;649;48;35;65;228;94;192;119;356;245;231;552;359
nous avons;15;2;1;1;5;3;10;2;11;10;2;23;9
certaines choses;1;0;0;0;0;2;0;1;1;1;1;0;3
choses en;2;1;0;0;0;0;0;0;4;1;0;3;1
en commun;2;0;0;2;0;0;0;0;1;1;1;5;2
à donald trump;7;0;0;0;0;0;0;0;0;1;0;0;0
user_utilisateurice plus;6;1;0;0;0;1;0;2;4;2;0;1;2
plus personne;11;0;0;1;0;1;1;0;0;1;0;5;7
personne ne;30;3;1;3;18;3;11;3;25;13;9;16;18
ne supporte;2;0;0;0;0;0;0;0;0;0;0;2;0
il pourrait;1;0;1;0;1;0;1;0;2;1;1;0;0
mettre un;5;0;0;3;2;0;0;0;5;1;1;6;11
mais le;12;2;0;2;10;6;9;2;13;7;5;21;14
ou le;17;2;5;2;10;2;7;2;5;7;4;14;9
à toujours;2;0;0;0;0;0;0;0;3;1;0;2;1
toujours le;5;1;0;0;0;1;0;0;3;2;0;4;9
le pouvoir;14;2;0;0;1;1;2;7;6;3;6;14;1
pouvoir de;5;0;0;0;0;0;1;0;2;0;1;2;2
de l;393;26;38;33;154;58;123;75;206;137;170;359;173
plus personne ne;4;0;0;0;0;0;1;0;0;1;0;2;0
le pouvoir de;3;0;0;0;0;0;0;0;2;0;1;2;1
user_utilisateurice israël;13;0;0;0;0;0;0;0;0;0;0;0;0
