"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";1,99277809442217;-0,157689619028443;-0,563297205228399;0,136957200773381;-0,197763757185947;0,249319639473224;0,946438342089888;-0,074892182935873;-0,267529071356447;0,0650456497891281;-0,0939247591091209;0,118410407507971;0,92808871036928;0,0052467240589899;0,0517906441928642;0,00295192491272352;0,00509976217030019;0,00682223429594347;0,730885274395819;0,00457654290988159;0,0583991497079705;0,00345224073568725;0,0071982137619007;0,0114404817125802;0,18404809677619;1,15133644375092;0,243969667547738
"classe 2";-0,569404315980836;5,39503035275677;-2,10608157591312;-0,926311481716181;0,279937253714469;-0,0749506390839507;-0,0965117169161376;0,91443571386058;-0,356972265843628;-0,157006030671831;0,047448226552749;-0,0127038286485298;0,0106917095288912;0,866570367577419;0,102155212414962;0,0190538916831528;0,00144182297999234;8,69958155648403e-05;0,00905438911638109;0,812840678982649;0,123870537760954;0,0239624786850226;0,00218846215396175;0,0001568802691633;0,0279265730318667;3,06503356705129;0,262354256911661
"classe 3";-0,407226773200967;0,662217268470355;1,47941220781337;1,22422334297196;-1,72318470045696;0,96597468841451;-0,142259893841518;0,231337830693468;0,516815291826388;0,427668056892596;-0,601974351119978;0,337451920332421;0,0319251198146735;0,0762204134649841;0,294267837191479;0,194287633200198;0,318939607558682;0,0843593887699672;0,018036725512758;0,0476964496728231;0,238047402109056;0,163007040437213;0,322959980441925;0,101488432167095;0,10876396965912;1,26855152348252;0,175025478036925
"classe 4";-0,15559602065683;0,0817389561648121;1,35215701308424;-0,757859874393166;3,05144918447575;3,1761814557985;-0,0332997794780825;0,017493308656396;0,289380989085542;-0,162192879908153;0,653053879544422;0,679748374116419;0,00208230727621872;0,000518819662928639;0,109826364185342;0,03326516085439;0,446832789453317;0,407474558567756;0,00106031081199828;0,000292613523018719;0,0800738054217087;0,02515440479326;0,407801202938824;0,441821483888905;0,0437961786222794;1,89785982956677;0,157748226538368
"classe 5";-0,0398413058226346;0,0734942335382182;0,83861161151648;-0,102438682323272;0,567216941718078;-1,2450828010058;-0,024743202829883;0,0456431507380414;0,520814686436779;-0,0636189261876722;0,352266662642941;-0,773251168584513;0,00112400106314058;0,00345315864444217;0,347797012884517;0,00500370291127064;0,127110927329136;0,515511197167475;0,000441818592349429;0,00150343061343258;0,195748571740549;0,00292082021758292;0,0895519912297833;0,431492575291288;0,278340792315003;0,661436656050175;0,121773665200355
"classe 6";-1,28394837621822;-0,500584786169427;-2,2636726778211;4,71769514785364;1,99296423547323;-0,190195787232376;-0,22253758907119;-0,0867627807342062;-0,392346195142518;0,817684358360656;0,345426236975078;-0,0329652754940642;0,0727058193482885;0,00997791381591073;0,157835909676635;0,660994356533978;0,097736765937357;0,000749234687849341;0,0480786567760535;0,00730823482976998;0,149446056320862;0,64910798065724;0,115839376537157;0,00105501585789775;0,0291646790210223;2,65033658743041;0,204860988990391
"classe 7";-0,766020891714849;-0,619297156771132;-0,686173213211047;-0,635368385155381;-0,407503790839147;0,19558130963168;-0,535122493309804;-0,43262506573307;-0,479342958746066;-0,443852012539022;-0,284671667503575;0,136628072663404;0,35685344696143;0,210580061019987;0,199977299325939;0,165319401990283;0,0563451941217312;0,0109245965806343;0,192442824794641;0,125782049468425;0,154414476938901;0,132395034473995;0,054460772936448;0,012545130813071;0,327959710574518;0,713729623097646;0,167065947927748
