"";"";"";"";"*postDate_26-12-2025";""
"1";"*postDate_26-12-2025";"0.0249274034832784";"-0.778943509320385";"2.3094243426671";"5"
"2";"*commentDate_26-12-2025";"0.0756008768661711";"-0.740434341910463";"1.39320232191223";"6"
"3";"*i_0429";"-0.114221835206199";"-0.805581315976679";"1.27990653019091";"11"
"4";"*i_0503";"-0.275372897793729";"-1.09457945464507";"1.24754640837765";"14"
"5";"*postComments_675";"0.0476356992168737";"0.588218364331743";"1.21006554102721";"19"
"6";"-*sigmalyse";"-0.271682349442788";"-0.827824937147264";"1.19088143264842";"21"
"7";"-*oz_dire";"-0.112526760175704";"-0.926310474233836";"1.1908500860661";"22"
"8";"*postLikes_5400";"-0.212207619670345";"-0.968304212129704";"1.18149272936482";"24"
"9";"*postDate_19-11-2025";"0.0506995624988289";"-0.982964560995778";"1.17319593203199";"25"
"10";"-*png00812";"-0.180136181313439";"-0.639109592910904";"1.11299522256895";"29"
"11";"*postComments_149";"0.192409627674656";"-0.712773989367812";"1.10495602984209";"34"
"12";"*i_0016";"-0.196272721960411";"0.638598770923711";"1.09245155665191";"37"
"13";"*postReposts_210";"0.0511408886231055";"0.22748198778756";"1.0911944783251";"38"
"14";"-*raffa_ella005";"-0.082297868272208";"-0.494283227674314";"1.07551234582222";"39"
"15";"*postComments_747";"0.194333502321655";"0.933212824435611";"1.06885642150997";"43"
"16";"*commentDate_12-10-2025";"0.321835916590648";"0.413480305708001";"1.05936965968682";"48"
"17";"*i_0278";"-0.298866287364153";"-1.08440169596141";"1.0568329977946";"49"
"18";"*postComments_380";"-0.298866287364153";"-1.08440169596141";"1.0568329977946";"50"
"19";"*commentDate_19-11-2025";"0.117054185023437";"-0.810797441180296";"1.03754440080807";"52"
"20";"*postDate_17-10-2025";"0.0931875651215337";"0.113538996264001";"1.03741539756545";"53"
"21";"*postComments_381";"0.606045622248686";"2.41666587645404";"1.03627004167305";"55"
"22";"*postReposts_58";"0.0314875447168265";"0.127328289654018";"1.02577817981941";"56"
"23";"*postDate_5-11-2025";"0.0799059699345672";"-0.621815454088842";"1.01488283118824";"58"
"24";"*postLikes_9400";"0.0990953932896024";"0.478695232035093";"1.01332755845014";"59"
"25";"*postComments_326";"0.167061086397213";"2.69517899628349";"1.01250250032835";"61"
"26";"*postReposts_43";"0.0157883216369144";"0.233788897762771";"1.00823373882342";"63"
"27";"*postComments_273";"0.145451115492694";"2.45697223156642";"1.00544469675561";"65"
"28";"*i_0370";"-0.153748101871436";"0.298750835170646";"1.00434837013299";"67"
"29";"*postComments_387";"-0.153748101871436";"0.298750835170646";"1.00434837013299";"68"
"30";"*i_0342";"-0.190157260461899";"-1.02104742241864";"1.00018932166617";"69"
"31";"*postComments_260";"-0.190157260461899";"-1.02104742241864";"1.00018932166617";"70"
"32";"*postReposts_70";"-0.190157260461899";"-1.02104742241864";"1.00018932166617";"71"
"33";"*commentDate_27-12-2025";"0.419343319333649";"-0.272140182136767";"0.999262989970738";"72"
"34";"*i_0193";"-0.316926644717238";"-1.09011493757719";"0.992572905921344";"73"
"35";"*i_0017";"0.170041455453918";"2.25002252058086";"0.988325042137954";"74"
"36";"*postComments_300";"0.170041455453918";"2.25002252058086";"0.988325042137954";"75"
"37";"*postLikes_8300";"0.0515272205697143";"0.239306137319158";"0.985225347401787";"76"
"38";"*postLikes_7700";"0.221574002808005";"-0.95486864019948";"0.977884620829658";"78"
"39";"*commentDate_13-10-2025";"0.256782824301049";"0.872312122363308";"0.976511801275821";"79"
"40";"*postComments_236";"-0.0347727401611238";"2.26913305091101";"0.970792255640512";"81"
"41";"*postComments_223";"-0.142282720084507";"1.12919347839129";"0.970324468181301";"82"
"42";"*i_0139";"0.0765424374817049";"2.23655899141393";"0.969793585678192";"83"
