"";"";"";"";"terroriste";""
"1";"terroriste";"-0.115016394031798";"3.7331720004206";"1.07636468533329";"30"
"2";"autorisation";"-0.302626651772745";"1.00722114836499";"1.0102794952487";"45"
"3";"entreprise";"-0.354245861705456";"-1.11022520551785";"0.989776144274404";"50"
"4";"naturaliser";"-0.0905026655657079";"-1.05164654595627";"0.989759900521014";"51"
"5";"emji_visage_souriant_avec_une_goutte_de_sueur";"0.351292435588326";"-1.56539471234612";"0.974403952273239";"54"
"6";"route";"-0.252974333789719";"-1.29031470022439";"0.950894013243327";"60"
"7";"naturalisation";"-0.159393689219948";"-0.802781344637743";"0.941557215820669";"64"
"8";"humoriste";"-0.156967935479744";"-0.722989226853898";"0.932670575747703";"68"
"9";"c1";"-0.112049631283089";"-1.01271733392373";"0.932404140850146";"69"
"10";"manger";"-0.255711474139793";"-1.32650866181335";"0.9319467018179";"70"
"11";"travailler";"-0.304133394184031";"-0.911067877952503";"0.928183565615895";"72"
"12";"taxer";"-0.372345152177764";"-1.20498191216787";"0.920459194104451";"81"
"13";"eau";"-0.198151103563154";"-0.907392129801297";"0.917630167077273";"84"
"14";"baisser";"-0.352176698881748";"-1.29774247700403";"0.914048326099884";"87"
"15";"intervention";"-0.302208586351352";"0.869688377535612";"0.909782193672218";"93"
"16";"produit";"-0.276778276014398";"-1.46494654508415";"0.909626664401254";"94"
"17";"fortune";"-0.35423732155391";"-1.13290741375829";"0.908041684831975";"95"
"18";"vélo";"-0.230389175459876";"-1.65260770373928";"0.907538501896505";"96"
"19";"gauche";"-0.216322465586011";"0.0836372432056062";"0.90713763593641";"97"
"20";"passeport";"-0.143906762561909";"-0.685054589068146";"0.90494827671514";"101"
"21";"islamiste";"-0.154053943001531";"3.66187635900616";"0.903956847628925";"104"
"22";"cessez_le_feu";"-0.157519107458625";"3.85841850733344";"0.90322345149886";"105"
"23";"autorité";"-0.259182395795075";"1.24430133051209";"0.897699268377613";"108"
"24";"sujet";"-0.205866966888262";"0.0257607340860074";"0.895769062371345";"112"
"25";"énergie";"-0.11582604188673";"-1.30311667791488";"0.895303781527118";"115"
"26";"frontalier";"-0.322381458240829";"-1.22322154714965";"0.895055644190851";"117"
"27";"loyer";"-0.376833530397527";"-1.3146837198784";"0.894605860260778";"118"
"28";"emploi";"-0.359880485202156";"-1.23369148692016";"0.893666336501488";"119"
"29";"pacifiquement";"0.0292055210948139";"1.2452507990397";"0.892468032946813";"120"
"30";"chrétien";"-0.167184168440324";"3.4636330080059";"0.891659952893115";"122"
"31";"augmenter";"-0.32999512912304";"-1.14613341727791";"0.890293610510269";"124"
"32";"immigré";"-0.166844940559419";"-0.767255390920276";"0.889039667432488";"125"
"33";"prime";"-0.292396929859371";"-1.1251042483573";"0.888212916397882";"126"
"34";"taser";"-0.316339839980856";"1.13604313270068";"0.88769386312864";"127"
"35";"coût";"-0.348806434005018";"-1.20699186091508";"0.887172195922071";"129"
"36";"espagnol";"-0.188002141268685";"-0.578466448707134";"0.88664679451932";"130"
"37";"banque";"-0.255639993023649";"-1.21821958542807";"0.886515910943155";"131"
"38";"gagner";"-0.293743831274951";"-0.889054871226218";"0.885646590072079";"134"
"39";"maîtrise";"-0.204364691725426";"-0.323681388815449";"0.884610537341495";"135"
"40";"linguistique";"-0.158830847945484";"-0.643739492385689";"0.882861999979462";"138"
"41";"classe";"-0.167354267894797";"-1.09068170967296";"0.882448624462159";"139"
"42";"accident";"-0.273560312524365";"-1.29041293100667";"0.882018631771848";"140"
"43";"mois";"-0.324993503608513";"-0.920047603573326";"0.880869246187152";"142"
"44";"moyenne";"-0.357741239521396";"-1.24393033591047";"0.880639406412175";"143"
"45";"frouze";"-0.167643627913288";"-0.913544743434875";"0.880127634825487";"144"
"46";"bombarder";"-0.162207499149869";"3.4551325368408";"0.879832446617332";"146"
"47";"fumigène";"-0.316339839980856";"1.13604313270068";"0.879708284594294";"147"
"48";"niveau";"-0.200078115746408";"-0.60395073812451";"0.879682892060259";"148"
"49";"octobre";"-0.166921386743067";"3.12734538612907";"0.877972816918896";"149"
"50";"albanais";"-0.0307301434163172";"-0.866103090052043";"0.877561868629111";"150"
"51";"genève";"-0.194873816073423";"-1.12251500065064";"0.877505108847151";"151"
"52";"politique";"-0.239334622575142";"0.271632318114152";"0.876182083140011";"154"
"53";"comedy";"-0.139909620783533";"-0.949458497178935";"0.87566489696886";"158"
"54";"acheter";"-0.210656123600985";"-1.0470332244115";"0.875561086315011";"159"
"55";"question";"-0.255666229546721";"0.0414127901106876";"0.875305107166763";"160"
"56";"fiscal";"-0.383233950431117";"-1.30062828181159";"0.875237704925685";"161"
"57";"test";"-0.204029335410583";"-0.61161674280678";"0.875209325034705";"162"
"58";"écrire";"-0.151461541438627";"0.0373946575879764";"0.873593725056736";"165"
"59";"examen";"-0.184345450908239";"-0.892829047172996";"0.873473857359307";"166"
"60";"dégât";"-0.274978994766642";"0.505562567101552";"0.87288068029586";"167"
"61";"revenir";"-0.312245781296649";"-0.714772925979878";"0.872794046944447";"168"
"62";"pain";"-0.234541880358888";"-1.60142825316344";"0.868941476743893";"176"
"63";"intégration";"-0.170521791674686";"-0.720415048034852";"0.868351100327582";"177"
"64";"qi";"-0.170725184261038";"-0.909554326352202";"0.868074769810144";"178"
"65";"polluer";"-0.206902096770008";"-1.42595597594356";"0.867495782692187";"179"
"66";"exigence";"-0.170585441319264";"-0.751350700529757";"0.867339133162369";"180"
"67";"santé";"-0.283971937202312";"-1.00142569149157";"0.866698718517225";"181"
"68";"véhicule";"-0.27842174646404";"-1.47056054175535";"0.866605176902876";"182"
"69";"russie";"-0.0583369664123507";"3.04112969966606";"0.866544309505116";"183"
"70";"économie";"-0.352046954886149";"-1.14014328069694";"0.866450767890767";"184"
"71";"rouler";"-0.237028752628502";"-1.43983192572646";"0.865515351747277";"185"
"72";"travail";"-0.133620487995591";"-0.587996856139399";"0.865391189724239";"186"
"73";"lacrymo";"-0.316339839980856";"1.13604313270068";"0.863739741462927";"187"
"74";"innocent";"-0.160924094839884";"2.99584626215863";"0.863479281279261";"189"
"75";"humanitaire";"-0.181115987521471";"2.92818965531608";"0.863479281279261";"190"
"76";"train";"-0.236824916429691";"-0.733233885897964";"0.86324010601383";"191"
"77";"français";"-0.236022093938242";"-0.644566344073367";"0.863162808152871";"192"
"78";"romanche";"-0.139909620783533";"-0.949458497178935";"0.863035472063078";"193"
"79";"aéroport";"-0.252173202931283";"-1.66275328960169";"0.862747378827668";"194"
"80";"avion";"-0.264635974571455";"-1.49169506006464";"0.862565710183433";"195"
"81";"réprimer";"-0.298990649780972";"1.17195442629194";"0.862268281457569";"196"
"82";"système";"-0.311582003743527";"-0.780179226026816";"0.861736531921309";"197"
"83";"shein";"-0.241330584913104";"-1.55858529848836";"0.861367219918949";"200"
"84";"emji_mains_qui_forment_un_coeur";"6.45655244059735";"0.052150500918018";"0.860790660028511";"202"
"85";"canon";"-0.29095439690153";"1.05248616122159";"0.859587128599182";"203"
