"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"hamas";-25,082;-32,041;2776,802;-19,145;-4,805;-91,11;-92,698;-94,077;-46,185
"travailler";-25,479;-27,293;-47,293;-4,546;0,869;-11,437;-33,497;687,088;-11,582
"français";-25,988;-13,447;-33,986;-8,297;338,843;-7,006;0,442;111,229;-5,144
"connaître";-22,961;-20,338;-9,681;-3,627;7,073;5,572;138,867;-16,074;-4,882
"peuple";-21,893;-39,545;301,445;-1,151;-3,443;-16,198;6,51;-0,118;-30,587
"continuer";-15,02;-36,024;75,547;-0,797;-1,207;-1,331;-3,672;3,576;3,381
"changer";-22,174;-28,624;-19,986;-2,456;-5,114;87,487;-1,768;5,109;2,837
"raison";-23,84;-18,597;-2,849;0,086;1,61;87,002;-0,716;-5,9;0,151
"manifestation";-24,063;-36,165;1,132;4431,528;-4,54;-58,108;-49,981;-76,201;-37,941
"arriver";-25,252;-18,984;-7,818;-3,502;8,617;24,678;-2,736;32,547;-0,458
"etc";-22,82;-33,982;-4,569;-1,045;-4,218;1,122;-6,608;34,985;55,568
"humain";-16,832;-37,158;2,569;-0,385;-6,579;147,286;-0,322;-28,003;-0,259
"plutôt";-24,856;-22,932;-6,489;-2,505;-0,968;2,373;43,189;1,493;0,05
"rendre";-19,929;-24,836;16,333;-0,966;-0,257;33,185;0,003;-7,133;0
"utiliser";-23,611;-31,404;0,85;0,071;-6,307;-24,659;72,325;0,932;9,19
"gauche";-21,244;-10,987;-10,114;-0,024;-6,232;-87,365;574,368;-16,04;-7,642
"sujet";-21,864;-16,987;-27,716;-2,084;-2,952;-4,899;513,479;-37,568;-19,034
"moment";-19,481;-22,426;-0,304;3,754;-0,762;165,966;-17,684;-1,485;-8,88
"cause";-21,075;-32,568;2,342;23,98;-2,764;3,501;2,014;-2,544;4,169
"population";-23,328;-36,944;30,465;2,289;-2,805;-0,072;-4,577;38,085;-2,618
