"";"";"";"";"être";""
"80";"avant";"-0.186986292590903";"0.121954839384468";"0.923628974530676";"139"
"81";"rien";"-0.172600221891365";"0.00211438931686571";"0.920599441198882";"142"
"82";"anti";"-0.241814217238612";"0.234575202912209";"0.918475073313783";"144"
"83";"divers";"-0.263147415516301";"0.157824714769237";"0.91845198235851";"145"
"84";"plein";"-0.0423118518713677";"-0.339577093533284";"0.917482162237052";"146"
"85";"pourquoi";"-0.172381137801826";"0.253869313327674";"0.916840233680467";"147"
"86";"autrui";"-0.25989088438911";"0.24482848379569";"0.913704481954419";"150"
"87";"aucunement";"-0.262592602869434";"0.383826780759464";"0.913593645369109";"151"
"88";"où";"-0.200082106594648";"0.0132223984880122";"0.912739280024015";"152"
"89";"400";"0.191056847822493";"-0.465196214913125";"0.910836585309534";"157"
"90";"au";"-0.132420874572749";"0.000423071818678302";"0.910536402890988";"158"
"91";"là";"-0.152590266945754";"-0.00144525308393068";"0.909968365391276";"159"
"92";"2022";"-0.320313330903144";"-0.432394015573015";"0.909266400350983";"161"
"93";"dont";"-0.233138244590225";"0.439244905902007";"0.908883090493454";"163"
"94";"mal";"-0.0812216029479599";"-0.1580324967417";"0.907996397810978";"165"
"95";"ta";"-0.0666002023912785";"-0.132549395743236";"0.907409887547048";"168"
"96";"peu";"-0.184050836980267";"-0.173244956677144";"0.906957304823701";"170"
"97";"cependant";"-0.275390003997461";"0.0334500183866268";"0.906477012954026";"171"
"98";"neuf";"-0.285277142476106";"-1.12730568107587";"0.904666682060637";"172"
"99";"maintenant";"-0.0946369824532325";"0.25343270842291";"0.904440390698963";"173"
"100";"cette";"-0.113290500997917";"0.0272393939984132";"0.902884060313575";"174"
"101";"autres";"-0.210417923669205";"-0.0613256088029268";"0.901997367631099";"177"
"102";"quasi";"-0.243352574584317";"-1.09270795117994";"0.901669476066225";"178"
"103";"bon";"0.0989107864470764";"-0.180339979298877";"0.900200891310874";"179"
"104";"ceux";"-0.199575508792204";"-0.00916885246499034";"0.900080818343455";"180"
"105";"cela";"-0.218906418933825";"-0.10871698774345";"0.89976216316069";"181"
"106";"te";"-0.0726094596428846";"-0.0973970850356009";"0.899355762347888";"182"
"107";"très";"-0.0718527335708442";"-0.256079968844838";"0.897591613365045";"184"
"108";"afin";"-0.277614187683134";"0.0543369640811247";"0.896829611841042";"185"
"109";"dehors";"-0.0625642493675924";"-0.567864116125039";"0.895984482878057";"191"
"110";"inter";"-0.187681723083803";"-0.317695862072555";"0.895504191008382";"192"
