"";"";"";"";"israélien";""
"52";"france";"0.402171524769277";"-0.9742920355327";"0.866323777424651";"197"
"53";"baisser";"0.724956134647422";"-1.23044062656137";"0.866186087449575";"198"
"54";"école";"-0.497002344073454";"-0.087560959265082";"0.865836161190565";"200"
"55";"humanitaire";"1.74600989728856";"2.68255993220231";"0.864485377169714";"204"
"56";"tronche";"-0.13153027225399";"0.150993884885935";"0.864447613579043";"205"
"57";"call";"-0.0689039782888087";"-0.345672505109094";"0.864191483251407";"206"
"58";"répondre";"0.0973808275717886";"0.00417272515106938";"0.864146117898978";"208"
"59";"franc";"0.462612161080772";"-0.987469549820395";"0.863653106866224";"211"
"60";"mdrrr";"-0.209444688461193";"-0.294319888396571";"0.863254504810149";"213"
"61";"discriminatoire";"-0.204492668486577";"-0.203850700400901";"0.863089473014554";"214"
"62";"couple";"0.196608677586468";"-0.0388885745891868";"0.861356026115507";"219"
"63";"colon";"1.94044273708492";"3.4271045249841";"0.861142808959089";"220"
"64";"bannir";"0.0698177213004755";"-0.289120884313553";"0.860035526532629";"223"
"65";"problème";"0.549058132359698";"-0.328871106124684";"0.859552569442846";"224"
"66";"fortune";"0.742747844058892";"-1.08010387649911";"0.858383614658894";"230"
"67";"prime";"0.778177190630633";"-1.06252682270751";"0.857979740413212";"232"
"68";"comprendre";"0.087891697849862";"-0.0619972171621462";"0.857756959750065";"233"
"69";"mois";"0.524270979210482";"-0.847560308962794";"0.857716253541939";"234"
"70";"emji_visage_riant_aux_larmes";"-0.88457708604381";"0.0582757481927187";"0.857040922836043";"237"
"71";"kevin";"0.0365538918650103";"-0.455978353215467";"0.856867185797145";"238"
"72";"ukraine";"1.59745817857034";"2.30973639432203";"0.856250462222226";"240"
"73";"commenter";"0.107089549042264";"0.0268202956919801";"0.855469687724197";"248"
"74";"milliard";"0.885690348216515";"-0.890733126250978";"0.854409977613258";"251"
"75";"produit";"0.76516578842659";"-1.14004115092164";"0.854198109156506";"252"
"76";"relire";"0.137075280349431";"0.0811163282570933";"0.854175549089352";"253"
"77";"moyenne";"0.757445769496002";"-1.13824848209829";"0.853914759617413";"255"
"78";"mdr";"-0.049404591391824";"-0.0737819727207216";"0.853503283609972";"260"
"79";"emji_pouce_vers_le_haut";"-2.56483050830083";"0.72328212110367";"0.853187687887936";"261"
"80";"banque";"0.823363029477812";"-0.912154813840496";"0.853147717334174";"262"
"81";"errant";"-0.27063650316121";"-0.356303011071308";"0.852870988684354";"263"
"82";"ramper";"-0.204492668486577";"-0.203850700400901";"0.852570351267714";"264"
"83";"duty";"-0.204492668486577";"-0.203850700400901";"0.852570351267714";"265"
"84";"confiserie";"-0.204492668486577";"-0.203850700400901";"0.852570351267714";"266"
"85";"voisin";"-0.0351562978772454";"-0.118124179912225";"0.852381655923419";"269"
"86";"svp";"-0.294028588008298";"0.115207316480139";"0.852288963473591";"271"
"87";"emji_visage_roulant_des_yeux";"0.0550096108766107";"-0.117896197949171";"0.852099287256811";"272"
"88";"emji_visage_retenant_ses_larmes";"-3.15638767925856";"0.860720307684062";"0.852046320142623";"273"
"89";"extrême";"0.505237848743689";"0.233244400221873";"0.852041293171138";"274"
"90";"acheter";"0.396168780772192";"-0.852487895557641";"0.852006349588861";"275"
"91";"post";"0.219331569628874";"0.134282733761515";"0.85184205344763";"276"
"92";"emji_visage_en_pleine_réflexion";"0.05761192764577";"-0.0383202342480769";"0.851364981592758";"278"
"93";"apprendre";"-0.183162466379845";"-0.0732749318189774";"0.851033569301901";"279"
"94";"jour";"0.0330054076967041";"-0.383747155821857";"0.850605295853155";"281"
"95";"emploi";"0.814672540971883";"-1.20811429378042";"0.850513093839569";"282"
"96";"transport";"0.781950976598311";"-1.2538104235706";"0.850391097824252";"283"
"97";"parler";"0.189493595250816";"0.114858705929621";"0.850059195097154";"287"
"98";"propos";"0.25560780821081";"0.204007806912313";"0.849412800129564";"291"
"99";"massacrer";"1.81459364046813";"3.16539956332323";"0.849336169466677";"293"
"100";"assassiner";"1.96881278442484";"3.26236470501974";"0.84917273158887";"295"
"101";"jeune";"-0.500430374782291";"-0.0427868211405318";"0.848993109315062";"296"
"102";"phrase";"-0.408587909034194";"0.175877778236598";"0.848984894508";"297"
"103";"soldat";"1.76065499170127";"2.5660006886393";"0.848655321353053";"298"
"104";"expression";"0.233028026671068";"0.0751404588212643";"0.848461599037274";"299"
"105";"raison";"-0.104031895246347";"0.113709932905379";"0.848285532426223";"302"
"106";"bombardement";"2.08294273289696";"3.55030137219581";"0.848072928315108";"303"
"107";"info";"0.404845612117395";"0.108951890106821";"0.847475944798949";"307"
"108";"dixit";"-0.687109118204497";"-0.186853696863453";"0.847230849286769";"310"
"109";"emji_drapeau_territoires_palestiniens";"1.34315740820459";"3.25541127926168";"0.847106033263058";"311"
"110";"instagram";"0.0113277676991955";"-0.124933454609373";"0.847017877348472";"312"
"111";"colonisation";"1.8377619964006";"2.85118579734056";"0.846709147733831";"313"
"112";"vivre";"-0.0463620594408883";"-0.15968370420043";"0.846315082212998";"315"
"113";"french";"-0.280504811486536";"-0.292241649473139";"0.846214542783289";"316"
"114";"contraire";"0.486230570965296";"0.0917275206578836";"0.846141345174099";"317"
"115";"coûter";"0.588720425910708";"-1.10111830592218";"0.845853459099763";"319"
"116";"terrorisme";"1.81504259539452";"3.17197520833014";"0.845791664133211";"320"
"117";"bombe";"1.45170439672485";"2.72680035455564";"0.84492543111993";"322"
"118";"sanction";"1.63904629584775";"2.35378969859797";"0.844592179693164";"325"
"119";"féminisme";"0.536494032596405";"-0.179162718229596";"0.844386441689444";"326"
"120";"sentir";"0.0791386441195903";"-0.12118545420738";"0.844279403979522";"327"
"121";"preuve";"0.5633719582828";"0.231761098035117";"0.844267878727824";"328"
"122";"justement";"0.524794552893461";"-0.0722320999554019";"0.844062263333164";"329"
"123";"ca";"-0.0540086845140296";"-0.143766610494306";"0.843995931831369";"330"
"124";"remettre";"0.323771995598999";"-0.0179004858945045";"0.84375095892825";"331"
"125";"emji_visage_boudeur";"0.399685544688794";"0.351804142896138";"0.843730115387944";"332"
"126";"marché";"0.660429374290557";"-0.981363243788435";"0.843667707376089";"333"
"127";"utiliser";"0.436137428937372";"-0.939695177682768";"0.843627368995145";"334"
"128";"trip";"-0.0237077482228861";"-0.392946440011825";"0.843601498483354";"335"
"129";"islamophobes";"-0.149264834469588";"-0.190024925729317";"0.843601498483354";"336"
"130";"your";"-0.760645938530873";"-0.00153506914973837";"0.843601498483354";"337"
"131";"coupable";"1.68955496546419";"2.66650850330316";"0.843560179229925";"339"
"132";"vraiment";"-0.143923857361749";"-0.0638755951886416";"0.843517143449647";"341"
"133";"travailler";"0.312790821069946";"-0.665451144616824";"0.843167462408759";"342"
"134";"profil";"0.212435142079574";"0.0831116829878974";"0.843131415344936";"343"
"135";"udc";"0.264859961125741";"-0.140246595309576";"0.843038600286047";"344"
"136";"pigeon";"-0.0527076573491765";"-0.454848973261191";"0.842798899572535";"345"
"137";"habitat";"0.187241453685428";"-0.755972779136618";"0.842638772139365";"346"
"138";"honteux";"0.483760909497229";"0.193753107885144";"0.842341445167361";"347"
"139";"choper";"-0.214384918626068";"-0.278746637871641";"0.842220062197347";"348"
"140";"route";"0.559950456458575";"-0.858855038626211";"0.842147600242521";"349"
"141";"trql";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"350"
"142";"sapeur";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"351"
"143";"regroupement";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"352"
"144";"nword";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"353"
"145";"nonne";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"354"
"146";"djeuns";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"355"
"147";"christie";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"356"
"148";"chocolaterie";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"357"
"149";"agatha";"-0.204492668486577";"-0.2038507004009";"0.842051474738995";"358"
"150";"instinct";"-0.000976290189418145";"-0.506671540122435";"0.841986246718745";"359"
"151";"bouffer";"0.0870861019854776";"-0.262476934266115";"0.841893186441734";"360"
"152";"livre";"0.056900053890568";"0.0110482909729881";"0.841588012489851";"361"
"153";"effacement";"0.116553738326153";"0.23113300310507";"0.841565207204575";"362"
"154";"berset";"-0.334214954831187";"-0.321101265714692";"0.841565207204575";"364"
"155";"argot";"-0.000206765071137276";"-0.168275313834415";"0.841565207204575";"365"
"156";"ultra";"0.716641998254769";"-0.915943145605988";"0.841265060224177";"366"
"157";"passer";"0.116255138200359";"-0.148409560037403";"0.841243726247629";"367"
"158";"produire";"0.776524733457922";"-0.970316693303356";"0.841175800828046";"368"
"159";"bad";"0.0384685703443303";"-0.155479295168451";"0.840724599484964";"369"
"160";"degré";"0.000280634141595965";"-0.42126227636593";"0.840685487194626";"370"
"161";"gaffe";"-0.128694698506887";"-0.504185006018186";"0.840506845793303";"371"
"162";"augmentation";"0.823228128953507";"-1.160453869429";"0.839952039793997";"373"
"163";"poulailler";"-0.523051485280443";"-0.363283134400565";"0.839665257201206";"374"
"164";"élève";"-0.235840956132433";"-0.129743741791239";"0.839633256236385";"375"
"165";"opinion";"0.617369790324371";"0.147816971529399";"0.839507459340188";"376"
"166";"orthographe";"0.0596245902364113";"-0.0306796156934013";"0.839269352544464";"377"
"167";"sexe";"0.325574530201416";"-0.0970870812419296";"0.839238700279309";"378"
"168";"humain";"0.263955767951195";"0.181296170684336";"0.839225335891701";"379"
"169";"laisser";"0.343988523333182";"-0.0934510647221619";"0.838891716637754";"380"
"170";"ais";"-0.315164283909944";"-0.0931575720765981";"0.838840466050415";"381"
"171";"héritage";"0.680017641032537";"-1.08042777786738";"0.838736370957949";"384"
"172";"émouvant";"-3.29422467890791";"0.906895564361633";"0.838449343147037";"385"
"173";"vélo";"0.67505918039045";"-1.2828117187997";"0.838099784715209";"388"
"174";"équipe";"0.0981087951253078";"-0.701825497312029";"0.837470432407046";"389"
"175";"enfance";"-2.5352702929396";"0.612680714828472";"0.837303316257421";"394"
"176";"fn";"-0.526236968298524";"-0.192519364709269";"0.837195665502196";"396"
"177";"emji_moai";"0.10542433767975";"-0.5280148254482";"0.837195665502196";"397"
"178";"renommer";"-0.526236968298524";"-0.192519364709269";"0.837195665502196";"398"
"179";"ptits";"-0.0125321625296653";"-0.366957163317107";"0.837195665502196";"399"
"180";"mondial";"0.829664699047424";"-0.513737267159054";"0.837054665082483";"400"
"181";"connaître";"-0.220522236992183";"-0.0441132702295948";"0.83659340979643";"404"
"182";"stériliser";"-0.477734800509611";"-0.880690978661659";"0.83653799050103";"405"
"183";"pauvre";"-0.0127931556745471";"-0.209124395416312";"0.836405082279318";"406"
"184";"pffff";"0.273752683023016";"-0.225183252228885";"0.836301355014033";"407"
"185";"avis";"0.356798107545314";"0.0678888757966792";"0.836143189325834";"408"
"186";"billet";"0.360563032724179";"-0.98281580646144";"0.836137671918106";"409"
"187";"train";"0.678058520036756";"-0.6094216792596";"0.83604166902364";"410"
"188";"dico";"-0.540442499685423";"-0.00791999279373647";"0.835943826993265";"411"
"189";"énergie";"0.409857258019772";"-0.877341704895196";"0.835934263486537";"412"
"190";"training";"-0.167281947377147";"-0.294216594467479";"0.83586560241259";"413"
"191";"prouver";"0.7066287914214";"0.171270650444595";"0.835860820659226";"414"
"192";"emji_étincelles";"-2.76681565668519";"0.778087961187446";"0.835653243519596";"415"
"193";"vaud";"0.463918108132568";"-1.08160520221307";"0.834885956018235";"419"
"194";"polluer";"0.786925434663703";"-1.06707911752379";"0.834624798719114";"420"
"195";"fouine";"-0.187678062672453";"-0.515874936790191";"0.834464916504066";"421"
"196";"banane";"-0.0376328268444758";"-0.606188970366752";"0.834288604674894";"422"
"197";"politique";"0.745012145373878";"0.0937163849497034";"0.834288114238652";"423"
"198";"montrer";"0.361406028161226";"0.263778260051937";"0.834231346243584";"424"
"199";"discours";"0.223426493160456";"0.251965503118467";"0.834137427703149";"425"
"200";"végétarien";"0.144911759511541";"-0.734567414552691";"0.834103219775236";"426"
"201";"réel";"0.470404249255922";"-0.115862876194692";"0.834042037853987";"427"
"202";"bamboula";"-0.138219267666191";"-0.187259770795";"0.83344149867507";"429"
"203";"couscous";"-0.871876592539732";"0.0389280571004939";"0.83344149867507";"430"
"204";"protectorat";"-0.871876592539732";"0.0389280571004939";"0.83344149867507";"431"
"205";"email";"-0.15268986446333";"-0.205284860950479";"0.83344149867507";"432"
"206";"emji_visage_qui_vomit";"0.042093849128865";"-1.14240110046533";"0.833420409916643";"435"
"207";"heureusement";"-0.11052837353615";"-0.255127126076895";"0.83336253844003";"436"
"208";"économique";"0.9050742445739";"-0.66404182443484";"0.833352729715181";"437"
"209";"adulte";"-0.0690385547981752";"-0.143607757574025";"0.833240419815653";"439"
"210";"accident";"0.817996386734921";"-1.05186811005996";"0.832962832902409";"440"
"211";"client";"0.515660079462547";"-0.950942449824075";"0.832850645611942";"441"
"212";"réduire";"0.816570183747925";"-1.02241291869961";"0.832824529882029";"442"
"213";"avion";"0.758562831284936";"-1.05060788873484";"0.832784436719207";"443"
"214";"rouler";"0.275227926263243";"-0.870445135247339";"0.832697752113348";"444"
"215";"féministe";"0.452798666878994";"0.0697144404799444";"0.832561043010757";"445"
"216";"emji_coeur_cartes";"-3.2616649282103";"0.885108496599518";"0.832503048925084";"446"
"217";"photo";"-0.316020841067207";"0.149413826213972";"0.832469821869656";"447"
"218";"sujet";"0.285169157289318";"-0.0962496883692794";"0.832248512515236";"449"
"219";"taux";"0.806839245133";"-1.10460109735903";"0.832133873043557";"451"
"220";"vendre";"0.546217732593504";"-0.485997293381971";"0.832117320820373";"452"
"221";"argument";"0.482835865124289";"-0.00584327332706718";"0.831945545526444";"453"
"222";"travail";"0.35011666018194";"-0.546686374580717";"0.831770337178818";"454"
"223";"discuter";"0.275953043149806";"0.0249237196184753";"0.831588507941918";"455"
"224";"guadeloupe";"-0.204492668486577";"-0.2038507004009";"0.831532966037457";"456"
"225";"colibri";"-0.204492668486577";"-0.2038507004009";"0.831532966037457";"457"
"226";"antiraciste";"-0.204492668486577";"-0.2038507004009";"0.831532966037457";"458"
"227";"mouton";"-0.191519031375809";"-0.423269176548299";"0.831532475601215";"459"
"228";"témoignage";"-2.5203996034053";"0.893441157843063";"0.831429238772173";"460"
"229";"célibataire";"0.244320369864804";"-0.0145783268381271";"0.83134954288277";"461"
"230";"plastique";"0.34941095702852";"-1.26044164796286";"0.831170656263325";"463"
"231";"masculinisme";"0.55925588455098";"-0.0467962025452593";"0.83083948919059";"465"
"232";"originel";"-0.448016755146571";"0.34585271612145";"0.830805158653617";"466"
"233";"milliardaire";"0.856108975633158";"-1.02491690234774";"0.830757586338096";"467"
"234";"simplicité";"-2.97893814632041";"0.788060930339791";"0.830682794811118";"468"
"235";"employé";"0.662168027725365";"-0.934920070916041";"0.83035309904711";"471"
"236";"envie";"-0.317141354121052";"-0.14190078837665";"0.830251946572099";"472"
"237";"céréale";"-0.0692499444669819";"-0.225259072005826";"0.83023245173146";"473"
"238";"racisme";"0.404817116128358";"0.0646947487459314";"0.830204987301881";"474"
"239";"offrir";"0.16412992991574";"-0.554180509003298";"0.829964183106823";"475"
"240";"humour";"-0.503690096262715";"0.176513674787833";"0.829930343006092";"476"
"241";"comportement";"0.601933439758";"0.0317237560058658";"0.829908641202362";"478"
"242";"scientifique";"0.462495579385509";"-0.207676620173308";"0.829883751563057";"479"
"243";"écosystème";"0.238074375457458";"-0.517080509383255";"0.829844026227416";"480"
"244";"cas";"0.400461896125426";"-0.19494289619436";"0.829726689356402";"481"
"245";"vomir";"0.0735115491814749";"-0.437329980815199";"0.829593168089387";"485"
"246";"gibier";"-0.187678062672454";"-0.515874936790191";"0.829537871403047";"486"
"247";"andrew";"-0.187678062672454";"-0.515874936790191";"0.829537871403047";"487"
"248";"poussin";"-0.210560376536208";"-0.326337070930083";"0.829438190236763";"488"
"249";"euro";"0.563864294672326";"-1.00180960775712";"0.829379092669544";"489"
"250";"georges";"-2.73182257267359";"0.776318701068546";"0.82931092203184";"491"
"251";"génération";"-0.513028757501042";"0.0599749680782206";"0.829293021108989";"492"
"252";"emji_mains_en_prière_peau_claire";"-2.61298445519154";"0.631490960326132";"0.829252192291802";"493"
"253";"adorable";"-2.66993737936909";"0.703214796557198";"0.829248514019984";"494"
"254";"assumer";"0.633867591816736";"0.355778023369347";"0.829212957392404";"495"
"255";"empoisonner";"0.367422237994511";"-0.339527142821158";"0.829192113852099";"496"
"256";"manière";"0.365128944511882";"-0.0382494705065571";"0.829127376268091";"498"
"257";"chômage";"0.852049347232091";"-1.27425071108216";"0.829046331679021";"500"
"258";"pareil";"-0.193976350466464";"-0.279153137618564";"0.828851751099817";"501"
"259";"anglais";"0.284955270692334";"0.117034930083277";"0.828466390822288";"504"
"260";"excellent";"-2.16873550946833";"0.521952190050785";"0.828317788640817";"505"
"261";"projet";"0.61381501938731";"-0.691787448142594";"0.828244836249748";"506"
"262";"arriver";"0.0913566454729319";"-0.214994493543082";"0.828117690653885";"507"
"263";"abeille";"-0.528244122388195";"-0.440136509344088";"0.827961364101594";"511"
"264";"patron";"0.482868476611712";"-0.945370655358626";"0.827935738807924";"512"
"265";"second";"0.266644833709072";"-0.000331088587866412";"0.827813252356365";"513"
"266";"célestin";"-3.25309391996125";"0.97171955903392";"0.827512492330664";"514"
"267";"moyen";"0.718334384856388";"-0.368316508400727";"0.827496798370905";"515"
"268";"revenir";"0.180661291903262";"-0.551403029686798";"0.82747620004872";"516"
"269";"sortir";"0.0987999909715039";"-0.152820852723877";"0.827390128488165";"517"
"270";"etc";"0.463539464161341";"-0.380296396171067";"0.827325145686036";"518"
"271";"famille";"-0.245575869653254";"0.162756719073307";"0.827133262506166";"519"
"272";"sagesse";"-3.01189637332635";"0.854755118778655";"0.827070118839947";"521"
"273";"donner";"0.133050841999837";"-0.0406194979280013";"0.826870143462075";"522"
"274";"chou";"-2.82608057322351";"0.889374810423278";"0.826768868378003";"523"
"275";"prochain";"-0.0151601137839343";"0.0568172895491047";"0.826737603067545";"524"
"276";"éducation";"0.0714298203704452";"-0.187994493564446";"0.826672988092598";"525"
"277";"vrai";"-0.197815888188369";"0.0550919413792164";"0.82664773062611";"526"
"278";"carence";"0.221401907386493";"-0.592953008782155";"0.826273405164037";"528"
"279";"rapport";"0.493360441953263";"-0.0593649514835597";"0.826206092789757";"529"
"280";"gauchiste";"0.372604558503896";"0.291221278480954";"0.826063375843195";"531"
"281";"publier";"0.261697819128053";"0.334770429372115";"0.82566489639618";"533"
"282";"bête";"-0.325543767909475";"-0.083464930793246";"0.825618917998447";"534"
"283";"emji_yeux";"-0.212337206332396";"0.00332858473197074";"0.825530271647619";"535"
"284";"étude";"0.548348034531263";"-0.512952589776469";"0.825505382008313";"536"
"285";"finir";"0.133719031797711";"-0.0657036917075469";"0.825455602729701";"537"
"286";"âge";"-0.600508954207279";"0.0416199616864065";"0.825232209021251";"538"
"287";"emji_visage_de_geek";"0.0549798337869763";"0.092030212243352";"0.825207441991006";"539"
"288";"culture";"0.329611779089104";"-0.0979068297695133";"0.825199104574884";"540"
"289";"combat";"0.38125256471614";"0.464971093365513";"0.825119531294542";"541"
"290";"traquer";"-0.0351216461341648";"-0.633382108401085";"0.825105799079752";"542"
"291";"micro_ondes";"-0.0351216461341648";"-0.633382108401085";"0.825105799079752";"543"
"292";"emji_visage_en_colère_avec_des_cornes";"-0.0351216461341648";"-0.633382108401085";"0.825105799079752";"544"
"293";"démodé";"-0.666782952112439";"-0.297886647662154";"0.825105799079752";"545"
"294";"méchant";"0.527163868325852";"0.192739633078713";"0.825100159062964";"546"
"295";"insta";"-0.375623872436703";"0.214974881172179";"0.825049276302806";"547"
"296";"dépendant";"0.21255503656791";"-0.565579161391466";"0.825025122317864";"548"
"297";"habiller";"-0.536660462680325";"0.124151947606158";"0.824947756000613";"550"
"298";"joyeux";"-2.87486226815814";"0.820432199625195";"0.824862910530664";"551"
"299";"essayer";"0.299147013252293";"-0.0971873113864268";"0.824835936537327";"552"
"300";"rome";"-0.202304614183508";"-0.204284630480636";"0.82476335197344";"553"
"301";"reuf";"-0.187678062672454";"-0.515874936790191";"0.82461107152015";"554"
"302";"canidé";"-0.187678062672454";"-0.515874936790191";"0.82461107152015";"555"
"303";"moment";"-0.179978530912657";"0.195714142880966";"0.824436721435948";"558"
"304";"dent";"-0.234491026230495";"-0.551350534123186";"0.824299889724296";"559"
"305";"propre";"0.348364836303906";"-1.04788345267224";"0.824243121729229";"561"
"306";"faim";"0.117506776334144";"-0.271518240459033";"0.82416023800425";"562"
"307";"exister";"0.184806566822691";"-0.140329233522918";"0.824024141946962";"563"
"308";"réflexion";"0.0780060328751841";"0.0318334039843039";"0.824017398448628";"564"
"309";"sexuel";"0.552751440981011";"0.0384317612896153";"0.823966270470349";"565"
"310";"emji_poignée_de_main";"-0.311617645243686";"-0.815434624539871";"0.823966147861288";"567"
"311";"violence";"0.70829545396094";"0.570578888252464";"0.823881915436642";"569"
"312";"sérieux";"0.125296805600125";"-0.124435833025801";"0.823844642282214";"570"
"313";"fondue";"-2.99482298576313";"0.785515291528048";"0.823674093078891";"571"
"314";"malheureusement";"0.171131761827919";"-0.0181733745116641";"0.8236205129194";"572"
"315";"man";"-0.338965498753918";"-0.397968266796948";"0.823607761577096";"573"
"316";"domestiquer";"0.0206278652842834";"-0.520074725822435";"0.823607761577096";"574"
"317";"nain";"-0.342020182034754";"-0.455220233839803";"0.823485888170839";"575"
"318";"bêtise";"0.170266863007402";"-0.0241116167225412";"0.823323063338336";"576"
"319";"claque";"-0.283313381792799";"-0.0901863147109249";"0.823321592029609";"577"
"320";"ordinateur";"0.267161571752588";"-0.54678762500056";"0.823310557214153";"578"
"321";"jardin";"-0.0761793854379022";"-0.250410594468396";"0.823308350251062";"579"
"322";"importer";"0.322404359533782";"-0.147163617683874";"0.823261268371783";"580"
"323";"page";"-0.00113379029008644";"0.277651706129146";"0.823255873573116";"581"
"324";"prof";"-0.43511402306307";"-0.166613348203797";"0.823142705410164";"583"
"325";"science";"0.346728618917047";"-0.338409864997468";"0.823071714764065";"584"
"326";"fake";"0.0746525114334858";"-0.159529125600703";"0.823014333723695";"585"
"327";"raisonnement";"0.578664500859688";"0.269498623161505";"0.822993858010571";"586"
"328";"servir";"0.518708916131807";"-0.935174218484441";"0.822817423572339";"587"
"329";"statistique";"0.512176058307038";"-0.291024572513684";"0.822740792909451";"590"
"330";"emji_chat_souriant_aux_yeux_en_coeurs";"-3.42541442938519";"0.97065390677527";"0.822656315266684";"591"
"331";"romance";"0.551177297638419";"-0.0488507297041355";"0.822609355996466";"592"
"332";"emji_visage_souriant";"-2.30818973595291";"0.526945202331845";"0.822553691482945";"593"
"333";"chanson";"-2.78092830489339";"0.737223863598831";"0.822475344293209";"594"
"334";"idéologie";"0.746273121550025";"0.320594579928347";"0.822466516440844";"595"
"335";"wtf";"-0.27109879081738";"-0.12454313853252";"0.822428262413931";"596"
"336";"bagage";"0.00619456572933128";"-0.698494333856067";"0.822428262413931";"597"
"337";"nourriture";"0.524691147693721";"-0.564148984613537";"0.822425810232718";"598"
"338";"libre";"0.37685133836556";"0.156102777068796";"0.822248027094819";"599"
"339";"renseigner";"0.525687382398846";"0.276183149952946";"0.822240547942121";"600"
"340";"oral";"-0.131404586868453";"-0.0912252169446563";"0.822158032044324";"601"
