"";"";"";"";"israélien";""
"1";"israélien";"2.12018381216958";"3.5937503497147";"1.1846063544152";"23"
"2";"manger";"-0.420118772958041";"-0.360031428773796";"1.14053415974813";"28"
"3";"commentaire";"0.0235283801414294";"0.000452477437574718";"1.11165702857276";"33"
"4";"pâtisserie";"-0.618907454000351";"-0.0271071057499924";"1.05899459790052";"41"
"5";"terroriste";"2.03829714535027";"3.4999779847342";"1.05639307885228";"42"
"6";"péjoratif";"-0.0367109212174802";"-0.0854641706182685";"1.05108643609959";"44"
"7";"chien";"-0.354929198764762";"-0.200436450102473";"1.0108591389645";"52"
"8";"blague";"0.107801561430092";"0.0934005108289665";"0.965654649622595";"64"
"9";"hygiénique";"-0.00273457419246679";"-8.64532726947351";"0.954797004259383";"72"
"10";"question";"0.3970345951992";"-0.102024352161866";"0.952030698633673";"74"
"11";"manifestant";"1.76720894651576";"2.87347870856352";"0.947126704036051";"76"
"12";"emji_mains_en_prière";"-2.86310876170263";"0.827787456535193";"0.944718539476411";"77"
"13";"emji_visage_souriant_avec_coeurs";"-3.2360746549276";"0.892162570343917";"0.941893626719724";"79"
"14";"blanc";"-0.172657655648152";"0.111565871619181";"0.927870583238483";"84"
"15";"chose";"0.121444015025633";"-0.112772870948995";"0.925358323586377";"87"
"16";"inclusif";"-0.0997995093740575";"-0.270025112424897";"0.910497001957677";"99"
"17";"massacre";"1.82281868279457";"3.20314397400657";"0.905883590833724";"105"
"18";"langue";"0.0443159001105718";"-0.235750567051847";"0.905730697335131";"107"
"19";"prisonnier";"1.93599860908279";"3.52641464297618";"0.904496391921869";"109"
"20";"croquette";"-0.127505961622159";"-0.520420043575971";"0.904452988314409";"110"
"21";"cessez_le_feu";"2.10028924318692";"3.59054422636431";"0.895139726678768";"119"
"22";"carnivore";"-0.0381971694995016";"-0.363329022526937";"0.89473290981563";"121"
"23";"vegan";"-0.287062380512101";"-0.48529372711106";"0.894012581584487";"122"
"24";"secte";"-0.0774547058961394";"-0.37641565681583";"0.89262121396457";"126"
"25";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"-3.4161446543066";"0.957800678402014";"0.891707286026708";"128"
"26";"canton";"0.541451693238305";"-1.02850210136303";"0.889478008086513";"129"
"27";"gens";"0.194013724684408";"-0.214626384184383";"0.885271413825699";"138"
"28";"russie";"1.78194513832948";"3.12993613144221";"0.884454469654787";"141"
"29";"poser";"0.390097343465862";"-0.25027384109067";"0.884151012229752";"142"
"30";"negro";"-0.204492668486577";"-0.2038507004009";"0.884128452162598";"143"
"31";"genève";"0.214427776945224";"-0.693466106111253";"0.880809179673491";"146"
"32";"allemand";"-0.0276368507713724";"-0.00744068111547724";"0.880673941879627";"147"
"33";"maltraitance";"-0.0378989097264795";"-0.310285115037649";"0.878925781893306";"149"
"34";"changer";"-0.0573369307950986";"-0.176235438745341";"0.877936326774102";"152"
"35";"parent";"-0.143157652961447";"-0.417267471028555";"0.877491746320293";"154"
"36";"casseur";"1.88812442690118";"3.21590442236426";"0.876910456763893";"155"
"37";"temps";"-0.174062060672601";"-0.133029111984117";"0.876422595311686";"157"
"38";"offensant";"-0.204492668486576";"-0.2038507004009";"0.873608839979515";"165"
"39";"criminel";"1.5883177674409";"2.40757159127358";"0.872966245892805";"166"
"40";"loup";"-0.0281195864242452";"-0.0702736643244085";"0.872840203778488";"168"
"41";"lunaire";"-0.421723547197727";"0.092064173170406";"0.871921616696322";"169"
"42";"emji_crâne";"-0.0630491729276932";"-0.325056299377694";"0.8716996942966";"170"
"43";"emji_visage_souriant_avec_yeux_rieurs";"-2.48097162821829";"0.624106375489643";"0.871224706795758";"174"
"44";"bombarder";"1.88865601657772";"3.13220899263711";"0.871084564639469";"175"
"45";"hérisson";"-0.32993863294543";"-0.428383418542438";"0.87002093103859";"176"
"46";"régional";"0.197077095271376";"-0.238486501462481";"0.869651632548002";"178"
"47";"société";"0.446626924197389";"-0.28789074426171";"0.869629685526151";"179"
"48";"emji_visage_qui_hurle_de_peur";"-0.450248116706903";"-0.323703722171755";"0.868299254609362";"185"
"49";"chasser";"0.230224889623903";"0.194226653670295";"0.867356513542254";"189"
"50";"penser";"0.0371611982480877";"-0.137410188700717";"0.86728834290455";"190"
"51";"gagner";"0.609414482956116";"-0.879360829904245";"0.867178362577173";"193"
