"";"*rts_a";"*rts_i"
"tu";42;410
"avoir";301;3541
"du";76;1002
"de";313;5353
"m";5;58
"reconnaître";32;117
"tout";57;544
"être";530;5936
"vrai";14;128
"emji_drapeau_états";1;13
"unir";7;78
"us";2;14
"emji_main_avec_index_pointant_à_droite";6;5
"ce";75;1130
"flic";4;31
"d";146;1722
"indignation";3;14
"sur";33;534
"l";187;2105
"un";113;1768
"élire";1;45
"aujourd_hui";17;69
"c";211;1782
"ton";10;70
"en";158;1949
"plan";3;62
"honteux";2;39
"quand";22;342
"le";211;3263
"monde";20;217
"innocent";8;72
"et";247;3722
"qu";71;1008
"il";124;1302
"ne";129;2382
"y";46;649
"pas";178;2501
"réseau";2;22
"social";1;27
"la";301;4075
"violence";3;122
"peu";9;111
"brutal";3;11
"comme";46;489
"emji_visage_qui_pleure";22;112
"me";17;94
"sembler";3;38
"aussi";38;266
"une";95;1284
"dégénérer";1;10
"humain";8;91
"si";27;490
"mal";4;64
"honnête";4;14
"avec";65;538
"lui";12;77
"même";29;403
"quelle";10;89
"quel";17;100
"guerre";53;485
"pour";94;1720
"tes";3;30
"soldat";4;58
"donc";17;315
"légal";3;43
"acheter";6;19
"mais";66;820
"illégal";3;90
"emji_visage_en_pleine_réflexion";4;43
"emji_visage_faisant_un_clin_d_oeil";12;37
"j";31;195
"adorer";3;7
"gare";1;10
"à";154;1956
"vous";65;1216
"importer";2;53
"personne";22;339
"qui";128;1768
"tenter";1;10
"agresser";2;11
"lausanne";4;11
"que";118;1919
"spray";1;12
"poivre";1;11
"dans";72;826
"ma";9;21
"nous";29;313
"cacher";7;58
"ta";5;37
"chrétien";22;90
"emji_visage_riant_aux_larmes";51;280
"je";91;609
"votre";3;216
"rôle";1;22
"on";83;1121
"vouloir";21;288
"les";267;3758
"civil";4;200
"devenir";3;54
"david";5;9
"toujours";8;181
"bien";50;441
"quant";3;13
"aux";30;306
"s";44;481
"opposer";2;29
"droit";13;401
"elles";4;62
"faire";124;1187
"mieux";12;60
"devant";5;41
"leurs";13;201
"porte";3;21
"car";8;156
"jugement";1;22
"totalement";2;19
"cela";11;148
"moins";11;122
"plus";46;732
"paix";29;308
"leur";13;352
"presque";2;19
"honte";5;47
"emprisonner";2;16
"longtemps";4;26
"homme";10;66
"engager";1;10
"résistance";1;17
"battre";2;16
"contre";4;358
"armée";3;172
"nazi";4;24
"devoir";16;317
"comment";15;107
"oser";3;19
"dire";55;475
"ça";84;691
"libérer";5;91
"europe";16;99
"pouvoir";33;515
"excuser";2;22
"quelques";4;32
"vol";2;11
"voleur";3;8
"justice";8;148
"avant";17;136
"après";6;143
"son";19;211
"travail";1;49
"fois";4;102
"mon";10;76
"iran";7;14
"groupe";12;91
"continuer";6;151
"emji_globe_tourné_sur_l";9;12
"afrique_et_l";6;11
"emji_feu";12;39
"otan";2;11
"respecter";5;136
"ses";11;158
"engagement";1;19
"vers";1;13
"éviter";2;21
"effet";2;9
"ukrainien";5;39
"savoir";23;240
"place";4;62
"tuer";22;210
"croire";14;130
"ils";60;951
"notre";15;132
"assassiner";5;47
"par";48;765
"gauche";3;68
"malheureusement";1;43
"bande";18;65
"emji_visage_avec_un_léger_sourire";4;18
"beau";19;28
"reprise";1;14
"des";161;2826
"accord";43;160
"bizarrement";2;22
"depuis";16;242
"accepter";1;35
"libre";3;28
"interessant";4;7
"histoire";9;80
"trouver";6;73
"femme";17;85
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";14;2
"détruire";4;72
"occident";6;25
"tous";19;292
"ces";25;423
"dieu";6;11
"ou";43;469
"laisser";2;82
"se";55;634
"courage";1;26
"face";3;59
"toutes";13;111
"rien";20;317
"emji_applaudissements";20;98
"raison";6;73
"héros";6;12
"mec";7;14
"terreur";2;22
"souvenir";8;13
"monsieur";6;27
"seul";10;126
"mot";4;60
"palestinien";9;602
"juif";29;165
"oui";21;294
"israélien";5;337
"citoyen";1;52
"entier";2;33
"d_abord";1;9
"regarder";4;33
"voir";21;341
"moi";17;61
"mort";13;157
"tant";5;85
"comprendre";3;120
"au";58;647
"commettre";4;129
"état";11;310
"erreur";2;9
"bombardement";2;42
"difficile";1;14
"société";3;26
"elle";30;291
"horreur";3;25
"aimer";13;47
"grâce";2;17
"suisse";37;415
"allemagne";3;7
"neutre";6;61
"blague";2;25
"aller";28;460
"rester";8;95
"donner";7;98
"arme";5;122
"ukraine";6;84
"fin";4;60
"neutralité";5;42
"ordre";5;72
"mondial";8;22
"t";22;192
"dommage";2;21
"toi";16;102
"ue";2;25
"emji_visage_avec_bouche_ouverte";2;35
"conflit";3;67
"perdre";6;44
"sa";26;150
"soumettre";2;14
"user";6;62
"faute";1;20
"part";3;66
"meilleur";5;15
"exemple";6;45
"cassis";1;28
"ah";10;94
"non";31;437
"alors";13;250
"expliquer";4;36
"président";6;75
"ubs";1;13
"connaître";18;66
"tunnel";4;20
"7";6;101
"dégât";2;42
"plein";3;35
"peuple";8;271
"corruption";1;20
"pays";24;449
"fonction";1;9
"emji_visage_souriant_avec_une_goutte_de_sueur";3;22
"emji_homme_qui_hausse_les_épaules";6;36
"tour";1;14
"afghanistan";2;19
"chine";4;22
"terme";4;43
"utiliser";14;90
"gens";11;203
"subir";5;53
"siècle";6;18
"privé";2;8
"fondamental";1;36
"torturer";5;13
"violer";2;41
"encore";17;219
"grave";1;37
"bah";3;46
"coup";6;72
"appeler";12;67
"officiellement";2;18
"ca";3;48
"durant";2;15
"époque";12;16
"colonial";1;29
"noir";5;21
"appel";1;19
"nom";3;49
"changer";4;44
"peut_être";5;38
"nos";9;92
"congolais";5;6
"condamner";3;58
"mdr";3;30
"criminel";4;114
"lol";2;14
"ni";13;178
"sans";18;267
"bref";2;21
"autre";9;137
"culture";3;11
"agir";3;94
"antisémitisme";1;14
"compliqué";1;14
"falloir";17;300
"mettre";9;149
"cette";17;261
"dame";6;4
