"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"blanc";1;1;1;0;1;1;1;0;1
"heure";1;1;0,888;1;1;0;1;1;1
"etc";1;0;0;0,907;0;0;1;1;1
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";1;1;1;1;1;1;1;1;0
"maison";0;0,025;1;1;0,002;0,017;1;1;1
"incroyable";1;1;1;1;1;1;1;1;0
"hiver";1;1;1;1;1;1;1;1;0
"emji_visage_en_pleine_réflexion";1;0,013;1;0;1;1;1;1;1
"oublier";0,94;1;1;1;0,19;0,001;1;0,001;1
"rendre";1;0;1;0,457;0;0;1;1;1
"coeur";1;0,24;1;1;1;1;1;1;0
"âge";1;1;1;0;1;0;1;1;1
"mère";1;0,641;1;1;0,149;0;1;1;1
"emji_pouce_vers_le_haut";1;1;1;1;1;1;1;1;0
"part";1;1;1;0,503;0,028;0;0,353;1;1
"genre";1;1;0,903;0,002;0;0;1;0,989;1
"emji_visage_souriant_aux_yeux_rieurs";1;1;1;1;1;1;0,017;0;1
"travailler";1;1;0,536;1;0,003;0;1;1;1
"laver";0;1;1;1;1;1;1;1;1
"air";1;0,641;0,309;1;1;0;1;0,091;1
"plaisir";1;0,013;1;1;1;0,591;1;1;0
"écouter";1;1;1;0;1;1;1;1;0,024
"perdre";1;0,561;1;1;0;0;0,786;1;1
"simple";1;1;1;0,907;1;0;1;1;0,007
"travail";0,706;1;0,092;1;0;0;1;1;1
"touchant";1;1;1;1;1;1;1;1;0
"triste";1;1;1;1;1;0;1;1;1
"genève";1;1;1;1;1;1;0;1;1
"génial";1;1;1;1;1;1;1;1;0
"droit";1;1;0,195;0,071;0;0,002;1;1;1
"ami";1;0,581;1;0,014;1;0;1;1;1
"sortir";0,257;1;1;0,417;0,946;0;1;0,089;1
"gros";0,018;1;0,398;0,419;0,093;0,553;1;0;1
"famille";1;0,243;1;1;1;0;1;1;1
"histoire";1;1;1;0;1;0;0,546;1;1
"rire";1;1;1;1;1;1;1;0;1
"rappeler";1;1;1;1;1;1;1;0,401;0
"partie";0;0,068;1;1;0;0,223;0,238;1;1
"côté";0,003;0,451;1;1;1;0;0,013;0,32;1
"revenir";0,795;1;0,346;1;0,211;0;1;1;1
"nourrir";1;0;1;1;1;1;1;1;1
"importer";1;0;1;0,669;1;0;1;1;1
"réponse";1;1;1;0;1;1;1;1;1
"retrouver";1;0,38;1;1;0,864;0,396;1;1;0
"emji_visage_roulant_des_yeux";1;1;0,273;0;1;1;1;0,013;1
"amour";1;0,004;1;1;0,362;1;1;1;0
"heureusement";0,407;0,593;1;1;0,111;0;1;1;1
"emji_drapeau_suisse";1;1;1;1;1;1;0,072;1;0
"répondre";1;1;1;0;1;1;1;1;1
"espérer";1;1;1;1;1;0;1;1;0,023
"écrire";1;1;1;0;1;1;1;1;1
"toilette";0;1;1;1;1;1;1;1;1
"lire";1;1;1;0;1;1;1;1;1
"fou";1;1;1;0;0,528;1;1;0;1
"ancien";1;1;1;0,359;1;0;1;1;1
"préférer";0,817;0,001;1;1;0;0,066;1;1;1
"payer";1;0,578;0;1;0;0;1;1;1
"garçon";1;1;1;1;0,025;0,055;1;1;0
"journée";0,053;1;1;1;1;0;1;1;1
"cher";1;0;0;1;0,991;0,01;1;1;1
"place";0,149;1;1;1;0,026;0;1;1;1
"naître";0,751;1;1;1;1;1;0,003;0;1
"mignon";1;0,072;1;1;1;1;1;1;0
"pire";1;0,161;0,006;1;1;0;0,649;1;1
"mec";1;1;1;1;1;1;1;0;1
"poser";1;0,311;1;0;1;1;1;1;1
"truc";0,266;1;0,011;0,6;1;0,425;1;0;1
"finir";1;0;1;1;0,005;0;1;1;1
"eau";0;0;0,239;1;1;0,823;1;1;1
"idée";1;0,35;1;0,124;1;0;1;1;1
"garder";1;0;1;1;0,344;0;1;1;1
"façon";1;1;1;0;1;0;1;1;1
"élastique";1;1;1;1;1;1;1;1;0
"mort";1;0;0,459;1;1;0;1;1;1
"nature";1;0;1;1;1;0,092;1;1;0,135
"début";1;1;1;1;1;1;1;0;1
"enfance";1;1;1;1;1;1;1;1;0
"partir";1;1;1;1;1;0;1;0,049;1
"compte";1;1;1;0,001;0;0;1;1;1
"société";1;1;1;0,785;0;0;1;1;1
"mdr";0,074;1;1;1;1;1;1;0;1
"attendre";1;0,059;0,844;0,425;1;0;1;0,54;1
"noir";1;1;1;0;1;1;1;0;1
"exactement";1;1;0,078;0;0,889;1;1;1;1
"servir";0;0,278;0,16;1;1;1;1;1;1
"acheter";0,266;0;0,428;1;1;0,299;1;1;1
"mauvais";1;0,005;0,763;0;0,313;0;1;1;1
"dimanche";1;1;1;1;1;0,057;1;0;1
"bonheur";1;1;1;1;1;1;1;1;0
"valoir";1;0,016;1;1;1;1;0;0,001;1
"exprimer";1;1;1;0;1;1;1;1;1
"mode";0,202;0,903;0,718;0,087;1;1;1;0;1
"propre";0;1;1;0,688;0,087;0,063;0,88;1;1
"exemple";0,471;0,179;1;1;0;0;1;1;1
"cours";1;1;1;1;0,381;0;1;0,438;1
"sembler";1;0,472;0,164;0;1;0;0,015;1;1
"rts";1;1;1;1;1;1;0;1;0,008
"emji_visage_retenant_ses_larmes";1;1;1;1;1;1;1;1;0
"voiture";1;1;0,663;1;1;0;1;1;1
"merveilleux";1;1;1;1;1;1;1;1;0
"chercher";1;0,123;1;0;0;0,003;1;1;1
"joli";1;1;1;1;1;1;0,865;1;0
"oeil";1;1;1;1;1;0;1;1;0,037
"normal";1;0,799;1;0,001;0;0;1;1;1
"pied";0;1;1;1;1;0,045;1;1;1
"simplement";1;0,568;1;0;0,001;0,14;1;1;1
"recevoir";1;1;1;1;1;0;1;1;1
"couper";1;0,036;1;1;1;0,485;0,964;0;1
"pratique";0;1;0,607;1;1;1;1;1;1
"noël";1;1;1;1;1;0;0,032;1;0,741
"journaliste";1;1;1;0;1;1;1;1;1
"ville";1;0;1;1;1;0;0;1;1
"partager";1;1;1;1;0,982;1;1;1;0
"cause";1;0;0,02;1;0;0,505;1;1;1
"permettre";0,116;0,025;0,579;1;1;0;1;1;1
"sujet";1;0,251;1;0;1;1;1;1;1
"éducation";1;1;1;1;0,103;0;1;1;1
