"";"";"";"";"user_utilisateurice";""
"1";"user_utilisateurice";"0.181053642953192";"-0.100864522098058";"2.19464949141892";"7"
"2";"aujourd_hui";"0.0902656221705845";"-0.422676530971035";"1.67131162863763";"17"
"3";"qui";"0.213247775560831";"-0.362186477163435";"1.58367796410478";"20"
"4";"il";"0.150672865589781";"-0.118901607749296";"1.52795695715352";"23"
"5";"pour";"0.181484047868757";"-0.0552072678760331";"1.50791564230452";"24"
"6";"le";"0.232432247012968";"-0.00251806497699616";"1.50083430860464";"25"
"7";"ils";"0.121711585857746";"-0.239859368341287";"1.4997214782233";"26"
"8";"plus";"0.138532313399567";"-0.207889924928578";"1.49028315595177";"27"
"9";"dans";"0.271198606704875";"-0.0650062180951108";"1.46767058084279";"29"
"10";"tout";"0.0495506457350134";"-0.222443076684753";"1.4418473864038";"32"
"11";"ton";"0.269720968795967";"-0.367147710572456";"1.40293288300672";"33"
"12";"nous";"-0.0281167852536212";"-0.0769911561715988";"1.32845273534148";"37"
"13";"leur";"0.175853073723445";"-0.556509976247141";"1.32446106114755";"38"
"14";"vous";"0.0571155107833596";"-0.046417409429402";"1.29752503632722";"39"
"15";"dire";"0.330459836829115";"-0.124311387040789";"1.29023979892393";"41"
"16";"elles";"-0.155690778193888";"-0.255271617174568";"1.25296689313906";"44"
"17";"un";"0.186945839013376";"-0.0547823484472243";"1.18913812198091";"47"
"18";"où";"0.216978877886972";"-0.209156389402776";"1.18512916781212";"48"
"19";"mais";"0.200502999798635";"-0.219939860599838";"1.18099579782429";"49"
"20";"si";"0.121252832321425";"-0.251166192350351";"1.14682983152024";"53"
"21";"pouvoir";"0.180931086562091";"-0.309486268418248";"1.14331162863763";"54"
"22";"maintenant";"0.205798127640114";"-0.23236668696341";"1.13796174841928";"56"
"23";"par";"0.363581194008961";"-0.337513871730209";"1.13631323881711";"57"
"24";"aux";"0.310123712048928";"-0.114978067650061";"1.13313372344186";"58"
"25";"autre";"0.144117038704245";"-0.337580226246217";"1.12750390763068";"59"
"26";"je";"0.0548250820488672";"-0.0292464517194742";"1.11846648077603";"60"
"27";"une";"0.126044947407774";"0.0372346838702147";"1.1123804736284";"63"
"28";"c";"0.14122915708608";"0.0642527759495493";"1.11013753289086";"64"
"29";"rien";"0.14180252568139";"-0.435631720158479";"1.10665388995798";"65"
"30";"ou";"0.462035169921314";"-0.23477810460799";"1.10658131406354";"66"
"31";"leurs";"0.145841904944575";"-0.514814201093121";"1.10626681852099";"67"
"32";"même";"0.226617688226391";"-0.278004168216549";"1.10493971645132";"68"
"33";"tous";"-0.0787051118432844";"-0.095637966834291";"1.10380960609512";"69"
"34";"ça";"0.156723206106232";"-0.122940599374516";"1.10155975336763";"70"
"35";"peu";"0.200668712723867";"-0.3306827090603";"1.08988194635353";"72"
"36";"pourquoi";"0.308887398767245";"-0.419995778135259";"1.08679228684758";"73"
"37";"y";"0.254369233422333";"-0.0299626416557891";"1.07688394925971";"75"
"38";"jamais";"0.292240777607589";"-0.17537947404658";"1.07572619094372";"76"
"39";"chez";"0.484000847043409";"0.0346327009476682";"1.0716688528453";"78"
"40";"cela";"0.163763045380345";"-0.41733405802099";"1.05850842398775";"81"
"41";"950";"0.31057620733274";"0.0685509106800583";"1.05439578996976";"82"
"42";"du";"0.180382798309447";"-0.174091568534415";"1.04973710874602";"83"
"43";"devoir";"0.221781659343408";"-0.40803550399601";"1.04520975533126";"84"
"44";"avant";"0.0735656522496346";"-0.293324045510324";"1.04482268389428";"85"
"45";"sa";"-0.0648277110761448";"-0.180337669612935";"1.0397320032989";"86"
"46";"vouloir";"0.194600261798008";"-0.368819601264453";"1.03155511919255";"88"
"47";"falloir";"0.267411976722508";"-0.399548607519149";"1.02991352158033";"89"
"48";"an";"-0.0227981867207401";"-0.233128094066586";"1.01938656089228";"90"
"49";"cette";"-0.525280268567254";"0.162096687347589";"1.01398484074932";"91"
"50";"moins";"0.278363208065071";"-0.406182865897472";"1.00894600007855";"92"
"51";"quand";"0.25506431492002";"-0.137044446293923";"0.989260652711778";"95"
"52";"savoir";"0.251290904613828";"-0.211053783927658";"0.988811373365275";"96"
"53";"avec";"0.0169432324596648";"0.025070892435359";"0.986620272552331";"97"
"54";"juste";"0.201084854237603";"-0.231717221541862";"0.985759729804029";"98"
"55";"ta";"0.255886909935703";"-0.374216524087258";"0.984235636020893";"99"
"56";"sans";"0.347045307637495";"-0.150778827430024";"0.979576954797157";"101"
"57";"depuis";"0.28795338113247";"-0.16326959327424";"0.976404351411853";"102"
