"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";1,64683577207477;1,1778766240694;0,315967327803782;-0,0276346166712907;-0,144383612079571;-0,240420064324832;0,796148211461082;0,569434052548683;0,152751614445559;-0,0133597113994812;-0,0698009822659002;-0,116228957044348;0,665403189644399;0,307042557383011;0,0179850499706887;0,000121130389738216;0,00294852732046601;0,00649954529163188;0,513774889224499;0,262828160848696;0,018912835481724;0,00014467023257261;0,00394919060456472;0,0109499896384965;0,189440263969421;1,23888818012745;0,290761237898368
"classe 2";-3,59175089501146;3,87357213749721;1,00690911621968;-0,283337221271472;-0,0137224277742256;-0,101789316005077;-0,666857225789816;0,719181158441635;0,186946322139801;-0,0526053946565486;-0,00254775467010555;-0,0188985658722784;0,47365861504157;0,49692516947161;0,0273323245602419;0,00190555818909167;3,98565761071344e-06;0,000174347079839913;0,429880179604405;0,499986526017268;0,0337843486273065;0,00267511382096248;6,27475699793722e-06;0,000345254538639224;0,0333223026344187;3,20256346493477;0,341767289496877
"classe 3";-0,348394837711515;-0,950737764963871;2,23539933873306;3,02679237320396;0,1715270609684;-0,398043560817016;-0,0888611314076237;-0,242493930224652;0,570158030160469;0,772009701939337;0,0437494677154131;-0,101524469754077;0,0114312860583631;0,0767870238093327;0,345545233334605;0,557800453457607;0,00159735711191643;0,00683864622823462;0,00741398439422376;0,055211524029515;0,305223860615869;0,559594589632608;0,0017971053516146;0,00967763972517866;0,0610812962510012;1,9996243725458;0,244233418375091
"classe 4";-0,625778123081717;-1,05086639461862;0,364588873040591;-0,85916219317735;-5,6055412755248;-1,33123528505393;-0,104937729289892;-0,176221458006983;0,0611384883076908;-0,144074275399335;-0,940002136855656;-0,223236963408353;0,0187466469342536;0,0476861796044109;0,00467232095334949;0,0228452068272984;0,867167542337418;0,0388821033432986;0,0107107360974622;0,0302046337700957;0,00363567778515835;0,0201896542685392;0,859436265730326;0,0484716949960741;0,0273513373523445;2,80467686975752;0,215151427499161
"classe 5";-0,289870781058629;-0,712845858785204;0,305252977881614;-1,03080377837641;0,830403896275146;-1,29762432705195;-0,142786391799009;-0,351138144082961;0,150363452081784;-0,507759877106701;0,409045629407487;-0,639192038927475;0,0340600328818463;0,185798463374865;0,0277331372017219;0,278451855271001;0,161138751690981;0,31281775957957;0,0164069497634904;0,0992225145073694;0,0181944438748673;0,207477482848592;0,134647322985844;0,328788731405881;0,19526255461395;0,96384270768826;0,181397500543768
"classe 6";-0,129652207177206;-0,442965670801336;0,263920468886661;-0,48323640513777;0,0117624923690879;1,49642745662495;-0,0781032686689346;-0,266845181821125;0,158987276325444;-0,291104514167661;0,00708579608261911;0,901456891733477;0,011818849327945;0,124442916897225;0,0359587441159102;0,106144278099716;5,60788544435948e-05;0,721579132704765;0,00447586169920871;0,0522464720891912;0,0185465433030097;0,0621779099292747;3,68396536935152e-05;0,596249689393511;0,266266683932108;0,731840724884254;0,142609998668336
"classe 7";-0,276194868410332;-0,0363417938168443;-1,62710081585162;0,806257057632404;0,0236388888635916;-0,155802755557304;-0,149788906688756;-0,0197092639492706;-0,882426432038948;0,437257809560132;0,0128200908966704;-0,0844965894853351;0,0310972678165088;0,000485644436724599;0,792433722613972;0,171316823299812;0,000131319795587692;0,00453522203745934;0,0173373992167111;0,000300168737863582;0,601702290312066;0,147740579267451;0,000127000916958473;0,00551700030221894;0,227275561246757;0,961122501570327;0,209947268589281
