"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"emji_visage_riant_aux_larmes";-12,167;-164,244;-54,048;-330,301;-135,085;-716,694;5,231;6732,807;-492,737
"emji_coeur_rouge";-53,095;-36,604;-30,993;-169,685;-86,128;-327,34;-81,281;-347,795;3960,418
"voir";-5,619;3,972;-6,005;21,644;-1,302;318,691;-4,742;-21,847;-188,911
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-36,805;-59,356;-29,113;-160,169;-66,521;-281,865;-58,565;-267,868;3382,698
"époque";-43,072;-27,845;-1,38;-0,017;-2,814;30,405;-12,144;-22,119;63,775
"aller";-0,599;8,152;-2,61;-2,042;0,023;397,957;-9,857;0,204;-312,707
"beau";-44,562;-27,373;-24,308;-68,574;-30,033;-76,778;-46,493;-216,989;1805,608
"aimer";-17,864;14,216;-7,906;-13,94;-2,273;-11,134;-11,381;-13,606;167,61
"emji_applaudissements";-12,447;-21,508;-13,64;-61,216;-36,649;-95,637;-35,382;-129,667;1424,301
"suisse";-4,888;-41,02;-1,175;-57,513;-0,914;-69,821;5966,993;-163,462;-116,18
"femme";-14,235;-38,717;-10,615;-5,722;6016,821;-121,256;-65,072;-160,525;-60,02
"emji_se_rouler_par_terre_de_rire";1,005;-32,536;-8,041;-53,386;-18,892;-124,195;-0,954;1190,202;-98,664
"parler";-18,086;-4,909;-16,007;308,498;0,647;-9,813;130,548;-1,993;-121,513
"enfant";-27,251;-26,705;-8,066;15,217;0,14;633,971;-36,012;-153,066;-44,693
"homme";-26,532;-4,807;-17,183;-1,377;3998,544;-66,635;-36,553;-191,717;-22,621
"souvenir";-35,946;-31,637;-7,633;-89,942;-43,118;-72,009;-25,489;-91,736;1375,909
"vie";-13,257;-0,667;-9,21;-47,296;20,658;457,309;-40,525;-176,847;0,853
"petit";1,005;25,244;-6,92;-5,848;-7,472;11,244;-6,562;0,024;-0,799
"gens";-0,303;6,758;-1,21;92,607;-23,329;364,312;-33,667;-113,979;-111,457
"année";-11,584;-2,137;-1,009;-3,284;-1,126;3,354;-6,597;46,177;-5,247
"temps";-16,288;-3,288;0,836;-17,978;-0,011;454,543;-14,464;-50,306;-39,46
"penser";-6,235;1,147;-3,061;4,796;2,604;141,205;-15,136;2,494;-151,415
"monde";-9,319;-2,493;-6,188;-0,039;6,327;609,262;-16,279;-117,22;-95,442
"tellement";-6,737;-6,589;-10,107;-18,464;-6,63;-12,58;-11,071;-73,172;459,162
"emji_visage_qui_pleure";-14,834;-0,624;-1,947;-23,028;-8,577;419,084;-25,4;-101,051;0,012
"chose";-5,518;-1,629;0,002;24,059;-1,716;355,93;-13,253;-55,04;-111,783
"comprendre";-5,778;0,01;-2,351;523,495;7,565;-1,457;-18,722;-44,415;-52,801
"vrai";-9,085;-0,2;-1,291;-1,119;148,211;1,143;-2,058;-22,606;0,072
"emji_visage_souriant_avec_une_goutte_de_sueur";0,179;-6,807;-6,932;-48,013;-12,057;-95,322;-0,412;813,303;-63,917
"passer";-7,779;-2,06;13,076;-8,938;-1,169;261,007;-3;-14,383;-56,859
"grand";-6,407;-1,406;-1,342;-20,62;0;63,124;-0,114;-20,012;4,865
"français";108,113;-29,298;-7,769;40,26;-1,778;-15,661;371,807;-6,812;-79,591
"prendre";35,311;6,257;1,774;-10,475;1,477;173,874;-10,385;-8,912;-116,457
"connaître";0,064;-4,931;-3,165;3,407;-0,856;109,473;0,007;-0,662;-74,78
"jour";1,35;7,843;-4,1;-29,72;0,025;389,545;-15,473;-47,811;-60,6
"vraiment";-4,136;-0,591;-1,437;4,709;-0,296;100,72;-3,654;-31,286;-9,3
"changer";-12,133;-5,357;-0,002;3,583;1,876;241,807;-1,389;-22,232;-88,341
"vivre";-3,163;0,021;-3,474;-18,454;-1,414;383,06;-0,473;-91,421;-19,333
"trouver";1,718;1,205;-1,607;8,438;7,159;120,278;-6,7;-35,708;-63,031
"jeune";-14,903;-21,723;-0,795;38,159;-0,013;158,458;-8,933;-36,133;-25,483
"emji_visage_faisant_un_clin_d_oeil";-1,193;-7,255;-5,283;0,332;-4,419;-16,713;259,878;25,116;-37,562
"venir";2,811;19,523;-2,199;0,349;-2,35;19,23;11,761;5,102;-107,629
"mettre";-0,642;0,945;24,25;-0,116;3,084;135,722;-12,473;-3,866;-100,073
"adorer";-5,32;-1,404;-9,713;-23,282;-18,294;-63,888;-5,43;-32,758;528,291
"emji_feu";-10,449;-14,378;-6,982;-37,39;-17,062;-43,165;-21,867;-66,093;763,39
"donner";-10,282;126,086;-0,186;7,92;0,171;72,68;-8,367;-50,996;-43,384
"vidéo";-13,796;-9;-7,103;90,221;-4,45;-0,096;-0,418;13,064;-21,44
"emji_mains_en_prière";-13,759;-10,803;-5,098;-38,125;-14,859;-44,124;-23,328;-60,039;736,304
"france";102,736;0,423;-2,291;-2,813;0,004;4,725;125,085;0,007;-127,012
"magnifique";-19,328;-18,895;-8,73;-56,227;-27,861;-94,309;-19,577;-108,892;1243,856
"emji_visage_souriant_avec_coeurs";-12,853;-3,014;-4,625;-36,964;-15,084;-85,56;-19,866;-70,004;846,266
"animal";-16,661;4583,306;-7,272;-41,076;-14,614;-56,461;-26,834;-104,817;-35,582
"jouer";-13,289;-12,73;-2,006;-20,167;-0,845;-8,282;-16,376;-17,036;276,531
"rester";-1,265;16,239;-1,182;-1,582;1,636;117,439;-0,155;-17,196;-54,509
"raison";-13,551;9,602;-0,209;13,193;8,986;-7,242;-13,633;-38,819;39,33
"exister";0,034;16,867;-0,524;0,36;10;126,541;-7,791;-36,504;-61,515
"devenir";-9,644;8,185;-1,099;-6,18;0,934;217,723;-1,795;-43,485;-33,791
"fois";65,452;-0,156;6,006;3,777;3,884;4,903;-1,431;-0,758;-53,675
"seul";-3;42,545;-0,392;12,987;0,283;60,7;-7,038;-23,104;-48,843
"commentaire";-14,515;-2,237;-7,21;1154,912;-10,142;-68,469;-5,086;-8,645;-68,259
"demander";-1,533;-1,39;11,975;30,47;1,815;89,523;-13,511;-7,509;-88,912
"question";-3,413;-2,255;-5,058;1434,279;-10,294;-36,141;-4,196;-63,38;-94,255
"mot";6,097;-17,61;-3,101;364,16;-6,407;-27,256;13,984;-2,115;-45,482
"appeler";4,602;-2,217;-3,173;-5,023;-3,682;-15,642;-0,873;286,508;-71,976
"accent";-5,391;-20,541;-7,687;-33,633;-23,009;-94,691;3176,125;-63,451;-5,284
"dieu";-7,05;-5,09;-7,855;107,101;0,056;22,79;-13,408;-36,46;-2,367
"école";-0,14;-13,011;-4,157;-20,36;-3,659;287,089;-4,141;-39,892;-4,969
"chat";-4,846;2542,17;-7,331;-29,609;-19,851;-47,519;-13,634;-42,236;-9,573
"regarder";-12,476;-2,684;-3,03;0,206;1,504;19,221;-4,723;14,804;-22,536
"sentir";-1,706;-1,898;0,01;147,021;2,217;5,053;-9,203;-11,055;-36,019
"humain";-11,497;640,492;-2,574;-0,134;18,741;3,759;-15,814;-80,808;-20,361
"utiliser";600,317;0,727;-0,66;58,205;-3,803;-11,741;21,39;-20,511;-107,558
"apprendre";-5,554;-1,788;-1,143;10,506;-0,313;186,705;-9,385;-27,002;-45,038
"emji_mains_levées";-7,035;-12,691;-2,132;-13,423;-4,86;-32,888;-6,695;-37,837;407,332
"meilleur";-6,127;-0,306;-1,378;-12,713;-3,681;-6,646;-7,55;-30,596;214,915
"bidet";7295,895;-18,413;-6,891;-32,634;-18,539;-69,87;-16,005;-73,554;-83,197
"vieux";-6,025;-1,55;-2,368;-1,333;-2,033;-2,137;-4,081;132,277;-20,05
"fille";-7,247;-14,844;-3,541;-22,807;20,167;65,656;-6,995;-0,002;-2,187
"arriver";-1,724;-1,604;0,551;-0,468;-0,09;128,549;-2,482;-1,241;-55,014
"entendre";-3,546;-4,943;-3,713;20,89;-2,78;-10,102;1,513;34,246;-8,945
"nom";-4,858;-15,289;-1,787;130,908;-0,002;1,042;-0,435;5,861;-63,815
"manger";-1,157;1368,543;-4,802;-35,537;-6,589;-33,356;-13,619;10,306;-58,607
"dernier";-7,035;-4,322;-0,083;-0,532;-1,059;1,379;-0,467;-3,191;18,968
"premier";-8,105;-0,425;-0,027;7,621;2,489;-1,087;1,507;22,803;-29,672
"parent";-0,008;-8,446;-4,639;-5,378;-10,322;356,309;-4,647;-16,838;-56,205
"ca";-0,42;6,376;-2,974;66,494;-1,479;7,677;-0,754;-5,259;-35,138
"emji_visage_souriant_avec_yeux_rieurs";-1,216;-5,062;-4,864;-4,624;-12,59;-15,64;0,387;-17,688;179,117
"coup";-2,756;0,679;1,978;-1,02;0,008;4,518;-0,58;51,439;-62,072
"jeu";-7,594;-9,415;-0,761;-8,157;-3,539;-0,842;-12,498;-20,889;178,322
"emji_visage_avec_bouche_ouverte";-0,903;-0,87;-0,063;-4,912;-0,628;20,856;-5,104;22,264;-21,025
"tête";-7,703;-8,043;-1,691;-0,554;-5,784;-16,418;-14,504;376,398;-53,812
"reportage";-1,569;-9,676;-2,955;-13,347;-9,976;-19,145;-0,13;-32,155;287,778
"pays";0,526;-6,22;2,727;-4,114;7,098;68,172;20,928;-31,293;-22,087
"cas";-0,334;-0,216;-0,749;36,448;1,788;64,577;-1,059;-11,584;-71,729
"respect";-11,241;-2,995;0;1,949;8,263;83,701;-14,084;-65,284;0,295
"problème";-2,726;12,648;-0,525;26,78;107,254;33,309;-9,598;-39,98;-70,058
"archive";-9,061;-10,59;-4,233;-10,631;-9,174;-21,245;9,746;-15,506;203,36
"moment";-5,671;-4,851;-1,503;-3,211;0,52;35,866;-0,456;-19,122;4,918
"heureux";-7,122;2,384;-0,611;-3,626;1,073;21,061;-13,546;-29,724;17,273
"arrêter";-5,36;1,194;3,195;20,472;1,251;99,04;-2,506;-24,078;-68,682
"manquer";0,041;-0,3;-5,992;0,03;-1,45;77,57;-1,857;-34,229;-0,548
"malheureusement";-6,832;29,542;-3,991;-0,403;0,835;161,173;-6,663;-52,006;-26,595
"pauvre";-8,463;47,359;2,081;-7,94;-1,777;118,35;-6,456;-4,926;-49,395
"super";1,131;-0,104;1,186;-3,044;-9,403;-0,144;-6,095;-1,268;25,907
"niveau";-5,967;-3,324;0,119;4,116;-1,153;237,639;-6,767;-36,059;-47,388
"fin";-5,018;-2,142;-3,849;0,006;0,264;0,138;-10,857;49,093;-9,892
"accord";-0,297;0,131;-0,349;43,488;0,76;5,89;-3;-20,766;-5,132
"pareil";-0,884;1,573;-0,059;0,072;-0,271;-0,129;-5,056;62,51;-35,689
"emji_visage_qui_pleure_à_chaudes_larmes";-2,344;-1,773;0,002;-11,813;-4,99;-16,717;-2,392;227,613;-18,551
"père";-7,718;-7,1;-3,508;-7,136;-0,292;6,013;6,397;28,002;-10,461
"besoin";9,811;142,561;0,078;1,154;21,374;14,654;-8,637;-41,594;-49,496
"génération";-7,793;-4,514;-3,548;30,12;-0,324;83,435;-4,342;-23,152;-16,152
"laisser";-3,202;35,743;1,463;0,049;-0,697;126,26;-8,357;-31,164;-42,135
"renard";-9,581;3078,061;-5,303;-31,068;-15,872;-72,281;-13,372;-51,693;-11,841
"plutôt";-1,213;7,101;-0,972;4,116;5,726;15,677;0,408;0,919;-72,075
"sûr";-3,14;0,02;-0,972;144,401;0;6,013;-1,565;-10,365;-43,453
"classe";-8,715;-12,89;-1,591;0,005;-2,406;87,75;-2,16;-2,935;-5,267
"blanc";-8,677;-3,258;-4,803;19,686;-2,366;-18,232;-5,347;196,213;-54,039
"heure";-6,753;-1,501;0,02;-5,797;-0,182;68,151;-4,158;-6,394;-0,572
"etc";-0,01;46,467;33,577;0,014;21,951;13,94;-2,992;-15,578;-49,292
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";-7,775;-9,476;-4,303;-20,642;-12,88;-44,224;-12,523;-41,669;542,558
"maison";99,801;5,025;-0,13;-12,282;9,83;5,648;-4,35;-0,74;-23,65
"incroyable";-1,828;-6,645;-5,178;-0,844;-0,167;-5,128;-2,833;-19,404;117,641
"hiver";-8,903;-1,66;-3,088;-22,525;-14,749;-15,611;-8,655;-21,19;322,107
"emji_visage_en_pleine_réflexion";-2,872;6,176;-0,016;270,536;-0,438;-20,638;-0,076;-1,446;-45,292
"oublier";0,006;-3,81;-1,797;-2,619;1,721;11,977;-0,055;10,173;-18,674
"rendre";-6,976;47,231;-0,143;0,553;20,05;49,06;-5,711;-24,489;-37,592
"coeur";-8,64;1,382;-0,606;-8,955;-3,266;-0,539;-1,341;-43,135;136,335
"âge";-9,016;-4,832;-3,148;30,975;-1,897;74,398;-8,828;-23,36;-6,489
"mère";-0,287;0,218;-1,676;-8,455;2,085;30,044;-2,353;-0,007;-6,79
"emji_pouce_vers_le_haut";-4,303;-2,448;-4,387;-10,9;-7,506;-22,422;-0,789;-9,703;206,55
"part";-0,055;-0,032;-1,745;0,448;4,82;42,86;0,863;-3,294;-38,465
"genre";-5,112;-2,387;0,015;9,64;18,495;21,815;-8,483;0;-34,605
"emji_visage_souriant_aux_yeux_rieurs";-2,166;-5,452;-0,07;-8,441;-11,947;-15,623;5,656;193,127;-20,857
"travailler";-5,006;-2,276;0,384;-16,354;8,813;158,927;-0,1;-15,775;-28,587
"laver";4945,34;-10,578;-2,89;-21,248;-10,178;-37,129;-13,734;-53,788;-69,795
"air";-2,512;0,218;1,037;-4,372;-0,61;37,333;-10,392;2,859;-13,48
"plaisir";-7,013;6,118;-4,97;-0,825;-0,284;0,288;-5,763;-23,14;47,388
"écouter";-8,64;-12,778;-4,782;173,62;-7,044;-6,195;-1,341;-15,578;5,065
"perdre";-6,679;0,339;-0,606;-2,376;16,98;26,725;0,074;-0,45;-20,689
"simple";-1,356;-1,439;-0,095;0,014;-0,922;47,952;-6,693;-45,313;7,366
"travail";0,142;-3,959;2,847;-12,032;16,526;146,485;-3,638;-38,752;-17,15
"touchant";-8,753;-12,945;-4,845;-28,194;-12,443;-34,887;-14,098;-57,787;609,84
"triste";-6,679;-2,239;-2,949;-5,62;-2,326;222,083;-8,254;-36,922;-4,31
"genève";-3,094;-6,53;-4,511;-28,331;-7,857;-13,959;1388,79;-5,931;-35,219
"génial";-0,603;-8,724;-2,89;-11,274;-10,178;-20,137;-9,8;-22,054;294,201
"droit";-4,408;-0,461;1,681;3,252;303,229;9,772;-10,903;-23,957;-44,369
"ami";-2,998;0,305;-0,422;5,992;-9,388;60,152;-1,509;-29,201;-1,48
"sortir";1,282;-0,02;-2,732;0,659;0,005;30,547;-2,528;2,9;-43,784
"gros";5,622;-0,403;0,715;0,654;2,819;0,352;-5,663;19,417;-35,362
