"";"";"";"";"emji_se_rouler_par_terre_de_rire";""
"78";"voir";"0.173759964714303";"-0.282527978348233";"0.896014559996798";"178"
"79";"méchant";"0.263615437901589";"-1.01715725624693";"0.895909318567916";"179"
"80";"emji_visage_retenant_ses_larmes";"-2.22465932714612";"1.75225037268235";"0.895111112085823";"180"
"81";"fruit";"0.428432768869121";"-1.29698013431043";"0.894733268216513";"181"
"82";"parler";"0.16871956321114";"-0.312292772514443";"0.892940846860425";"182"
"83";"poubelle";"0.18779364826849";"-0.938738577082676";"0.892671259933719";"183"
"84";"langage";"0.0042842335695603";"-0.602654417653981";"0.892605521734589";"184"
"85";"léman";"0.319586775025373";"0.352393428792157";"0.891684885395401";"185"
"86";"lapin";"0.408915638811294";"-1.16564538593508";"0.891469879267055";"186"
"87";"nuisible";"0.486205739514037";"-0.99211147742352";"0.890570049972545";"188"
"88";"soumettre";"0.348713182554194";"-1.05219813645963";"0.890566129804707";"189"
"89";"voisin";"0.246984698713906";"-0.626148725262745";"0.890435558060564";"190"
"90";"chine";"1.22039075946258";"-1.02912670608624";"0.889583373882855";"192"
"91";"hôtesse";"0.959328083121105";"-1.85767035433088";"0.889157281794";"193"
"92";"génial";"-1.6822595226355";"1.50163926884644";"0.88862956689273";"195"
"93";"hérisson";"0.385277852264011";"-1.37816874807153";"0.888393753719705";"196"
"94";"ménage";"1.01738477324273";"-0.169019177527606";"0.887339831674024";"199"
"95";"mystère";"0.727564867165207";"-0.682937746943583";"0.886376676591362";"202"
"96";"appeler";"0.528100957643849";"0.101122663707113";"0.886309732186744";"203"
"97";"vérité";"0.207964672706253";"-0.60914510028777";"0.884826099435743";"205"
"98";"jardin";"0.466513847059218";"-0.916189099137892";"0.884793230336178";"206"
"99";"article";"0.633699319847969";"-1.35911056427743";"0.883804443386882";"208"
"100";"élevage";"0.516905367179786";"-1.55211710855123";"0.883023425333002";"210"
"101";"télévision";"0.187095486158869";"0.304481945280229";"0.882868126376342";"211"
"102";"wagon";"0.787136735450346";"-1.30854306803312";"0.882796658701142";"212"
"103";"magasin";"0.357648109540111";"-0.842770576263428";"0.88206871368876";"214"
"104";"lynx";"0.363249504843651";"-1.43655366981616";"0.88196377381125";"215"
"105";"emji_visage_en_pleine_réflexion";"0.382776916493468";"-0.707466351238659";"0.881493353670689";"216"
"106";"monnaie";"0.742164531420031";"-1.12495402062027";"0.881259651357269";"217"
"107";"témoignage";"-2.18758926193443";"1.68737535273956";"0.881177629384043";"218"
"108";"consigne";"0.568404070067601";"-1.60122248577111";"0.8800799823894";"221"
"109";"vote";"0.264244694380726";"-0.900486825442736";"0.879981375090705";"222"
"110";"livre";"0.127387703834031";"-0.791447734773654";"0.879681029924039";"223"
"111";"honte";"0.197493766730602";"-0.857706310013368";"0.879086069066778";"224"
"112";"légume";"0.394221413464081";"-1.25678572541187";"0.878759187379362";"226"
"113";"passer";"0.0832860585673073";"-0.311339505515197";"0.878619870645427";"227"
"114";"emji_visage_faisant_un_clin_d_oeil";"0.171153076503019";"0.117320453341364";"0.878279419146264";"228"
"115";"lidl";"0.52727750058732";"-1.48299024951636";"0.877665460552557";"229"
"116";"époux";"0.149590834649717";"-1.00834196919944";"0.877143173575985";"230"
"117";"acheter";"0.50352291607024";"-0.418576794935669";"0.876907661954333";"231"
"118";"errant";"0.552533175349973";"-1.65615468391662";"0.876715875281642";"232"
"119";"tunisien";"0.388584155325339";"0.459934416543085";"0.875210229280474";"239"
"120";"vigilance";"0.951026146227817";"-1.85355778962855";"0.874771472033989";"242"
"121";"grêle";"0.491337232141035";"-1.32024104109887";"0.874771472033989";"243"
"122";"saisonnier";"1.01744164137412";"-1.88645830724721";"0.873190136638409";"246"
"123";"mirage";"1.01744164137412";"-1.88645830724721";"0.873190136638409";"247"
"124";"détraquer";"1.01744164137412";"-1.88645830724721";"0.873190136638409";"249"
"125";"anxiété";"1.01744164137412";"-1.88645830724721";"0.873190136638409";"251"
"126";"actionnaire";"1.01744164137412";"-1.88645830724721";"0.873190136638409";"252"
"127";"changer";"0.151197100680646";"-0.471775268124194";"0.872830084300057";"255"
"128";"battre";"0.418625954045555";"-0.724459844993885";"0.872631060394435";"257"
"129";"prostitution";"0.517817081500929";"-0.923392993408652";"0.872606333181918";"258"
"130";"mdr";"0.641254343813875";"0.178285408050973";"0.872097314465721";"259"
"131";"surveiller";"0.5175680265986";"-1.21294969751948";"0.871770432778305";"260"
"132";"niveau";"0.18989559378992";"-0.643065589223669";"0.871573218180916";"261"
"133";"habitat";"0.515378175964772";"-1.55456259908552";"0.871465262789685";"262"
"134";"fribourg";"0.242595004097465";"0.588146820037825";"0.871072944454511";"263"
"135";"empoisonner";"0.531478675698359";"-1.59858583584566";"0.871035552084364";"264"
"136";"féministe";"0.411786587155733";"-0.74657808876138";"0.871006301601265";"266"
"137";"savoie";"0.568350499998819";"0.219358543634889";"0.870495775128207";"267"
"138";"vocabulaire";"0.106837944798511";"-0.297131665630739";"0.870468333953341";"268"
"139";"mec";"0.241437983262015";"-0.282310684170453";"0.870439385021614";"269"
"140";"enfance";"-1.7266236903122";"1.41665737222519";"0.87040802367891";"270"
"141";"fumeur";"0.59174745064714";"-1.17981328916377";"0.870340174620176";"271"
"142";"science";"0.515314642656244";"-0.968432124880574";"0.870299465184935";"272"
"143";"augmentation";"0.797940188210349";"-1.69873074801009";"0.870233123883061";"273"
"144";"pôle";"0.570484550976623";"0.26153297338932";"0.870191509793703";"275"
"145";"simplicité";"-2.21973298732494";"1.65027063995728";"0.869536540213383";"277"
"146";"foot";"0.107467876046994";"-0.594390187206641";"0.86942556930843";"278"
"147";"emji_visage_qui_pleure_à_chaudes_larmes";"0.164414541928565";"0.01107616245494";"0.868549864123693";"282"
"148";"intelligence";"-0.271461499585974";"-0.440385292809571";"0.868329128519276";"283"
"149";"maltraitance";"0.507825116045802";"-1.47096819839196";"0.868225997949999";"284"
"150";"lausanne";"-0.0249589533525914";"0.379664417282191";"0.868033608174564";"285"
"151";"sagesse";"-2.34950964369692";"1.75489880215417";"0.867412713899298";"286"
