"";"banalfreq";"X.rts_a";"X.rts_i"
"venir";153;0,7941;-0,7941
"ça";1502;0,5528;-0,5528
"emji_visage_avec_un_sourire_malin";59;-0,6069;0,6069
"danser";25;0,8245;-0,8245
"emji_visage_grimaçant";81;-1,2649;1,2649
"tu";597;-1,7132;1,7132
"quand";372;1,0425;-1,0425
"c";2872;0,7799;-0,7799
"être";6038;-0,3115;0,3115
"de";3940;0,6403;-0,6403
"et";2463;0,9499;-0,9499
"eau";113;0,6056;-0,6056
"reconnaître";40;1,0767;-1,0767
"emji_visage_souriant_avec_une_goutte_de_sueur";980;-1,3053;1,3053
"genial";14;-0,7152;0,7152
"y";733;0,8059;-0,8059
"quelle";151;-0,8229;0,8229
"super";95;-0,6421;0,6421
"sentir";67;-0,4684;0,4684
"tout";550;-0,6866;0,6866
"à";1793;0,7517;-0,7517
"coup";95;0,3859;-0,3859
"comprendre";138;0,2766;-0,2766
"ton";114;-1,1566;1,1566
"spécial";16;0,5804;-0,5804
"emji_visage_avec_lunettes_de_soleil";15;0,5141;-0,5141
"mon";395;1,7199;-1,7199
"dieu";57;0,6432;-0,6432
"possible";17;-0,253;0,253
"il";1384;0,9978;-0,9978
"grand";124;1,3169;-1,3169
"temps";129;0,6567;-0,6567
"dès";14;0,2179;-0,2179
"école";59;1,5511;-1,5511
"pleurer";51;-1,5653;1,5653
"comme";518;0,6807;-0,6807
"rire";177;-0,5767;0,5767
"mais";1098;-1,1841;1,1841
"journaliste";28;1,0288;-1,0288
"suisse";380;-1,6359;1,6359
"rts";28;-0,3427;0,3427
"honte";16;-1,3044;1,3044
"plus";775;-0,6163;0,6163
"ne";1351;-0,6933;0,6933
"ce";755;-0,2922;0,2922
"que";1392;-0,6022;0,6022
"laisser";25;-0,4806;0,4806
"nous";323;0,4338;-0,4338
"chanter";23;0,6957;-0,6957
"beaucoup";122;1,4499;-1,4499
"purée";52;0,3219;-0,3219
"pouvoir";350;-1,3315;1,3315
"au";670;0,6448;-0,6448
"les";2832;0,9753;-0,9753
"emji_visage_faisant_un_clin_d_oeil";274;1,6382;-1,6382
"regarder";83;-0,784;0,784
"emji_visage_avec_les_sourcils_relevés";41;-1,8709;1,8709
"raison";40;-0,7544;0,7544
"emji_visage_souriant_aux_yeux_rieurs";266;0,6068;-0,6068
