"";"";"";"";"400";""
"128";"trois";"-0.483100547579672";"0.168334220093109";"0.803430277989796";"404"
"129";"durant";"-0.501294477757783";"-0.191188681141965";"0.80341030354498";"406"
"130";"86";"-0.438521769646753";"0.0757564185764129";"0.803358369988457";"407"
"131";"44";"-0.407549930060067";"-0.34103770317749";"0.803193247911309";"408"
"132";"demi";"-0.434139456492671";"-0.264245808016771";"0.803193247911309";"409"
"133";"36";"-0.532811076917823";"-0.191203207768357";"0.803193247911309";"410"
"134";"2029";"0.296286473877726";"0.320631112395458";"0.803193247911309";"411"
"135";"dix";"-0.550543304034562";"0.142672679864643";"0.803029457463814";"412"
"136";"aussi";"-0.238226392420527";"0.423746297141641";"0.803009483018998";"413"
"137";"ailleurs";"0.271514085334576";"-0.328517770204291";"0.802997498352108";"414"
"138";"aujourd_hui";"-0.390680191627103";"0.316150800440322";"0.802966870870057";"415"
"139";"19";"-0.375257310248885";"0.272528379745976";"0.8028896363501";"416"
"140";"cependant";"-0.0514630765637486";"-0.506524685040585";"0.802855013979085";"417"
"141";"quatorze";"-0.424227114394537";"-0.901411542954472";"0.802728509161915";"419"
"142";"quelques";"-0.270467050007191";"0.0744436338177698";"0.802711197976407";"420"
"143";"3500";"-0.368397966706838";"-0.60787949483202";"0.802629968567487";"421"
"144";"6000";"-0.295355287738723";"-0.659180325395977";"0.802629968567487";"422"
"145";"99";"-0.346745656575153";"-0.347355165906723";"0.802629968567487";"423"
"146";"dire";"-0.145156707262082";"0.0481987874750802";"0.802623310419215";"424"
"147";"parce_que";"-0.400362887231548";"-0.543493187681163";"0.80260067271509";"427"
"148";"diverses";"-0.379621104693722";"-0.28555238611913";"0.80260067271509";"428"
"149";"auxquels";"-0.590337976311099";"0.732447231785485";"0.80260067271509";"429"
"150";"outre";"-0.396032816809891";"-0.652630249465962";"0.802572708492347";"430"
"151";"chacun";"0.00341810932642582";"0.0573742277724066";"0.802520774935825";"431"
"152";"600";"-0.532802072534518";"-0.231967126372869";"0.802395601748309";"433"
"153";"voici";"-0.645062847421533";"0.618878888598266";"0.802331683524896";"434"
"154";"180";"-0.604828191466682";"0.426097266166221";"0.802331683524896";"435"
"155";"autrefois";"-0.613113968483884";"0.696944380878622";"0.802261107153212";"437"
"156";"2006";"-0.554705881387644";"0.724451256702384";"0.802261107153212";"438"
"157";"peu";"-0.196574814543238";"0.150687040238132";"0.802257112264249";"440"
"158";"2016";"-0.598015370404592";"0.59800809091825";"0.802141260484314";"442"
"159";"m";"-0.261641290567513";"0.298825377580676";"0.802045383149195";"444"
"160";"longtemps";"-0.366624383551635";"-0.732329631917324";"0.80182699588587";"446"
"161";"celui";"-0.281823009426126";"0.0531780034844888";"0.801796368403818";"447"
"162";"ensuite";"-0.397287686928254";"0.176512551139169";"0.801772399070038";"448"
"163";"treize";"-0.397286789896707";"-0.591987806453305";"0.801581976029456";"449"
"164";"78";"-0.45735175763678";"0.560534823265313";"0.80146878750883";"450"
"165";"13";"0.144290385999748";"0.313693902101055";"0.801435496767469";"451"
"166";"lorsqu";"-0.477923714280993";"-0.109610209109517";"0.801322308246843";"453"
"167";"beaucoup";"0.0591031836882867";"0.571227185726892";"0.800940130536023";"455"
"168";"plein";"-0.532645136857596";"0.499360730048603";"0.800877543942265";"456"
"169";"dommage";"-0.376864175899842";"-0.937991694655931";"0.800777671718184";"457"
"170";"quinze";"-0.376346816643694";"-0.841773083395032";"0.800777671718184";"458"
"171";"partout";"0.207585452861659";"0.434295225994952";"0.800777671718184";"459"
"172";"56";"-0.438365533284156";"0.392312289668145";"0.800777671718184";"460"
"173";"autres";"0.068677115708376";"0.0034408548152425";"0.800141152743369";"464"
"174";"ainsi";"0.0374617050898329";"0.184216097378151";"0.8";"465"
