"";"";"";"";"400";""
"1";"400";"-0.381892734291195";"-0.403978386700968";"0.817444348472954";"126"
"2";"eux";"-0.269371461649463";"-0.330647209806001";"0.816729263348528";"134"
"3";"htag_miseaupointrts";"-0.324250163912469";"-0.336831865776567";"0.816694640977513";"135"
"4";"contre";"-0.369499589329789";"-0.318087818747642";"0.816279172525333";"141"
"5";"autre";"-0.320340680770031";"0.00873186425811735";"0.816172642152979";"143"
"6";"cinquante";"-0.517485294761108";"-0.155502418278571";"0.815743857404254";"147"
"7";"celle_ci";"-0.352762130518612";"-0.506662974056672";"0.815207210653522";"151"
"8";"ce";"-0.294480418360091";"0.221584655663615";"0.814410896120176";"160"
"9";"de";"-0.232981496383042";"-0.0135784129285425";"0.814275069895425";"162"
"10";"bien";"-0.305885587136028";"-0.0155328009251551";"0.813657193735772";"171"
"11";"être";"-0.247787030120963";"-0.0414487373800283";"0.813368230100762";"175"
"12";"certaine";"-0.440632203222138";"-0.607307327991484";"0.813321623062857";"177"
"13";"depuis";"-0.41213627888549";"0.171737588309695";"0.812839573127956";"189"
"14";"moins";"-0.286528616289558";"-0.0872858070704564";"0.81251865038124";"194"
"15";"quand";"-0.251769977585621";"0.190857876030203";"0.811890121184351";"203"
"16";"tels";"-0.371065787932974";"-0.189088064762908";"0.810800848127033";"210"
"17";"telle";"-0.505737123912865";"0.156393670646122";"0.810719618718113";"211"
"18";"jusqu_au";"-0.428369138440397";"-0.550217967108342";"0.810606430197487";"216"
"19";"aux";"-0.349658654915453";"-0.143650820461441";"0.810427991823794";"219"
"20";"2020";"-0.376398852152258";"-0.0716934674047839";"0.810413343897595";"220"
"21";"1970";"-0.417956342587813";"0.298857040468855";"0.810225584116322";"222"
"22";"mince";"-0.318409740368501";"-0.0576468203992526";"0.810225584116322";"223"
"23";"afin";"-0.263425197385448";"-0.315952146552495";"0.810120385373622";"227"
"24";"elles";"-0.349284302439574";"-0.211127669846056";"0.809545121362911";"237"
"25";"tous";"-0.175475916765583";"-0.342500541099";"0.809545121362911";"238"
"26";"envers";"-0.459826607970941";"-0.48377640349114";"0.809455902176064";"239"
"27";"54";"-0.563703221065012";"0.488743560220426";"0.809418616545741";"240"
"28";"lui_même";"-0.546381372959664";"0.697163023360663";"0.809418616545741";"241"
"29";"se";"-0.28753840051953";"0.22906853257172";"0.809350703433365";"245"
"30";"grâce";"-0.466569572954096";"0.556781943770344";"0.8092708056541";"247"
"31";"certain";"-0.180860810453216";"0.210499866167274";"0.809260152616864";"248"
"32";"32";"-0.447246199803193";"-0.104938735115049";"0.809232188394121";"250"
"33";"pas";"-0.368223521713742";"0.0610966024754065";"0.80909636216937";"251"
"34";"y";"-0.276460300360962";"0.118690849320703";"0.8088646586095";"256"
"35";"dehors";"-0.416512433761131";"-0.120240715317574";"0.808639613197903";"259"
"36";"attention";"-0.407210351901747";"0.0411578994806717";"0.808639613197903";"260"
"37";"tant";"-0.252688150787559";"0.158112074632729";"0.808585016382071";"261"
"38";"aucun";"-0.134113394977118";"-0.282486410663514";"0.808453185046283";"262"
"39";"tandis_que";"-0.277095704874641";"-0.330959541914847";"0.808442532009048";"264"
"40";"sans";"-0.322174782475439";"-0.294679241512321";"0.808438537120085";"265"
"41";"70";"-0.446090724070864";"0.0993917145215978";"0.808421225934577";"266"
"42";"10";"-0.431270236201892";"0.222961125021434";"0.808301379265679";"268"
"43";"18";"-0.295028272375754";"0.37304659484264";"0.807961813703801";"270"
"44";"120";"-0.352594867476996";"-0.385324275344525";"0.807924528073477";"271"
"45";"cela";"-0.266365386474538";"0.205213248246021";"0.807849956812829";"273"
"46";"chaque";"-0.230109404248192";"-0.205214021474746";"0.807821992590086";"274"
"47";"parfois";"0.314238979518096";"-0.415031401418454";"0.807791365108035";"275"
"48";"1000";"-0.371666140359696";"-0.534408172558539";"0.807782043700454";"277"
"49";"un";"-0.269642321752754";"-0.00106259013405082";"0.807758074366674";"278"
"50";"même";"-0.439874134843834";"0.494065624290391";"0.807554335029547";"281"
"51";"24";"-0.267160198577571";"0.843331873176418";"0.807553003399893";"282"
"52";"65";"-0.532299888310447";"0.421230460863498";"0.807454462805465";"283"
"53";"jusqu";"-0.226503915540002";"-0.138875828902795";"0.807306651913824";"284"
"54";"là";"-0.271024222654437";"0.589909483368461";"0.8072693662835";"285"
"55";"95";"-0.37337794066977";"-0.626934872523116";"0.807206779689742";"288"
"56";"toujours";"-0.119638047545055";"0.21738028448403";"0.807118892132551";"289"
"57";"aucune";"-0.272009692601899";"-0.301214849215059";"0.807000377093307";"290"
"58";"800";"-0.385653391259156";"-0.830960248716538";"0.806993718945035";"291"
"59";"alors";"-0.164037324527374";"-0.00965110084281024";"0.806968417981601";"292"
"60";"1960";"-0.467459869439858";"-0.0580977591867376";"0.806964423092637";"293"
"61";"51";"-0.363318312885997";"-0.153754256440571";"0.806964423092637";"295"
"62";"vingt";"-0.459218875193569";"-0.606007642237206";"0.806949775166439";"296"
"63";"encore";"-0.288897528906442";"0.273712634431501";"0.80679663775618";"298"
"64";"mes";"-0.376629023389325";"-0.272693320852301";"0.806792642867217";"300"
"65";"2009";"-0.406967304461344";"0.0830395395354087";"0.806792642867217";"302"
"66";"hors";"-0.455227152478455";"-0.112299440560973";"0.806671464568664";"304"
"67";"94";"-0.634057496689403";"0.008763898439453";"0.806358531599874";"309"
"68";"ne";"-0.321145203722525";"-0.0159727326042324";"0.806331899006786";"311"
"69";"qui";"-0.363875671171607";"0.184460657996655";"0.806282628709572";"312"
"70";"16";"-0.44985532715904";"0.457628071194234";"0.806221373745469";"313"
"71";"500";"-0.257516288997077";"-0.0482947760037503";"0.806197404411689";"314"
"72";"mais";"-0.244990283194848";"0.230818478775086";"0.80609220566899";"316"
"73";"falloir";"0.0695806443439164";"0.459492079608441";"0.806001654852489";"317"
"74";"avant";"-0.357247094628191";"0.343479508030789";"0.80592974685115";"318"
"75";"parmi";"-0.445569911482898";"-0.322914370887923";"0.805871155146355";"319"
"76";"surtout";"-0.306952788560854";"0.333044082564248";"0.805867160257392";"320"
"77";"toutes";"-0.195396262423982";"0.504447987775568";"0.80584851744223";"321"
"78";"devoir";"-0.13764195182694";"-0.237146999172291";"0.805763293144347";"322"
"79";"davantage";"-0.157519770358813";"-0.357449018409133";"0.805716686106442";"323"
"80";"la";"-0.0995866257544965";"0.0434851926253302";"0.805706033069207";"324"
"81";"une";"-0.24642010936124";"-0.143671019987898";"0.805602165956162";"327"
"82";"11";"-0.544057748162554";"0.167896851586975";"0.805382447063182";"328"
"83";"vouloir";"-0.33324291856669";"0.319149961398757";"0.805338503284586";"329"
"84";"divers";"-0.340835973739566";"-0.247663669896204";"0.805281243209445";"331"
"85";"2017";"-0.49953400428331";"-0.0347512346950951";"0.805223983134305";"332"
"86";"qu";"-0.237936685695976";"0.164149507722978";"0.805134763947459";"333"
"87";"celles";"-0.37621497390864";"-0.324513909407305";"0.805130769058495";"334"
"88";"déjà";"-0.403052763528009";"0.0640529706742462";"0.805056197797848";"335"
"89";"tard";"-0.520772036891591";"-0.374152177871585";"0.805008259130289";"337"
"90";"point";"-0.302763181120394";"0.877186942176706";"0.804941677647567";"339"
"91";"certaines";"-0.0977358406452088";"-0.578819358008558";"0.804932356239986";"340"
"92";"autour";"-0.137556424785007";"-0.413038408502453";"0.80491238179517";"341"
"93";"200";"-0.423308419096627";"-0.525113243793961";"0.80491238179517";"342"
"94";"chacune";"-0.474919389369949";"0.583549454935261";"0.80483115238625";"343"
"95";"25";"-0.114067465042485";"0.192376098286503";"0.804813841200743";"344"
"96";"750";"-0.391302121464603";"-0.624163618745668";"0.804729948532514";"346"
"97";"2100";"-0.301657172688052";"-0.588229801798844";"0.804729948532514";"348"
"98";"240";"-0.314631843600626";"-0.811997877256081";"0.804729948532514";"351"
"99";"pendant";"-0.573731021527826";"0.303539599582511";"0.80470464756908";"352"
"100";"malgré";"-0.210121485464198";"-0.196790330343079";"0.804591459048454";"353"
"101";"certains";"-0.0027265145931481";"-0.591352572546761";"0.80457814275191";"354"
"102";"huit";"-0.623009380526374";"0.616590561235053";"0.804507566380225";"356"
"103";"celui_ci";"-0.472739894704467";"-0.105817923844942";"0.804435658378886";"357"
"104";"64";"-0.406058248477365";"-0.951082380494038";"0.804435658378886";"358"
"105";"nous";"-0.317285616291317";"0.0642535958237306";"0.804333122895496";"359"
"106";"2023";"-0.211385150110542";"0.117080780654886";"0.804321138228606";"360"
"107";"celle";"-0.364368919246718";"-0.399666313053547";"0.804286515857591";"361"
"108";"lorsque";"-0.479255185597568";"0.128727751195768";"0.804286515857591";"362"
"109";"40";"-0.370985255864828";"-0.0901887522149058";"0.804249230227267";"363"
"110";"2005";"-0.676327711062192";"0.909246535765242";"0.804229255782451";"365"
"111";"quasi";"-0.740095579876636";"0.941499642233369";"0.804157347781112";"373"
"112";"trente";"-0.485474369872393";"-0.426963713351128";"0.804157347781112";"374"
"113";"voire";"-0.478639524248351";"-0.805735468594785";"0.804157347781112";"375"
"114";"tes";"-0.527844621155214";"0.685929344312987";"0.804157347781112";"377"
"115";"ceux";"-0.110252017319994";"-0.461555677249123";"0.804120062150788";"378"
"116";"toutefois";"-0.174495612025893";"-0.668161764606256";"0.804077450001846";"379"
"117";"700";"-0.463537463170795";"-0.674928665193473";"0.804001547111544";"381"
"118";"270";"-0.408665731624048";"-0.0446626829007202";"0.804001547111544";"382"
"119";"car";"-0.173338177451374";"-0.361372926448624";"0.803929639110205";"387"
"120";"quatre";"-0.327371274314804";"-0.299004997157337";"0.803922980961933";"388"
"121";"où";"-0.337320520694936";"0.0526254904165187";"0.803876373924028";"389"
"122";"2500";"-0.325019897362536";"-0.606579080156486";"0.803717909995152";"395"
"123";"près";"-0.483334012057567";"-0.152608870322976";"0.803689945772409";"396"
"124";"50";"-0.450162832249692";"-0.443765159575745";"0.803672634586901";"397"
"125";"cinq";"-0.482016170181646";"-0.228266495502004";"0.803632685697269";"398"
"126";"mal";"-0.306182201149301";"-0.441371949477618";"0.803584747029709";"400"
"127";"12";"-0.0874331569152088";"-0.23687746669899";"0.803444925915995";"403"
