"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16"
",";2,784;-0,345;5,716;0,747;1,21;0,767;6,712;6,791;2,127;-13,505;3,509;5,301;-0,017;1,191;11,515;-388,119
".";11,881;8,385;7,962;14,097;4,284;7,705;2,025;10,131;8,18;-294,966;8,631;5,053;0,265;-23,293;6,572;-288,574
"emji_main_qui_écrit";-21,596;-10,462;-4,624;-5,367;-15,371;-8,982;-8,54;-6,087;-0,014;98,039;-4,989;-5,398;-17,719;-30,273;-2,627;1195,116
"suisse";-0,061;-23,358;7,296;29,216;-5,761;-8,266;-0,419;1,874;-10,112;-12,116;3,793;82,622;1,642;14,538;-18,53;-12,477
"emji_appareil_photo";-17,89;-11,77;-10,406;-9,95;-13,123;-9,219;-3,533;-12,591;-2,988;630,712;-6,575;-12,942;-22,076;-26,894;-9,454;841,693
"rts";-13,089;-18,584;-2,905;-14,481;-26,109;-9,811;-6,231;-2,239;-0,297;1074,129;-9,279;-7,485;-17,282;-12,295;-3,771;299,113
"keystone";-19,069;-15,562;-26,435;-10,433;-14,499;-12,734;-11,593;-24,326;-13,905;428,03;-11,335;-15,351;-16,375;-24,529;-34,477;1995,474
"info";-10,227;-17,866;-4,815;-15,006;-20,797;-11,72;-7,433;-2,25;-0,351;1051,162;-9,831;-8,755;-15,562;-18,562;-4,557;350,647
"rtsinfo";-8,408;-4,094;-5,056;-0,073;-8,098;-4,367;-0,574;-7,008;0,003;3,823;-1,601;-4,518;-7,16;-16,932;-0,438;702,484
":";-3,49;-7,171;26,453;-2,441;-0,936;0,799;-4,23;3,191;2,462;-5,583;-2,409;0,072;-1,604;1,475;12,551;-2,233
"emji_drapeau_suisse";34,26;-8,983;2,31;4,125;-9,926;16,114;-1,015;-10,002;-9,589;-13,233;6,968;23,572;23,016;0,066;-15,826;-16,374
