,;215;258;242;271;308;255;161;302;160;117;197;218;157;206;320;109
.;233;290;256;299;331;278;165;320;173;94;211;229;170;199;332;159
emji_main_qui_écrit;9;23;25;29;24;23;11;31;24;62;19;21;6;4;38;208
suisse;33;15;53;76;35;25;22;56;11;7;41;82;32;53;23;15
emji_appareil_photo;7;16;14;18;19;17;12;18;13;113;13;10;1;2;22;162
rts;8;9;19;12;8;14;8;26;16;135;9;12;2;8;25;101
keystone;4;10;2;14;14;11;4;7;3;89;7;6;2;1;3;219
info;7;6;13;8;7;9;5;21;13;122;6;8;1;2;19;97
rtsinfo;6;13;10;21;12;12;10;12;13;17;11;9;4;1;22;118
:;9;9;38;14;19;23;5;30;17;3;9;17;8;20;39;10
emji_drapeau_suisse;42;10;27;33;12;40;10;11;3;0;27;38;31;19;8;2
premier;16;18;12;13;19;27;9;18;3;1;4;19;36;24;27;2
année;17;8;17;39;9;4;14;17;6;1;13;17;11;9;33;4
!;3;0;3;3;0;3;0;2;0;104;2;4;37;24;8;6
mettre;8;9;13;13;19;10;6;24;11;1;14;14;1;9;12;3
ats;2;7;6;8;8;5;0;5;4;4;2;2;2;0;2;72
emji_appareil_photo_avec_flash;0;1;4;6;2;2;0;3;7;2;1;1;2;4;5;64
emji_main_avec_index_pointant_à_droite;6;2;8;1;2;3;1;6;3;80;0;3;3;5;6;18
monde;5;7;9;6;5;1;9;8;3;1;3;8;51;32;14;2
grand;11;4;10;6;15;18;4;6;2;1;12;18;14;14;20;1
dernier;7;17;14;16;16;9;9;5;8;1;7;6;20;19;7;1
afp;1;6;4;3;9;3;4;5;1;13;2;4;0;1;13;7
genève;25;6;4;13;4;11;3;4;11;4;11;23;6;6;9;5
lien;0;1;0;2;1;1;2;1;2;129;0;3;0;3;2;4
également;12;5;8;10;18;8;3;27;9;3;7;8;3;2;17;10
nouveau;12;9;9;18;6;17;8;7;11;4;3;13;1;6;16;0
emji_chaînons;0;1;0;1;0;0;0;2;0;126;0;0;0;0;2;3
rester;7;11;19;10;7;6;0;18;6;3;6;9;6;8;17;9
jour;12;15;11;14;18;8;5;12;1;2;1;14;6;8;10;2
pays;7;16;6;4;27;11;2;10;3;3;8;8;1;26;5;1
notamment;9;14;4;13;13;9;3;20;19;3;6;7;3;4;10;3
emji_caméscope;2;4;8;4;3;2;2;10;4;21;4;8;1;0;11;0
souligner;2;2;18;9;10;8;14;39;6;1;7;10;0;2;7;7
bio;0;0;1;1;0;0;0;1;1;129;0;2;0;2;0;4
conseil;3;2;3;13;12;48;0;5;1;2;16;13;0;1;1;9
permettre;8;4;6;12;10;9;8;21;9;1;12;8;3;5;8;5
annoncer;11;19;2;9;26;19;8;4;0;0;4;3;7;5;6;5
prévoir;17;8;2;25;13;11;5;5;0;1;13;5;1;2;9;11
face;3;9;4;10;11;6;3;9;4;1;10;15;4;24;3;5
public;5;4;3;7;16;19;5;8;2;1;18;3;3;1;23;5
canton;11;1;6;6;2;13;1;6;0;6;6;48;0;0;2;4
place;12;4;3;8;4;7;1;8;2;1;15;9;18;10;2;4
fédéral;2;6;17;13;10;28;5;5;2;2;11;7;0;0;0;6
femme;0;10;37;5;5;6;6;13;6;1;2;7;3;1;6;3
projet;3;3;2;7;9;8;6;4;2;1;23;25;0;0;13;3
novembre;13;9;5;4;6;14;5;2;1;0;13;10;2;3;8;5
viser;2;17;2;9;11;11;7;13;2;2;12;22;0;0;3;4
état;3;15;4;6;30;17;2;10;1;0;1;4;2;8;3;4
prendre;6;10;7;4;9;7;3;18;5;2;11;9;11;3;7;0
américain;2;11;1;6;57;3;4;4;1;1;1;0;8;2;4;0
voir;3;1;8;2;4;9;3;4;3;10;8;11;8;9;17;1
mondial;4;2;2;10;3;1;7;8;1;0;3;1;17;32;15;0
franc;3;4;3;40;3;8;1;3;0;0;19;12;2;0;2;3
président;0;8;0;4;50;25;3;0;1;2;6;0;1;0;2;0
groupe;2;8;3;5;6;13;7;6;0;2;0;2;0;18;16;0
fin;8;9;3;11;21;8;0;6;2;0;4;6;4;9;6;2
cliquer;0;0;0;1;0;0;0;1;0;104;0;0;0;0;0;4
national;3;6;6;10;12;17;3;2;4;0;3;19;0;14;3;1
jeune;0;3;22;7;5;5;6;15;9;0;1;4;2;3;16;2
passer;13;5;11;13;11;6;3;5;2;2;4;3;8;5;7;1
offrir;9;0;7;7;4;1;3;7;6;3;4;15;1;0;17;2
?;2;3;8;1;2;1;0;3;4;2;0;3;5;14;11;2
heure;14;15;2;9;9;6;2;12;4;0;0;4;4;3;2;3
enfant;0;17;16;0;2;2;3;17;9;0;6;3;0;2;7;5
social;3;1;4;6;9;1;3;30;7;6;5;9;1;0;6;2
unir;1;6;1;8;47;0;1;5;0;1;2;0;3;9;9;2
près_de;6;15;6;32;7;3;3;6;5;0;2;1;3;1;6;0
police;1;43;3;4;2;12;1;1;0;1;3;5;0;0;2;5
homme;1;20;13;3;14;7;3;7;4;0;0;0;3;6;3;3
décembre;20;2;1;6;7;2;0;3;0;0;4;4;3;5;13;4
aller;5;3;5;8;12;2;3;4;1;0;15;2;6;11;11;2
service;12;5;5;4;6;2;0;9;2;1;9;20;0;1;3;6
devenir;5;0;2;6;1;11;9;5;3;2;3;7;8;5;20;4
photo;0;2;1;1;1;2;1;0;0;67;0;0;0;0;8;3
équipe;0;2;2;3;1;2;6;8;5;0;3;2;6;44;5;2
nouvelle;8;4;8;2;3;6;2;5;0;2;15;2;2;8;19;2
demander;6;2;3;9;9;18;3;6;1;3;2;14;1;1;0;4
révéler;1;5;9;5;3;4;1;15;20;2;5;1;1;1;16;1
