"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16"
"décembre";0;1;1;0,873;0,798;1;1;1;1;1;0,996;1;1;0,706;0,006;1
"aller";1;1;1;0,646;0,108;1;1;1;1;1;0;1;0,318;0,008;0,216;1
"service";0,001;1;1;1;1;1;1;0,423;1;1;0,032;0;1;1;1;0,599
"devenir";1;1;1;1;1;0,065;0,008;1;1;1;1;0,47;0,046;1;0;1
"photo";1;1;1;1;1;1;1;1;1;0;1;1;1;1;0,816;1
"équipe";1;1;1;1;1;1;0,276;0,843;0,608;1;1;1;0,332;0;1;1
"nouvelle";0,203;1;0,337;1;1;1;1;1;1;1;0;1;1;0,173;0;1
"demander";0,589;1;1;0,247;0,445;0;1;1;1;1;1;0;1;1;1;1
"révéler";1;1;0,186;1;1;1;1;0,003;0;1;0,945;1;1;1;0,002;1
"retrouver";1;1;1;1;1;1;0,879;0,426;0,912;0;0,759;1;0,944;1;0,503;0,862
"jeudi";0;0,005;1;1;0,062;1;0,452;1;1;1;1;1;0,001;1;1;1
"ville";0,012;1;1;1;1;1;1;1;1;0,551;0;1;1;1;1;1
"travail";1;1;0,762;0,001;1;1;1;0,01;1;1;0,005;0;1;1;1;1
"politique";1;1;1;1;0;0;1;0,688;1;1;0,492;0,654;1;1;1;1
"partir";0,158;1;1;0,803;0,008;0;1;1;1;1;0,818;1;1;1;1;0,935
"initiative";1;1;1;1;1;0;0,891;1;1;0,673;0,882;0;1;1;1;1
"fois";0,012;1;0,213;0,097;1;1;1;0,864;1;1;1;0,901;0,003;0,496;0,21;1
"lausanne";0;1;1;1;1;0,005;0,145;1;0,4;1;0;1;1;1;1;1
"prochain";0,442;1;1;0,149;0,007;1;1;1;1;1;1;0,001;1;0,065;1;1
"prix";1;1;1;0;1;1;1;1;1;1;0,513;1;1;0,039;0,396;1
"international";1;0,306;1;1;0;1;1;0,753;1;1;1;1;1;1;0,066;1
"indiquer";0,295;0,001;1;0,014;1;1;1;0,029;1;1;0,021;1;1;1;1;1
"santé";1;1;0,007;1;1;1;1;0;0;1;1;1;1;1;1;1
"étude";1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0,558
"semaine";0,009;0,167;1;0,375;0,011;1;0,04;1;1;1;1;0,249;0,413;1;1;1
"mesure";1;1;1;0,01;0,633;1;1;0,535;1;1;0;0,11;1;1;1;0,476
"trump";1;0,939;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"sécurité";1;0,002;0,174;1;0,169;0,045;1;0,125;1;1;0,346;0,483;1;1;1;1
"lundi";0,001;0,001;1;1;0,314;0,485;1;1;1;1;0,329;1;1;0,071;1;1
"dimanche";0,024;0;1;1;0,143;0,001;1;1;1;1;1;1;0,363;1;1;1
"désormais";0,034;0,939;0,186;1;0,606;1;0,009;0,809;1;1;0,055;0,002;1;1;1;1
"temps";1;1;1;0,242;1;1;1;1;1;1;0,25;0,054;0,644;0,002;0,097;0,323
"jean";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"situation";1;0,002;0,174;1;1;0,12;1;0,001;1;0,2;0,147;1;1;1;1;1
"population";1;0,252;0;0,126;1;0,084;1;0,669;1;0,869;0,973;0,005;1;1;1;1
"noël";0,058;1;1;0,056;1;1;0,273;1;1;1;1;1;0,001;0,568;0,672;0,203
"connaître";0,962;1;1;1;1;1;0,187;1;1;1;0,808;1;0;1;0;1
"vie";1;1;0,569;1;1;1;0,005;0;0,001;1;1;1;1;1;0,047;1
"partie";1;0,751;0,522;0,105;0,012;1;0,082;1;0,611;1;1;0,687;1;0,044;1;1
"ligne";0;1;1;0,209;1;1;1;1;1;1;1;1;1;1;1;1
"octobre";0,885;0;1;1;0,48;0,811;1;1;1;1;1;1;0,053;0,003;1;1
"expliquer";1;1;0,15;0,315;0,527;1;0,309;1;0;1;1;1;1;0,065;1;1
"enquête";1;0,887;0,144;0,566;1;0,001;1;0,002;1;0,669;1;1;1;1;1;0,452
"droit";1;1;1;1;0;0;1;0,056;1;1;1;1;1;1;1;1
"couper";1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
"atteindre";0;1;0;1;1;1;0,922;1;0,509;1;1;1;1;1;1;1
"rendre";1;1;1;1;0,054;1;1;1;0,117;1;1;0,193;1;0,059;0,001;1
"français";1;1;1;0,484;0,026;1;0,363;1;1;1;1;1;0;1;0,025;1
"mort";1;0;0,822;1;0,029;1;0,016;1;1;1;1;1;1;1;1;1
"marquer";1;1;0,796;1;1;0;0,064;1;1;1;1;1;1;0,007;0;1
"déclarer";1;0,668;1;1;0;0,313;1;1;1;1;1;1;1;0,566;0,17;1
"violence";1;0,005;0;1;1;0,567;1;0;1;1;1;0,289;1;1;1;1
"mois";0,543;0,586;0,716;0,056;0,863;1;0,901;0,767;1;1;0,002;1;1;1;1;1
"réseau";0,543;1;1;0,335;0,287;1;1;0;0,488;1;1;0,543;0,966;1;0,531;1
"nombre";1;1;0;0,001;1;1;1;1;1;1;1;0,032;1;1;1;1
"lancer";1;0,174;0,796;1;1;0,138;1;1;0,232;1;0,019;0,01;0,581;0,961;0,071;1
"gouvernement";1;1;1;1;0,001;0;1;1;1;0,273;0,143;1;1;1;1;1
"continuer";1;0,394;1;1;1;0,979;0,985;0,056;1;1;1;1;0,602;1;0,002;0,288
"christian";1;1;1;1;1;1;1;1;1;0,084;1;1;1;1;1;0
"gaza";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"victime";1;0,009;0,043;1;1;0,204;1;0;1;1;1;1;1;1;1;1
"ouvrir";0,138;1;1;1;1;0,131;1;1;0,333;1;0,004;1;1;0,033;0,319;0,323
"france";0,002;1;1;1;0;1;1;1;1;1;0,609;0,151;1;0,037;0,059;1
"décision";1;1;1;0;0;0,541;1;1;1;0,73;0,808;0,962;1;1;1;1
"vendredi";0;0,001;1;0,622;0,016;1;0,459;1;1;1;1;1;0,966;0,887;1;1
"suite";1;0,002;1;1;0,247;0,027;1;1;0,889;0,002;1;1;0,477;0,194;1;1
"risque";0,752;1;0,528;1;1;1;1;0;0;1;1;1;1;1;1;1
"cas";1;1;0;0;1;1;1;0,003;0,03;1;1;1;1;1;1;0,731
"attendre";0;1;0,12;1;1;0,021;1;1;1;1;1;1;1;0,167;1;1
"association";1;1;1;1;0,373;1;0,025;0;1;1;0,001;1;1;0,364;1;1
"suivre";1;1;0,282;1;1;0,173;1;0,615;0,821;0,001;0,03;1;1;0,047;1;1
"européen";1;1;0,582;0,834;0,077;0,724;1;0,017;1;1;0;1;1;1;1;1
"soutenir";1;0,029;1;1;0,03;0;0,382;1;1;1;1;1;1;1;1;1
"rapport";1;1;0;0;1;1;1;0,069;1;1;0,71;1;1;1;1;1
"ministre";1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1
"mardi";0,003;0,001;1;1;0,191;0,004;1;1;1;1;0,309;1;1;0,154;1;1
"lieu";0,164;0,073;0,263;0,803;0,672;1;0;1;1;1;1;1;1;0,364;1;1
"effet";0,359;1;0,226;1;1;1;1;1;0;1;1;1;1;0,323;1;0,678
"créer";1;1;1;0,71;0,937;1;0,292;1;1;1;1;0,697;1;0,651;0;1
"christophe";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"centre";1;0,033;1;0,538;1;0,001;0,834;0,675;1;1;0,008;1;1;0,81;1;1
"toucher";0;0,135;0,061;0,982;1;1;1;0,034;0,934;1;1;0,543;1;1;0,531;1
"samedi";0,002;0;1;1;0,373;1;1;1;1;1;1;1;0;1;1;1
"pexels";1;1;0,096;1;1;1;1;0,278;0,041;0;0,364;1;1;1;0,653;0
"montrer";1;1;0,001;1;0,831;0,839;0,879;1;0,01;0,69;1;1;0,498;1;0,117;1
"donald";1;0,559;1;1;0;1;1;1;1;1;1;1;1;1;1;1
"mercredi";0,009;0,706;1;1;0,053;0,043;1;0,525;1;1;1;1;1;0,007;1;1
"israélien";1;0;1;1;1;0,49;1;1;1;1;1;1;1;1;1;1
