"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"mass";"chi.distance";"inertie"
"classe 1";-0,327845866714822;-0,175555105011993;0,682502371853284;0,0173810603635562;2,74111334048088;0,873958822127806;1,17644057609296;-1,74825475528279;1,42648225148743;-0,241736877010433;-0,142855395586001;0,179927842360262;9,04394764707401e-05;-0,34793376668989;-0,0820178537471691;-0,0830157621035904;-0,0444533310112571;0,172820402174517;0,00440115956534002;0,694093280029909;0,221300205468828;0,297893372799165;-0,442685772785024;0,361207882292698;-0,061211603106832;-0,0361732470627656;0,0455605773129502;2,29007067824314e-05;-0,0881023362983525;-0,0207682186240423;0,0137338476795404;0,00304274814192428;0,0378772144685365;2,23162413952857e-05;0,514661706300004;0,0496912424097374;0,087950988932907;0,182662343455367;0,100705186079522;0,00283686229758602;0,000905621920540251;0,00140115337759802;3,06720039914279e-10;0,00430476580739585;0,000204002581265788;0,00647636362465336;0,00185702916861408;0,0280672672171255;1,82030572564883e-05;0,452736788618073;0,046022874544421;0,0833934209457998;0,184162514405205;0,122609619413347;0,00352109395553419;0,00122966014084997;0,00195069128430887;4,92842190024533e-10;0,00729432243672292;0,000405329861484115;0,060254820833769;1,81091373036166;0,197600173946873
"classe 2";-0,46138500880953;-1,10025599016005;-2,08492771083452;0,258571027697941;1,20289679751473;-1,86380426258736;-0,324323158107221;-0,0548743775442006;-0,745164266885041;0,710454695900329;-0,0909384277540518;-0,336549261766989;0,354260491111277;0,0684662564644716;0,0324402884812094;-0,132208320227108;-0,315274648073631;-0,597429013039681;0,0740926570621506;0,344686025704063;-0,534066833737381;-0,0929337085631398;-0,0157240680561901;-0,213524310797029;0,203578400140909;-0,0260581001720858;-0,0964370573866116;0,10151215049986;0,0196187751803245;0,0092956553981884;0,030248069179514;0,132905961341519;0,39306973325374;0,00549219736834078;0,110215456576319;0,251313844032619;0,00743317838291797;0,000200122859782007;0,0305591331554799;0,0272485324629984;0,000408099826627171;0,00545135062407971;0,00523346605004576;0,000185364871701964;3,54900143337856e-05;0,0161527539153563;0,0918559094075485;0,329838708297074;0,00507316912773944;0,109793430578406;0,263584713028323;0,00798133497578721;0,000228485598577819;0,0421331238104077;0,0382994375513942;0,000627501113135144;0,00859442651013753;0,00952280866714977;0,000355690923437762;7,98525947969346e-05;0,0758786539007304;1,71727090801415;0,223767620237489
"classe 3";-0,199067407383055;-0,375140671113821;1,08343458026292;0,320691081354124;0,289781492050153;-0,44188229948347;-0,239685318264781;1,15289554370892;-0,359383850825428;0,135432298918677;-0,250664968797666;3,32044665112425;0,544969896714241;0,103759373747707;0,470045388080406;-0,0515932011331873;-0,0972269059634205;0,280798644785651;0,0831149592966015;0,0751039811115321;-0,114524635921825;-0,0621203289703337;0,298801157126;-0,0931431395194529;0,0351006020015912;-0,0649659747029133;0,860575189959768;0,141242315165167;0,0268917866043132;0,12182379108547;0,00694568922108874;0,0190585391107786;0,130929441295261;0,0104208826336453;0,00788989789832569;0,0174250226129008;0,00500778675801982;0,108963673295097;0,00876795743405553;0,00122140352174221;0,0038247507975858;0,654552029007594;0,0152768327767582;0,00052513780120568;0,00919095583589027;0,00249431189297583;0,00885806247208161;0,0738849226072945;0,00647327714151916;0,00528556873963915;0,0122903329286309;0,00361604063167752;0,0836624074988756;0,00812956958154051;0,00115450266002385;0,00395492020221303;0,693974400930901;0,0186937083690632;0,000677649497335822;0,0139068902915615;0,062943434554661;1,54620348830549;0,150481715748158
"classe 4";-0,193994713880701;-0,318090120926336;0,713351469681518;-0,113516023660962;0,0456439780668375;0,797177153741053;0,479226789209487;0,277916823048;-2,21165479315142;-0,880063967987735;-0,235937821663014;-0,900523467075833;1,25191642103342;-1,61755972874915;-0,0425305987933452;-0,0552622328139503;-0,0906126252968871;0,203208604023903;-0,0323367003264002;0,0130023550231146;0,227087576680526;0,136514763037629;0,079168673573429;-0,630022229154059;-0,250699098533248;-0,0672103407847283;-0,256527286215509;0,356626710794304;-0,460785557154805;-0,0121154633815431;0,00819293536243727;0,0170194835660227;0,0704991302465936;0,00162177196985873;0,000243131808423813;0,0704392197957791;0,0248650792181743;0,00786459200125993;0,412439933901371;0,0640601361034208;0,00420877487263779;0,0597979008566827;0,100134487657684;0,158519961990824;9,34606488193996e-05;0,00282469631799753;0,00759438017416881;0,0381943472563642;0,000967177782038197;0,000156371984453447;0,0476981636408998;0,0172374947402884;0,00579724486816521;0,367135730831679;0,0581326943411454;0,00417817958218522;0,0608670202189764;0,117636648708674;0,196386949278658;0,000135767232736045;0,075057133041569;1,38737637195963;0,144470960242814
"classe 5";-0,390541898775277;-0,641621798943269;-1,31929855485289;-0,0495334147980788;-1,06884765015112;0,524336184566572;-0,0498220818241318;-0,218198576795068;0,854386734350072;-2,29327859813611;-0,195252086304033;0,457678549475791;0,00266050484510775;0,248074931069465;-0,149627202252779;-0,122915927350034;-0,201938738640919;-0,415225116254718;-0,0155897373209196;-0,336400269794935;0,165025234350754;-0,0156805899933574;-0,0686740155085279;0,268902614796357;-0,721767540040774;-0,0614520268640848;0,144045961556114;0,000837345291967886;0,0780770521685939;-0,047092428185981;0,0321573225172094;0,0670639477362397;0,233532694381549;0,000299058992791397;0,129119339597559;0,0295127301300368;0,000260277299232158;0,00469499603009717;0,0596101065621511;0,421267437301942;0,00279149471202765;0,014958975957297;4,37971645112822e-07;0,00361088738714636;0,00112029342309162;0,0137466374304883;0,0371038890408083;0,156872704835532;0,000221135134229402;0,1029657589445;0,0247788342386912;0,000223720073163315;0,00429106446004394;0,0657915631080765;0,473996186362595;0,00343599543027485;0,01887914526221;6,37953933742095e-07;0,00554660156804693;0,00201781953594826;0,0901283066214581;1,40978165450476;0,179128595601486
"classe 6";-0,239305218287981;-0,579015423719784;-0,964241961989693;-0,459818788849013;-0,891392318194096;1,89122137996956;-0,0184447396523723;0,265629573393205;0,697583147450627;2,20481708380511;0,105504912259931;0,181959414793569;0,120975506994602;-0,867648302329077;0,232105440460616;-0,068542886352682;-0,165844224661725;-0,276182557530406;-0,131703383705481;-0,255316632034765;0,54169220814491;-0,00528302601523695;0,0760828275758344;0,199804930035894;0,631513712424949;0,0302191956465386;0,052117641137216;0,0346503535807164;-0,248515763283823;0,0664806933218901;0,0102491810385382;0,0463608479508606;0,105894592419343;0,021876304855244;0,0762320622972514;0,325922750954782;3,02815304875352e-05;0,00590642187526384;0,0337320765531928;0,330544242873519;0,000691880382267013;0,00200710467429713;0,000768693130646496;0,0374952143225556;0,00228834514175109;0,00434192039536484;0,0254189603721612;0,0704935810985161;0,0160306431030312;0,0602442071548838;0,271182872510149;2,57942305964705e-05;0,00534971158113073;0,0368951669009807;0,368572263387734;0,000843961975977427;0,0025103055241471;0,00110961525987307;0,0570775024942759;0,0040845870820241;0,075818906929155;1,53014204489358;0,17751743600725
"classe 7";-0,339588771061948;0,220536896807494;0,673000770405019;0,31079231353038;-1,15007289830466;-0,855261850061359;-0,363388316287166;-2,075319452384;-0,27596248257179;0,189366962131263;3,84911010666461;0,339536373038075;0,303397194279729;-0,270225153918816;0,0478272728147582;-0,0717241257311216;0,0465793261229082;0,142143663121493;0,0656420614327462;-0,242905479177081;-0,180638801085806;-0,0767507983408755;-0,43832566332966;-0,0582856957700784;0,0399959626425504;0,812965800900943;0,0717130588090895;0,0640801474116446;-0,057073921657584;0,0101015393353999;0,0129079963180004;0,00420630720430118;0,0322626632480381;0,00625040908888911;0,0793629855133629;0,0416865067687828;0,00735092590909314;0,225480449344242;0,00330155523240059;0,00152496632946457;0,575935287108267;0,00437079999124968;0,0030237688065254;0,0022746119009663;6,07672364234611e-05;0,00492466511942329;0,00207698126690611;0,0193419913021117;0,00412487317040748;0,0564833959069609;0,0312369240343413;0,00563912836032933;0,183924665362869;0,00325214684639894;0,00153136418326738;0,632689650110052;0,00492314550019743;0,0039309107318016;0,00311832665258735;9,76835188454109e-05;0,0427041479335016;1,93485340870683;0,159869712796222
"classe 8";-0,17895349291031;-0,496191901702547;0,737763630606863;0,252071107656823;0,123869083189605;-0,438038869012337;-0,375047969708591;1,03446332632592;0,225452274463809;-0,213898439538511;0,274709812180284;-0,522538952341268;-2,63294237078967;-1,07104806781535;-0,327581736424247;-0,054114171511759;-0,150044646990685;0,223094095524624;0,0762243805977956;0,0374570660997725;-0,13245961339481;-0,113411645829789;0,31281382080361;0,0681750484421409;-0,0646812568731802;0,0830701521972389;-0,158011794174603;-0,796181693446458;-0,323876767625578;-0,0990582188740293;0,00839052735545614;0,0498418921761066;0,0907528525525161;0,00962433545507467;0,00215501259569867;0,0255964248176975;0,0183286497362799;0,13113719309046;0,00515803673576532;0,00455432240124381;0,00686685807154991;0,0242316156503437;0,533046231273055;0,083643152636426;0,00667289545232877;0,00268300637608486;0,0206272194684745;0,045601153633223;0,00532338020217971;0,00128548552870452;0,0160755797210457;0,0117846037204207;0,0896543864887611;0,00425844053971849;0,00383315673914756;0,0063225123962073;0,0228759261558548;0,580796582861407;0,0961079402480954;0,00899043502909989;0,0837801908915742;1,26464814933656;0,133992586708522
"classe 9";-0,101945610754426;-0,469824067326698;1,44574070982705;0,379971212030893;-0,143151010069761;-0,982947753778662;-0,674590125431097;1,80012157534496;2,4929843403573;0,00907363186799925;0,290475059030193;-1,77535421750541;2,34071201291099;0,296453049866935;0,0881696905359447;-0,021649548112341;-0,0997735819585886;0,307022860756288;0,0806920962588887;-0,0304000795806792;-0,208742431673791;-0,143258461728296;0,382280496090921;0,529419403351163;0,00192691012615658;0,0616863611819231;-0,377020808094597;0,497082286972822;0,0629558694940262;0,0187240425868485;0,00115762989045718;0,0189971944211641;0,148159802487001;0,00929714854604264;0,00122359183220723;0,0547947121678924;0,0252092870293872;0,168819702210978;0,268125462806998;3,48413214535065e-06;0,00326400784469317;0,118915600446466;0,179102607046874;0,00272425705448759;0,000205512083199898;0,000448477347204537;0,00952519703203381;0,0901953748666599;0,00623024084568492;0,000884285046155358;0,0416931124013272;0,0196373737926466;0,139832177850585;0,268189980306495;3,55275907858641e-06;0,00364100390453656;0,136010826517312;0,236428275992437;0,0037924100842455;0,000335461033280125;0,043152250220317;1,93958058469484;0,162337593508987
"classe 10";3,46059630032117;0,916663877365275;-0,825490930971792;3,37231010478591;0,197189354795489;0,663641713606116;0,081496503134942;0,183454876945489;-0,059910303209236;-0,0184755096790869;0,169028024463982;-0,0379984072438707;0,0630085388952739;-0,0528455450808598;0,0222581176225853;0,686233092582104;0,181773611491261;-0,163694099310769;0,668726020465994;0,039102469349869;0,131599547006435;0,0161606823008301;0,0363789349089601;-0,0118801585278786;-0,00366367673193598;0,0335181032096107;-0,00753504952708168;0,0124945358408812;-0,0104792234294014;0,00441376443989881;0,601451932558927;0,0326066033651869;0,0217791317043202;0,33019444902796;0,001046841777989;0,011261895976329;0,00016589180438332;0,000790577330753676;6,98181556235024e-05;6,5131569336275e-06;0,000498330313825042;2,45621265842442e-05;5,85155290467587e-05;3,90318720210037e-05;5,90530010806571e-06;0,453098864320104;0,03179152277226;0,0257819468093107;0,430274989868656;0,00147115362867149;0,0166632015532482;0,000251286434432559;0,00127335535287441;0,000135798236609464;1,2914688970199e-05;0,0010809572696572;5,46288277364705e-05;0,000150206910356029;0,000105659331598447;1,87442454055391e-05;0,0378347697501083;2,88851507772664;0,315675133673778
