"";"*rts_a";"*rts_i"
"il";293;87
"y";106;37
"avoir";701;212
"des";494;177
"gens";54;13
"qui";300;99
"mourir";22;12
"de";874;365
"faim";15;16
"pour";325;134
"leur";125;26
"contre";10;5
"une";212;87
"maladie";13;3
"et";649;241
"faire";256;93
"la";479;222
"comme";138;45
"bête";47;11
"sauvage";116;7
"bravo";21;7
"l";326;107
"être";1211;418
"humain";114;32
"vraiment";24;8
"devenir";29;11
"avec";151;38
"les";1063;286
"c";421;151
"je";291;91
"que";350;136
"on";305;112
"m";26;8
"donc";50;19
"après";25;13
"emji_visage_qui_pleure";62;16
"pauvre";62;28
"comment";24;12
"s";86;35
"appeler";13;1
"le";457;157
"chien";72;47
"aller";119;55
"ta";7;5
"ailleurs";15;2
"place";7;7
"femme";23;4
"ne";482;139
"plus";211;72
"à";369;133
"depuis";36;10
"mais";185;68
"homme";30;6
"toujours";40;10
"se";138;40
"nourrir";181;12
"sans";36;19
"emji_visage_riant_aux_larmes";48;26
"tu";58;36
"peut_être";7;6
"falloir";66;27
"arrêter";14;15
"d";238;120
"enterrer";10;0
"vivant";23;14
"emji_visage_en_pleine_réflexion";10;3
"bouffer";21;4
"bien";144;25
"pas";534;180
"aujourd_hui";31;1
"grand";32;13
"élevage";16;4
"nos";35;16
"jour";46;11
"penser";47;7
"aux";64;13
"animal";328;140
"aussi";82;25
"vie";34;8
"emji_visage_déçu";15;12
"emji_visage_démoralisé_avec_goutte_de_sueur";7;8
"elle";184;19
"du";219;54
"abattre";11;2
"en";353;141
"raison";34;6
"son";64;8
"mettre";27;11
"bas";10;3
"dire";92;41
"domestique";15;6
"ça";214;69
"mes";29;11
"sous";6;4
"un";364;165
"petit";75;17
"dans";177;66
"jardin";33;11
"enfant";20;15
"emji_mains_en_prière";27;4
"sa";36;11
"mort";20;7
"ses";38;9
"nous";75;25
"parent";8;2
"devoir";65;20
"emji_jeune_pousse";5;5
"rien";52;13
"car";35;7
"ils";271;60
"sur";64;42
"1";6;6
"jamais";30;12
"parler";35;16
"ce";208;65
"j";175;34
"prendre";51;13
"puis";12;5
"sucre";9;3
"vous";191;62
"ni";13;13
"coeur";19;5
"maintenant";26;5
"tenir";11;0
"ramasser";9;2
"bon";73;29
"nature";41;7
"an";31;9
"même";90;29
"quand";99;27
"t";26;10
"toi";18;3
"si";118;47
"tout";121;48
"monde";30;9
"rester";37;14
"autant";19;8
"qu";226;63
"pouvoir";111;42
"madame";42;0
"empoisonner";13;3
"essayer";12;4
"me";60;11
"croire";18;11
"valoir";15;1
"juste";29;12
"chat";258;26
"tellement";23;8
"pourtant";9;5
"adorer";23;2
"mal";31;15
"retrouver";12;5
"cette";108;21
"emji_visage_avec_bouche_ouverte";17;3
"comprendre";34;9
"amour";29;1
"moi";71;10
"alors";47;24
"sortir";8;6
"décéder";11;4
"rat";9;8
"savoir";61;17
"monsieur";10;2
"encore";38;24
"non";58;32
"longtemps";8;5
"vrai";23;10
"cochon";12;7
"très";81;14
"intelligent";14;0
"10";8;4
"trouver";27;10
"terre";9;2
"sauf";11;0
"certains";13;7
"autres";31;18
"trop";42;10
"voir";107;32
"souvent";10;6
"parfois";15;1
"entre";12;5
"passer";19;10
"autre";23;9
"rapport";6;4
"suisse";10;22
"où";37;9
"viande";31;25
"votre";18;6
"beau";43;6
"ville";12;2
"rue";18;1
"au";112;41
"stériliser";17;1
"chaque";10;2
"manger";158;75
"partout";9;2
"compagnie";24;8
"fragile";14;1
"plutôt";17;6
"occuper";20;5
"tes";9;2
"ma";44;7
"oui";48;15
"oiseau";26;6
"ca";20;0
"donner";71;9
"idée";11;4
"là";41;10
"chasse";23;5
"pourquoi";21;9
"problème";26;11
"interdire";21;1
"tête";9;2
"tous";64;22
"mdr";8;3
"moment";10;2
"feu";5;5
"voisin";40;5
"aimer";85;9
"chez";50;8
"gentil";35;3
"merci";33;7
"déjà";33;14
"tranquille";5;14
"seul";42;5
"poule";80;10
"quelle";13;10
"adopter";28;10
"ah";7;4
"main";6;4
"bah";8;4
"espèce";24;15
"te";13;5
"foutre";9;2
"deux";16;2
"heure";8;3
"exister";20;3
"vouloir";53;18
"pendant";21;4
"attendre";13;0
"maltraitance";16;10
"cause";20;5
"par";83;39
"notre";25;13
"époque";24;1
"jeune";6;4
"lieu";8;3
"moins";54;13
"vite";9;1
"chasser";25;5
"ou";86;53
"importer";21;11
"quoi";51;22
"quelqu_un";8;2
"emji_visage_faisant_un_clin_d_oeil";20;5
"heureux";20;0
"beaucoup";32;11
"certaines";10;2
"personne";55;24
"emji_visage_boudeur";22;6
"vétérinaire";8;7
"air";10;2
"traiter";14;0
"mauvais";15;3
"santé";11;7
"tuer";50;12
"habituer";9;1
"perdre";14;9
"adorable";25;1
"dame";91;1
"question";10;4
"seulement";9;5
"crever";6;9
"eux";51;6
"respecter";11;5
"éviter";7;5
"mieux";33;10
"leurs";44;8
"naturel";19;8
"ton";9;4
"emji_coeur_rouge";66;8
"carence";1;10
"vivre";30;9
"riz";77;1
"toutes";8;2
"ces";58;21
"ok";6;5
"pigeon";31;3
"genre";8;4
"représenter";6;4
"besoin";34;10
"changer";13;2
"eau";11;3
"loup";15;8
"etc";16;3
"tant";21;12
"habitat";13;3
"sentir";15;9
"arriver";9;6
"fruit";9;2
"avant";28;15
"emji_visage_souriant_avec_une_goutte_de_sueur";14;6
"france";10;4
"enfin";9;3
"requin";1;9
"exemple";10;7
"graine";9;1
"mon";58;19
"4";6;6
"chercher";11;2
"plaisir";21;7
"part";14;4
"prédateur";9;2
"peu";46;8
"finir";17;5
"ceux";37;11
"blaireau";8;3
"fou";8;4
"population";8;5
"uniquement";4;7
"aucun";14;7
"également";5;5
"chasseur";67;3
"emji_applaudissements";31;3
"préférer";13;6
"maltraiter";7;7
"parce_que";29;12
"venir";51;12
"vos";15;10
"2";23;5
"laisser";31;23
"chose";28;9
"soin";14;2
"ben";11;4
"lui";36;11
"malheureux";23;1
"objet";13;6
"errant";14;3
"maison";11;1
"temps";22;11
"année";21;9
"toute";15;4
"elles";9;5
"instinct";9;3
"demander";12;8
"triste";7;8
"fois";8;3
"aucune";7;3
"légume";11;3
"créer";14;4
"ici";5;6
"revenir";10;1
"oh";6;5
"espérer";12;5
"végétarien";1;12
"accord";14;4
"pays";6;7
"quel";17;3
"aider";12;3
"reproduire";11;1
"sauver";10;5
"continuer";11;5
"écosystème";19;6
"considérer";11;7
"normal";8;3
"surtout";18;10
"gros";9;8
"cela";26;5
"croquette";26;1
"poulet";13;3
"connaître";14;7
"mignon";17;2
"ami";12;2
"faune";22;1
"alimentaire";9;1
"point";13;3
"renard";220;3
"poulailler";10;0
"sûr";12;1
"attaquer";10;1
"dépendant";13;0
"conscience";6;4
"partie";12;0
"côté";9;2
"quelques";9;3
"tomber";7;3
"nuisible";21;2
"mamie";10;0
"droit";8;4
"mère";11;0
"pareil";14;1
"emji_visage_souriant_avec_coeurs";17;0
"meilleur";10;5
"soir";20;2
"équilibré";2;13
"rendre";32;0
"nourriture";33;3
"malheureusement";20;5
"repas";5;5
"pain";23;0
"forêt";11;6
"poubelle";11;1
"lapin";39;3
"hérisson";19;1
"détruire";16;7
"super";11;7
"carnivore";11;9
"plein";16;4
"canard";15;1
"coup";12;1
"apprendre";10;1
"garder";15;2
"céréale";11;1
"famille";11;5
"patte";7;3
"cygne";12;0
"tirer";8;2
"nombre";14;1
"campagne";8;2
"emji_renard";23;1
"3";11;9
"emji_visage_qui_pleure_à_chaudes_larmes";12;5
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";14;0
"regarder";11;4
"abandonner";10;10
"assez";12;5
"oeuf";9;7
"malade";8;3
"vieux";10;0
"quartier";8;2
"manquer";10;2
"service";11;1
"peur";12;2
"état";8;3
"commentaire";13;8
"apporter";6;4
"ainsi";12;1
"régime";4;23
"vidéo";11;0
"acheter";23;3
"cas";10;5
"protéger";5;5
"cher";6;5
"absolument";6;4
"vegan";5;17
"poser";12;3
"5";8;2
"protéine";2;15
"utiliser";4;7
"broyer";6;4
"bagage";1;9
"race";28;6
"refuge";10;6
"stérilisation";10;0
"lynx";20;1
"poussin";8;4
