"";"banalfreq";"X.rts_a";"X.rts_i"
"il";380;0,6631;-0,6631
"y";143;-0,3877;0,3877
"avoir";913;0,8341;-0,8341
"des";671;-0,7601;0,7601
"gens";67;0,7157;-0,7157
"qui";399;-0,2933;0,2933
"mourir";34;-0,949;0,949
"pour";459;-1,7844;1,7844
"leur";151;1,7665;-1,7665
"contre";15;-0,5151;0,5151
"une";299;-1,3159;1,3159
"maladie";16;0,3832;-0,3832
"et";890;-1,2426;1,2426
"faire";349;-0,6534;0,6534
"comme";183;0,2847;-0,2847
"bête";58;0,7127;-0,7127
"bravo";28;-0,2515;0,2515
"l";433;0,2862;-0,2862
"être";1629;-0,697;0,697
"humain";146;0,6116;-0,6116
"vraiment";32;-0,2558;0,2558
"devenir";40;-0,3958;0,3958
"avec";189;1,1058;-1,1058
"c";572;-0,7171;0,7171
"je";382;0,443;-0,443
"que";486;-1,2568;1,2568
"on";417;-0,7637;0,7637
"m";34;0,2785;-0,2785
"donc";69;-0,4699;0,4699
"après";38;-0,9066;0,9066
"emji_visage_qui_pleure";78;0,6317;-0,6317
"pauvre";90;-0,9881;0,9881
"comment";36;-0,8005;0,8005
"s";121;-0,7739;0,7739
"appeler";14;0,9809;-0,9809
"le";614;-0,4772;0,4772
"aller";174;-1,6156;1,6156
"ta";12;-0,8164;0,8164
"ailleurs";17;0,7714;-0,7714
"place";14;-1,4394;1,4394
"femme";27;0,782;-0,782
"ne";621;1,0467;-1,0467
"plus";283;-0,3802;0,3802
"à";502;-0,7098;0,7098
"depuis";46;0,4076;-0,4076
"mais";253;-0,6262;0,6262
"homme";36;0,7528;-0,7528
"toujours";50;0,5606;-0,5606
"se";178;0,568;-0,568
"sans";55;-1,1745;1,1745
"emji_visage_riant_aux_larmes";74;-1,528;1,528
"peut_être";13;-1,1139;1,1139
"falloir";93;-0,6996;0,6996
"enterrer";10;1,2354;-1,2354
"vivant";37;-1,2716;1,2716
"emji_visage_en_pleine_réflexion";13;0,2273;-0,2273
"bouffer";25;0,6541;-0,6541
"pas";714;-0,3953;0,3953
"grand";45;-0,5068;0,5068
"élevage";20;0,3719;-0,3719
"nos";51;-0,7589;0,7589
"jour";57;0,6694;-0,6694
"penser";54;1,5798;-1,5798
"aux";77;1,1767;-1,1767
"aussi";107;0,3774;-0,3774
"vie";42;0,5948;-0,5948
"emji_visage_déçu";27;-1,6989;1,6989
"emji_visage_démoralisé_avec_goutte_de_sueur";15;-1,7884;1,7884
"du";273;1,5157;-1,5157
"abattre";13;0,4685;-0,4685
"en";494;-1,5329;1,5329
"raison";40;0,991;-0,991
"mettre";38;-0,48;0,48
"bas";13;0,2273;-0,2273
"dire";133;-1,1799;1,1799
"domestique";21;-0,3736;0,3736
"ça";283;0,3244;-0,3244
"mes";40;-0,3958;0,3958
"sous";10;-0,6607;0,6607
"petit";92;1,0074;-1,0074
"dans";243;-0,6749;0,6749
"jardin";44;-0,2653;0,2653
"enfant";35;-1,8424;1,8424
"emji_mains_en_prière";31;1,0587;-1,0587
"sa";47;0,3069;-0,3069
"mort";27;-0,2862;0,2862
"ses";47;0,6205;-0,6205
"nous";100;-0,2875;0,2875
"parent";10;0,2733;-0,2733
"devoir";85;0,3429;-0,3429
"emji_jeune_pousse";10;-1,1233;1,1233
"rien";65;0,6356;-0,6356
"car";42;0,8265;-0,8265
"1";12;-1,2836;1,2836
"jamais";42;-0,4717;0,4717
"parler";51;-0,7589;0,7589
"ce";273;0,4103;-0,4103
