"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;4;4;4;4;13;13;16;19;19;19;25;25;25;25;25;25;25;25;25;25;25;25;25
"2";2;5;6;9;9;9;9;9;9;9;22;22;22;22;22;22;35;35;35;40;40;44;44;44
"3";2;5;6;9;9;9;9;9;9;9;22;22;22;22;22;22;34;34;34;34;34;34;34;34
"4";2;5;6;8;10;10;10;10;10;10;10;10;10;10;30;30;30;30;30;30;30;30;46;46
"5";2;5;6;9;9;9;9;9;9;9;22;22;22;22;22;22;35;35;35;40;40;45;45;45
"6";2;4;4;4;4;13;13;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
"7";2;5;6;9;9;9;9;9;9;9;22;22;22;22;22;22;35;35;35;40;40;45;45;45
"8";2;5;6;9;9;9;9;9;9;9;22;22;22;22;22;22;34;34;34;34;34;34;34;34
"9";2;5;6;8;10;10;10;10;10;10;10;10;10;10;31;31;31;31;31;31;31;31;31;31
"10";2;5;6;8;11;11;15;15;15;21;21;21;21;21;21;32;32;32;38;38;43;43;43;43
"11";2;5;6;8;11;11;15;15;15;21;21;21;21;21;21;32;32;32;38;38;42;42;42;42
"12";2;5;6;9;9;9;9;9;9;9;22;22;22;22;22;22;35;35;35;41;41;41;41;41
"13";2;5;6;8;10;10;10;10;10;10;10;10;10;10;30;30;30;30;30;30;30;30;46;46
"14";2;4;4;4;4;13;13;16;19;19;19;24;24;24;24;24;24;36;36;36;36;36;36;36
"15";2;4;4;4;4;13;13;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
"16";2;5;6;9;9;9;9;9;9;9;22;22;22;22;22;22;35;35;35;41;41;41;41;41
"17";2;4;4;4;4;12;12;12;12;12;12;12;26;28;28;28;28;28;28;28;28;28;28;28
"18";2;5;6;8;11;11;15;15;15;21;21;21;21;21;21;32;32;32;38;38;43;43;43;43
"19";2;5;6;8;11;11;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;49
"20";2;4;4;4;4;13;13;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
"21";2;5;6;9;9;9;9;9;9;9;22;22;22;22;22;22;35;35;35;40;40;45;45;45
"22";2;4;4;4;4;12;12;12;12;12;12;12;26;29;29;29;29;29;29;29;29;29;29;29
"23";2;4;4;4;4;12;12;12;12;12;12;12;26;28;28;28;28;28;28;28;28;28;28;28
"24";2;5;6;8;11;11;15;15;15;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"25";2;4;4;4;4;13;13;16;19;19;19;25;25;25;25;25;25;25;25;25;25;25;25;25
"26";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"27";2;4;4;4;4;13;13;16;19;19;19;24;24;24;24;24;24;37;37;37;37;37;37;37
"28";2;4;4;4;4;13;13;16;19;19;19;25;25;25;25;25;25;25;25;25;25;25;25;25
"29";2;4;4;4;4;13;13;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
"30";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"31";2;4;4;4;4;13;13;16;19;19;19;25;25;25;25;25;25;25;25;25;25;25;25;25
"32";2;5;6;9;9;9;9;9;9;9;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"33";2;5;6;8;11;11;15;15;15;21;21;21;21;21;21;32;32;32;39;39;39;39;39;39
"34";2;5;6;9;9;9;9;9;9;9;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"35";2;4;4;4;4;13;13;16;19;19;19;24;24;24;24;24;24;37;37;37;37;37;37;37
"36";2;5;6;8;10;10;10;10;10;10;10;10;10;10;30;30;30;30;30;30;30;30;46;46
