"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"mass";"chi.distance";"inertie"
"classe 1";-3,29586521313289;-1,29637290558117;0,137470177178876;0,26903319978062;0,187026464591463;0,238137153365921;0,383142315352594;0,200435630579642;-0,116607570964435;0,111591599662705;0,0873133968103805;-0,915980411255783;-0,360285421401186;0,0382054426637244;0,0747691804854691;0,0519780290982719;0,0661826117179274;0,106482162616282;0,0557046782729734;-0,0324073479649408;0,0310133190351477;0,0242659684018113;0,867014406566131;0,113105707048153;0,00114725563185425;0,00398830798953267;0,00182372206356836;0,0028830722787121;0,00699825316443753;0,00179983346011808;0,000539859714792038;0,000440307294336571;0,000259274788359914;0,778862026789267;0,120498471085866;0,00135499792479854;0,00518959419655317;0,00250800139648667;0,00406608039214928;0,0105254793615885;0,00288052400437804;0,000974933834759069;0,00089286264108655;0,000546617351601315;0,0717004110214644;2,3100730289652;0,382624754909546
"classe 2";0,595620461645135;-0,11849657113954;0,946120719500307;2,94210239062751;-0,20554581614984;-0,236865344025642;-0,742928446933105;1,28069407528319;0,129015871058426;0,355407499594484;-0,159589540844167;0,16928949406162;-0,0336795423730777;0,268909999302291;0,836215437950416;-0,0584210071064027;-0,0673227614445574;-0,211157925229613;0,364003700365783;0,0366693774708044;0,101015259996059;-0,0453591412095102;0,0421730409809738;0,00140748724030697;0,0809365320164048;0,710396432441686;0,00328078731755034;0,00424827412890709;0,0391896746254605;0,109441374850949;0,000984287506647089;0,0066520318631688;0,00129007702795567;0,0265168204530688;0,00104952743942267;0,066907582309496;0,646990339500021;0,00315790828520652;0,0041935833276586;0,041254963394102;0,122595077089745;0,00124413786537031;0,00944137843919767;0,00190366743484615;0,0747450144618663;1,892873424373;0,26780912956957
"classe 3";0,609695003389682;-0,992937875696266;2,35012227363643;-1,45236929736672;-0,591799805902065;-1,38982188691465;0,48858662222401;0,218151948486028;0,523149716705982;0,440949884766726;0,142502327147331;0,175662504256701;-0,286080667951045;0,677106359083232;-0,418449924081008;-0,170506622730091;-0,400429053492112;0,140769317657237;0,0628529303446526;0,150727476569167;0,127044441202874;0,0410571113588554;0,0426315215817443;0,0953425833564594;0,481772785432663;0,167012580579575;0,0262373696140995;0,141103452762194;0,0163519927779199;0,00306350641249131;0,015613402137074;0,00987846518837263;0,000992340157423655;0,0284921672353823;0,0755691204420125;0,4233320310511;0,16167926716129;0,026844161922483;0,14805344127633;0,0182971461126641;0,00364769405820127;0,0209774262043063;0,0149031708389343;0,00155648208518054;0,0766478916121175;1,92715498636671;0,284664623677
"classe 4";-0,0810581256362829;0,971422811668447;-0,0304213065024581;-0,404799818155292;0,288318924066451;0,841649155731652;-0,309950312697195;-0,49668728228928;0,586798114053107;2,1871947872317;-1,21898346827861;-0,0272268425577591;0,326293949467709;-0,0102182984869442;-0,135969353224105;0,0968442570113658;0,282703909967038;-0,104110085180126;-0,16683369284915;0,197101274413906;0,734663029124536;-0,409447797007497;0,00144686346673713;0,175221837827777;0,00015500508480952;0,0249117685363863;0,0119576497632796;0,099359730958255;0,0126357369492783;0,0304926771819477;0,0377182774074195;0,466675290194471;0,139425162629638;0,000666143939913305;0,09567347812968;9,38276179456218e-05;0,0166132876526898;0,00842793668979154;0,0718186358189942;0,00974000376970093;0,0250115753926547;0,0349102039508425;0,485009105014077;0,150650507458326;0,101385294565383;1,39076004546928;0,196100805862856
"classe 5";0,553477226120324;-0,763637679583256;-1,20608115482784;0,885577557019836;-1,384686988944;-0,491875083375505;1,28400825825535;-1,88556991554446;0,27679182471145;0,268201689881494;0,30017012919809;0,168963410536155;-0,233120389904267;-0,368187841677867;0,270345729267311;-0,422711947548415;-0,150157744027598;0,391977129740561;-0,575619571500672;0,0844979495174474;0,0818755860138781;0,0916347888889678;0,0441332538287981;0,0708399643909351;0,15939521674154;0,0780026120415962;0,180440804312806;0,0222018860376145;0,141867871290249;0,287505896783516;0,00549051331122426;0,00459086901196067;0,00553111224977281;0,0261148945512186;0,0497122550130017;0,124005751429026;0,0668562431600615;0,163452658260991;0,0206252115514644;0,140547912326085;0,303091701566077;0,00653123458169775;0,00613213609605143;0,00768110513307456;0,0852488963312528;1,71943675330584;0,252035186364227
"classe 6";0,95471241412055;-1,85090160503811;-1,30181066460799;-0,535429942721191;1,4215965219269;0,0637595978211078;-0,796285351174989;0,549335880472129;0,114322717513201;0,0209047675345016;-0,0563963533557068;0,313125867982833;-0,607057332717575;-0,426966894193142;-0,175609914649546;0,466254170644451;0,0209118255033498;-0,261165077630592;0,180170773777358;0,0374954799183718;0,00685633011826914;-0,0184968340563994;0,127194844350684;0,40311432532596;0,179877069496213;0,0276197144010212;0,184222286408063;0,000361351026314797;0,0528498553654805;0,023637162489988;0,000907255150031401;2,70159658560145e-05;0,000189120020390862;0,08852512655887;0,332727028083093;0,164595162450719;0,0278436858932596;0,196279128664436;0,000394832191890609;0,0615827203526212;0,0293087535862793;0,00126936493010608;4,24435891335743e-05;0,000308903950772152;0,0971228497488202;1,74705766347774;0,296439379803836
"classe 7";0,380641432608442;0,207465690505495;0,493682123632629;-0,29891985304075;-0,268877599088096;1,45324172864674;-0,256223500149888;-0,212996123939209;-1,77957243935555;0,229798156849424;1,69472096827385;0,127534035512616;0,0695114469259446;0,165408355721681;-0,100153193760021;-0,0900875268245504;0,486909112756263;-0,0858477668690816;-0,0713644204425219;-0,596246323272719;0,0769939470213056;0,567816810352714;0,030775687520658;0,00770913082775431;0,039375513743344;0,0131031185767798;0,0100311328717892;0,285736124932683;0,00832905147603197;0,00540896392708857;0,33461621488484;0,00496905921718258;0,259946002021852;0,0146233335126612;0,00434417026101066;0,0245985251919473;0,00901828148474382;0,00729664991051672;0,213152281779045;0,00662601150635816;0,00457886318512759;0,319628582488033;0,00532975626229155;0,289874940368942;0,100928604049323;1,41605982404097;0,202384602975998
"classe 8";0,324762002471691;-0,0820960441259524;0,399250897717969;-0,239154465207831;-0,581917523575314;1,14779120060992;0,383976983708446;-0,0442927562455675;-0,663206150051068;-1,86061183059569;-2,27964839822153;0,096899533669268;-0,0244950712563422;0,119124853004563;-0,071356735015766;-0,173627260083601;0,342467503101707;0,114567561407754;-0,0132156699135274;-0,19788142140225;-0,555152441948505;-0,680180763255442;0,0195744646693533;0,00105472959677636;0,0225012714997931;0,00732834600297341;0,0410532400159316;0,155739594726306;0,0163437548580191;0,0002043713079649;0,0406065934093972;0,284627247962157;0,410966385951326;0,00862194890850051;0,000550959258277817;0,0130306724005877;0,00467554252837403;0,0276820274439096;0,107696305645622;0,0120527294866156;0,000160376391137207;0,0359560614155892;0,283000094122388;0,424825680024207;0,0817476023747907;1,51491995995843;0,187609315647466
"classe 9";-0,0119057559572925;0,821019956530324;-0,0913932189458378;-0,226846782660247;-0,0156273616387993;1,02250127146118;0,204753415414551;0,411000639595303;2,40323002380653;-1,12291563534535;1,17785479552411;-0,0036892610381101;0,254411139284514;-0,0283202043628166;-0,0702934782042516;-0,00484248263019074;0,316844567934319;0,0634473611435136;0,127357611875836;0,744693820724183;-0,347960172997392;0,364984283338732;2,61569977147055e-05;0,1048862524099;0,00117235104382604;0,00655584528772814;2,94381396898134e-05;0,122889687920091;0,00462081129747864;0,0174966126280022;0,530157145098018;0,103079818458327;0,109085880719222;1,24182391289931e-05;0,0590545675249836;0,000731769010514797;0,00450828449433738;2,13952512551438e-05;0,0915954244566022;0,00367289383876056;0,0147989554068852;0,505983958286744;0,110468974900487;0,121542894592735;0,0876084639975643;1,51926122189328;0,202213884461966
"classe 10";-0,518549323465939;0,866154161098811;0,159940742214688;-0,0437573080124821;0,359693898812228;-1,4132221829852;-2,32120763760854;-1,72342401093466;-0,12687671782905;-1,01669782312663;0,0720648125145057;-0,146163918615205;0,244143576284857;0,0450826268021514;-0,0123339079191316;0,101387211154716;-0,398346083567148;-0,654280680504428;-0,485782924544283;-0,0357628434166643;-0,286577440468878;0,0203129671850436;0,0352304763560612;0,0828830954987665;0,00254924966136937;0,000173192495180968;0,0110731098633035;0,166675992118476;0,421646339989386;0,218432717693387;0,00104916123798207;0,0599967331972187;0,000289931888868642;0,0197914384714852;0,0552188819282048;0,00188284873394117;0,000140928363400119;0,00952277140469864;0,14700026179872;0,396574877096571;0,218615774155711;0,00118484376439938;0,0760818394164461;0,000382246694706963;0,0736032881717156;1,80301872993141;0,239275202819876
