"";"";"";"";"représentant";""
"1";"représentant";"0.934207203956751";"-1.65685328729144";"1.15092222303625";"67"
"2";"froid";"-0.245047174774825";"1.46148598396336";"1.13636067371165";"71"
"3";"chaud";"-0.463165363090075";"1.75671800449819";"1.12276063126994";"75"
"4";"consommation";"-0.207995002072565";"1.59899554544772";"1.10891604372507";"83"
"5";"condamner";"0.863459188570991";"-0.372526086096281";"1.10748212016562";"84"
"6";"emji_pierre_précieuse";"0.91264144039129";"-0.197727811810617";"1.08626227462314";"105"
"7";"douanier";"0.934207203956751";"-1.65685328729144";"1.08006527939531";"106"
"8";"rejeter";"0.737081790313196";"-0.106064419757678";"1.06598726243378";"113"
"9";"météorologique";"-0.30303485886449";"1.44110024864597";"1.05989030838451";"115"
"10";"météosuisse";"-0.463165363090075";"1.75671800449819";"1.05757268774773";"119"
"11";"emji_thermomètre";"-0.463165363090075";"1.75671800449819";"1.05757268774773";"120"
"12";"précédent";"-0.0890209201799768";"1.56394602139324";"1.05740039460687";"122"
"13";"évacuer";"0.848067327094575";"-1.27423440145227";"1.04277215116323";"135"
"14";"soupçonner";"0.894191693735086";"-0.505301123136805";"1.04081023249469";"137"
"15";"marché";"-0.0767579976700714";"1.48195547586784";"1.03231229015984";"141"
"16";"emji_maison";"-0.0359024591797959";"1.41181258738712";"1.03052266463216";"144"
"17";"moyenne";"-0.180032717498982";"1.51061493880925";"1.03039483423733";"146"
"18";"sexuel";"0.717508905030822";"-0.157148591153528";"1.02848849400132";"148"
"19";"emji_drapeau_ukraine";"1.08418944002338";"-2.04808051181243";"1.02784378418389";"149"
"20";"emji_palette_de_peinture";"-0.660479462048965";"1.48042827960004";"1.02539833315228";"151"
"21";"tiktok";"-0.00797727308430077";"1.99352522808163";"1.02539833315228";"154"
"22";"viral";"-0.00797727308430077";"1.99352522808163";"1.02539833315228";"155"
"23";"emji_téléphone_portable";"0.126092196538336";"2.02865626981427";"1.02539833315228";"156"
"24";"incident";"0.955262848270626";"-1.49735430271353";"1.02258050662268";"159"
"25";"emji_voiture_de_police_de_face";"0.823478278401496";"-0.908650062549999";"1.02258050662268";"160"
