"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"mass";"chi.distance";"inertie"
"suisse";-0,417145069872295;0,310988806553335;-0,100222904535497;-0,34576424133117;-0,129402241941218;0,395149427620766;-0,188120623649391;0,132103346437864;0,500482805987067;-0,0107520632379299;0,351604105444651;-0,417087858775128;0,310946154698826;-0,10020915904803;-0,345716820054889;-0,12938449453205;0,395095233207522;-0,188094823063322;0,132085228574475;0,500414165189148;-0,0107505886014567;0,351555883235895;0,261907781615564;0,122744173579798;0,0114991019949322;0,124229240847778;0,0164635265374657;0,149696164148521;0,0318147835707724;0,0147433728804296;0,187539386278532;7,70838214671802e-05;0,0792853847247544;0,00266220215200724;0,00147964085843317;0,000153674132234724;0,00182905579443198;0,000256183055571784;0,00238885348606735;0,000541426638566708;0,000266989657646257;0,00383217315092299;1,76868470378757e-06;0,00189136206729123;0,0152991322880195;0,531964116477818;0,004329437514479
"emji_drapeau_suisse";-0,554557572130486;0,240603422525845;-0,0255286296606324;-0,23870950224481;-0,47312697086273;0,619115625569708;-0,00140715920272416;0,147025613253732;0,0899294052923652;-0,141128971743583;0,218558105918849;-0,522238261821826;0,226581187387906;-0,024040835164225;-0,224797643739233;-0,445553391210822;0,583033907412195;-0,00132515073829762;0,138457041374327;0,0846883690112245;-0,132904052888359;0,205820659708301;0,369680081147913;0,0586777661554279;0,000595859081098082;0,0472891700138573;0,175773450513247;0,29348782349429;1,42167793733211e-06;0,0145852477232479;0,00483588772265785;0,0106064627524134;0,0244668297179093;0,00536042845827845;0,00100904335418126;1,13595527103126e-05;0,000993220418616991;0,00390176974408;0,00668112742744914;3,45137934232595e-08;0,000376783801808012;0,000140964471563298;0,00034716711420131;0,000832607006910425;0,0174303546963008;0,595254981000499;0,00617607130164043
"premier";-0,362590284287699;-0,105035950861314;-0,016687335158529;-0,0201398274402275;-0,319046789669551;0,34982552960366;0,0164987490946007;-0,0707355784691099;0,260893703147254;-0,659554368517733;-0,220407022531091;-0,377148283357907;-0,10925314404392;-0,0173573316263035;-0,0209484414650764;-0,331856517532189;0,363871023803014;0,0171611738323474;-0,0735756117800048;0,271368584721376;-0,686035474878581;-0,229256363972708;0,245306243495286;0,0173575896842736;0,000395190083504477;0,000522489145175925;0,124065242578886;0,145443079910916;0,000303361381900143;0,00524019121159141;0,0631747403187444;0,359569564178236;0,0386223080114692;0,000770537524585726;6,46602546009444e-05;1,63205746014363e-06;2,37723961012367e-06;0,000596582109748849;0,000717239944398771;1,59537765031719e-06;2,93249504281237e-05;0,000398922619449334;0,00254954493129651;0,000284716294697717;0,00586086162277363;0,47778365214055;0,00133790118781114
"année";-0,247952897078258;1,02207417360436;-0,233698965927931;-0,557044357991904;-0,199646937645045;0,103608583334777;-0,50310339518198;-0,0150433097447279;1,62052970161204;-0,394116528923335;0,585824605539674;-0,112018299986231;0,461745003732934;-0,105578765887638;-0,251657321751237;-0,0901949959689181;0,0468075086272551;-0,22728827817567;-0,00679615363896662;0,732110753255213;-0,178051009230727;0,264659446112247;0,0211735347775648;0,303359095310494;0,0143062021988739;0,0737775209617113;0,00896696332571849;0,00235483373914506;0,0520656711160122;4,37458467821843e-05;0,449892732944132;0,0236978931052995;0,0503618066742757;0,000290135456577035;0,00492977684682901;0,000257736551522197;0,00146434022223915;0,000188099541945864;5,06586839336005e-05;0,00119447462529345;1,06794583808046e-06;0,0123929992278903;0,000733013090194538;0,00161956226550878;0,00471913533262293;1,1120951009866;0,00583641664222717
"genève";-0,157229579123209;0,277253685469059;-0,25120875713029;0,143936295539603;-0,401949919581269;-0,349121712368961;-1,09601699827153;-0,277673209234165;-0,257677085089175;-0,44487093871818;-0,134000491948641;-0,110367575317134;0,194618704594895;-0,176336422049281;0,101036331887576;-0,282149442048296;-0,245066590520692;-0,76935102974995;-0,194913190028239;-0,180876876060283;-0,312277925751537;-0,094061877352514;0,0201947361204915;0,0529494597865016;0,039209834876091;0,0116842227278041;0,0862141728737193;0,0634215983425826;0,586119594029409;0,0353535213375524;0,0269812006516846;0,0716214644169017;0,00625019483722499;9,97275421842633e-05;0,000310099644057492;0,000254575239908972;8,35770916581053e-05;0,000651764203541147;0,000491700137959665;0,00484597524786929;0,000311038802686804;0,000267854045482027;0,000798389257280233;7,24368235386911e-05;0,0040340995585325;0,722078783422003;0,0021033705116315
"annoncer";0,469030897291977;-0,924979567469889;0,0549032105363622;-0,421690804989286;0,0849128505707079;-0,194578445567367;0,118018698852028;0,389477506630075;0,0355909479076519;-0,384137493925417;-0,900612562954393;0,301067000215844;-0,593736628539743;0,0352419104878536;-0,270679791906537;0,0545048467994319;-0,124898272697719;0,0757552132234873;0,250002345793583;0,0228455310369985;-0,246574636413693;-0,578095652655035;0,137460090851026;0,450790960769657;0,00143260013663008;0,0767099128899877;0,0029429687957678;0,0150687409289385;0,00519825221703043;0,0532026815716826;0,000393724849595197;0,0408462850511627;0,21595378193851;0,00108839616912343;0,00423300106678268;1,49135000965145e-05;0,000879776509043482;3,56722859250129e-05;0,000187315432041546;6,891055435509e-05;0,000750496828368147;6,26705071112325e-06;0,000730058222374371;0,00401291629287815;0,00494748059065307;0,825624483613473;0,00337247878034944
"unir";0,200250920304784;-1,45519091928779;2,57105462371467;-1,4664721394144;-0,533636460686225;-1,87023170078005;0,773274876817617;0,205450936063201;0,73912210433093;0,792348704811965;0,219790443300257;0,0492035302980042;-0,357554064558508;0,631732248137618;-0,360325966207964;-0,131119486100395;-0,45953347936459;0,190000893740072;0,0504812229674308;0,181609237046301;0,194687512269418;0,0540045744592645;0,00342638092784915;0,152568105544122;0,429600714145515;0,126859717939849;0,0158943469076593;0,190366803093858;0,0305166168749697;0,00202440728037477;0,02321982693913;0,0237642850162999;0,0017587953303705;0,000161769131328543;0,0085425310103224;0,0266666965703001;0,00867549462558748;0,00114878194742025;0,0141103387558182;0,00241220610908943;0,000170279693853708;0,00220383457991025;0,00253267414453582;0,000194878631846898;0,0040340995585325;2,23267815213823;0,0201093881675197
"jour";-0,0619553167639728;-0,381528664958884;0,162540935342462;0,259268022353979;-0,800079617013583;-0,571898887892402;0,56166601482853;0,465291075810326;-0,46568135146544;0,17360233428621;-0,0520394889299539;-0,0438979280990793;-0,270328985095949;0,11516703756036;0,183702216341564;-0,566889806003295;-0,405214234579507;0,39796381686772;0,329678149639327;-0,32995467623207;0,123004500442808;-0,0368721501669144;0,00306614534920177;0,0980453767580814;0,0160515460447491;0,0370700345450691;0,334015855213156;0,166413235653838;0,150512943694265;0,0970688892539249;0,0861694385149274;0,0106647858947421;0,000921749078052874;1,34395812654067e-05;0,000509662781285142;9,25026305717845e-05;0,000235356655587287;0,00224127417443962;0,00114516239509347;0,00110454869552555;0,000758015384420885;0,000759287530120508;0,000105521193606528;9,48188360269271e-06;0,00350129395646217;0,730216490555199;0,00186694638922382
"conseil";0,483202042672829;0,152440384435888;0,936529351739387;-0,607288004079025;-0,659135313133828;1,64218229939274;0,231931403859807;-0,0510739872537624;-1,49072148613992;-1,10146316087411;-0,860060242386604;0,162285396068726;0,0511977309288762;0,314537239818585;-0,203960177247182;-0,221373309523101;0,551533688475006;0,0778951171811361;-0,0171534089641628;-0,500664950562264;-0,369930938885943;-0,288854774509261;0,0451787058684337;0,00379152158806867;0,129084719235067;0,0492668929625865;0,0549149405024866;0,332378392159944;0,00621694977224502;0,000283315822957221;0,213899259168325;0,103997203560901;0,060988099358982;0,000906355222728188;9,02071556671504e-05;0,003404738054509;0,00143162846055812;0,00168651449322739;0,0104684805850495;0,000208814201622425;1,01260588273612e-05;0,00862648637625209;0,00470956582683069;0,00287143283964372;0,00388186938651241;1,48364942368236;0,00854483149886157
"novembre";-0,0690743491251829;0,343676053040985;-0,498882539478067;-0,260882281812539;-0,700913723053269;0,082010000769453;-0,489037345399325;0,359404346193079;-0,152490708189782;-0,225095159318357;0,372347602188585;-0,0560501800174514;0,278874935263219;-0,404816787989313;-0,211692170018947;-0,568754405237167;0,066546776981259;-0,39682793384289;0,291637613069194;-0,123738142353481;-0,182652813390768;0,30214038056173;0,00489715286452229;0,102222335962405;0,194295369845558;0,048226831819112;0,32938534978909;0,00439701022799659;0,146614218728809;0,0744169294673873;0,0118723533979421;0,0230381612818318;0,0606342866153301;1,45266119868097e-05;0,000359607944691215;0,000757752437802055;0,000207214385640789;0,00149575292179752;2,04769073716112e-05;0,000728139824007365;0,000393275944778427;7,07974306111171e-05;0,000154263451814756;0,00042211215361726;0,00304460344040189;0,644190617180823;0,00126345425868111
