"";"";"";"";"jusqu_à";""
"74";"surtout";"0.212713906287911";"1.22985747277425";"0.960595516230054";"190"
"75";"là";"-0.0360885426152143";"1.14629697762917";"0.960595516230054";"196"
"76";"ils";"0.481079410416571";"-0.0967184916758791";"0.957861510165532";"198"
"77";"toutefois";"0.574215686929872";"-0.0778762175238169";"0.955455584828752";"200"
"78";"un";"0.0053608634497445";"0.0336601024752076";"0.953323060098424";"204"
"79";"depuis";"-0.111924607762549";"-0.157004877581878";"0.952174777551325";"205"
"80";"dont";"0.381565062081727";"-0.128586239957531";"0.951518616095839";"206"
"81";"84";"0.671687990607511";"-0.482552268333025";"0.950479693791321";"208"
"82";"19";"0.586632744078176";"-0.478602400672575";"0.944191479842919";"209"
"83";"12";"0.0446282714153626";"-0.0331428139188335";"0.941457473778397";"213"
"84";"pas";"-0.131303212445839";"0.512381037030073";"0.937411144802903";"214"
"85";"cependant";"0.309798877248343";"0.230829348298647";"0.935387980315156";"216"
"86";"1800";"-0.00137594701537942";"1.24128515464542";"0.932599294129343";"222"
"87";"600";"0.0869001268153608";"0.701145349858839";"0.932599294129343";"223"
"88";"140";"0.294173208755977";"0.115165024143603";"0.932599294129343";"224"
"89";"mal";"0.102923771644133";"0.875941097494717";"0.931122930854501";"227"
"90";"pendant";"-0.310157113711766";"0.0773207808347308";"0.928826365760302";"228"
"91";"malgré";"0.536241317605528";"-0.16266839739346";"0.912531689615748";"231"
"92";"50";"0.267532822469813";"0.439159998177323";"0.909961723915097";"232"
"93";"ainsi";"-0.236620335959264";"-0.119963865413106";"0.899135059899587";"236"
"94";"200";"0.448080186296286";"0.241552774724035";"0.897604016503455";"238"
"95";"hors";"0.144282507690905";"0.803676721373716";"0.895252771287965";"240"
"96";"envers";"0.258514269593089";"0.240175188580942";"0.895252771287965";"241"
"97";"celui";"0.176163685895856";"0.376153394760463";"0.895252771287965";"242"
"98";"longtemps";"0.128268587747541";"0.318101966622869";"0.895252771287965";"243"
"99";"jusqu_au";"-0.109843871817664";"1.07481144233534";"0.895252771287965";"244"
"100";"quant";"0.506235750850115";"0.131515619310728";"0.895252771287965";"245"
"101";"sans";"0.27305137055178";"0.356223983382015";"0.892628125466024";"246"
"102";"70";"0.253618137149872";"0.818789955288365";"0.891479842918924";"248"
"103";"21";"0.473523681532513";"-0.0398772140154529";"0.891479842918924";"249"
"104";"leur";"0.0550210922544586";"0.138301709647565";"0.88119998011632";"251"
"105";"tous";"0.256756899934853";"0.733607218520351";"0.877098971019536";"252"
"106";"40";"-0.393942173291717";"0.550455163828765";"0.874966446289208";"255"
"107";"64";"0.451180627850486";"0.138978631842677";"0.874911766167918";"256"
"108";"trois";"-0.00393368062466403";"0.0255526389402567";"0.870045235373068";"258"
"109";"très";"-0.659021325936963";"0.160635122058176";"0.863866381667247";"259"
"110";"presque";"-0.901252277530397";"0.564270885361187";"0.857687527961426";"260"
"111";"afin";"0.198717369040821";"0.307351242555555";"0.857687527961426";"261"
"112";"concernant";"0.4123114154924";"-0.266580450858754";"0.857687527961426";"263"
"113";"toujours";"0.414335029409508";"0.21926109110026";"0.85703136650594";"264"
"114";"six";"0.472852491640559";"0.1196445209782";"0.854406720683999";"266"
"115";"150";"0.48265563039179";"-0.351124572431547";"0.852055475468509";"267"
"116";"la";"-0.197202942142312";"-0.0937644601438711";"0.845165780185912";"268"
"117";"100";"0.253009264408279";"0.620532978368592";"0.84117413133171";"269"
"118";"vingt";"0.550432939988738";"0.129608346151572";"0.818263160511011";"270"
