"";"";"";"";"jusqu_à";""
"1";"jusqu_à";"0.0433522626637496";"0.835481152011287";"2.00613411542477";"18"
"2";"alerte";"0.132871822899808";"0.421398065710846";"1.58701098573346";"35"
"3";"2022";"0.302330205188487";"0.560817669467126";"1.57257543371278";"36"
"4";"entre";"-0.00330960531558576";"0.255000918523142";"1.48262663418999";"42"
"5";"2025";"-0.0476184238981597";"0.104031028060005";"1.38994382860267";"55"
"6";"derrière";"0.131021425781419";"0.58610487199926";"1.31125913406572";"68"
"7";"000";"-0.0571956031177052";"0.362980044548126";"1.27998210468758";"73"
"8";"suivant";"0.256008498335554";"0.920826771975995";"1.26084406223592";"77"
"9";"celle";"0.222994622419289";"1.14491756398708";"1.26084406223592";"78"
"10";"lorsque";"0.326894437455114";"-0.333970280367181";"1.24225282099717";"84"
"11";"tels";"0.129133633390918";"0.455775609993932";"1.24225282099717";"86"
"12";"15";"0.0693052975892996";"0.342170038954668";"1.23787841129393";"87"
"13";"certains";"0.226948426640498";"1.11898234375596";"1.23180891783069";"90"
"14";"aux";"-0.0948591355271454";"0.197336392956263";"1.22814534970423";"91"
"15";"16";"-0.268627044382721";"1.09374284563916";"1.22606750509519";"92"
"16";"mais";"-0.486876792505973";"0.18366283929182";"1.21792016702292";"93"
"17";"an";"-0.107246578417297";"0.10006371368633";"1.21010090967838";"95"
"18";"jusqu";"0.0556596684374603";"0.835442402566992";"1.19435303474673";"98"
"19";"qu";"0.0938748879820261";"-0.260865756244831";"1.19435303474673";"101"
"20";"d";"0.143458977778923";"0.012182042214439";"1.18833822140478";"102"
"21";"aussi";"0.0791217038283429";"0.238633927665792";"1.17701943629766";"104"
"22";"nous";"0.0070260469889792";"1.39990570000479";"1.17685539593379";"105"
"23";"jamais";"0.476675840260159";"-0.285925750882702";"1.17401202962668";"107"
"24";"par";"0.159220532240209";"0.226902071386075";"1.15979519809117";"109"
"25";"9";"0.059027441252962";"1.04370361505222";"1.15908435651439";"111"
"26";"tandis_que";"0.156548837763652";"0.735703158132096";"1.15908435651439";"112"
"27";"lorsqu";"0.468767563559122";"0.309850176433744";"1.14535964607049";"115"
"28";"beaucoup";"0.526550289036535";"-0.000281482880492723";"1.13513446338917";"120"
"29";"alors";"-0.0303450844281854";"-0.394763240985893";"1.12305015658398";"122"
"30";"déjà";"0.19151862285977";"-0.273805217301856";"1.12042551076204";"123"
"31";"65";"0.13728242185587";"0.574919638920057";"1.11965998906398";"124"
"32";"près";"0.492621796636374";"0.101566678198395";"1.11965998906398";"125"
"33";"29";"0.0337323439526186";"0.570700161834928";"1.11965998906398";"126"
"34";"ces";"0.246177672864868";"0.40189053777538";"1.1132077347517";"129"
"35";"chaque";"-0.301912848757413";"0.716806807822633";"1.10571655813491";"130"
"36";"qui";"0.0227218376522442";"0.112436845095211";"1.10489635631555";"132"
"37";"environ";"0.214451011844067";"0.631537298154636";"1.08537555301486";"136"
"38";"avec";"-0.21470918238316";"0.351001696448806";"1.08455535119551";"137"
"39";"après";"0.0173017251421723";"-0.509762037426609";"1.08100114331163";"138"
"40";"2000";"0.546380885115037";"-0.231449409126111";"1.07536909081871";"140"
"41";"vers";"0.380559960830959";"0.101715562871773";"1.07159616244967";"141"
"42";"y";"-0.287039994343237";"-0.053369802323617";"1.07050256002386";"142"
"43";"plus";"0.0153347426407723";"0.425036219931855";"1.06700303226127";"143"
"44";"cinq";"0.472265160262971";"-0.0327826402156018";"1.06257394243675";"144"
"45";"bien";"0.0668624683908904";"0.930766286043725";"1.06011333697867";"147"
"46";"400";"0.0116945171082281";"0.665616311840801";"1.05978525625093";"150"
"47";"sous";"0.483326389039043";"0.109067073579449";"1.05759805139931";"151"
"48";"2017";"-0.501244348437936";"0.178572519136327";"1.04097529452702";"154"
"49";"20";"-0.0021684261628589";"0.462098377669406";"1.0370383257941";"155"
"50";"pour";"-0.0975149884165837";"-0.00883388508420563";"1.02932842869215";"157"
"51";"dans";"0.208812440475939";"-0.187724789410188";"1.02692250335537";"159"
"52";"être";"-0.0435661945347056";"-0.02228055987942";"1.0267584629915";"160"
"53";"sa";"-0.542912864899763";"-0.196020428585849";"1.02205597256052";"161"
"54";"deux";"0.096829781864306";"-0.343843828069133";"1.02183725207536";"162"
"55";"lui";"0.379136778820582";"0.0862585800629514";"1.01423671521599";"164"
"56";"une";"-0.00337984566045983";"0.152909976696334";"1.01341651339663";"165"
"57";"60";"-0.490907183195334";"-0.0785601323789121";"1.01221355072824";"166"
"58";"certaines";"0.203152459617336";"0.743868229695348";"1.01221355072824";"167"
"59";"dire";"0.424378932160956";"-0.174894347097827";"1.01221355072824";"168"
"60";"toute";"-0.380679387646368";"-0.260746359075686";"1.00423025301983";"170"
"61";"de";"-0.131368828078742";"-0.0944790919941989";"0.999418402346274";"172"
"62";"falloir";"0.00327700579554683";"1.04439720479657";"0.997887358950142";"173"
"63";"htag_miseaupointrts";"0.752506073686334";"-0.58014829169495";"0.996684396281752";"174"
"64";"aucune";"0.399044842156688";"0.444034439265183";"0.992309986578516";"175"
"65";"chez";"0.27912967918482";"0.547423359181849";"0.990724263061093";"176"
"66";"2019";"0.488812574177673";"-0.318955014041519";"0.989411940150122";"177"
"67";"autres";"0.283424766809549";"0.507275697858443";"0.986841974449471";"180"
"68";"faire";"-0.0563210137181116";"-0.470718589528591";"0.980170999652036";"181"
"69";"ce";"-0.0815405099146661";"0.408139104348375";"0.970383257941045";"182"
"70";"elle";"-0.482040216860894";"0.0769128389013061";"0.968688174181041";"183"
"71";"quatre";"0.367588627206895";"0.315921539779546";"0.965571407267485";"184"
"72";"nos";"-0.574685049171397";"0.807383431366021";"0.961907839141025";"185"
"73";"moins";"0.139729630130907";"-0.0749743864081914";"0.96130635780683";"187"
