"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"suisse";0,421;1;1;0,016;1;1;0,099;1;0;0,557;0,212;1
"emji_drapeau_suisse";0,006;1;1;0,194;1;1;0;0,082;0;1;0,042;1
"premier";0,356;1;1;1;0,815;1;1;0,009;0,074;0,793;1;1
"année";1;1;1;0,074;1;1;1;1;0;0,004;0,131;1
"genève";1;0,516;1;1;1;1;0,841;0,678;1;0;0,141;1
"annoncer";1;1;0,002;1;1;0;1;0,001;1;1;1;1
"unir";0,742;1;0;1;1;1;1;1;1;1;1;1
"jour";0,841;0,114;0,035;1;0,084;1;0,999;0,847;1;1;0,059;1
"conseil";1;1;0,488;1;1;1;0;0;1;1;1;1
"novembre";1;1;1;1;1;1;0,144;1;0,4;0,456;0,004;1
"dernier";0,627;1;1;0,572;1;0,119;1;0,578;0;1;1;1
"grand";0,104;1;0,511;1;1;1;0,378;0,273;1;0,044;0,089;1
"monde";0;1;1;1;1;1;1;1;1;0,069;1;1
"mettre";1;0,756;0,158;1;0,287;1;0,01;0,078;1;1;1;1
"nouveau";1;1;1;1;1;1;1;0;1;0,167;1;0,167
"fédéral";1;1;0,685;0,397;1;1;0;0,418;0;1;1;1
"jeudi";0,279;1;0,973;1;0,706;0,541;0,144;0,622;1;1;0,021;1
"franc";1;0,98;1;0,006;1;1;0,411;0,005;0;1;1;1
"pays";1;1;0,056;1;0,792;0,218;0,005;0,716;1;1;1;1
"femme";1;1;1;1;0,926;1;0,057;1;0;0,682;1;1
"décembre";1;1;0,252;1;1;1;0,946;1;1;0,707;0,009;0,222
"canton";1;0,79;1;0,001;1;1;0;1;1;1;1;1
"viser";1;1;1;0,007;1;0,238;0;1;1;0,128;1;1
"notamment";1;0,868;1;0,462;1;1;0,679;1;1;0,838;0,222;0,132
"face";0,011;1;1;1;0,785;1;0,184;0,328;1;1;1;0,985
"dimanche";0,279;0,483;1;1;0,12;0,087;0,009;1;1;1;1;1
"révéler";1;0,425;1;1;1;1;1;1;0,264;0,944;1;0
"public";1;1;0,245;1;1;1;1;0,001;0,871;0,06;1;0,985
"projet";1;1;1;0;1;1;0,001;0,761;1;0,053;1;1
"enfant";1;1;1;1;0,699;0;0,319;1;0,336;1;1;0,029
"lausanne";1;1;1;0;0,095;1;1;0,013;1;0,522;1;1
"mondial";0;1;1;0,061;1;1;1;1;1;0;1;1
"jeune";1;0,588;1;1;0,354;1;0,132;1;0,866;1;1;0,001
"national";1;1;1;1;1;1;0;0,047;0,621;1;1;1
"fin";0,314;1;0,002;1;1;1;1;0,026;0,496;1;1;1
"près_de";1;1;1;0,003;0,001;0,75;1;1;1;1;1;1
"mardi";1;0,145;0,159;1;0,626;0,462;1;0;1;1;1;1
"lundi";1;0,071;1;1;0,151;0,28;0,177;0,364;1;1;1;1
"état";0,548;0,164;0,001;1;0,666;0,501;0,72;1;1;1;1;1
"service";1;1;1;1;0,095;1;0;0,071;1;0,522;0,672;1
"prendre";0,775;1;1;1;1;0,726;1;0;0,243;1;1;1
"permettre";1;0,588;1;0,002;1;1;0,394;1;0,866;1;1;0,044
"prix";1;1;1;0,002;1;1;1;0,436;0,014;0,338;1;1
"initiative";1;1;1;0,54;1;1;0;1;0,143;0,562;1;1
"ville";1;1;1;0;1;1;1;1;1;0;0,276;1
"social";1;0,237;1;0,003;1;1;0,154;1;1;1;1;0
"noël";0,219;1;1;0,202;1;1;1;1;1;0,634;0,005;0,634
"américain";1;1;0;1;1;1;1;1;1;1;1;1
"vendredi";0,488;1;0,53;1;1;0;1;0,627;1;1;1;1
"président";1;0,041;0;1;1;1;1;0;1;1;1;1
