"";"*rts_a";"*rts_i"
"tu";549;512
"ne";2444;1639
"avoir";5522;2787
"pas";2842;2035
"changer";370;163
"ou";531;420
"presque";52;24
"emji_visage_faisant_un_clin_d_oeil";157;53
"ils";814;690
"être";7611;4621
"le";3214;2204
"la";4067;2482
"fin";136;68
"c";2879;1749
"un";2020;1464
"mieux";206;124
"avant";287;100
"aujourd_hui";571;63
"les";3841;2456
"enfant";763;495
"faire";1549;1236
"des";2255;1547
"danser";14;3
"sur";597;438
"tiktok";20;7
"à";2931;1843
"l";2580;1473
"époque";901;59
"du";1031;688
"style";23;14
"et";4184;2626
"de";6203;4066
"grâce";35;11
"contrairement";10;4
"on";2017;1256
"pouvoir";563;530
"plus";1202;814
"mettre";191;197
"musique";47;29
"dehors";24;19
"même";707;409
"aller";563;681
"mon";514;187
"ami";103;60
"rassurer";13;13
"moi";398;198
"ça";1472;954
"quand";524;304
"t";231;194
"petit";448;173
"plein";88;60
"qui";1562;1190
"s";589;409
"nous";659;377
"deux";125;81
"sortir";109;118
"dingue";30;20
"emji_visage_très_souriant_aux_yeux_rieurs";33;11
"inviter";11;5
"dame";148;8
"emji_feu";79;40
"vraiment";298;222
"insupportable";11;9
"tout";927;559
"ces";458;295
"gens";450;370
"cirque";6;9
"pareil";76;42
"tellement";249;91
"bas";36;38
"école";263;176
"en";2298;1617
"suisse";163;282
"vivre";370;231
"leur";363;301
"juste";214;168
"apprendre";228;121
"oublier";109;62
"leurs";207;141
"racine";14;7
"origine";14;4
"où";329;164
"mal";142;96
"jusqu_au";21;13
"dernier";144;62
"oh";65;22
"dieu";193;37
"comme";700;409
"m";265;144
"vendre";10;11
"rêve";52;22
"ouf";13;7
"dur";84;66
"pensée";34;14
"pour";1584;1360
"vous";880;948
"regarder";149;61
"jusqu_à";48;26
"disparaître";43;18
"aussi";450;264
"vite";84;37
"qu";1235;901
"arrivée";8;4
"chose";399;278
"finalement";35;20
"bien";962;495
"parfois";52;27
"emji_visage_riant_aux_larmes";557;288
"calme";39;13
"toi";134;140
"vieux";122;23
"il";1820;1125
"y";834;582
"amitié";6;7
"fort";53;30
"cette";760;218
"maintenant";278;63
"ce";1481;892
"que";2308;1767
"hypocrisie";4;11
