"";"X.rts_a";"X.rts_i"
"tu";-9,3361;9,3361
"ne";-1,2099;1,2099
"avoir";24,7183;-24,7183
"pas";-4,4342;4,4342
"changer";4,4706;-4,4706
"ou";-3,2266;3,2266
"presque";0,9441;-0,9441
"emji_visage_faisant_un_clin_d_oeil";4,7224;-4,7224
"ils";-7,5787;7,5787
"être";2,5058;-2,5058
"le";-2,3294;2,3294
"la";1,4173;-1,4173
"fin";1,249;-1,249
"c";1,2883;-1,2883
"un";-3,9561;3,9561
"mieux";0,4894;-0,4894
"avant";7,4448;-7,4448
"aujourd_hui";60,3806;-60,3806
"les";-0,3211;0,3211
"enfant";-0,3988;0,3988
"faire";-8,5645;8,5645
"des";-1,8331;1,8331
"danser";1,2571;-1,2571
"sur";-1,8339;1,8339
"tiktok";0,939;-0,939
"à";0,507;-0,507
"l";3,5328;-3,5328
"époque";122,5589;-122,5589
"du";-0,7235;0,7235
"style";0,2871;-0,2871
"et";0,6005;-0,6005
"de";-1,0376;1,0376
"grâce";1,6291;-1,6291
"contrairement";0,5132;-0,5132
"on";0,6012;-0,6012
"pouvoir";-10,0275;10,0275
"plus";-1,0022;1,0022
"mettre";-5,8098;5,8098
"musique";0,307;-0,307
"dehors";-0,5378;0,5378
"même";1,2259;-1,2259
"aller";-28,8778;28,8778
"mon";11,3017;-11,3017
"ami";0,5;-0,5
"rassurer";-0,7698;0,7698
"moi";2,673;-2,673
"ça";-0,4393;0,4393
"quand";1,0089;-1,0089
"t";-2,5369;2,5369
"petit";8,3813;-8,3813
"plein";-0,4245;0,4245
"qui";-5,6359;5,6359
"s";-0,997;0,997
"nous";1,3258;-1,3258
"deux";-0,315;0,315
"sortir";-4,3287;4,3287
"dingue";-0,3068;0,3068
"emji_visage_très_souriant_aux_yeux_rieurs";1,4229;-1,4229
"inviter";0,4432;-0,4432
"dame";22,1155;-22,1155
"emji_feu";0,8704;-0,8704
"vraiment";-1,3471;1,3471
"insupportable";-0,4348;0,4348
"tout";0,8249;-0,8249
"ces";-0,3322;0,3322
"gens";-3,733;3,733
"cirque";-1,089;1,089
"pareil";0,5895;-0,5895
"tellement";5,8202;-5,8202
"bas";-1,6912;1,6912
"école";-0,4815;0,4815
"en";-2,8689;2,8689
"suisse";-24,6706;24,6706
"vivre";0,3838;-0,3838
"leur";-3,3241;3,3241
"juste";-1,5925;1,5925
"apprendre";1,2582;-1,2582
"oublier";0,5849;-0,5849
"leurs";-0,5326;0,5326
"racine";0,4129;-0,4129
"origine";0,9587;-0,9587
"où";2,2945;-2,2945
"mal";-0,4502;0,4502
"jusqu_au";0,2672;-0,2672
"dernier";2,2988;-2,2988
"oh";2,2887;-2,2887
"dieu";13,4659;-13,4659
"comme";1,0888;-1,0888
"m";1,1853;-1,1853
"vendre";-0,8241;0,8241
"rêve";1,1951;-1,1951
"ouf";0,3433;-0,3433
"dur";-0,9245;0,9245
"pensée";0,977;-0,977
"pour";-15,2034;15,2034
"vous";-28,5309;28,5309
"regarder";2,7637;-2,7637
"jusqu_à";0,5354;-0,5354
"disparaître";1,088;-1,088
"aussi";0,8341;-0,8341
"vite";1,4607;-1,4607
"qu";-2,9113;2,9113
"arrivée";0,3298;-0,3298
"chose";-0,8559;0,8559
"finalement";0,3952;-0,3952
"bien";4,3496;-4,3496
"parfois";0,6462;-0,6462
"emji_visage_riant_aux_larmes";2,7262;-2,7262
"calme";1,6044;-1,6044
"toi";-4,5155;4,5155
"vieux";8,9291;-8,9291
"il";0,6926;-0,6926
"y";-1,2838;1,2838
"amitié";-0,6869;0,6869
"fort";0,4657;-0,4657
"cette";28,1704;-28,1704
"maintenant";15,6079;-15,6079
"ce";1,0574;-1,0574
"que";-8,3552;8,3552
"hypocrisie";-2,1297;2,1297
"souvenir";34,2091;-34,2091
"dans";0,3969;-0,3969
"nombreux";0,321;-0,321
