"";"banalfreq";"X.rts_a";"X.rts_i"
"ne";4083;-1,2099;1,2099
"presque";76;0,9441;-0,9441
"la";6549;1,4173;-1,4173
"fin";204;1,249;-1,249
"c";4628;1,2883;-1,2883
"mieux";330;0,4894;-0,4894
"les";6297;-0,3211;0,3211
"enfant";1258;-0,3988;0,3988
"des";3802;-1,8331;1,8331
"danser";17;1,2571;-1,2571
"sur";1035;-1,8339;1,8339
"tiktok";27;0,939;-0,939
"à";4774;0,507;-0,507
"du";1719;-0,7235;0,7235
"style";37;0,2871;-0,2871
"et";6810;0,6005;-0,6005
"de";10269;-1,0376;1,0376
"grâce";46;1,6291;-1,6291
"contrairement";14;0,5132;-0,5132
"on";3273;0,6012;-0,6012
"plus";2016;-1,0022;1,0022
"musique";76;0,307;-0,307
"dehors";43;-0,5378;0,5378
"même";1116;1,2259;-1,2259
"ami";163;0,5;-0,5
"rassurer";26;-0,7698;0,7698
"ça";2426;-0,4393;0,4393
"quand";828;1,0089;-1,0089
"plein";148;-0,4245;0,4245
"s";998;-0,997;0,997
"nous";1036;1,3258;-1,3258
"deux";206;-0,315;0,315
"dingue";50;-0,3068;0,3068
"emji_visage_très_souriant_aux_yeux_rieurs";44;1,4229;-1,4229
"inviter";16;0,4432;-0,4432
"emji_feu";119;0,8704;-0,8704
"vraiment";520;-1,3471;1,3471
"insupportable";20;-0,4348;0,4348
"tout";1486;0,8249;-0,8249
"ces";753;-0,3322;0,3322
"cirque";15;-1,089;1,089
"pareil";118;0,5895;-0,5895
"bas";74;-1,6912;1,6912
"école";439;-0,4815;0,4815
"vivre";601;0,3838;-0,3838
"juste";382;-1,5925;1,5925
"apprendre";349;1,2582;-1,2582
"oublier";171;0,5849;-0,5849
"leurs";348;-0,5326;0,5326
"racine";21;0,4129;-0,4129
"origine";18;0,9587;-0,9587
"mal";238;-0,4502;0,4502
"jusqu_au";34;0,2672;-0,2672
"comme";1109;1,0888;-1,0888
"m";409;1,1853;-1,1853
"vendre";21;-0,8241;0,8241
"rêve";74;1,1951;-1,1951
"ouf";20;0,3433;-0,3433
"dur";150;-0,9245;0,9245
"pensée";48;0,977;-0,977
"jusqu_à";74;0,5354;-0,5354
"disparaître";61;1,088;-1,088
"aussi";714;0,8341;-0,8341
"vite";121;1,4607;-1,4607
"arrivée";12;0,3298;-0,3298
"chose";677;-0,8559;0,8559
"finalement";55;0,3952;-0,3952
"parfois";79;0,6462;-0,6462
"calme";52;1,6044;-1,6044
"il";2945;0,6926;-0,6926
"y";1416;-1,2838;1,2838
"amitié";13;-0,6869;0,6869
"fort";83;0,4657;-0,4657
"ce";2373;1,0574;-1,0574
"dans";2105;0,3969;-0,3969
"nombreux";30;0,321;-0,321
"romand";12;-0,512;0,512
"étudiant";19;-0,5245;0,5245
"éducation";163;1,5904;-1,5904
"oui";572;1,1699;-1,1699
"tous";616;-0,6662;0,6662
"bon";809;0,9982;-0,9982
"frère";59;0,9414;-0,9414
"soeur";52;1,9318;-1,9318
"10";92;-1,2848;1,2848
"camp";18;-0,6309;0,6309
"trop";402;1,2208;-1,2208
"importer";84;-0,4643;0,4643
"emji_visage_avec_un_léger_sourire";74;0,5354;-0,5354
"elles";245;1,1265;-1,1265
"vachement";18;0,388;-0,388
"remonter";24;-0,3289;0,3289
"lol";25;1,0493;-1,0493
"fou";131;-0,333;0,333
"image";121;0,7125;-0,7125
"considérer";27;-0,919;0,919
"avec";1441;0,8913;-0,8913
"réseau";65;0,7814;-0,7814
"passion";41;1,1332;-1,1332
"excellent";47;-0,325;0,325
"notre";308;-0,5253;0,5253
"malheureusement";233;1,8683;-1,8683
"perdre";175;-0,52;0,52
"acheter";38;-0,7342;0,7342
"street";10;0,3886;-0,3886
"2";199;-0,4795;0,4795
"fils";83;1,0307;-1,0307
"suivre";53;-0,3962;0,3962
"roi";29;0,8456;-0,8456
"lorsque";42;0,9612;-0,9612
"voir";1218;-0,6191;0,6191
"descendre";12;0,3298;-0,3298
"orange";23;0,5688;-0,5688
"sentir";186;0,4823;-0,4823
"emji_visage_en_pleine_réflexion";67;0,5868;-0,5868
"emji_applaudissements";324;1,046;-1,046
"écouter";122;1,526;-1,526
"sage";25;1,4322;-1,4322
"philosophie";29;1,5204;-1,5204
"adulte";135;0,9815;-0,9815
"croire";245;0,7417;-0,7417
"vrai";345;1,0292;-1,0292
"exactement";47;-0,325;0,325
"train";28;-0,254;0,254
"passer";612;-0,3038;0,3038
"raison";151;0,3825;-0,3825
"papier";15;0,3607;-0,3607
"terre";92;-1,9184;1,9184
"une";2645;1,2656;-1,2656
"responsable";27;-0,666;0,666
"traiter";22;-0,4713;0,4713
"concernant";17;-1,5465;1,5465
"changement";36;-0,3656;0,3656
"vivement";11;-0,358;0,358
"emji_visage_de_clown";22;-0,7023;0,7023
"1er";27;0,6683;-0,6683
"sembler";78;0,3752;-0,3752
"information";22;-1,3507;1,3507
"mémoire";44;-0,3452;0,3452
"temps";869;0,5412;-0,5412
"août";18;0,9587;-0,9587
"jour";672;-1,029;1,029
"férié";13;0,7247;-0,7247
"imaginer";97;1,3934;-1,3934
"utiliser";104;-0,8007;0,8007
"pression";12;-0,8523;0,8523
"envoyer";74;-1,2434;1,2434
"décevoir";28;0,528;-0,528
"plaisir";189;1,9538;-1,9538
"trouver";331;0,5688;-0,5688
"lien";31;-0,5271;0,5271
"version";16;-0,5932;0,5932
"long";80;-0,4233;0,4233
"journée";188;-0,3163;0,3163
"surtout";216;-0,4963;0,4963
"envie";172;-0,9166;0,9166
"empêcher";47;-1,4764;1,4764
"emji_tête_à_l";45;-0,3015;0,3015
"envers";98;-0,6114;0,6114
"là";431;-1,0448;1,0448
"singe";15;0,6157;-0,6157
"tour";55;0,6774;-0,6774
"certainement";74;0,8218;-0,8218
"au";1227;-0,8551;0,8551
"quotidien";47;-0,9748;0,9748
"part";122;-0,3013;0,3013
"client";21;1,3441;-1,3441
"demander";256;0,3101;-0,3101
"pousser";28;-1,4072;1,4072
"partout";68;-0,7973;0,7973
"humain";208;-1,9957;1,9957
"métier";103;1,8386;-1,8386
"toute";263;-0,5174;0,5174
"ses";334;0,9356;-0,9356
"lier";15;-0,2486;0,2486
"pauvre";144;0,7716;-0,7716
"bête";22;0,7362;-0,7362
"numéro";11;-0,358;0,358
"super";157;0,9831;-0,9831
"ni";195;0,5908;-0,5908
"ailleurs";100;-1,7923;1,7923
"étonner";47;-1,2099;1,2099
"maltraiter";14;1,3293;-1,3293
"arriver";290;-0,9869;0,9869
"mauvais";123;-1,0896;1,0896
"goût";53;0,3121;-0,3121
"gros";105;-0,4287;0,4287
"penser";453;-1,8639;1,8639
"13";18;0,388;-0,388
"bah";105;-0,276;0,276
"chanceux";15;1,4888;-1,4888
"veille";10;0,3886;-0,3886
"14";24;0,6546;-0,6546
"lendemain";20;0,8354;-0,8354
"12";27;0,6683;-0,6683
"malheur";10;-0,2282;0,2282
"lunette";13;1,1735;-1,1735
"soleil";30;1,2588;-1,2588
"voyage";26;-0,3613;0,3613
"esprit";102;0,7095;-0,7095
"terrible";40;0,5987;-0,5987
"main";115;-1,4838;1,4838
"mourir";76;-0,3831;0,3831
"peu";423;0,6315;-0,6315
"bébé";46;-1,9272;1,9272
"tôt";45;-0,4203;0,4203
"hélas";20;1,6995;-1,6995
"film";38;0,651;-0,651
"rapport";39;-1,3748;1,3748
"rien";650;-0,5545;0,5545
"jamais";411;1,2508;-1,2508
"ho";10;0,3886;-0,3886
"emji_visage_avec_bouche_ouverte";145;-0,4386;0,4386
"aîné";17;0,5325;-0,5325
"plutôt";127;-0,5379;0,5379
"maman";102;0,9932;-0,9932
"cours";171;-0,3535;0,3535
"répéter";33;0,6961;-0,6961
"car";299;-0,7672;0,7672
"objectif";15;0,3607;-0,3607
"atteindre";34;-1,8253;1,8253
"preuve";19;-0,3235;0,3235
"vivant";63;1,0233;-1,0233
"inutile";21;-0,5615;0,5615
"écrire";50;0,711;-0,711
"tant";167;0,2758;-0,2758
"parent";366;1,5954;-1,5954
"dos";21;0,9465;-0,9465
"peur";126;-0,792;0,792
"oser";59;1,158;-1,158
"parler";413;0,4825;-0,4825
"naissance";30;0,478;-0,478
"qq";17;0,5325;-0,5325
"minute";21;-0,3594;0,3594
"bb";14;-1,3068;1,3068
"partie";100;0,7436;-0,7436
"traumatiser";24;1,7619;-1,7619
"choisir";59;-1,9087;1,9087
"sport";138;-0,5019;0,5019
"seul";306;-0,4055;0,4055
"comment";210;-1,1805;1,1805
"tard";87;1,1058;-1,1058
"trois";27;0,2986;-0,2986
"eau";50;0,4066;-0,4066
"comprendre";328;-0,2911;0,2911
"paradis";30;1,6461;-1,6461
"joli";62;1,6778;-1,6778
"dignité";15;-0,2486;0,2486
"chez";251;-1,9427;1,9427
"reposer";19;0,729;-0,729
"sûr";144;-0,5537;0,5537
"moyen";80;-1,7675;1,7675
"courir";44;-0,8246;0,8246
"derrière";46;-0,5034;0,5034
"stresser";17;1,2571;-1,2571
"malade";59;-0,7599;0,7599
"regard";32;1,1403;-1,1403
"celle";50;1,1415;-1,1415
"appeler";134;0,4163;-0,4163
"femme";563;0,8164;-0,8164
"type";42;0,7374;-0,7374
"tomber";122;-1,3105;1,3105
"oeil";149;-1,5521;1,5521
"énergie";18;0,388;-0,388
"dégager";10;-0,4672;0,4672
"premier";128;1,1987;-1,1987
"normal";153;-1,9502;1,9502
"hein";51;0,3354;-0,3354
"télé";41;0,8789;-0,8789
"réalité";44;-1,0454;1,0454
"tik";14;1,3293;-1,3293
"tok";14;1,3293;-1,3293
"ben";84;-1,0044;1,0044
"facile";58;-0,6652;0,6652
"emji_visage_souriant_avec_une_goutte_de_sueur";104;0,3751;-0,3751
"ramasser";10;-0,8257;0,8257
"lever";34;0,5645;-0,5645
"doigt";48;0,3182;-0,3182
"gars";57;0,2712;-0,2712
"habiter";40;-0,2958;0,2958
"autant";124;-1,3348;1,3348
"culturel";15;0,3607;-0,3607
"ramener";28;-0,254;0,254
"âme";43;1,0465;-1,0465
"unir";14;-0,5537;0,5537
"subir";42;-0,4486;0,4486
"pire";176;-0,5676;0,5676
"savoir";707;0,6105;-0,6105
"meilleur";157;1,114;-1,114
"chacun";85;0,3481;-0,3481
"civil";16;-1,8123;1,8123
"société";102;-0,6542;0,6542
"commun";15;-0,7228;0,7228
"adresse";15;0,9812;-0,9812
"mesure";15;-0,4458;0,4458
"foyer";38;-1,2175;1,2175
"condition";30;-1,428;1,428
"mariage";27;0,2986;-0,2986
"égal";10;-0,2282;0,2282
"moderne";18;-0,3972;0,3972
"marier";36;0,2448;-0,2448
"boîte";20;0,8354;-0,8354
"nuit";67;-0,4433;0,4433
"rire";36;1,2363;-1,2363
"avance";67;0,3531;-0,3531
"talent";16;-0,358;0,358
"rue";118;-1,1051;1,1051
"fil";12;0,6053;-0,6053
"ainsi";78;1,5009;-1,5009
"mentalité";83;-0,6251;0,6251
"impression";73;0,6169;-0,6169
"triste";296;-0,4546;0,4546
"encore";563;0,6036;-0,6036
"peine";63;0,4011;-0,4011
"emji_femme_qui_hausse_les_épaules";16;0,2507;-0,2507
"larme";17;1,817;-1,817
"note";25;0,3307;-0,3307
"sans";527;-0,4122;0,4122
"anglais";23;0,3683;-0,3683
"italien";14;0,5132;-0,5132
"tourner";48;1,226;-1,226
"vers";67;1,5797;-1,5797
"merde";45;0,4199;-0,4199
"vive";38;0,333;-0,333
"valeur";59;-0,3548;0,3548
"français";119;0,6291;-0,6291
"gosse";88;0,5637;-0,5637
"manger";88;-0,8943;0,8943
"habitude";49;0,2582;-0,2582
"cela";331;-0,4639;0,4639
"entre";168;-0,8772;0,8772
"35";20;0,8354;-0,8354
