"";"";"";"";"emji_coeur_brisé";""
"1";"emji_coeur_brisé";"5.96231791109049";"-0.234858497212888";"0.923136029956993";"37"
"2";"musulman";"-0.132096901851539";"-3.42733045370703";"0.913492325374462";"43"
"3";"massacre";"-0.146788611749581";"-3.51032601682522";"0.906653381284295";"47"
"4";"islamiste";"-0.141481559954442";"-3.79110017983669";"0.904378614859855";"52"
"5";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"6.48914830483324";"0.309957545217346";"0.896573854367492";"54"
"6";"chrétien";"-0.154250893103548";"-3.58537650678501";"0.892062880023728";"60"
"7";"baisser";"-0.330712503770836";"1.39246262151254";"0.8835212442533";"66"
"8";"emji_coeur_avec_bandages";"8.08184546395035";"-0.161440784187002";"0.88344857630135";"67"
"9";"augmenter";"-0.317523189675551";"1.19569254035312";"0.882260121607593";"68"
"10";"bombarder";"-0.154418186772176";"-3.59740618759216";"0.880193904790153";"71"
"11";"voiture";"-0.169512586099485";"1.33850826261803";"0.877124796084829";"74"
"12";"cisjordanie";"-0.143275602852002";"-4.07050002547138";"0.876017536704731";"78"
"13";"taxer";"-0.339725686540366";"1.31986101539632";"0.870787297938603";"86"
"14";"moyenne";"-0.342335024007889";"1.32829177960471";"0.865747812546344";"91"
"15";"caisse";"-0.334421818310243";"1.42866799682852";"0.865086385881655";"92"
"16";"innocent";"-0.153697694215778";"-3.09372942130192";"0.863817477383954";"94"
"17";"humanitaire";"-0.171596984261285";"-3.03853880518081";"0.863817477383954";"95"
"18";"santé";"-0.27517577745962";"1.05840282819636";"0.861308764644817";"96"
"19";"bande";"-0.133515551317319";"-3.0884213644604";"0.861219412724307";"97"
"20";"emji_mains_qui_forment_un_coeur";"6.49766820595127";"0.106802771195538";"0.861050904641851";"98"
"21";"félicitation";"6.04164676354981";"-0.0203818215221061";"0.857907274210292";"103"
"22";"emji_visage_roulant_des_yeux";"0.125175416278587";"1.06728598133636";"0.856888069108705";"105"
"23";"économie";"-0.332403846846488";"1.22135887398282";"0.856831158238173";"106"
"24";"emploi";"-0.335323544238152";"1.3365983980128";"0.856150081566069";"108"
"25";"manger";"-0.30958878446701";"1.21655068937113";"0.855524618122497";"109"
"26";"emji_drapeau_brésil";"7.4884769058168";"0.025081270950349";"0.854491324336349";"112"
"27";"colon";"-0.121010409827726";"-3.49525348974812";"0.853864563250779";"114"
"28";"canton";"-0.295753235631656";"1.11745323629752";"0.852281625389293";"116"
"29";"milliard";"-0.309561663811514";"1.1746199204477";"0.852166876761086";"118"
"30";"gagner";"-0.273916766952703";"0.975504556402571";"0.851811693608186";"119"
"31";"massacrer";"-0.153293631880374";"-3.62886407305979";"0.851229979237728";"120"
"32";"bombardement";"-0.14879362838481";"-3.90900993918579";"0.850303462850363";"122"
"33";"classe";"-0.147621726678098";"1.17210708386484";"0.850013532552277";"123"
"34";"banque";"-0.229137225398773";"1.31597691256962";"0.84963295269168";"124"
"35";"emji_biceps_contracté_peau_moyennement_claire";"7.82482172044513";"0.138273638330216";"0.849405494586979";"125"
"36";"produit";"-0.332637637593108";"1.31321174997041";"0.849066253892926";"127"
"37";"colonisation";"-0.173900816465851";"-3.07694832799693";"0.84560896485244";"131"
"38";"route";"-0.309332336411791";"1.17270573669529";"0.844890627317218";"135"
"39";"assassiner";"-0.158389342185545";"-3.48018302800168";"0.844704323001631";"136"
"40";"coûter";"-0.330531134012049";"1.26819090161249";"0.844675589500222";"137"
"41";"emji_étourdissement";"7.44441523154677";"0.182492927156735";"0.843994698205547";"138"
"42";"emji_visage_souriant_aux_yeux_rieurs";"0.373540382132604";"1.6205412937166";"0.843817848138811";"139"
