"";"";"";"";"ne";""
"1";"ne";"-0.193347780007514";"-0.0960190243306172";"1.82910650186994";"11"
"2";"vous";"-0.0780830656077185";"-0.213558220001718";"1.69364189912987";"13"
"3";"c";"-0.092772716976825";"0.0792772006711314";"1.65756807888192";"14"
"4";"des";"-0.197691566641773";"-0.114446750536682";"1.63838728066604";"17"
"5";"million";"-0.253805482694409";"0.35327393175255";"1.56488213442251";"20"
"6";"tu";"-0.122299247787292";"0.0576171006806714";"1.45819389717536";"24"
"7";"une";"-0.152163102038381";"0.0632316285393853";"1.44623130845512";"25"
"8";"la";"-0.116475534115479";"-0.0401168701651306";"1.40610564364065";"26"
"9";"qui";"-0.210542998392842";"-0.0440451340359175";"1.34571731054745";"29"
"10";"à";"-0.0991937042184767";"0.0418640767284404";"1.31545251235662";"33"
"11";"le";"-0.114288146679188";"-0.0675854441507033";"1.31216211136935";"34"
"12";"par";"-0.209442257265799";"-0.148757773026226";"1.29926925221292";"35"
"13";"on";"-0.126447080895142";"0.16557453528714";"1.27849665791732";"38"
"14";"se";"-0.197798199627903";"-0.0965984361615617";"1.25713833779153";"39"
"15";"d";"-0.199249044341515";"-0.0309723086252342";"1.21898346812336";"41"
"16";"dire";"-0.0998621247343264";"-0.0677455216339839";"1.20880562046219";"42"
"17";"déjà";"-0.164940841038822";"0.232494941228166";"1.20746878739092";"43"
"18";"ton";"-0.160405706488765";"0.0846118209947734";"1.18631719402873";"45"
"19";"aux";"-0.128145564430424";"0.13051621263684";"1.1416848857678";"46"
"20";"qu";"-0.186385576323054";"-0.0770145931218525";"1.13752623237341";"48"
"21";"dans";"-0.192089713808717";"0.0524821048971317";"1.13372935081532";"49"
"22";"un";"-0.143277823476111";"-0.0212896868448477";"1.12052295606743";"51"
"23";"du";"-0.145329918357984";"-0.0620141439539796";"1.08777399126736";"53"
"24";"mon";"-0.000682248436906364";"0.201014033701291";"1.08766029154738";"54"
"25";"juste";"-0.180784132074933";"0.0745098958562009";"1.08756037361164";"55"
"26";"savoir";"-0.152805311534921";"0.0455702704675547";"1.08359811064267";"56"
"27";"elle";"0.0140715818526767";"-0.162154105478178";"1.08017333725905";"57"
"28";"sur";"-0.211894876496912";"0.132154874684872";"1.07745832576379";"58"
"29";"chaque";"-0.250441425232324";"0.305166058148464";"1.06776284055102";"59"
"30";"pendant";"-0.261386225339255";"0.0471701178447544";"1.05155201683883";"61"
"31";"beaucoup";"-0.0596686739263785";"0.403624778796235";"1.0480514436419";"63"
"32";"bien";"-0.0075664456844232";"0.137378658902443";"1.04802043462736";"64"
"33";"comme";"-0.171171111145213";"-0.00771667469702386";"1.045529377126";"66"
"34";"toi";"0.191377523517547";"0.133922353327724";"1.0388142027551";"67"
"35";"rien";"-0.168930680672863";"0.0326839726361517";"1.02964931623557";"69"
"36";"avec";"-0.121036894748532";"0.11933917122552";"1.02908081763567";"70"
"37";"s";"-0.168340426323374";"-0.0589456770327754";"1.02807819283222";"71"
"38";"t";"-0.125242604863188";"0.0744893452182698";"1.02459140141952";"73"
"39";"te";"-0.0717560293137346";"0.0969108630490351";"1.02328557736279";"74"
"40";"pouvoir";"-0.200451647559102";"0.0849872363793154";"1.01702864731788";"75"
"41";"ou";"-0.19589130078423";"0.120438588850488";"1.01378648257544";"76"
"42";"ils";"-0.161867788343618";"-0.118150996847115";"1.0103892727603";"77"
"43";"cette";"-0.109869505841954";"-0.0229328688123775";"1.0081428419292";"78"
"44";"tout";"-0.0548778773323442";"0.0673032989056874";"1.00380502533969";"79"
"45";"personne";"-0.212150139553065";"-0.0869423037577649";"0.998971064517544";"81"
"46";"100";"-0.247210713207843";"0.449829237510516";"0.998909046488464";"82"
"47";"même";"-0.182133028203022";"0.068800502129374";"0.996559252275561";"84"
"48";"aussi";"-0.139402233712537";"0.132815728215434";"0.995346455262449";"85"
"49";"combien";"-0.245344919250309";"0.381598526307576";"0.995305109909729";"86"
"50";"au";"-0.134328752741616";"-4.36084281242505e-07";"0.991973363569733";"88"
"51";"donc";"-0.230166339900415";"0.0129086630125046";"0.990136940819766";"89"
"52";"falloir";"-0.171547714786668";"0.162335698990188";"0.984000601386949";"90"
"53";"10";"-0.203276327979602";"0.245979381871582";"0.97103883330932";"91"
"54";"y";"-0.164314620912786";"0.0194358996191566";"0.970118899211306";"93"
"55";"son";"-0.144781707735226";"-0.113543582913625";"0.96810675871228";"94"
"56";"quoi";"-0.12488169040251";"0.0356625167080451";"0.962270173086681";"95"
"57";"nous";"-0.119745686109528";"0.1849781898244";"0.961446711478347";"96"
"58";"leur";"-0.229014766777954";"-0.00991135859629792";"0.958280346549229";"97"
"59";"car";"-0.219080087471526";"0.0966582614012753";"0.954755655229874";"98"
"60";"3";"-0.0752928253678785";"0.495877544613782";"0.949370423038132";"99"
"61";"ma";"-0.021956303342024";"0.410697962462659";"0.947871654002042";"101"
"62";"moi";"-0.0538311173125392";"0.283671770536688";"0.946410784872613";"102"
"63";"vouloir";"-0.13227049544795";"0.0491527960153863";"0.944064436105769";"103"
"64";"là";"-0.155349846402944";"0.0155469698538514";"0.941266733905069";"106"
"65";"très";"-0.0727006735067966";"0.260020962522942";"0.937228671122777";"107"
"66";"quelque";"-0.220410721657933";"0.000509797260139123";"0.937163207647637";"108"
"67";"devoir";"-0.212802567208644";"0.10129379823805";"0.937087407834318";"109"
"68";"avant";"-0.186146878171264";"-0.135437132841287";"0.934313823756037";"111"
"69";"sous";"-0.199430995843122";"-0.396756329929672";"0.932694464107849";"112"
"70";"peu";"-0.187322385138744";"0.143820655844536";"0.931302503899619";"113"
"71";"peut_être";"-0.185429515457258";"0.186338450181731";"0.926199798284794";"116"
"72";"20";"-0.212860801148443";"0.136842400049619";"0.923415877868334";"119"
"73";"sans";"-0.188941395138266";"0.0809984859155327";"0.920897256798492";"122"
"74";"point";"-0.229118976532577";"-0.0104286910541784";"0.919333024287263";"124"
"75";"vos";"-0.141618341576821";"-0.090795215503587";"0.918526789909228";"125"
"76";"quand";"-0.164809102828478";"0.0298947511075325";"0.918464771880149";"126"
"77";"force";"0.13710070286232";"-0.142077154867915";"0.912772894989069";"127"
"78";"entre";"-0.206940522189791";"0.056382684345805";"0.912018342301934";"128"
"79";"ta";"-0.0623566665504778";"0.145591091624343";"0.909999310910788";"129"
"80";"autant";"-0.237308517453201";"0.247909666690611";"0.907952715951162";"131"
"81";"chez";"-0.12918262791206";"0.309799370779671";"0.907201608710088";"132"
"82";"2025";"-0.253392433701263";"0.333612015293833";"0.902054112296484";"134"
"83";"notre";"-0.0562588146692526";"0.235354620632575";"0.901251323364509";"137"
"84";"aucune";"-0.209393177348072";"-0.235346515235059";"0.899328764463043";"138"
"85";"m";"-0.0869710264079906";"0.222432703632444";"0.898815393000107";"141"
"86";"80";"-0.247536651717237";"0.325421130836465";"0.893499069729564";"144"
"87";"pourquoi";"-0.16458371869478";"-0.246324283028774";"0.8911630573009";"145"
"88";"grâce";"-0.0498788136381544";"0.52721282711478";"0.89115961185484";"146"
"89";"lui";"0.0550384741259295";"-0.050724982113841";"0.889671179156931";"147"
"90";"tous";"0.00712120919442722";"-0.0536539010683541";"0.887552229830046";"148"
"91";"cela";"-0.216950121547326";"0.113200091626744";"0.885254117308042";"153"
"92";"dont";"-0.230632088798735";"-0.456190784107874";"0.884372083116688";"154"
"93";"alors";"-0.199995559667806";"0.0551615644287669";"0.88402409306463";"155"
"94";"surtout";"-0.0875494052552897";"0.255511445985623";"0.883875938884051";"156"
"95";"non";"-0.118976016277038";"-0.000124166940102927";"0.882328933603122";"161"
"96";"quelqu_un";"-0.17016096290963";"0.126696328756832";"0.880847391797333";"162"
"97";"maintenant";"-0.0968403953972738";"-0.283879482389668";"0.879603585769681";"163"
"98";"leurs";"-0.216909308361689";"-0.181191972214187";"0.878084144057232";"166"
"99";"ses";"-0.157015648400431";"-0.154490916975355";"0.874380289542758";"168"
"100";"autres";"-0.214155643294396";"0.056592367549852";"0.870576517092545";"174"
"101";"aucun";"-0.155624653017088";"-0.31405054017915";"0.870480044602865";"175"
"102";"200";"-0.123166959590784";"-0.420292940670284";"0.858924018517707";"178"
"103";"jusqu";"-0.150118829574558";"-0.813835935535641";"0.858262492874191";"179"
"104";"ces";"-0.171010966749152";"-0.144121855856918";"0.854765365123316";"181"
"105";"2000";"-0.0433163474805527";"-0.361948458719871";"0.844887271269365";"189"
"106";"jamais";"-0.0782422392241148";"-0.158597799548476";"0.84276832194248";"195"
"107";"400";"0.211941607153004";"0.503375698249768";"0.84133501638153";"197"
"108";"deux";"-0.182526018151503";"-0.181728655890069";"0.838134196991812";"201"
"109";"htag_caisseunique";"0.272461263770773";"-0.76891002059608";"0.828586865959619";"211"
"110";"htag_genocide";"-0.212329358018533";"-2.27192515958757";"0.828328457505121";"214"
"111";"mes";"0.303980859456004";"0.397607242298675";"0.828242321353622";"221"
"112";"ah";"0.00572121179926712";"-0.0264232087759046";"0.826133708364917";"226"
"113";"2030";"-0.220647011965812";"1.15486997382454";"0.824831329754246";"227"
"114";"1000";"0.108802097168433";"0.62134956177503";"0.824441994349469";"229"
"115";"98";"-0.168150141747472";"1.11148569495527";"0.817265130206539";"237"
"116";"2026";"0.0701052389782146";"0.745652871260444";"0.815294335060233";"241"
"117";"celui_là";"-0.138275565138316";"0.367706261780411";"0.815159962663894";"243"
"118";"via";"-0.0904334872084479";"0.339063325827757";"0.814009183679862";"244"
"119";"haha";"0.152485502359625";"0.513317185336621";"0.813812793254443";"245"
"120";"72";"-0.00543417054021459";"-0.65526657017622";"0.812603441687392";"246"
"121";"inter";"-0.214603442799169";"-0.0486088490758423";"0.811504344394259";"248"
"122";"revoilà";"-0.214603442799169";"-0.0486088490758423";"0.811504344394259";"249"
"123";"excepté";"-0.214603442799169";"-0.0486088490758423";"0.811504344394259";"250"
"124";"fort";"0.433509884345974";"0.109855252514744";"0.810646428325325";"252"
"125";"14";"-0.0912682669176127";"0.370363934812312";"0.80993322099091";"254"
"126";"htag_cqfd";"-0.0886482836536818";"0.642829887799672";"0.808968496094117";"255"
"127";"71";"0.00257258091938304";"0.291709746614415";"0.80854126078268";"256"
"128";"2011";"-0.086253270974096";"-0.466408486237949";"0.808272515990002";"258"
"129";"adieu";"-0.30679878029268";"0.959737366851011";"0.807679899267686";"261"
"130";"trente";"-0.282612903528985";"-0.404007342386564";"0.807679899267686";"262"
"131";"nulles";"-0.282612903528985";"-0.404007342386564";"0.807679899267686";"263"
"132";"huit";"-0.282612903528985";"-0.404007342386564";"0.807679899267686";"264"
"133";"autrichiens";"-0.30679878029268";"0.959737366851011";"0.807679899267686";"267"
"134";"youpi";"0.0398228160703413";"1.33910818711167";"0.807304345647149";"271"
"135";"mi";"0.085920484817097";"0.834935079148241";"0.807304345647149";"272"
"136";"hum";"0.0398228160703413";"1.33910818711167";"0.807304345647149";"273"
"137";"franco";"0.085920484817097";"0.834935079148241";"0.807304345647149";"274"
"138";"40000";"0.0398228160703413";"1.33910818711167";"0.807304345647149";"275"
"139";"néanmoins";"-0.152104865762342";"0.518958194169439";"0.807259554848369";"278"
"140";"ha";"-0.150122810506846";"0.219877234206904";"0.806615256435154";"280"
"141";"mouais";"-0.0603518264684139";"1.04459354437031";"0.806501556715174";"281"
"142";"2010";"-0.175892358589421";"0.918136604283421";"0.804203444193171";"284"
"143";"43";"-0.167830399668189";"0.463555034537563";"0.804203444193171";"285"
"144";"chut";"-0.0583570002071029";"1.37030875903736";"0.804075962688951";"287"
"145";"91";"-0.00564434107426455";"-0.0306296038633911";"0.804075962688951";"289"
"146";"360";"-0.0402175926343313";"0.347500227109179";"0.804075962688951";"290"
"147";"versus";"-0.236515234782229";"-0.908180450349991";"0.803938144846552";"293"
"148";"auprès";"-0.236515234782229";"-0.908180450349991";"0.803938144846552";"294"
"149";"35";"-0.171057137720658";"0.195568092701708";"0.803858899587173";"296"
"150";"1940";"-0.101054188150331";"-0.551023492433707";"0.803852008695053";"297"
"151";"ouais";"0.0314242391879602";"0.0845496818057755";"0.803476455074516";"300"
"152";"13";"-0.154431249969629";"-0.143302039464638";"0.80281148398494";"302"
"153";"cinq";"-0.172507703981287";"0.412338646176222";"0.802408366795923";"304"
"154";"2027";"-0.179763467010396";"0.821462058947495";"0.802408366795923";"305"
"155";"62";"-0.0619476874774626";"0.784021372636664";"0.802270548953524";"307"
"156";"68";"-0.0750947626672988";"0.268278411872175";"0.802270548953524";"308"
"157";"eh";"0.0184707060770786";"0.388089982514902";"0.801805413735427";"310"
"158";"33";"-0.260701111545924";"0.455564258887584";"0.801298933164611";"312"
"159";"vingt";"-0.260701111545924";"0.455564258887584";"0.801298933164611";"313"
"160";"htag_hypocrisie";"-0.260701111545924";"0.455564258887584";"0.801298933164611";"316"
"161";"hourra";"-0.260701111545924";"0.455564258887584";"0.801298933164611";"317"
