emji_visage_riant_aux_larmes;40;1834;94;308;547
aller;13;137;262;1063;1499
suisse;32;85;191;1324;1165
voir;5;70;212;571;1446
parler;2;27;240;356;922
pays;10;17;270;490;626
gens;2;17;106;414;900
monde;5;29;165;409;752
emji_applaudissements;303;48;39;95;238
prendre;3;29;78;456;569
enfant;2;18;200;319;477
mettre;1;25;95;368;566
payer;0;12;32;830;119
emji_visage_qui_pleure;183;48;63;124;213
femme;4;7;61;99;765
comprendre;2;27;75;203;681
penser;2;26;67;249;621
passer;1;25;107;295;517
problème;0;14;40;292;538
chose;3;16;69;170;634
temps;4;17;57;253;502
emji_se_rouler_par_terre_de_rire;3;294;14;67;87
vraiment;5;35;57;200;515
droit;1;2;120;88;525
emji_visage_souriant_avec_yeux_en_forme_de_coeur;392;14;3;31;53
rester;5;24;58;310;399
arrêter;0;17;157;239;364
vie;5;16;41;320;397
police;5;10;59;36;613
grand;12;19;55;361;332
vrai;4;33;81;192;451
donner;0;9;68;179;499
emji_coeur_rouge;374;11;31;39;120
venir;0;23;78;234;402
travail;10;8;17;362;317
homme;4;11;43;47;564
jour;2;17;73;299;288
trouver;2;11;44;247;408
état;0;3;201;212;212
vivre;1;9;51;218;363
fois;1;17;67;203;349
commentaire;3;38;30;41;550
demander;1;7;69;169;393
emji_mains_levées;310;9;18;32;82
seul;2;10;84;190;342
cas;1;7;44;178;394
année;1;23;55;353;199
palestinien;5;1;546;9;35
israël;0;4;543;6;26
riche;1;11;5;482;63
question;0;6;42;121;417
petit;4;17;46;232;286
france;0;29;20;319;211
guerre;1;12;400;48;105
argent;0;13;31;422;109
emji_feu;239;17;24;35;78
politique;1;3;61;104;381
accord;2;15;110;150;232
laisser;0;4;56;147;326
partir;1;9;33;228;256
sentir;4;13;32;106;369
devenir;0;6;26;235;261
besoin;5;9;29;209;266
place;1;3;39;163;244
palestine;75;3;250;20;142
hamas;0;6;419;3;20
travailler;0;9;8;315;124
français;0;19;16;198;234
connaître;2;15;37;85;346
peuple;2;3;179;89;191
continuer;6;5;119;153;187
changer;2;9;26;158;275
raison;1;15;45;111;294
manifestation;0;3;60;11;356
arriver;0;14;36;166;235
etc;0;3;36;203;167
humain;4;3;65;73;297
plutôt;0;11;37;133;264
rendre;2;9;80;100;245
utiliser;0;5;58;141;219
gauche;1;18;30;68;304
sujet;1;14;17;44;354
moment;2;10;48;88;274
cause;1;4;61;112;237
population;0;2;88;152;177
impôt;0;4;4;361;23
exemple;1;6;30;161;210
