dessus;0;2;12;49;75
longtemps;1;7;14;51;61
derrière;0;4;17;31;78
celui;1;3;19;46;65
attention;2;8;17;37;66
vive;15;16;10;36;43
grâce;2;10;11;62;46
ouais;2;14;17;32;56
hors;0;0;6;51;72
presque;1;3;11;52;60
parfois;1;1;6;45;77
0;0;7;6;60;42
oh;13;13;14;24;60
celle;0;9;18;27;69
lors;0;3;19;21;68
or;6;12;12;38;31
certain;1;5;8;29;63
tiens;1;8;9;20;61
lorsqu;0;0;8;35;59
malgré;2;1;17;32;46
tard;2;3;6;33;54
celles;2;2;10;31;52
lorsque;0;0;18;32;46
2000;1;8;22;27;31
puisque;0;3;9;31;50
80;0;3;11;47;30
merde;0;10;1;40;41
200;1;2;24;39;25
tel;0;2;11;26;48
1948;0;0;37;1;2
environ;1;1;6;53;22
concernant;0;1;7;27;53
25;1;3;9;35;36
autour;0;1;7;38;41
afin;0;1;13;37;35
anti;0;2;11;21;47
8;1;5;4;40;20
madame;3;4;5;14;53
soi;1;2;4;16;53
d_abord;1;1;7;29;37
40;0;2;3;39;29
dehors;1;3;4;31;34
60;0;3;7;31;25
certes;0;0;11;30;28
12;0;1;4;31;27
moindre;0;1;5;21;40
18;1;6;7;18;32
trois;1;2;7;28;26
durant;0;1;9;22;34
ceci;2;3;11;23;24
9;0;2;5;23;25
hier;1;2;19;16;25
90;0;5;7;27;24
16;1;0;0;23;33
parmi;0;1;10;16;32
telle;0;0;5;17;34
eh;1;6;4;17;30
demain;0;4;6;25;25
2023;0;0;21;21;12
quels;0;2;11;16;28
pardon;0;6;14;10;26
laquelle;0;0;4;20;31
certaine;0;2;2;13;40
x;3;2;7;11;25
quelles;0;1;6;9;36
différents;0;0;2;13;36
11;2;1;17;7;21
voire;0;1;5;22;23
2026;1;6;2;19;18
70;0;0;17;17;14
jusqu_au;0;3;7;15;24
davantage;0;0;3;22;25
quant;0;2;8;18;19
gare;0;1;1;16;27
via;0;8;6;14;18
dedans;0;4;4;19;18
cependant;0;0;2;10;34
nul;1;3;7;10;19
lequel;0;0;2;12;31
17;1;1;4;18;18
ci;1;1;9;11;21
2024;0;0;8;23;10
haha;1;6;1;7;25
500;1;2;3;28;7
quasi;0;2;0;22;13
mille;2;0;4;19;10
dessous;0;1;3;24;11
con;1;3;3;10;22
45;0;0;6;17;14
14;0;6;4;10;15
près;0;1;3;15;19
arrière;0;0;3;21;13
pseudo;0;1;3;6;25
eux_mêmes;0;1;3;8;25
dame;3;4;3;2;22
2022;0;0;3;21;8
tels;0;1;5;8;22
in;1;4;6;8;17
euh;0;1;2;7;25
300;1;2;5;22;6
1000;1;4;3;17;11
pis;0;2;1;14;17
jusqu;0;3;12;10;9
22;1;1;7;9;13
v;1;2;7;6;17
suivant;0;2;3;12;17
19;1;1;3;20;8
ouf;1;4;0;7;18
mince;0;2;2;8;18
f;0;2;6;6;18
75;0;2;11;15;3
tandis_que;0;0;6;15;8
vôtre;0;2;4;6;18
ha;0;3;4;10;8
hop;2;3;0;14;9
35;0;2;3;8;8
puisqu;0;1;4;13;11
g;0;0;5;12;10
b;2;1;2;11;11
24;0;0;5;8;9
1947;0;0;12;2;2
uns;0;0;5;7;16
o;1;1;6;6;13
400;1;3;4;15;3
39;0;2;3;16;7
n_est_ce_pas;1;1;3;8;14
lui_même;0;0;4;6;16
nulle;0;0;0;7;19
demi;0;2;6;7;9
800;0;0;6;16;3
voici;0;0;3;6;13
divers;0;0;2;5;18
celui_ci;0;0;5;7;13
autrui;0;0;2;6;15
99;0;2;2;8;12
3000;0;3;2;17;1
salut;2;4;3;4;9
outre;0;0;1;9;13
neuf;0;0;0;16;6
hélas;0;0;5;6;9
aucunement;0;0;3;3;17
48;0;0;6;3;4
volontiers;0;0;1;10;10
13;0;2;4;6;9
120;0;0;4;10;7
lendemain;0;0;3;7;11
htag_cqfd;0;4;2;8;7
celle_ci;0;0;3;3;15
55;0;1;1;7;9
21;0;1;1;11;7
soi_même;0;0;2;4;13
sept;0;1;9;6;2
quatre;0;0;2;7;9
aïe;0;5;1;4;4
au_dessus;0;0;1;7;11
tien;0;1;1;2;11
32;0;1;2;2;10
u;0;1;2;7;8
lesquelles;0;0;2;4;11
heu;0;0;2;7;6
bye;0;0;0;2;8
600;0;1;2;12;3
27;0;0;2;7;5
26;0;1;3;6;8
2021;0;0;4;6;7
2018;0;0;2;5;6
2015;0;0;4;6;8
elle_même;0;0;3;3;11
bof;1;2;1;4;9
5000;0;0;3;12;2
28;0;0;10;2;4
150;0;0;2;9;5
six;0;0;3;9;3
lesquels;0;1;2;1;11
ho;5;0;2;3;6
dix;0;0;3;5;8
98;0;2;0;8;5
to;3;2;3;3;4
quelconque;0;0;0;4;11
700;0;0;3;9;2
65;0;1;0;6;8
36;0;0;1;6;5
2007;0;0;5;2;8
toutefois;0;0;0;7;7
telles;0;0;4;2;8
soudain;0;0;2;4;8
mien;0;4;0;5;5
hormis;0;0;3;6;3
diverses;0;0;1;4;9
ceux_ci;0;0;1;4;9
c_est_à_dire;0;0;0;9;5
auquel;0;0;1;5;8
49;0;1;8;1;3
4000;0;0;3;10;1
2500;0;0;1;10;3
250;0;1;3;7;2
2045;0;5;0;8;1
2020;0;0;4;7;3
na;3;0;4;2;4
mm;1;0;0;3;8
diable;0;2;5;4;0
7000;0;0;2;5;5
57;0;1;4;4;3
31;0;0;0;6;7
23;0;1;1;5;5
2005;0;0;6;4;3
nôtre;0;0;0;6;6
jusque;0;0;2;3;7
extra;0;0;0;9;3
chouette;0;0;0;4;7
72;0;2;3;1;3
6000;0;1;0;9;2
51;0;1;0;8;2
2030;0;1;0;7;3
2008;0;0;2;3;6
1945;0;0;6;0;6
à_l_encontre;0;0;3;1;7
vous_même;0;0;2;3;6
vis_à_vis;0;0;1;1;7
tienne;0;0;2;2;7
parce;0;1;2;3;5
néanmoins;0;1;0;2;7
moi_même;0;0;0;2;9
mme;1;2;1;3;4
debout;0;0;0;5;6
cinq;0;1;1;4;4
celles_ci;0;0;1;2;8
auparavant;0;0;3;3;5
alerte;0;0;2;4;5
41;0;0;1;2;7
34;0;0;0;5;5
2014;0;0;4;2;3
2010;0;1;0;4;4
2002;0;0;6;1;2
10000;0;0;5;2;4
mouais;0;2;0;3;4
hello;1;1;0;1;7
celui_là;0;1;0;1;8
auxquels;0;0;1;2;7
67;0;0;8;1;0
2027;0;1;0;4;5
1920;0;0;6;1;2
tandis_qu;0;0;2;4;2
quoique;0;0;0;2;7
mienne;0;0;0;1;8
hé;0;1;0;5;3
elles_mêmes;0;0;0;3;6
ceux_là;0;0;0;3;5
cent;0;0;1;7;1
aucunes;0;0;3;1;5
amen;3;0;1;1;4
900;0;0;0;8;1
53;0;0;0;8;0
43;0;1;1;4;3
38;0;0;1;7;0
2001;0;0;4;1;4
130;0;0;1;7;1
sienne;0;0;0;0;8
pa;0;1;0;2;4
hip;0;1;0;2;2
clic;0;0;1;2;3
basta;0;0;2;2;4
autrefois;0;0;2;2;4
aucuns;0;0;0;4;4
92;0;0;2;0;5
77;0;0;3;0;5
71;0;2;1;1;4
47;0;0;4;1;3
2019;0;0;1;4;0
1993;0;0;6;0;2
1987;0;0;6;0;1
1967;0;0;6;0;0
1940;0;1;2;1;4
1500;0;0;0;6;0
zut;0;3;0;2;2
flop;0;0;0;3;2
ciao;2;0;0;0;4
97;0;0;0;3;3
95;0;0;5;2;0
66;0;1;0;3;3
54;0;0;2;1;1
52;0;0;2;1;4
46;1;0;0;2;4
42;0;2;0;2;3
37;0;1;3;1;2
350;0;0;1;4;2
29;0;0;1;3;1
2009;0;0;2;4;0
2003;0;0;5;1;1
vôtres;0;0;0;4;2
van;3;0;0;1;2
sien;0;0;0;1;5
htag_sadbuttrue;1;1;0;3;1
cinquante;0;0;1;3;2
celle_là;0;3;0;1;2
allo;0;0;0;4;2
87;0;0;0;5;0
78;0;0;5;0;1
62;0;1;0;1;3
61;0;1;0;2;3
44;0;1;0;1;4
