"";"";"";"";"qui";""
"1";"qui";"0.411867062808585";"-0.28788637601298";"2.23290668344406";"10"
"2";"le";"0.305067023821736";"0.0869972733861832";"2.07646451061767";"11"
"3";"en";"0.365934478832009";"0.118087409649632";"1.93918435315644";"13"
"4";"mais";"0.343090028920336";"-0.0806490747077108";"1.66715103694682";"20"
"5";"vous";"0.092950046987685";"-0.0754435168193305";"1.63850642716553";"22"
"6";"du";"0.351325264617056";"-0.125288890714731";"1.59400140837754";"24"
"7";"pour";"0.247498169726067";"-0.014200073927817";"1.56919174136647";"26"
"8";"ils";"0.250647548347188";"-0.187795341191445";"1.56128693383512";"27"
"9";"il";"0.254720411883634";"-0.0801787807064279";"1.54950273883255";"28"
"10";"tu";"0.467706077233805";"-0.0790544804086611";"1.5450455702486";"29"
"11";"tout";"0.209233502411766";"-0.237261251814654";"1.53746774873159";"30"
"12";"un";"0.267803263709466";"-0.000934709241856855";"1.48027059319246";"31"
"13";"faire";"0.322371657307164";"-0.118137913988195";"1.46328954279678";"34"
"14";"qu";"0.316389559645348";"-0.203397767638178";"1.46219429837979";"35"
"15";"plus";"0.308452900609584";"-0.178441966262274";"1.44583547379783";"36"
"16";"dire";"0.363633679661038";"0.0490514873860366";"1.31858394565048";"41"
"17";"je";"0.226466807852975";"0.00677589834391837";"1.3183331505521";"42"
"18";"pouvoir";"0.39530757052659";"-0.28957879177535";"1.30495212093576";"44"
"19";"dans";"0.355297011375732";"0.0239322998458861";"1.27457416781626";"46"
"20";"par";"0.481462763466316";"-0.216700049534554";"1.19342449307067";"49"
"21";"une";"0.190281538667542";"-0.0235258048986421";"1.18522762036145";"50"
"22";"ton";"0.415572205631524";"-0.259604249344688";"1.18317998949489";"51"
"23";"avec";"0.188909264156604";"-0.0633312676956478";"1.18186569619449";"52"
"24";"ça";"0.268634331549278";"0.00132271379473841";"1.16087827346767";"54"
"25";"leur";"0.390282865807669";"-0.5261573389674";"1.15999255406958";"55"
"26";"nos";"0.0749904713646063";"-0.374500864800549";"1.15973540972819";"56"
"27";"votre";"0.159319411818283";"-0.113379713097589";"1.15695761591697";"58"
"28";"s";"0.374110375695079";"-0.229967606716267";"1.1553830036537";"59"
"29";"ma";"0.0480440773907064";"0.014528868857466";"1.14191308463541";"61"
"30";"juste";"0.35972823693304";"-0.209625058729616";"1.13658606976086";"63"
"31";"cela";"0.350231928721241";"-0.301912604634001";"1.11792881921396";"67"
"32";"croire";"0.423979690753926";"-0.142665189353958";"1.11419228971019";"68"
"33";"même";"0.344644643606818";"-0.131389494007693";"1.10836051001737";"69"
"34";"an";"0.171512763077371";"-0.181499777010436";"1.1052716032993";"70"
"35";"mes";"0.0924085698998387";"-0.0441672813834867";"1.10305571749332";"71"
"36";"autres";"0.387927963978303";"-0.425065093374669";"1.09075723380799";"72"
"37";"leurs";"0.309637709839732";"-0.451830454143533";"1.08786515362282";"73"
"38";"alors";"0.51957081830192";"-0.194800763904483";"1.0857508557048";"74"
"39";"maintenant";"0.341684016849958";"-0.132027987963753";"1.08567466478883";"75"
"40";"rien";"0.350318997357294";"-0.36065137667795";"1.08176988034563";"76"
"41";"chez";"0.340047698686484";"0.169665154831556";"1.07578571882089";"77"
"42";"pourquoi";"0.516086204022508";"-0.159774115868261";"1.07045235470335";"78"
"43";"son";"0.139383971537327";"-0.324754175273883";"1.06298247031729";"79"
"44";"quand";"0.396737716541172";"-0.061523076741706";"1.05599830302051";"80"
"45";"savoir";"0.36496833078902";"-0.0552044577589012";"1.0510268457538";"81"
"46";"nous";"0.149071617834793";"-0.167736665993436";"1.0369283516788";"82"
"47";"te";"0.365335999104567";"0.117347737521926";"1.03604263228071";"83"
"48";"eux";"0.171420167917233";"-0.418806677244049";"1.034318812807";"85"
"49";"autre";"0.400081433275566";"-0.255526006568095";"1.0323759444499";"86"
"50";"dès";"0.341816440712509";"-0.43706929653302";"1.03146800270131";"87"
"51";"comme";"0.188740089210486";"-0.190264979393296";"1.03145847883682";"88"
"52";"personne";"-0.0311738384962849";"-0.274580879751023";"1.03092514242506";"90"
"53";"chacun";"0.406350843475932";"-0.352858599486663";"1.02618543252775";"91"
"54";"aucune";"0.516525552576665";"-0.228718882773073";"1.02198540828518";"92"
"55";"où";"0.370539948866078";"-0.169140685574724";"1.02055365398934";"94"
"56";"t";"0.355061166141646";"-0.0858904375928241";"1.01896634324008";"95"
"57";"car";"0.560027040782225";"-0.397497835733433";"1.01650601157871";"96"
"58";"devoir";"0.376662508067535";"-0.261144422089558";"1.01644886839174";"97"
"59";"donc";"0.571343589826343";"-0.0735269867421637";"1.0128488476124";"98"
"60";"peu";"0.344593824537247";"-0.192528550376276";"1.00435990972531";"100"
"61";"aux";"0.43476697943102";"-0.0290618555125301";"1.00086782607692";"101"
"62";"elle";"-0.150786739726368";"-0.119371801252191";"0.993642387546249";"103"
"63";"vouloir";"0.334161736472637";"-0.21141726881183";"0.99090586381451";"104"
"64";"sa";"0.12231386722169";"-0.261533916626303";"0.990026493659415";"105"
"65";"mieux";"0.314415387645172";"-0.049882744190572";"0.982597879352839";"107"
"66";"certains";"0.504550065350809";"-0.492415899907516";"0.982150257721545";"108"
"67";"sans";"0.465801992463887";"-0.0823095601856929";"0.978801032040589";"109"
