"";"";"";"";"emji_mains_en_prière";""
"1";"emji_mains_en_prière";"-2.71148590566349";"0.21940530847978";"1.04754985004707";"47"
"2";"question";"0.639484511395279";"-0.645070243425008";"0.991031156764639";"62"
"3";"commentaire";"0.548905789292907";"-0.624312986565258";"0.9687652341941";"67"
"4";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"-3.1842054588829";"0.345311270601794";"0.954405465280627";"72"
"5";"humain";"0.392207706431877";"-0.981213176574795";"0.953274369847481";"73"
"6";"choco";"1.15687315820553";"-0.549917051787882";"0.949623545361534";"77"
"7";"emji_pouce_vers_le_haut";"-2.66155610929454";"0.345076567674191";"0.941297117018586";"85"
"8";"comprendre";"0.27004400354051";"-0.396360186214711";"0.924077944991121";"89"
"9";"vivre";"0.210327371895881";"-0.36304930086871";"0.908097143990138";"103"
"10";"calculatrice";"-0.0276032806091855";"-0.300805903742539";"0.906932848775869";"104"
"11";"concours";"0.199158415518472";"-0.247660787647766";"0.906243521528523";"106"
"12";"migros";"0.80111674405908";"-1.21994929155881";"0.905351349375707";"107"
"13";"aujourd";"0.0426928375185089";"-0.452070825918152";"0.899810632147036";"113"
"14";"touchant";"-2.72371245827657";"0.146568202072779";"0.897794848904795";"115"
"15";"coop";"0.718560776991521";"-1.35517622139202";"0.897444619999894";"116"
"16";"payer";"0.579934282431088";"-0.488262533632304";"0.897194182344608";"120"
"17";"ce1";"0.042692837518509";"-0.452070825918152";"0.893150333860174";"122"
"18";"pain";"0.621181987728358";"-0.698796118929343";"0.893031543891881";"123"
"19";"gens";"0.415906243775739";"-0.366834009882305";"0.890884880587645";"127"
"20";"voiture";"0.552227771713498";"-0.262715881929555";"0.889874302279035";"129"
"21";"parler";"0.338062359343748";"-0.26161668102881";"0.889398566687116";"130"
"22";"insulter";"0.756275643882556";"-0.676564202445647";"0.888869673064152";"131"
"23";"lapin";"0.700013722729788";"-1.01866045795685";"0.888808263064389";"132"
"24";"emji_étincelles";"-2.89450542108084";"0.355943865612544";"0.886672730322609";"135"
"25";"caissier";"0.691898658983815";"-0.494531506928757";"0.885871137919445";"137"
"26";"plastique";"0.774178122873527";"-0.0770109416866122";"0.88562837651413";"138"
"27";"bête";"0.628785381165279";"-0.895937554384592";"0.884930797298065";"139"
"28";"emji_coeur_cartes";"-3.21457961588649";"0.33051054217048";"0.884428194831249";"140"
"29";"année";"0.0814935626151831";"-0.251275575895056";"0.884060886270163";"141"
"30";"album";"-0.347204630727776";"-0.296031267699237";"0.883176582273567";"142"
"31";"caisse";"0.562449136794427";"-0.490110261171547";"0.882590692494573";"145"
"32";"fille";"0.121894899281733";"-0.323307703130185";"0.882304752183174";"146"
"33";"éponge";"1.73304576498287";"7.46018453754044";"0.879131966164137";"149"
"34";"désigner";"0.983630829088072";"-0.592980489161746";"0.877670216263514";"152"
"35";"ardoise";"0.0426928375185083";"-0.452070825918152";"0.873170974249583";"155"
"36";"imier";"0.0426928375185083";"-0.452070825918152";"0.873170974249583";"156"
"37";"dimanche";"0.23924466854088";"-0.27969049801466";"0.872684491907706";"157"
"38";"emji_visage_retenant_ses_larmes";"-2.72486851033068";"0.203523665049484";"0.87262883909542";"159"
"39";"triste";"0.105265011963993";"-0.589173216715476";"0.872291851721718";"160"
"40";"génération";"0.142137850632246";"-0.486539585457289";"0.871666813067874";"162"
"41";"croquette";"0.846500245226177";"-1.45385666565263";"0.870873472633428";"166"
"42";"emji_homme_qui_hausse_les_épaules_peau_légèrement_mate";"1.09972825406338";"-0.723997652187852";"0.870869250695944";"167"
"43";"emji_chat_souriant_aux_yeux_en_coeurs";"-3.29752018750195";"0.299629969000192";"0.870446289322572";"168"
"44";"emji_visage_qui_pleure_à_chaudes_larmes";"0.0450278953855298";"0.923374943144398";"0.869779607012638";"169"
"45";"répondre";"0.500580159604179";"-0.706089425338766";"0.867810648895218";"171"
"46";"faute";"0.660709446509348";"-0.80798610871293";"0.867742330270481";"173"
"47";"mémé";"1.14511456768437";"-0.639006285119168";"0.867622772677191";"174"
"48";"école";"0.0532296227064461";"-0.185766660518762";"0.867094262866725";"176"
"49";"jour";"0.409920122123808";"-0.108449271121038";"0.865335825904744";"181"
"50";"chasser";"0.817274775849885";"-1.01583142182383";"0.864989818937326";"183"
"51";"éducation";"0.257690472269787";"-0.557996037311769";"0.864945680499996";"184"
"52";"mdrr";"0.803891010855989";"-0.344807478092587";"0.863301619662575";"187"
"53";"faux";"0.606603472985715";"-0.601394715182886";"0.862992266788766";"188"
"54";"changer";"0.31546030435713";"-0.419249039764332";"0.86252862129055";"191"
"55";"client";"0.644171731769539";"-0.238113220029811";"0.862514228321856";"192"
"56";"émouvant";"-3.11134582248484";"0.266604673554332";"0.85998816636283";"196"
"57";"negro";"1.19191324974172";"-0.656989349948691";"0.859803168738542";"197"
"58";"bouffer";"0.771312826690454";"-1.01848391519503";"0.859385580740149";"198"
"59";"oiseau";"0.552818486648567";"-1.08358081410806";"0.85929711195924";"199"
"60";"légume";"0.833627694732374";"-1.34854185606055";"0.859026524147781";"204"
"61";"emji_renard";"-2.90947524200662";"0.159312146644906";"0.858904087960753";"205"
"62";"espèce";"0.717621291657547";"-0.985936920898643";"0.858645206430499";"206"
"63";"sujet";"0.608007357939356";"-0.519310049769413";"0.856151576627598";"209"
"64";"voir";"0.341818836006935";"-0.305939169288034";"0.855286271349679";"211"
"65";"vaccin";"0.729453633996032";"-1.00352279023829";"0.855066538694275";"212"
"66";"marelle";"-0.532589456478075";"-0.356789614313077";"0.854991695257063";"213"
"67";"ville";"0.514549659837084";"-0.455006510604832";"0.854566047196202";"215"
