"";"banalfreq";"X.rts_a";"X.rts_i"
"venir";1387;0,7503;-0,7503
"on";13860;0,8874;-0,8874
"voir";4520;1,6903;-1,6903
"certains";710;-1,1859;1,1859
"poser";410;1,6338;-1,6338
"question";1061;-1,5296;1,5296
"quand";3468;1,1865;-1,1865
"ce";10876;-1,4875;1,4875
"penser";1915;1,9014;-1,9014
"24h";21;-0,6508;0,6508
"stop";96;-1,0872;1,0872
"emji_visage_en_pleine_réflexion";616;1,1681;-1,1681
"marathon";26;0,6827;-0,6827
"tu";5002;-0,575;0,575
"l";19376;-0,9035;0,9035
"alcool";97;-0,5886;0,5886
"nourriture";136;1,4768;-1,4768
"eau";404;1,8229;-1,8229
"absolument";351;-1,3724;1,3724
"reconnaître";346;-0,5185;0,5185
"talent";70;0,589;-0,589
"genial";17;1,1513;-1,1513
"y";6364;0,769;-0,769
"emji_yeux";157;0,4576;-0,4576
"sentir";947;-0,8442;0,8442
"coup";755;0,3337;-0,3337
"mieux";1329;1,9022;-1,9022
"grâce";250;0,547;-0,547
"dehors";134;0,3352;-0,3352
"rassurer";75;0,5526;-0,5526
"t";2227;0,5043;-0,5043
"comprendre";1872;0,7739;-0,7739
"où";1829;0,345;-0,345
"acquérir";36;-0,4839;0,4839
"spécial";68;1,2623;-1,2623
"da";16;1,9152;-1,9152
"plein";592;0,7931;-0,7931
"afficher";13;-0,6013;0,6013
"peut_être";524;-1,3385;1,3385
"remettre";273;-0,9227;0,9227
"juger";156;-0,6923;0,6923
"sexiste";26;0,4735;-0,4735
"back";15;1,6743;-1,6743
"the";104;0,8893;-0,8893
"deux";903;-0,4013;0,4013
"boss";23;-0,3976;0,3976
"énorme";146;0,7195;-0,7195
"chant";10;1,6272;-1,6272
"dès";237;-1,3343;1,3343
"enfantin";13;0,2641;-0,2641
"mal";952;0,7246;-0,7246
"grave";238;-1,784;1,784
"emji_trinquer";27;1,092;-1,092
"pleurer";168;1,7491;-1,7491
"deuxième";79;-0,5158;0,5158
"emji_homme_avec_la_paume_sur_le_visage";74;-1,1152;1,1152
"double";97;0,2891;-0,2891
"inviter";109;-1,4833;1,4833
