"";"X.rts_a";"X.rts_i"
"user_utilisateurice";49,36;43,79
"venir";2,7;2,55
"organiser";0,14;0,29
"emji_visage_avec_un_sourire_malin";0,34;0,25
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";7,86;0,96
"emji_visage_riant_aux_larmes";35,64;13,01
"drogue";0,12;0,34
"voir";8,91;8,23
"tête";1,42;0,6
"poser";0,87;0,69
"question";1,9;2,08
"lancer";0,15;0,27
"truc";0,87;0,57
"penser";3,83;3,44
"parler";5,22;5,67
"aller";7,55;11,07
"danser";0,23;0,04
"24h";0,03;0,05
"stop";0,15;0,19
"emji_visage_grimaçant";0,36;0,11
"nouveau";0,54;1,08
"marathon";0,06;0,04
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";1,11;0,15
"emji_visage_qui_tire_la_langue_et_fait_un_clin_d_oeil";0,39;0,16
"alcool";0,17;0,2
"nourriture";0,31;0,22
"eau";0,87;0,69
"couleur";0,41;0,18
"cas";1,36;2,2
"archive";1,32;0,01
"absolument";0,57;0,71
"magnifique";2,26;0,49
"reconnaître";0,62;0,67
"emji_visage_souriant_avec_une_goutte_de_sueur";3,36;1,2
"talent";0,14;0,11
"changer";2,95;1,62
"emji_visage_faisant_un_clin_d_oeil";2,72;1,07
"idée";0,86;1,28
"super";1,25;0,73
"sentir";1,73;1,84
"nostalgique";0,16;0,02
"coup";1,45;1,42
"fin";1,25;0,98
"enfant";4,94;3,82
"tiktok";0,14;0,05
"époque";7,71;0,5
"style";0,31;0,16
"contrairement";0,17;0,28
"mettre";2,6;3,7
"musique";0,42;0,18
"ami";1;0,52
"rassurer";0,16;0,13
"petit";4,49;2,07
"comprendre";3,59;3,42
"acquérir";0,06;0,07
"spécial";0,16;0,1
"emji_visage_avec_lunettes_de_soleil";0,34;0,08
"afficher";0,02;0,03
"remettre";0,48;0,54
"système";0,4;1,31
"plutôt";1,15;1,53
"juger";0,27;0,31
"terme";0,49;0,75
"sexiste";0,05;0,04
"sortir";0,99;1,2
"boss";0,02;0,04
"emji_coeur_rouge";9,83;1,41
"incroyable";1,1;0,39
"dimanche";0,79;0,29
"dieu";1,8;0,27
"possible";0,59;0,8
"grand";3,24;2,64
"temps";4,07;2,94
"chant";0,03;0,01
"école";1,79;0,92
"enfantin";0,03;0,02
"oreille";0,31;0,05
"grave";0,34;0,5
"meilleur";1,6;1,06
"terrain";0,11;0,25
"emji_ok";0,43;0,1
"emji_trinquer";0,04;0,02
"emji_trèfle_à_quatre_feuilles";0,27;0,06
"emji_applaudissements";5,8;3,03
"emji_feu";2,5;1,1
"suisse";5,77;10,61
"pleurer";0,37;0,27
"rire";0,98;0,36
"français";3,19;1,69
"budget";0,07;0,32
"journaliste";0,7;0,46
"rts";0,75;1,29
"double";0,19;0,18
"emji_mains_levées";1,61;0,84
"inviter";0,17;0,24
"gym";0,03;0,02
"profil";0,11;0,23
"laisser";1,18;1,87
"célébrer";0,02;0,03
"espoir";0,08;0,11
"euro";0,34;0,1
"cousin";0,2;0,05
"belge";0,29;0,03
"beau";6,52;1,44
"mentalité";0,32;0,22
"victoire";0,09;0,1
"défaite";0,03;0,03
"chance";0,64;0,6
"rester";2,07;2,74
"compétition";0,1;0,1
"vraiment";2,98;2,78
"insupportable";0,09;0,1
"gens";4,47;5,07
"cirque";0,05;0,09
"pareil";1,24;0,73
"inculte";0,04;0,05
"tellement";3,8;1,34
"bas";0,52;0,82
"rapporter";0,06;0,15
"centime";0,06;0,06
"payer";0,9;3,65
"loyer";0,05;0,44
"facture";0,03;0,17
"mois";0,54;0,9
"sport";0,51;0,33
"chose";3,59;3,1
"nécessaire";0,15;0,36
"monde";3,83;4,99
"mourir";0,48;0,41
"faim";0,13;0,14
"battre";0,65;0,42
"survie";0,05;0,05
"maladie";0,37;0,72
"foire";0,03;0,01
"bête";0,48;0,13
"sauvage";0,54;0,06
"humain";1,68;1,55
"devenir";2,04;1,83
"pathétique";0,08;0,08
"siècle";0,3;0,24
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";0,06;0,08
"souvenir";4,71;0,22
"oser";0,36;0,36
"viser";0,08;0,3
"couper";0,71;0,66
"pr";0,12;0,15
"réponse";0,96;0,65
"échange";0,11;0,21
"constructif";0,04;0,08
"plaisir";1,06;0,45
"chanter";0,24;0,06
"purée";0,27;0,11
"moin";0,08;0,08
"lèvre";0,02;0,02
"emji_se_rouler_par_terre_de_rire";5,3;2,09
"ya";0,35;0,2
"origine";0,38;0,32
"ds";0,24;0,11
"équipe";0,5;0,74
"gars";0,59;0,38
"bout";0,39;0,38
"rêver";0,22;0,09
"emji_coeur_cartes";0,53;0,02
"nati";0,07;0,04
"adorer";2,51;0,26
"offrir";0,35;0,57
