"";"banalfreq";"X.rts_a";"X.rts_i"
"venir";1378;0,8356;-0,8356
"emji_visage_avec_un_sourire_malin";151;1,5621;-1,5621
"poser";406;1,9292;-1,9292
"question";1055;-1,1676;1,1676
"penser";1900;1,9875;-1,9875
"parler";2882;-1,8285;1,8285
"24h";21;-0,6264;0,6264
"stop";91;-0,8578;0,8578
"marathon";25;0,5909;-0,5909
"alcool";97;-0,5403;0,5403
"nourriture";135;1,6685;-1,6685
"eau";403;1,9736;-1,9736
"absolument";341;-1,6181;1,6181
"reconnaître";340;-0,5661;0,5661
"talent";66;0,7561;-0,7561
"sentir";944;-0,7316;0,7316
"coup";755;0,4061;-0,4061
"rassurer";74;0,6557;-0,6557
"comprendre";1841;0,7839;-0,7839
"acquérir";36;-0,4577;0,4577
"spécial";68;1,3313;-1,3313
"afficher";13;-0,5829;0,5829
"remettre";271;-0,8295;0,8295
"juger";155;-0,5867;0,5867
"sexiste";25;0,3984;-0,3984
"sortir";586;-1,8957;1,8957
"boss";17;-0,7532;0,7532
"chant";10;1,6579;-1,6579
"enfantin";13;0,275;-0,275
"emji_trinquer";17;0,8163;-0,8163
"pleurer";165;1,7846;-1,7846
"double";97;0,3211;-0,3211
"inviter";109;-1,392;1,392
"gym";11;0,4813;-0,4813
"célébrer";15;-0,5242;0,5242
"espoir";53;-0,7944;0,7944
"mentalité";138;1,7703;-1,7703
"victoire";51;-0,4998;0,4998
"défaite";17;0,3215;-0,3215
"chance";324;0,5651;-0,5651
"compétition";53;-0,3582;0,3582
"vraiment";1512;1,013;-1,013
"insupportable";51;-0,4998;0,4998
"cirque";38;-1,3251;1,3251
"inculte";25;-0,3551;0,3551
"centime";32;0,2529;-0,2529
"mourir";232;0,9775;-0,9775
"faim";70;-0,3892;0,3892
"survie";28;-0,26;0,26
"foire";12;1,0302;-1,0302
"humain";847;0,8561;-0,8561
"devenir";1014;1,3536;-1,3536
"pathétique";43;0,2798;-0,2798
"siècle";139;1,0611;-1,0611
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";37;-0,5252;0,5252
"oser";190;0,2898;-0,2898
"couper";360;0,5668;-0,5668
"pr";74;-0,7179;0,7179
"constructif";34;-1,1786;1,1786
"moin";42;0,3265;-0,3265
"lèvre";10;0,3392;-0,3392
"origine";184;0,864;-0,864
"bout";202;0,384;-0,384
"nati";26;0,9791;-0,9791
