"";"*rts_a";"*rts_i"
"pre";48278;73914
"con";24089;35493
"nom";77974;109603
"ver";41001;62535
"art_def";38090;55962
"adj_ind";1907;3229
"pro_per";38019;46566
"aux";30342;36331
"pro_dem";14969;19063
"nr";16617;21735
"adv_sup";31727;42723
"num";4188;5773
"nom_sup";2825;3313
"pro_ind";7724;10741
"adj";24483;34488
"art_ind";14295;21975
"ver_sup";10940;16118
"adv";5626;8750
"ono";4967;5403
"adj_pos";6334;7283
"pro_rel";11165;18032
"adj_sup";750;1202
"adj_num";491;607
"adj_dem";2615;2764
"adj_int";825;803
"pro_pos";104;108
