"";"*rts_a";"*rts_i"
"avec";1963;2566
"ou";1284;2326
"sans";698;1106
"drogue";25;87
"à";6466;9241
"voir";1634;2027
"la";9689;14280
"tête";192;139
"de";14791;22658
"certains";248;345
"je";4851;5100
"me";1201;866
"poser";177;187
"question";388;547
"quand";1164;1457
"on";4402;6162
"avoir";11994;12659
"lancer";25;51
"ce";3524;4811
"truc";144;152
"jamais";606;628
"penser";672;888
"qu";2952;4030
"en";5962;8714
"parler";929;1331
"40";76;65
"an";818;644
"plus";2763;4438
"tard";106;85
"et";9599;13572
"ils";1996;2957
"gagner";93;245
"rien";906;1278
"emji_visage_en_pleine_réflexion";224;251
"emji_visage_souriant_avec_yeux_rieurs";219;70
"elles";365;404
"même";1579;1973
"couleur";67;45
"tout";2058;2540
"cas";263;554
"tu";1611;2211
"ne";6218;9117
"pas";7212;10680
"changer";570;426
"presque";101;108
"emji_visage_faisant_un_clin_d_oeil";400;243
"être";18348;23672
"le";7942;11479
"fin";211;220
"c";6945;8457
"un";4934;7310
"mieux";441;556
"avant";600;558
"aujourd_hui";1119;223
"les";9470;14230
"enfant";991;872
"faire";3637;5434
"des";5587;9155
"danser";21;5
"sur";1617;2917
"tiktok";27;14
"l";5990;8396
"époque";1226;119
"du";2648;3832
"style";37;35
"grâce";88;103
"contrairement";34;61
"pouvoir";1473;2626
"mettre";493;912
"musique";74;44
"dehors";51;65
"aller";1362;2664
"mon";921;750
"ami";180;128
"rassurer";24;36
"moi";846;683
"ça";3398;4033
"t";672;908
"petit";707;520
"plein";197;253
"qui";4052;6739
"s";1311;1866
"afficher";4;6
"juste";584;921
"peut_être";168;261
"remettre";101;140
"système";83;371
"plutôt";206;394
"que";5731;9241
"juger";61;67
"coup";249;327
"terme";90;179
"sexiste";11;13
"nous";1374;1679
"deux";264;374
"sortir";183;293
"suisse";958;2624
"deuxième";20;34
"slide";2;15
"français";459;436
"budget";14;93
"dingue";45;32
"emji_visage_très_souriant_aux_yeux_rieurs";65;30
"rts";132;292
"dire";2014;2080
"bleu";20;23
"emji_homme_avec_la_paume_sur_le_visage";13;21
"inviter";32;50
"dame";352;23
"emji_feu";136;116
"y";1993;2686
"espoir";16;24
"pour";4058;7304
"tes";128;209
"20";115;151
"euro";74;28
"bravo";246;240
"nos";507;707
"cousin";8;9
"belge";21;7
"une";3772;5506
"très";937;950
"beau";703;314
"mentalité";58;56
"dans";2873;3943
"victoire";16;23
"comme";1681;2089
"défaite";8;6
"bon";1069;1216
"chance";113;149
"rester";391;705
"compétition";20;26
"vraiment";535;711
"insupportable";16;23
"ces";926;1412
"gens";880;1295
"cirque";10;15
"pareil";173;181
"inculte";8;12
"tellement";463;287
"bas";93;194
"rapporter";11;42
"centime";13;18
"vous";2603;4660
"payer";190;1008
"votre";405;932
"loyer";10;130
"ni";287;361
"vos";223;430
"facture";7;48
"chaque";212;396
"mois";104;252
"il";4327;5348
"sport";102;90
"ci";18;27
"loin";150;169
"d";4384;7198
"chose";697;794
"nécessaire";31;95
"monde";756;1226
"mourir";83;94
"faim";27;38
"battre";132;105
"leur";911;1405
"survie";12;13
"contre";256;582
"maladie";81;212
"bête";97;31
"sauvage";120;12
"humain";349;369
"devenir";396;481
"pathétique";16;20
"siècle";52;50
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";17;29
"oser";71;83
"devoir";769;1364
"viser";16;70
"couper";116;184
"bien";2156;2288
"merci";595;537
"pr";20;35
"réponse";191;165
"cet";227;217
"échange";22;54
"constructif";10;24
"plaisir";187;115
"ya";62;51
"origine";69;84
"ds";44;19
"cette";1462;1135
"équipe";96;205
"aussi";1047;1296
"j";3062;1999
"espérer";164;247
"là";540;733
"europe";42;213
"emji_applaudissements";422;405
"école";324;249
"vivre";559;585
"apprendre";329;229
"oublier";188;234
"leurs";429;621
"racine";18;13
"où";635;815
"mal";336;392
"hop";17;25
"emji_drapeau_suisse";87;140
"croiser";29;27
"doigt";58;59
"depuis";402;457
"suède";2;15
"jusqu_au";38;36
"dernier";235;194
"pffff";4;12
"ben";117;159
"elle";1620;929
"chez";367;431
"pourquoi";362;636
"venir";473;609
"puisqu";24;25
"aimer";640;308
"hippie";11;1
"alors";604;1116
"se";1621;2592
"payant";12;15
"avion";50;64
"gonfler";11;7
"femme";1081;959
"prendre";569;1002
"analyse";26;50
"correct";22;51
"peu";592;709
"moins";523;880
"maintenant";570;270
"adorer";215;42
"genre";204;362
"clip";10;2
"par";1284;2399
"faute";126;157
"traduction";10;5
"super";165;177
"ego";16;19
"au";1716;2536
"correction";10;5
"fier";63;44
"rue";117;141
"police";65;491
"avertir";6;7
"voiture";147;208
"amande";4;10
"100";61;189
"oui";911;1130
"argent";127;552
"vrai";571;627
"oh";106;73
"dieu";318;61
"m";560;520
"vendre";56;130
"rêve";59;37
"apercevoir";14;6
"min";15;14
"2";284;453
"34";4;10
"emji_visage_envoyant_un_bisou";71;43
"hé";12;7
"croire";382;445
"religieux";26;12
"historien";5;6
"représenter";32;156
"musée";15;32
"enseigner";47;21
"histoire";176;265
"emji_visage_riant_aux_larmes";1423;1317
"toi";393;526
"meilleur";205;262
"erreur";50;103
"passer";615;786
"ouf";26;26
"dur";106;150
"ptn";10;9
"gêner";33;32
"pensée";73;54
"regarder";313;313
"jusqu_à";90;114
"disparaître";84;66
"vite";176;125
"arrivée";27;24
"finalement";63;66
"parfois";117;115
"allure";7;4
"calme";45;21
"vieux";227;69
"grave";63;111
"france";373;537
"partir";146;467
"clairement";73;154
"relire";28;51
"publier";14;42
"enfin";113;208
"autres";472;940
"explication";19;38
"nettement";13;18
"conditionner";6;5
"déjà";493;913
"amitié";7;10
"fort";102;157
"hypocrisie";12;46
"emji_visage_mécontent";6;7
"vocabulaire";83;10
"choisir";85;164
"phrase";90;67
"complexe";24;46
"souvenir";369;40
"nombreux";59;103
"romand";37;40
"étudiant";20;59
"science";57;48
"éducation";139;106
"tous";764;1049
"emji_coeur_rouge";522;143
"mes";472;301
"grand";545;677
"frère";57;25
"soeur";54;13
"10";137;243
"camp";16;36
"trop";527;639
"importer";200;334
"lesquels";9;10
"emji_visage_avec_un_léger_sourire";78;49
"vachement";14;12
"classe";204;202
"ciao";13;5
"partout";110;144
"moitié";79;78
"arrière";64;31
"part";204;352
"blanc";172;124
"voler";66;120
"donc";606;1304
"après";435;625
"marine";8;3
"car";466;705
"malheureusement";272;211
"1er";37;41
"acheter";143;213
"pot";17;20
"italie";37;42
"évidemment";65;110
"groupe";60;109
"travailleur";16;67
"social";129;375
"organiser";22;36
"jour";581;618
"jeune";520;294
"piste";18;34
"réaliser";36;46
"vaud";36;68
"média";26;133
"sensibiliser";6;7
"politicien";11;75
"urgence";11;33
"proposer";43;114
"aux";635;1209
"espace";40;66
"entièrement";25;33
"consacrer";3;15
"conduire";32;51
"genève";157;310
"début";139;93
"70";120;30
"étude";59;238
"comparer";72;79
"lausanne";83;151
"plat";22;15
"mais";2817;4337
"besoin";238;462
"stop";22;37
"manière";113;216
"apprécier";61;24
"pays";242;1133
"ses";468;573
"habitant";19;76
"72";9;9
"turquie";15;12
"toute";298;444
"côte";11;9
"us";8;57
"87";5;6
"quelques";140;210
"année";762;562
"rencontre";21;13
"incroyable";140;76
"voyage";35;59
"compte";168;350
"destination";6;10
"recommander";14;16
"chacun";125;148
"cela";506;771
"donner";468;682
"goût";50;51
"hasard";29;41
"découverte";13;12
