"";"X.rts_a";"X.rts_i"
"si";1,81;0,37
"je";1,47;0,06
"être";19,87;22,32
"toujours";1,44;0,27
"vivant";0,16;0,12
",";56,42;64,14
"prendre";0,93;0,91
"une";8,99;14,19
"bon";2,37;0,31
".";88,98;51,37
"et";21,71;22,22
"vous";6,72;0,25
"que";5,15;5,17
"souhaiter";0,19;0,12
"pour";12,91;12,49
"cette";2,45;4,21
"fin";0,75;0,98
"d";11,76;15,46
"année";2,99;2,26
"?";11,44;0,83
"htag_rtsarchives";24,46;0,02
"le";25,5;26,86
"fromage";0,24;0,08
"souvenir";0,91;0,02
"dans";10,06;8,9
"les";20,27;24,11
"cours";0,29;0,37
"de";46,87;59,83
"des";12,51;23,07
"80";0,83;0,15
"enfant";1,09;1,06
"s";3,36;3,92
"se";4,11;2,76
"avec";5,12;5,08
"plaisir";0,48;0,04
"htag_80s";1,57;0
"cadeau";0,27;0,12
"noël";0,77;0,87
"ne";6,48;2,63
"avoir";11,18;23,75
"pas";6,78;1,68
"cela";0,32;0,25
"faire";4,45;2,26
"partie";0,19;0,64
"la";28,38;34,81
"tradition";0,19;0,15
"!";11,44;1,39
"oui";0,21;0,04
"parfois";0,32;0,12
"il";7,04;3,3
"arriver";0,21;0,27
"père";0,24;0,15
"c";6,43;0,77
"retour";0,48;0,52
"htag_noel";0,64;0,02
"où";0,59;0,68
"t";0,59;0,25
"comment";0,88;0,12
"aller";1,15;0,81
"passer";1,07;0,71
"autant";0,16;0,08
"réponse";0,56;0,21
"à";17,63;24,75
"propos";0,08;0,15
"du";10,32;11,58
"classe";0,27;0,02
"suisse";7,42;6,93
"romand";1,09;0,37
"htag_rtsxarchives";0,99;0
"htag_christmas";0,37;0
"000";0,32;1,16
"heure";1,15;0,75
"soigner";0,19;0,08
"ses";2,88;2,03
"en";18,16;17,07
"idée";0,24;0,08
"masculin";0,24;0,02
"grâce";0,45;0,75
"l";18,43;22,96
"émission";3,33;0,41
"mon";0,61;0,04
"oeil";0,29;0,04
"trouver";0,75;0,19
"quoi";1,25;0,08
"votre";1,09;0,12
"sapin";0,21;0,04
"bonheur";0,32;0,1
"vos";0,64;0,02
"proche";0,05;0,37
"emji_sapin_de_noël";0,03;0,29
"partir";0,8;0,68
"recherche";0,13;0,39
"musical";0,21;0,19
"rts";1,97;0,73
"compagnie";0,27;0,15
"retrouver";2,8;0,27
"version";0,13;0,17
"long";0,32;0,23
"ces";1,87;1,95
"sur";7,74;6,6
"lien";1,2;0,12
"bio";1,28;0
"archive";2,27;0,02
":";3,68;1,74
"beauté";0,19;0,08
"espace";0,08;0,33
"2";0,35;0,64
"saison";0,37;0,52
"officiellement";0,13;0,23
"lancer";0,59;0,73
"fêter";0,4;0,08
"ça";2;0,12
"on";4,16;0,58
"proposer";0,59;0,5
"meilleur";0,51;0,23
"pire";0,21;0,08
"nos";0,67;0,35
"htag_fashion";0,53;0,02
"htag_look";0,56;0,02
"recette";0,32;0,08
"atteindre";0,19;0,81
"près_de";0,24;0,95
