"";"*rts_a";"*rts_i"
"con";1554;4642
"pro_per";1696;2883
"aux";1258;6055
"adv_sup";1393;3644
"adj";2597;10579
"nr";9042;32117
"ver";3060;14051
"art_ind";1381;6304
"ono";212;300
"ver_sup";398;1165
"nom";9020;36157
"pre";5859;22786
"art_def";4451;17067
"nom_sup";6229;1436
"num";986;3897
"adj_ind";157;607
"pro_rel";553;1809
"pro_ind";348;800
"adj_dem";219;1015
"pro_dem";636;931
"adj_pos";634;1466
"adj_num";59;668
"adv";214;1475
"adj_int";38;14
"adj_sup";17;34
"pro_pos";3;5
