"";"*rts_a";"*rts_i"
"si";71;100
"je";55;41
"être";798;3014
"toujours";55;46
"vivant";8;15
",";2256;8647
"prendre";37;116
"une";353;1707
"bon";90;45
".";3447;6500
"falloir";45;27
"il";279;548
"avoir";460;3041
"peur";10;6
"de";1873;7300
"l";754;3122
"an";185;416
"2000";15;16
"?";442;104
"certains";21;62
"ne";261;517
"y";113;114
"voir";26;115
"que";202;855
"le";1013;3554
"passage";10;20
"d";470;2013
"année";115;250
"supplémentaire";4;29
"autres";82;111
"nous";100;91
"rappeler";9;41
"les";819;3141
"un";537;1835
"certain";4;15
"htag_rtsarchives";949;1
"htag_rtsxarchives";49;0
"et";882;2979
"vous";268;26
"souhaiter";7;28
"pour";508;1667
"cette";99;583
"fin";30;112
"fromage";9;7
"souvenir";34;6
"dans";408;1133
"cours";11;59
"des";491;2761
"80";31;23
"enfant";42;102
"s";132;559
"se";159;379
"avec";204;691
"plaisir";18;5
"htag_80s";61;0
"cadeau";10;15
"noël";29;78
"pas";266;355
"cela";12;53
"faire";175;322
"partie";9;77
"la";1127;4603
"tradition";7;20
"!";440;236
"oui";8;9
"parfois";12;18
"arriver";8;33
"père";9;16
"tromper";8;4
"c";252;132
"retour";18;53
"échange";3;17
"htag_noel";24;1
"où";24;108
"t";23;56
"comment";36;23
"déplacer";3;7
"aller";50;97
"passer";44;105
"autant";6;19
"réponse";21;27
"à";702;2930
"propos";3;9
"du";424;1459
"classe";10;6
"suisse";299;676
"romand";42;42
"htag_christmas";14;0
"000";14;148
"heure";45;103
"mémoire";8;5
"émission";130;44
"votre";43;12
"enfance";6;4
"ou";144;312
"reportage";16;25
"qui";261;686
"marquer";10;74
"région";6;63
"mais";104;263
"savoir";38;132
"on";166;109
"expliquer";13;76
"tout";88;125
"conserver";1;22
"plus";178;851
"archive";97;12
"vidéo";10;40
"patrimoine";2;20
"unique";6;26
"en";722;2441
"lui";38;61
"vie";73;77
"tu";22;36
"vouloir";29;62
"écrire";2;32
"commentaire";5;8
"htag_archives";77;0
"soigner";7;5
"ses";111;281
"idée";9;24
"masculin";9;5
"grâce";20;73
"mon";23;13
"oeil";11;10
"trouver";29;60
"quoi";49;9
"sapin";8;2
"bonheur";12;10
"vos";25;3
"proche";2;46
"emji_sapin_de_noël";1;15
"partir";30;92
"recherche";5;40
"musical";8;17
"rts";90;575
"compagnie";10;19
"user_utilisateurice";299;164
"retrouver";111;93
"version";5;13
"long";14;40
"ces";72;336
"sur";311;1023
"play";5;33
"lien";51;157
"bio";53;144
"écouter";8;13
":";166;367
"beauté";7;11
"espace";3;30
"2";18;113
"saison";15;57
"pull";5;5
"officiellement";6;16
"lancer";23;71
"fêter";15;14
"ça";76;17
"proposer";22;55
"meilleur";19;47
"pire";8;6
"nos";27;32
"htag_fashion";22;1
"htag_look";22;1
"modifier";2;13
"250";1;11
"courage";7;3
"recette";12;6
"atteindre";7;76
"près_de";9;100
"200";3;29
"km";3;41
"h";3;29
"piste";15;27
"kilomètre";6;22
"htag_rtssportxarchives";13;0
"htag_neige";17;1
"budget";2;33
"harry";2;10
"chat";14;23
"quand";51;22
"idéal";2;14
"devenir";26;96
"véritable";9;21
"emji_notes_de_musique";5;17
"danse";21;8
"créer";12;66
"par";106;934
"thomas";5;16
"grand";61;173
"succès";9;60
"international";12;87
"composer";2;13
"initialement";1;19
"station";7;33
"chanson";13;11
"conquérir";3;7
"monde";62;183
"40";20;47
"pays";25;152
"son";194;544
"commencer";15;25
"1970";19;4
"au";207;769
"producteur";2;13
"louis";2;8
"transformer";2;24
"connaître";27;78
"sa";105;385
"traverser";3;18
"décennie";7;20
"continuer";7;71
"séduire";3;12
"jeune";78;106
"public";27;129
"notamment";6;151
"plateformes";1;19
"streaming";1;13
"tiktok";1;15
"50";15;59
"million";3;180
"exemplaire";1;12
"vendre";2;21
"environ";5;87
"400";1;15
"différent";3;15
"rester";21;154
"référence";1;17
"incontournable";8;7
"fête";48;24
"populaire";3;27
"aux";107;419
"dernier";15;171
"nouveau";19;156
"aujourd_hui";32;42
"âgé";10;33
"profiter";11;11
"retraite";10;20
"oeuvre";6;38
"emji_main_qui_écrit_peau_moyennement_claire";2;13
"rtsinfo";1;386
"emji_appareil_photo";2;585
"srf";2;15
"lionel";2;10
"alors";43;97
"approcher";4;15
"voici";26;6
"tessinoise";1;10
"base";4;33
"découvrir";27;32
"via";12;145
"notre";63;70
"htag_instafood";21;0
"emji_skieur";1;13
"emji_drapeau_suisse";8;319
"décembre";10;97
"chute";3;28
"val";11;8
"obliger";4;9
"arrêter";10;29
"carrière";14;32
"qu";144;280
"sommet";2;14
"te";7;13
"raconter";28;12
"histoire";28;44
"image";19;50
"terminer";6;31
"âge";29;47
"24";19;31
"champion";22;36
"ski";28;31
"feu";13;32
"argent";8;22
"olympique";9;14
"1972";15;0
"deux";30;230
"globe";1;9
"descente";5;17
"total";4;38
"11";3;37
"podium";1;22
"8";10;56
"victoire";6;58
"seulement";9;54
"14";7;36
"course";18;50
"couper";19;76
"personnalité";4;16
"après";51;296
"très";35;78
"apprécier";6;7
"fan";13;33
"emji_main_qui_écrit";5;814
"emji_micro";2;17
"sébastien";4;6
"emji_pellicule";4;27
"emji_caméra";6;52
"htag_suisse";84;44
"htag_ski";20;18
"htag_sport";14;85
"htag_rtssport";6;85
"ce";235;597
"penser";10;17
"garçon";10;5
"rue";25;20
"cheveu";9;2
"réaction";7;20
"1971";13;0
"3";17;122
"mai";7;15
"1968";14;1
"htag_microtrottoir";18;0
"htag_jeunesse";16;0
"légende";8;20
"jurer";4;30
"amour";38;9
"raison";5;57
"semaine";12;85
